Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription by RNA Polymerase II (GO:0006366)	39/200	7.745569302070597E-24	2.1114421917444445E-20	0	0	10.229976402940139	544.3873887223019	GTF2A2;ELL;GTF2B;TAF9;SUPT4H1;ARRB2;ETS1;RXRB;SNAPC5;POLR2A;TAF1C;NOCT;POLR2C;SNAPC4;POLR2D;POLR2E;ELOA;POLR2F;POLR2G;POLR2H;POLR2I;PPARGC1A;POLR2J;POLR2K;ANXA2;TAF12;NCBP2;TAF13;TAF10;ADRM1;GTF2H1;GTF2H3;GTF2F1;SUPT5H;GTF2H5;ERCC3;NFX1;ERCC2;TAF6
Nucleotide-Excision Repair (GO:0006289)	20/53	5.230791771566887E-19	7.129569184645668E-16	0	0	24.737945492662472	1041.3327851089202	CETN2;XPC;GTF2H3;GTF2H5;DDB2;DDB1;POLD3;POLA1;POLG2;ERCC3;ERCC4;POLD1;ERCC1;RPA3;ERCC2;ERCC8;POLL;ERCC5;POLR2I;TP53
DNA-templated Transcription (GO:0006351)	33/203	8.135976274384577E-18	7.392890441324118E-15	0	0	8.08809584178499	318.26847960903245	GTF2A2;GTF3C5;GTF2B;ARRB2;FOXO3;ETS1;POLR2A;TAF1C;NOCT;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;CAVIN1;TAF12;POLR3GL;TAF13;TAF10;GTF2H1;GTF2H3;GTF2F1;GTF2H5;ERCC3;NFX1;ERCC2;POLR1D;TAF6;TP53
DNA Repair (GO:0006281)	37/302	1.1086920552804496E-15	7.555736356736264E-13	0	0	5.839261689909762	201.07845300560604	H2AX;BTG2;FEN1;PCNA;RRAD;MPG;CETN2;XPC;POLD3;POLD4;POLD1;POLL;POLH;RFC5;RFC3;RFC4;PARP2;RFC2;NME3;GTF2H1;GTF2H3;GTF2H5;DDB2;DDB1;RAD52;POLA1;RAD51;POLG2;RRM2B;ERCC3;ERCC4;RPA3;ERCC1;ERCC2;ERCC8;ERCC5;TP53
DNA Metabolic Process (GO:0006259)	36/302	6.478204652833487E-15	3.531917176724817E-12	0	0	5.6475135778709245	184.5061491132641	BTG2;FEN1;RRAD;PRIM1;XPC;TYMS;POLD3;POLD1;POLL;POLH;RFC5;RFC3;DUT;RFC4;PARP2;RFC2;NME3;GTF2H1;GTF2H3;DDB2;DDB1;ISG20;RAD52;POLA1;POLA2;CDC34;RAD51;POLG2;RRM2B;ERCC3;ERCC4;RPA3;ERCC1;CDK2;POLE3;ERCC5
ADP Catabolic Process (GO:0046032)	13/28	3.142530725577973E-14	1.223791251132222E-11	0	0	34.89586776859504	1084.9531080408747	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
Glycolytic Process (GO:0006096)	13/28	3.142530725577973E-14	1.223791251132222E-11	0	0	34.89586776859504	1084.9531080408747	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
DNA Damage Response (GO:0006974)	41/421	8.694309475480431E-14	2.962585953769957E-11	0	0	4.5247172206832875	136.07418547510403	PPP1R15A;H2AX;BTG2;FEN1;RRAD;TAF9;XPC;BCL2L11;POLD1;DGCR8;BAK1;BID;POLH;IER3;LYN;RFC5;RFC3;RFC4;RFC2;PARP2;PRKCD;NME3;GTF2H1;GTF2H3;DDB2;RBX1;DDB1;POLA1;RAD51;RRM2B;POLG2;ERCC3;ERCC4;DDIT3;RPA3;ERCC1;CDK2;POLE3;BCL2;ERCC8;TP53
DNA-templated Transcription Initiation (GO:0006352)	17/62	1.056716963385604E-13	3.200678269099063E-11	0	0	15.314166666666667	457.5633993549065	GTF2A2;CAVIN1;TAF12;TAF13;GTF2B;TAF10;GTF2H1;GTF2F1;ERCC3;TAF1C;POLR2D;ERCC2;ELOA;POLR2G;TAF6;POLR2I;PPARGC1A
Pyridine Nucleotide Catabolic Process (GO:0019364)	13/32	2.662456292083074E-13	7.257855852218461E-11	0	0	27.543714658547195	797.5105499226967	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
