Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ADP Catabolic Process (GO:0046032)	13/28	2.2121276580641334E-19	1.9311874454899885E-16	0	0	91.6951871657754	3938.781616877006	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
Glycolytic Process (GO:0006096)	13/28	2.2121276580641334E-19	1.9311874454899885E-16	0	0	91.6951871657754	3938.781616877006	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
Pyruvate Metabolic Process (GO:0006090)	15/48	4.8080257900853E-19	2.7982710098296445E-16	0	0	48.567567567567565	2048.523185935027	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHC;LDHA;PFKL;PGK1;GAPDHS;ALDOC;PCK1;GAPDH;PGM1
Pyridine Nucleotide Catabolic Process (GO:0019364)	13/32	1.982099471193812E-18	8.65186419176099E-16	0	0	72.37630171685899	2950.2299554565616	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
Glucose Metabolic Process (GO:0006006)	15/57	8.969620607656922E-18	3.1321915161937973E-15	0	0	38.142857142857146	1497.2096820866682	TKTL1;TPI1;GAA;PGAM2;IRS2;ENO1;ENO2;ENO3;BRS3;PGK1;SLC37A4;PCK1;FBP1;PPARGC1A;PGM1
ATP Metabolic Process (GO:0046034)	15/62	3.6226183610848766E-17	1.054181943075699E-14	0	0	34.0764807360552	1290.0247954873435	TPI1;PKLR;PGAM2;AK4;ENO1;ENO2;ENO3;LDHA;PFKL;GAPDHS;PGK1;ALDOC;ALDOB;GAPDH;PGM1
Nicotinamide Nucleotide Metabolic Process (GO:0046496)	14/51	5.89895692668136E-17	1.3976666791792997E-14	0	0	40.20371984888114	1502.3796833847975	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;NOCT;GAPDHS;PGK1;ALDOC;GAPDH;PGM1
Carbohydrate Catabolic Process (GO:0016052)	13/40	6.403971038622221E-17	1.3976666791792997E-14	0	0	50.91087344028521	1898.3151791612347	TPI1;PKLR;PGAM2;ENO1;ENO2;ENO3;LDHA;PFKL;PGK1;GAPDHS;ALDOC;GAPDH;PGM1
Gluconeogenesis (GO:0006094)	11/27	8.591961970788205E-16	1.6668406223329118E-13	0	0	71.96560846560847	2496.525414385141	TPI1;PGAM2;PGK1;ENO1;ENO2;PCK1;SLC37A4;ENO3;PPARGC1A;FBP1;PGM1
Hexose Biosynthetic Process (GO:0019319)	11/30	3.5073221922353004E-15	6.123784547642834E-13	0	0	60.593428014480644	2016.7870260778636	TPI1;PGAM2;PGK1;ENO1;ENO2;PCK1;SLC37A4;ENO3;PPARGC1A;FBP1;PGM1
Glycogen Metabolic Process (GO:0005977)	8/20	9.87417364839879E-12	1.5673006536458442E-9	0	0	68.70833333333333	1741.1446420712198	GYS1;UGP2;PHKG1;PPP1R3C;GAA;GBE1;STBD1;PYGM
Hexose Metabolic Process (GO:0019318)	10/48	3.750046766425251E-11	5.45631804514874E-9	0	0	27.371191135734072	657.0910904767483	GAA;IRS2;ALDOC;ALDOB;PCK1;SLC37A4;FBP1;PGM1;BRS3;GALK1
Glycolytic Process Through Glucose-6-Phosphate (GO:0061620)	7/16	9.539483439984017E-11	1.2812260066316996E-8	0	0	79.75647668393782	1840.220922191008	PFKL;PGAM2;PGK1;ENO1;ENO2;ENO3;PFKP
Canonical Glycolysis (GO:0061621)	6/15	4.306768659510549E-9	5.013078719670279E-7	0	0	68.01030927835052	1310.0878886918517	PFKL;PGAM2;PGK1;ENO2;ENO3;PFKP
