GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0071456	cellular response to hypoxia	154	11	0.82	2.3e-09	3.54499e-05	CDKN1B, CITED2, AK4, FOXO3, FOS, FAM162A, PCK1, BCL2, VEGFA, VHL, STC2
GO:0006094	gluconeogenesis	89	8	0.48	2.1e-08	0.0001618365	PPARGC1A, ALDOB, ALDOC, SLC37A4, GCK, PCK1, PGAM2, PGM1
GO:0061621	canonical glycolysis	18	5	0.1	3.2e-08	0.000164405333333333	GCK, HK1, HK2, PFKP, PGAM2
GO:0030388	fructose 1,6-bisphosphate metabolic process	9	4	0.05	9.5e-08	0.00036605875	ALDOA, ALDOB, ALDOC, PFKP
GO:0006096	glycolytic process	96	11	0.51	3.9e-06	0.01202214	ALDOA, ALDOB, ALDOC, GCK, HK1, HK2, PFKP, PGAM2, PGM1, DDIT4, IER3
GO:0001678	intracellular glucose homeostasis	162	7	0.87	4.7e-06	0.0120735166666667	PPARGC1A, FOXO3, GCK, HK1, HK2, PCK1, IRS2
GO:0051156	glucose 6-phosphate metabolic process	29	4	0.16	1.2e-05	0.0264222857142857	ALDOB, GCK, HK1, HK2
GO:0045766	positive regulation of angiogenesis	189	9	1.01	2.0e-05	0.0385325	ADM, F3, HK2, SERPINE1, ANGPTL4, PRKCA, BTG1, TGM2, VEGFA
GO:0006002	fructose 6-phosphate metabolic process	13	3	0.07	4.1e-05	0.0702147777777778	HK1, HK2, PFKP
GO:0070374	positive regulation of ERK1 and ERK2 cascade	196	7	1.05	8.7e-05	0.1340931	CAVIN3, CCN2, GCNT2, PRKCA, ACKR3, TPBG, VEGFA
GO:0042149	cellular response to glucose starvation	49	4	0.26	0.00014	0.196165454545455	PLIN2, FOXO3, HSPA5, BCL2
GO:0030209	dermatan sulfate catabolic process	4	2	0.02	0.00017	0.218350833333333	HEXA, IDS
GO:0071332	cellular response to fructose stimulus	5	2	0.03	0.00028	0.287709333333333	PCK1, SLC2A5
GO:0072656	maintenance of protein location in mitochondrion	5	2	0.03	0.00028	0.287709333333333	HK1, HK2
GO:1902961	positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	5	2	0.03	0.00028	0.287709333333333	EFNA1, EFNA3
GO:0035988	chondrocyte proliferation	26	3	0.14	0.00035	0.317326470588235	CCN2, EXT1, ERRFI1
GO:0046716	muscle cell cellular homeostasis	26	3	0.14	0.00035	0.317326470588235	ALDOA, GAA, CAV1
GO:0001570	vasculogenesis	86	5	0.46	0.00049	0.397493157894737	CITED2, ADM, ACKR3, VEGFA, CAV1
GO:0006024	glycosaminoglycan biosynthetic process	71	8	0.38	0.00047	0.397493157894737	B3GALT6, EXT1, GCNT2, HAS1, HEXA, NDST1, CHST3, HS3ST1
GO:0036022	limb joint morphogenesis	7	2	0.04	0.00058	0.425692380952381	EXT1, ERRFI1
GO:0043654	recognition of apoptotic cell	7	2	0.04	0.00058	0.425692380952381	JMJD6, SCARB1
GO:0015014	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process	8	2	0.04	0.00078	0.522701739130435	EXT1, NDST1
GO:0015949	nucleobase-containing small molecule interconversion	8	2	0.04	0.00078	0.522701739130435	AK4, GLRX
GO:0035914	skeletal muscle cell differentiation	80	4	0.43	0.00089	0.571565416666667	CITED2, FOS, MAFF, SAP30
GO:0060426	lung vasculature development	9	2	0.05	0.00099	0.6103548	ERRFI1, VEGFA
GO:0001666	response to hypoxia	314	16	1.68	0.00103	0.610591923076923	CDKN1B, CITED2, ADM, AK4, FOXO3, FOS, FAM162A, HK2, PCK1, ANGPTL4, DDIT4, BCL2, VEGFA, VHL, CAV1, STC2
GO:0006006	glucose metabolic process	197	15	1.05	0.00118	0.673605185185185	PPARGC1A, ALDOB, ALDOC, SLC37A4, GAA, GCK, HK1, HK2, PCK1, PFKP, PGAM2, PGM1, ERRFI1, BRS3, IRS2
GO:0001525	angiogenesis	636	18	3.4	0.00134	0.7273009375	ADM, CCN2, DCN, EDN2, EFNA1, EFNA3, F3, JMJD6, ANXA2, HK2, SERPINE1, ANGPTL4, PRKCA, ACKR3, BTG1, TGM2, VEGFA, CAV1
GO:0006000	fructose metabolic process	14	3	0.07	0.00148	0.7273009375	ALDOA, ALDOB, ALDOC
GO:0007595	lactation	42	3	0.22	0.00146	0.7273009375	HK2, VEGFA, CAV1
GO:0030210	heparin biosynthetic process	11	2	0.06	0.00151	0.7273009375	EXT1, NDST1
