Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	51	3.18808915165662e-11	3.12882159121613e-09	GO:0002376
regulation of immune system process	BP	1639	33	5.08351344494698e-08	3.2357289293294e-06	GO:0002682
immune response-regulating signaling pathway	BP	574	6	0.22103638271741	1	GO:0002764
immune response	BP	1877	26	0.000775996100741517	0.0172359333323225	GO:0006955
cell communication	BP	6627	102	1.83132737443099e-17	2.89349725160097e-15	GO:0007154
signal transduction	BP	6102	97	2.5509714590103e-17	4.00215085660785e-15	GO:0007165
biological_process	BP	18158	198	1.02585054246486e-35	2.53932204278134e-32	GO:0008150
cellular process	BP	17684	194	3.40500459382972e-32	5.0571128227559e-29	GO:0009987
signaling	BP	6602	103	3.93724924077146e-18	6.49733619154864e-16	GO:0023052
regulation of response to stimulus	BP	4187	71	2.5893499957197e-13	3.10137307551847e-11	GO:0048583
regulation of immune response	BP	999	10	0.17057324798561	0.866993113991198	GO:0050776
regulation of biological process	BP	12193	148	5.00076513283366e-19	8.63620508754018e-17	GO:0050789
regulation of cellular process	BP	11808	142	3.83410951818546e-17	5.90751298555076e-15	GO:0050794
response to stimulus	BP	8941	132	1.23444161823445e-23	3.92869862443245e-21	GO:0050896
cellular response to stimulus	BP	7487	114	5.61090673207831e-20	1.17924320921925e-17	GO:0051716
biological regulation	BP	12588	151	3.07795459392582e-19	5.39926554673067e-17	GO:0065007
immune effector process	BP	673	10	0.0217802019454918	0.213847218572792	GO:0002252
activation of immune response	BP	581	6	0.228970761782757	1	GO:0002253
inflammatory response to antigenic stimulus	BP	77	3	0.0173032483851067	0.187948204545786	GO:0002437
acute inflammatory response	BP	108	3	0.0412678024047045	0.327898118136258	GO:0002526
negative regulation of immune system process	BP	564	8	0.0476701973327476	0.361767462811752	GO:0002683
positive regulation of immune system process	BP	1123	21	4.98018922741721e-05	0.00163850272831706	GO:0002684
regulation of immune effector process	BP	414	7	0.0282250092112717	0.252528817352896	GO:0002697
regulation of response to biotic stimulus	BP	576	7	0.114845133524338	0.653016815889534	GO:0002831
negative regulation of response to biotic stimulus	BP	135	2	0.246890580290015	1	GO:0002832
developmental process involved in reproduction	BP	1041	13	0.0340250673469494	0.292294704638968	GO:0003006
response to stress	BP	4076	85	3.68683273570787e-22	9.66297172777647e-20	GO:0006950
defense response	BP	1936	36	8.41010274438752e-08	5.13315805313603e-06	GO:0006952
inflammatory response	BP	921	26	2.05605816389703e-09	1.64765697033446e-07	GO:0006954
humoral immune response	BP	298	6	0.0195548901046491	0.207548280967781	GO:0006959
multicellular organism development	BP	4845	91	7.64473962307871e-21	1.7740573887807e-18	GO:0007275
sex differentiation	BP	296	6	0.0189888635874491	0.202118443861056	GO:0007548
response to nutrient	BP	169	5	0.00710828030474143	0.096973832595854	GO:0007584
gonad development	BP	240	6	0.00734053090508772	0.0996540813549934	GO:0008406
female gonad development	BP	106	5	0.000949591791162545	0.0204001985761998	GO:0008585
response to external stimulus	BP	2474	56	1.85719334795872e-15	2.68665931206652e-13	GO:0009605
response to biotic stimulus	BP	1668	34	2.28898354179506e-08	1.56423237251872e-06	GO:0009607
response to endogenous stimulus	BP	1607	50	2.59074826205554e-19	4.61733518256587e-17	GO:0009719
response to hormone	BP	961	31	1.65030724716598e-12	1.79344121231042e-10	GO:0009725
embryo development	BP	1130	23	5.52144634264746e-06	0.000238385235700582	GO:0009790
reproductive process	BP	1610	28	9.7741647124346e-06	0.000396628126527537	GO:0022414
ovulation cycle process	BP	53	2	0.0540422949419818	0.395547291698064	GO:0022602
cell differentiation	BP	4520	86	8.09556508681552e-20	1.62480179282951e-17	GO:0030154
regulation of defense response	BP	886	12	0.0239935791068666	0.231009067660906	GO:0031347
negative regulation of defense response	BP	308	5	0.0680282611780587	0.458224190431243	GO:0031348
response to nutrient levels	BP	522	21	1.65054034503455e-10	1.47082951226718e-08	GO:0031667
response to corticosteroid	BP	157	13	1.02034374810345e-10	9.31607295911831e-09	GO:0031960
regulation of response to external stimulus	BP	1165	24	2.76774225920501e-06	0.000127133530001174	GO:0032101
negative regulation of response to external stimulus	BP	448	11	0.000367293070081239	0.00932441639578056	GO:0032102
multicellular organismal process	BP	7543	119	1.15047742044341e-22	3.12565072837051e-20	GO:0032501
developmental process	BP	6693	113	1.46979063954596e-23	4.61183040391617e-21	GO:0032502
response to lipid	BP	948	33	3.48774873179039e-14	4.46552104866818e-12	GO:0033993
response to chemical	BP	4019	89	2.77470947020334e-25	1.18874956879211e-22	GO:0042221
ovulation cycle	BP	75	4	0.00198182719004253	0.0373213407774873	GO:0042698
response to external biotic stimulus	BP	1627	31	4.53763133278333e-07	2.41263367140208e-05	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	34	1.24264772047743e-07	7.38232157781231e-06	GO:0044419
innate immune response	BP	1024	10	0.189284905409458	0.937711612788951	GO:0045087
regulation of innate immune response	BP	482	5	0.255004578034039	1	GO:0045088
development of primary sexual characteristics	BP	245	6	0.00808296570456494	0.107892336708387	GO:0045137
negative regulation of innate immune response	BP	100	2	0.157346473258523	0.815960132973318	GO:0045824
development of primary female sexual characteristics	BP	110	5	0.00112113525614036	0.0233426647068178	GO:0046545
female sex differentiation	BP	125	5	0.00197352742765273	0.0372279797063908	GO:0046660
rhythmic process	BP	302	11	1.09944963172872e-05	0.000440531275101664	GO:0048511
animal organ development	BP	3099	69	5.94025191508996e-19	1.01797640126442e-16	GO:0048513
positive regulation of biological process	BP	6372	104	7.20654434933341e-20	1.47291188086651e-17	GO:0048518
negative regulation of biological process	BP	5853	101	6.18931032581713e-21	1.45142584672162e-18	GO:0048519
response to steroid hormone	BP	338	20	4.51162132762086e-13	5.23489062170508e-11	GO:0048545
embryonic organ development	BP	457	12	0.000107261276273496	0.00327337905865884	GO:0048568
positive regulation of response to stimulus	BP	2386	49	6.19025484429369e-12	6.41425569400813e-10	GO:0048584
negative regulation of response to stimulus	BP	1829	41	3.42815087297949e-11	3.33503690603655e-09	GO:0048585
