GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0061621	canonical glycolysis	18	11	0.19	5.3e-18	8.16889e-14	ENO1, ENO2, ENO3, GCK, HK1, HK2, PFKL, PFKP, PGAM2, PGK1, TPI1
GO:0006094	gluconeogenesis	89	17	0.96	1.1e-17	8.47715e-14	PPARGC1A, ENO1, ENO2, ENO3, FBP1, ALDOB, ALDOC, SLC37A4, GCK, GPI, NR3C1, ATF3, PCK1, PGAM2, PGK1, PGM1, TPI1
GO:0071456	cellular response to hypoxia	154	21	1.66	2.2e-14	1.13028666666667e-10	CDKN1B, CITED2, NDRG1, ENO1, AK4, FOXO3, FOS, FAM162A, ERO1A, PCK1, PDK1, PDK3, PGK1, ATP7A, BCL2, RORA, BNIP3L, STC1, VEGFA, VHL, STC2
GO:0006096	glycolytic process	96	25	1.04	3.5e-13	1.3486375e-09	ENO1, ENO2, ENO3, FBP1, ALDOA, ALDOB, ALDOC, GALK1, GAPDH, GAPDHS, GCK, GPI, HK1, HK2, LDHA, PFKFB3, PFKL, PFKP, PGAM2, PGK1, PGM1, PKLR, DDIT4, TPI1, IER3
GO:0030388	fructose 1,6-bisphosphate metabolic process	9	6	0.1	1.2e-10	3.69912e-07	FBP1, ALDOA, ALDOB, ALDOC, PFKL, PFKP
GO:0006002	fructose 6-phosphate metabolic process	13	6	0.14	2.4e-09	6.1652e-06	FBP1, GPI, HK1, HK2, PFKL, PFKP
GO:1902895	positive regulation of miRNA transcription	56	8	0.6	1.5e-07	0.000330278571428571	EGFR, ETS1, FOXO3, FOS, NR3C1, IL6, JUN, PDGFB
GO:0051156	glucose 6-phosphate metabolic process	29	5	0.31	1.6e-06	0.0030826	ALDOB, GCK, GPI, HK1, HK2
GO:0001666	response to hypoxia	314	32	3.39	3.3e-06	0.00508629	CDKN1B, CITED2, NDRG1, ADM, ENO1, AK4, FOXO3, FOS, FOSL2, FAM162A, ERO1A, HK2, PCK1, ANGPTL4, PDK1, PDK3, PGF, PGK1, PKLR, ATP7A, DDIT4, BCL2, RORA, SLC2A1, BNIP3L, STC1, TGFB3, VEGFA, VHL, CXCR4, CAV1, STC2
GO:0006006	glucose metabolic process	197	33	2.13	3.3e-06	0.00508629	PPARGC1A, ENO1, ENO2, ENO3, FBP1, ALDOB, ALDOC, SLC37A4, GAA, GAPDH, GAPDHS, GCK, GPI, NR3C1, HK1, HK2, IGFBP3, ATF3, PCK1, PDK1, PDK3, PFKL, PFKP, PGAM2, PGK1, PGM1, ERRFI1, PGM2, RORA, BRS3, TPI1, TKTL1, IRS2
GO:0006000	fructose metabolic process	14	5	0.15	4.0e-06	0.00560472727272727	FBP1, ALDOA, ALDOB, ALDOC, PFKFB3
GO:0001525	angiogenesis	636	31	6.87	7.6e-06	0.00836705714285714	ADM, CCN2, DCN, EDN2, EFNA1, EFNA3, ETS1, F3, JMJD6, ANXA2, HK2, HMOX1, CCN1, RBPJ, IL6, MYH9, SERPINE1, ANGPTL4, PDGFB, PGF, PGK1, PRKCA, ACKR3, RORA, BTG1, TGFBI, TGM2, TNFAIP3, VEGFA, CXCR4, CAV1
GO:0035988	chondrocyte proliferation	26	5	0.28	7.6e-06	0.00836705714285714	CCN2, EXT1, FOSL2, ERRFI1, STC1
GO:0046716	muscle cell cellular homeostasis	26	5	0.28	7.6e-06	0.00836705714285714	ALDOA, GAA, LOX, CAV1, LARGE1
GO:0006941	striated muscle contraction	194	9	2.1	8.2e-06	0.00842577333333333	DTNA, ALDOA, NEDD4L, GAA, PGAM2, STC1, CXCR4, CAV1, LARGE1
GO:0070374	positive regulation of ERK1 and ERK2 cascade	196	11	2.12	9.6e-06	0.0092478	CAVIN3, CCN2, EGFR, GCNT2, MIF, PDGFB, PRKCA, ACKR3, TPBG, VEGFA, AKAP12
GO:0005978	glycogen biosynthetic process	46	7	0.5	1.2e-05	0.0108797647058824	GBE1, GCK, GYS1, PPP1R3C, PGM2, UGP2, IRS2
GO:0030199	collagen fibril organization	72	7	0.78	1.3e-05	0.0111316111111111	COL5A1, EXT1, ERO1A, ANXA2, LOX, P4HA1, ATP7A
GO:0045766	positive regulation of angiogenesis	189	12	2.04	3.7e-05	0.0300147894736842	ADM, ETS1, F3, HK2, HMOX1, SERPINE1, ANGPTL4, PRKCA, BTG1, TGM2, VEGFA, CXCR4
GO:0046835	carbohydrate phosphorylation	20	4	0.22	5.6e-05	0.0431564	GALK1, HK1, PFKFB3, NAGK
GO:0015014	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process	8	3	0.09	6.7e-05	0.0491748095238095	EXT1, NDST1, NDST2
