Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	23	4.61680875367653e-05	0.00281019850859032	GO:0002376
regulation of immune system process	BP	1639	13	0.00503545413497664	0.122200269301753	GO:0002682
immune response-regulating signaling pathway	BP	574	3	0.330498434949456	1	GO:0002764
immune response	BP	1877	11	0.0669019936337529	0.640499619326492	GO:0006955
cell communication	BP	6627	47	1.95465970475143e-07	2.24463447950785e-05	GO:0007154
signal transduction	BP	6102	44	4.08889364326878e-07	4.53195883506179e-05	GO:0007165
biological_process	BP	18158	98	7.14409271250829e-17	1.98945121811575e-13	GO:0008150
cellular process	BP	17684	96	1.74423203496444e-15	2.77557151963841e-12	GO:0009987
signaling	BP	6602	48	5.68626608062064e-08	7.03882755046204e-06	GO:0023052
regulation of response to stimulus	BP	4187	34	1.24401756300884e-06	0.000122089089289475	GO:0048583
regulation of immune response	BP	999	5	0.277755312931719	1	GO:0050776
regulation of biological process	BP	12193	74	3.13946910909406e-10	6.57462545321475e-08	GO:0050789
regulation of cellular process	BP	11808	69	2.99495217320432e-08	4.0193701514847e-06	GO:0050794
response to stimulus	BP	8941	66	1.51891143645087e-12	6.38458660023631e-10	GO:0050896
cellular response to stimulus	BP	7487	54	4.46586858778352e-09	7.38431373249148e-07	GO:0051716
biological regulation	BP	12588	76	1.2484602660698e-10	2.92770503236873e-08	GO:0065007
immune effector process	BP	673	2	0.69042037615333	1	GO:0002252
activation of immune response	BP	581	4	0.1500372826611	1	GO:0002253
acute inflammatory response	BP	108	2	0.0560006742506012	0.568634011374154	GO:0002526
positive regulation of immune system process	BP	1123	13	0.000161994213522149	0.00812736399023898	GO:0002684
regulation of immune effector process	BP	414	2	0.430611067243381	1	GO:0002697
regulation of response to biotic stimulus	BP	576	4	0.146781498838947	1	GO:0002831
developmental process involved in reproduction	BP	1041	9	0.0113836908592044	0.2040272445385	GO:0003006
response to stress	BP	4076	41	7.47637031282402e-11	1.83031404207795e-08	GO:0006950
defense response	BP	1936	17	0.000418682437222357	0.0182532433198428	GO:0006952
inflammatory response	BP	921	11	0.000410625123461309	0.0179723113958174	GO:0006954
humoral immune response	BP	298	2	0.283473444561099	1	GO:0006959
multicellular organism development	BP	4845	44	2.9883843151227e-10	6.40146401656765e-08	GO:0007275
sex differentiation	BP	296	4	0.0209543823825486	0.303539558340497	GO:0007548
gonad development	BP	240	4	0.0104534179314936	0.193052092663315	GO:0008406
female gonad development	BP	106	3	0.00633089390094758	0.146763428018013	GO:0008585
response to external stimulus	BP	2474	25	1.12304739019488e-06	0.000111693079280186	GO:0009605
response to biotic stimulus	BP	1668	17	7.1187325177289e-05	0.00415160007931844	GO:0009607
response to endogenous stimulus	BP	1607	25	2.27785219378515e-10	5.02435556169759e-08	GO:0009719
response to hormone	BP	961	15	1.39889264266181e-06	0.000136089651935457	GO:0009725
embryo development	BP	1130	9	0.0184995850362316	0.285211409857521	GO:0009790
reproductive process	BP	1610	15	0.000516133736864949	0.0216135853193183	GO:0022414
cell differentiation	BP	4520	43	1.21157986512046e-10	2.90232002528532e-08	GO:0030154
regulation of defense response	BP	886	5	0.203883795452852	1	GO:0031347
response to nutrient levels	BP	522	10	1.62743022486243e-05	0.0011053625167526	GO:0031667
response to corticosteroid	BP	157	6	2.04288753867905e-05	0.00135855070408036	GO:0031960
regulation of response to external stimulus	BP	1165	12	0.000828394041475284	0.0316009631095657	GO:0032101
negative regulation of response to external stimulus	BP	448	4	0.0744015008566328	0.684769080778301	GO:0032102
multicellular organismal process	BP	7543	62	1.17895369060801e-13	7.29575842204591e-11	GO:0032501
developmental process	BP	6693	58	1.77481126835476e-13	1.01382680606172e-10	GO:0032502
response to lipid	BP	948	14	6.12908638471822e-06	0.000479101005188606	GO:0033993
response to chemical	BP	4019	43	2.3840358042557e-12	8.43040470590611e-10	GO:0042221
response to external biotic stimulus	BP	1627	16	0.000179705753662689	0.00885726721260483	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	17	0.00016728681758156	0.00835608906296412	GO:0044419
innate immune response	BP	1024	5	0.294853656681495	1	GO:0045087
regulation of innate immune response	BP	482	3	0.242336352329476	1	GO:0045088
development of primary sexual characteristics	BP	245	4	0.0112082409864478	0.201694016717354	GO:0045137
development of primary female sexual characteristics	BP	110	3	0.00701103210403615	0.149349994917924	GO:0046545
female sex differentiation	BP	125	3	0.00993825511900459	0.193052092663315	GO:0046660
rhythmic process	BP	302	5	0.00439861368063644	0.110227576577299	GO:0048511
animal organ development	BP	3099	34	6.93711448517442e-10	1.32089774786937e-07	GO:0048513
positive regulation of biological process	BP	6372	54	7.29029641516312e-12	2.32018890767148e-09	GO:0048518
negative regulation of biological process	BP	5853	48	9.41909378861401e-10	1.71998829035035e-07	GO:0048519
response to steroid hormone	BP	338	9	3.23283488866296e-06	0.000280123889410187	GO:0048545
embryonic organ development	BP	457	6	0.00568589970646152	0.135500493482805	GO:0048568
positive regulation of response to stimulus	BP	2386	24	2.11158975250718e-06	0.000194388415315516	GO:0048584
negative regulation of response to stimulus	BP	1829	19	1.92075419318331e-05	0.00128115454837539	GO:0048585
reproductive structure development	BP	314	7	0.000127577352057242	0.00673499585102188	GO:0048608
multicellular organismal reproductive process	BP	1004	6	0.144353386333568	1	GO:0048609
system development	BP	4175	41	1.59174077846131e-10	3.65575268686196e-08	GO:0048731
anatomical structure development	BP	6107	55	2.81006917516385e-13	1.45587723451861e-10	GO:0048856
stem cell differentiation	BP	256	3	0.0623204030409003	0.609738225272365	GO:0048863
cellular developmental process	BP	4522	43	1.22925519249119e-10	2.91333480620412e-08	GO:0048869
positive regulation of immune response	BP	783	5	0.143744721546226	1	GO:0050778
response to glucocorticoid	BP	136	6	9.02350404836951e-06	0.000672326498961792	GO:0051384
response to other organism	BP	1624	16	0.000175971468917233	0.00871939046917131	GO:0051707
reproductive system development	BP	318	7	0.00013792948290739	0.00714603027956008	GO:0061458
regulation of response to stress	BP	1477	12	0.00583644669654457	0.138030105632293	GO:0080134
response to alcohol	BP	276	2	0.254715094608201	1	GO:0097305
defense response to other organism	BP	1302	10	0.0166945342681256	0.271079325382874	GO:0098542
defense response to symbiont	BP	1127	6	0.207930116726605	1	GO:0140546
response to ketone	BP	225	6	0.00015035074375685	0.00762987213989774	GO:1901654
response to oxygen-containing compound	BP	1742	21	6.08464202347735e-07	6.33428294387983e-05	GO:1901700
metabolic process	BP	11765	83	1.57894528138124e-17	5.0251061398016e-14	GO:0008152
response to xenobiotic stimulus	BP	452	6	0.00539577390283701	0.129953568656652	GO:0009410
cellular response to chemical stimulus	BP	2248	30	9.65800930649518e-11	2.33870794924021e-08	GO:0070887
tissue homeostasis	BP	272	8	5.65676354961831e-06	0.000445305223881261	GO:0001894
system process	BP	2345	23	5.52316294558481e-06	0.000441274614227163	GO:0003008
lipid metabolic process	BP	1388	12	0.00357594527415509	0.0951791025300205	GO:0006629
digestion	BP	144	3	0.0145298418165821	0.242650536724	GO:0007586
regulation of lipid metabolic process	BP	343	6	0.00138443553311092	0.0483125937740696	GO:0019216
regulation of metabolic process	BP	6949	49	1.00852929804465e-07	1.2277604208655e-05	GO:0019222
digestive system process	BP	112	2	0.0597079909247151	0.591451588181771	GO:0022600
homeostatic process	BP	1762	30	2.12214959385553e-13	1.15310362565642e-10	GO:0042592
primary metabolic process	BP	10156	79	1.18444898599513e-18	8.79571816999987e-15	GO:0044238
multicellular organismal-level homeostasis	BP	833	16	3.64157784461942e-08	4.77218066014303e-06	GO:0048871
anatomical structure homeostasis	BP	272	8	5.65676354961831e-06	0.000445305223881261	GO:0060249
regulation of primary metabolic process	BP	5513	40	1.69696474429277e-06	0.000160872257758954	GO:0080090
neutral lipid metabolic process	BP	138	3	0.0129710108189833	0.228302389555087	GO:0006638
acylglycerol metabolic process	BP	137	3	0.0127210415556595	0.224563679696499	GO:0006639
triglyceride metabolic process	BP	110	3	0.00701103210403615	0.149349994917924	GO:0006641
catabolic process	BP	2759	38	3.72786766760005e-14	3.610845039078e-11	GO:0009056
positive regulation of metabolic process	BP	3664	34	5.05308519201776e-08	6.39617226748702e-06	GO:0009893
regulation of catabolic process	BP	1132	16	2.17937752152316e-06	0.000198984313215135	GO:0009894
positive regulation of catabolic process	BP	636	8	0.00188141484124492	0.0613677303561558	GO:0009896
lipid catabolic process	BP	350	4	0.035649441964676	0.428749329604908	GO:0016042
positive regulation of lipid metabolic process	BP	133	5	0.000111415350506449	0.00612866957674736	GO:0045834
glycerolipid metabolic process	BP	393	3	0.162141656840704	1	GO:0046486
positive regulation of cellular process	BP	6023	52	1.2552924384237e-11	3.63187077184458e-09	GO:0048522
regulation of lipid catabolic process	BP	67	2	0.0235059534192162	0.333367813833924	GO:0050994
angiogenesis	BP	638	18	9.66023752647437e-12	2.86947695486395e-09	GO:0001525
blood vessel development	BP	819	22	9.21780601132564e-14	6.22285704000947e-11	GO:0001568
vasculature development	BP	854	23	2.18067340146296e-14	2.42905210188959e-11	GO:0001944
anatomical structure morphogenesis	BP	2801	38	6.02060530342853e-14	4.96766833147336e-11	GO:0009653
regulation of endothelial cell migration	BP	235	5	0.00149514714886621	0.051402605219817	GO:0010594
positive regulation of endothelial cell migration	BP	133	3	0.0117491040655616	0.209397232298065	GO:0010595
muscle cell migration	BP	115	2	0.0625426678261799	0.610304666592919	GO:0014812
smooth muscle cell migration	BP	101	2	0.0497201997541527	0.528466894142659	GO:0014909
cell migration	BP	1647	26	6.61558064957343e-11	1.65597646866513e-08	GO:0016477
regulation of cell migration	BP	1078	19	6.50549167374571e-09	9.99512713846254e-07	GO:0030334
positive regulation of cell migration	BP	600	12	1.40878966864144e-06	0.000136456592339104	GO:0030335
tube morphogenesis	BP	971	21	2.17971762330749e-11	5.99503076691904e-09	GO:0035239
tube development	BP	1192	22	1.41146794175033e-10	3.27548779232436e-08	GO:0035295
