Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	152	5.38655406636328e-41	4.58021570574203e-39	GO:0002376
regulation of immune system process	BP	1639	106	1.93155620270997e-32	1.21557087807832e-30	GO:0002682
immune response-regulating signaling pathway	BP	574	26	1.14572450702224e-05	0.000110543311249205	GO:0002764
immune response	BP	1877	86	1.62262137010119e-16	4.98603570801575e-15	GO:0006955
cell communication	BP	6627	364	2.38581536377463e-125	2.95284414856507e-122	GO:0007154
signal transduction	BP	6102	337	2.95075588296382e-111	2.43470146520992e-108	GO:0007165
biological_process	BP	18158	494	6.05892687882877e-95	2.32725470700944e-92	GO:0008150
cellular process	BP	17684	492	1.74767368910813e-96	6.95262043677694e-94	GO:0009987
signaling	BP	6602	364	6.73858578939322e-126	8.83071848330013e-123	GO:0023052
regulation of response to stimulus	BP	4187	272	5.87852278380204e-98	2.56787707014788e-95	GO:0048583
regulation of immune response	BP	999	52	2.79318012362476e-12	6.37566258136397e-11	GO:0050776
regulation of biological process	BP	12193	451	4.421725730732e-115	4.47760026496579e-112	GO:0050789
regulation of cellular process	BP	11808	443	5.14051288880379e-112	4.40462869756811e-109	GO:0050794
response to stimulus	BP	8941	435	4.02987922440439e-153	2.9925883120427e-149	GO:0050896
cellular response to stimulus	BP	7487	415	1.1355530907738e-160	2.52978517562586e-156	GO:0051716
biological regulation	BP	12588	456	6.31536806652455e-115	6.11712042547973e-112	GO:0065007
luteinization	BP	12	2	0.0179104513565257	0.0732395439281716	GO:0001553
immune effector process	BP	673	39	7.92830491596787e-11	1.59843237029803e-09	GO:0002252
activation of immune response	BP	581	27	4.89417007473317e-06	5.05715774234256e-05	GO:0002253
inflammatory response to antigenic stimulus	BP	77	7	0.000399422603913194	0.00279558176876473	GO:0002437
acute inflammatory response to antigenic stimulus	BP	29	2	0.090828110172053	0.265512221285001	GO:0002438
acute inflammatory response	BP	108	13	5.51186358637841e-08	8.00999980282702e-07	GO:0002526
negative regulation of immune system process	BP	564	35	1.23364431004778e-10	2.42998478684742e-09	GO:0002683
positive regulation of immune system process	BP	1123	72	1.13987615197441e-21	4.43179073537274e-20	GO:0002684
regulation of immune effector process	BP	414	25	9.72175379180221e-08	1.35363269358606e-06	GO:0002697
negative regulation of immune effector process	BP	134	5	0.0864342788404612	0.253499587152158	GO:0002698
regulation of response to biotic stimulus	BP	576	31	3.98224116359673e-08	5.9104842533383e-07	GO:0002831
negative regulation of response to biotic stimulus	BP	135	9	0.000632638210086436	0.00421836174503846	GO:0002832
regulation of humoral immune response	BP	47	5	0.00133794527299529	0.00820670286117537	GO:0002920
developmental process involved in reproduction	BP	1041	60	5.37104578477612e-16	1.59754550057734e-14	GO:0003006
response to stress	BP	4076	281	6.28184858706683e-109	4.82575940767845e-106	GO:0006950
defense response	BP	1936	109	3.24096121762372e-28	1.7567429198594e-26	GO:0006952
acute-phase response	BP	48	7	1.8892275154326e-05	0.000175148608359582	GO:0006953
inflammatory response	BP	921	77	1.57149394619675e-30	9.36089361854842e-29	GO:0006954
complement activation	BP	57	2	0.262742951859599	0.624427937009616	GO:0006956
humoral immune response	BP	298	10	0.0377335998576548	0.133858142934528	GO:0006959
multicellular organism development	BP	4845	347	5.7225030936863e-153	3.18714809802858e-149	GO:0007275
sex differentiation	BP	296	25	1.09460754667885e-10	2.17341059936822e-09	GO:0007548
response to nutrient	BP	169	30	1.39244033244588e-21	5.38555307747036e-20	GO:0007584
gonad development	BP	240	20	1.01962232236084e-08	1.62483162357331e-07	GO:0008406
female gonad development	BP	106	11	2.5924076989091e-06	2.84781354616848e-05	GO:0008585
response to external stimulus	BP	2474	155	2.95435711204235e-47	3.37523937138869e-45	GO:0009605
response to biotic stimulus	BP	1668	81	5.38560573724987e-17	1.68511972773108e-15	GO:0009607
response to endogenous stimulus	BP	1607	163	3.98090010963123e-80	1.04337050167488e-77	GO:0009719
response to hormone	BP	961	116	1.51207810045801e-63	2.59123660938489e-61	GO:0009725
embryo development	BP	1130	113	3.29428227174711e-53	4.47500124695013e-51	GO:0009790
reproductive process	BP	1610	118	1.14474574844745e-41	9.88474642787301e-40	GO:0022414
ovulation cycle process	BP	53	4	0.0137405946627061	0.0632073028898959	GO:0022602
cell differentiation	BP	4520	313	3.66698116424328e-127	5.83521474121513e-124	GO:0030154
regulation of complement activation	BP	22	2	0.0559206439632698	0.181444815935585	GO:0030449
regulation of defense response	BP	886	66	2.19397279288754e-23	9.29226727755677e-22	GO:0031347
negative regulation of defense response	BP	308	31	5.31298182100577e-15	1.48510174414513e-13	GO:0031348
response to nutrient levels	BP	522	60	3.00244632780445e-31	1.80779727813048e-29	GO:0031667
response to corticosteroid	BP	157	26	4.33325047622744e-18	1.42594023795266e-16	GO:0031960
regulation of response to external stimulus	BP	1165	83	4.64600035102543e-28	2.50614033462819e-26	GO:0032101
negative regulation of response to external stimulus	BP	448	42	9.25157513170022e-19	3.16599985843345e-17	GO:0032102
multicellular organismal process	BP	7543	397	3.29085570835628e-139	1.04733833529659e-135	GO:0032501
developmental process	BP	6693	374	6.88536611618837e-134	1.7043576259605e-130	GO:0032502
response to lipid	BP	948	107	1.96148929071608e-55	2.95257151476844e-53	GO:0033993
response to prostaglandin	BP	37	4	0.00385411753529833	0.0209777743589974	GO:0034694
response to prostaglandin E	BP	29	2	0.090828110172053	0.265512221285001	GO:0034695
response to chemical	BP	4019	286	3.54813949137659e-115	3.76406912328037e-112	GO:0042221
ovulation cycle	BP	75	7	0.000339669168044194	0.00240608894298523	GO:0042698
response to external biotic stimulus	BP	1627	77	1.44839288310176e-15	4.1797016385675e-14	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	88	8.59149136504921e-19	2.94917172003954e-17	GO:0044419
innate immune response	BP	1024	41	8.69168657056979e-07	1.03638993713542e-05	GO:0045087
regulation of innate immune response	BP	482	26	4.80492238239076e-07	5.95019793412459e-06	GO:0045088
development of primary sexual characteristics	BP	245	20	1.44561147908739e-08	2.25527538733255e-07	GO:0045137
negative regulation of innate immune response	BP	100	6	0.00827708539379703	0.0403670990374366	GO:0045824
development of primary female sexual characteristics	BP	110	11	3.73453928523511e-06	3.95616101742595e-05	GO:0046545
female sex differentiation	BP	125	12	2.09636827682456e-06	2.33340315337888e-05	GO:0046660
rhythmic process	BP	302	42	2.20499832046512e-25	1.04074052083309e-23	GO:0048511
animal organ development	BP	3099	229	1.25665268714275e-89	4.17846396480094e-87	GO:0048513
positive regulation of biological process	BP	6372	363	4.56894261731591e-130	9.25335487532398e-127	GO:0048518
negative regulation of biological process	BP	5853	320	1.90961400928868e-101	1.07802109058872e-98	GO:0048519
response to steroid hormone	BP	338	50	2.39215381805877e-31	1.4442385571467e-29	GO:0048545
