Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Retinoic Acid Receptor Signaling Pathway (GO:0048385)	13/13	4.83141751215016E-35	3.8216512521107766E-32	0	0	259324.0	2.049057360212181E7	CTBP2;DHRS3;KLF2;ASXL1;CYP26A1;CYP26B1;CYP26C1;SNW1;CNOT1;PRAME;CALR;TRIM16;EZH2
Regulation of SNARE Complex Assembly (GO:0035542)	12/12	2.4153456498783022E-32	9.552692045268685E-30	0	0	239376.0	1.742678358797133E7	VPS18;PRRT2;STXBP1;VPS33A;TGFBRAP1;VPS41;VPS8;VPS11;VPS39;SEPTIN8;SNCA;VPS16
Endosomal Vesicle Fusion (GO:0034058)	8/13	1.5114521226785874E-18	3.985195430129209E-16	0	0	725.2	29757.465782694908	VPS18;VPS33A;TGFBRAP1;VPS41;VPS8;VPS11;VPS39;VPS16
Negative Regulation of Retinoic Acid Receptor Signaling Pathway (GO:0048387)	6/6	2.2906350755981245E-16	4.529730861995291E-14	0	0	119688.0	4310267.975880144	CYP26A1;CYP26B1;CYP26C1;CNOT1;PRAME;EZH2
Regulation of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	5/5	9.746802262012371E-14	1.541944117850357E-11	0	0	99740.0	2988135.7988514816	CHRNB2;FXR1;PER3;PARP1;PTGDS
Regulation of Protein-Containing Complex Assembly (GO:0043254)	10/126	8.665438850633422E-13	1.1423936884751728E-10	0	0	40.70607553366174	1130.5812736496105	VPS18;VPS33A;STXBP1;TGFBRAP1;VPS8;VPS41;VPS11;VPS39;VPS16;SEPTIN8
Regulation of Circadian Sleep/Wake Cycle (GO:0042749)	4/5	2.0266646933749693E-10	2.2901311035137154E-8	0	0	1662.25	37100.52154771575	FXR1;PER3;NR1D1;PTGDS
Negative Regulation of Intracellular Signal Transduction (GO:1902532)	10/297	4.088350206656377E-9	4.0423562668314926E-7	0	0	16.310768209722912	315.0445157373094	ASXL1;CYP26A1;CYP26B1;CYP26C1;CNOT1;PRAME;NR1D1;CALR;DRD2;EZH2
Regulation of Dopamine Secretion (GO:0014059)	4/11	1.3223684847507812E-8	1.1622149682642977E-6	0	0	237.39285714285714	4306.604667252272	CHRNB2;KCNA2;DRD2;SNCA
Regulation of Catecholamine Secretion (GO:0050433)	4/15	5.4280416916976746E-8	4.293580978132861E-6	0	0	151.03787878787878	2526.72812861205	CHRNB2;KCNA2;DRD2;SNCA
Positive Regulation of Growth Hormone Secretion (GO:0060124)	3/5	1.6514690324614622E-7	1.0781746185797088E-5	0	0	610.5918367346939	9535.26494342797	GHRH;GHRL;DRD2
Vitamin Metabolic Process (GO:0006766)	3/5	1.6514690324614622E-7	1.0781746185797088E-5	0	0	610.5918367346939	9535.26494342797	CYP26A1;CYP26B1;CYP26C1
Negative Regulation of DNA-templated Transcription (GO:0045892)	14/1006	1.7868365099749354E-7	1.0781746185797088E-5	0	0	7.040110356536503	109.3867629899797	CSF2;PARP1;CTBP2;NR1D1;NR2C1;KLF2;PER3;SNW1;CNOT1;ZNF536;PRAME;CALR;SNCA;EZH2
