Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070301~cellular response to hydrogen peroxide	65	13.052208835341366	2.1351384915536414E-97	5580, 2395, 1894, 2146, 358, 3312, 558, 10013, 51526, 4602, 8807, 2081, 4780, 406895, 5111, 5598, 9314, 23135, 3297, 23411, 80310, 59338, 1545, 3569, 55139, 84557, 140885, 8737, 7128, 1906, 10068, 11035, 4217, 6714, 11315, 10105, 25, 5562, 8678, 7226, 3066, 4193, 23064, 2168, 8989, 10276, 6188, 7155, 5970, 9131, 388, 2534, 664, 983, 57332, 55512, 51157, 406901, 7703, 11179, 8877, 10365, 1728, 6778, 5603	498	69	19416	36.72778068796927	1.0054367156726097E-93	1.0054367156726097E-93	9.078608866086084E-94
GOTERM_BP_DIRECT	GO:0007566~embryo implantation	44	8.835341365461847	5.434117439634207E-67	7004, 6696, 6159, 5125, 8434, 2056, 3021, 3020, 2192, 5618, 26173, 3339, 55585, 796, 3553, 2288, 7216, 642623, 6647, 81671, 10155, 730249, 3976, 2529, 340784, 3690, 6781, 7356, 200558, 63978, 406991, 780, 3490, 682, 29974, 51673, 2013, 5467, 4313, 5743, 54206, 8614, 84172, 4318	498	45	19416	38.121552878179386	2.558925902323748E-63	1.279462951161874E-63	1.1552933676662323E-63
GOTERM_BP_DIRECT	GO:0001755~neural crest cell migration	44	8.835341365461847	8.13702817230578E-66	23603, 4254, 9723, 10371, 58495, 64218, 5080, 1910, 6608, 2668, 3357, 90, 6469, 6405, 54437, 54910, 8829, 10512, 5979, 4902, 9037, 3091, 6663, 3670, 1908, 2066, 8482, 65979, 223117, 57556, 10505, 56920, 10507, 10509, 55698, 30812, 6899, 1947, 80031, 57715, 7869, 10501, 10500, 2637	498	46	19416	37.29282346778418	3.8317265663387918E-62	1.2772421887795974E-62	1.1532881262881392E-62
GOTERM_BP_DIRECT	GO:0007616~long-term memory	39	7.83132530120482	3.002587130441981E-60	9486, 6198, 2890, 440275, 339977, 793, 10636, 894, 114, 1497, 4909, 6722, 55902, 6446, 4204, 139411, 814, 6869, 1813, 2648, 266743, 22849, 164312, 10919, 55450, 23237, 5590, 3949, 114781, 348, 107, 5621, 9867, 4776, 6616, 6517, 5923, 5649, 50944	498	39	19416	38.98795180722892	1.4139182797251288E-56	3.534795699312822E-57	3.1917501196598257E-57
GOTERM_BP_DIRECT	GO:0007095~mitotic G2 DNA damage checkpoint signaling	37	7.429718875502007	9.356464031750658E-56	9344, 25949, 8870, 8555, 90381, 63967, 472, 51360, 29980, 672, 1112, 51343, 1111, 84446, 51720, 4303, 51149, 51347, 56658, 29086, 84142, 4361, 11073, 4683, 9577, 8720, 79184, 57551, 29997, 641, 1026, 983, 80279, 900, 60561, 5347, 51514	498	38	19416	37.96195307545973	4.405958912551385E-52	8.811917825102769E-53	7.956737012600759E-53
GOTERM_BP_DIRECT	GO:0042178~xenobiotic catabolic process	22	4.417670682730924	5.919482095419436E-32	2180, 9446, 55270, 7172, 2944, 1558, 1557, 1544, 1577, 1555, 1576, 1565, 1564, 4842, 8856, 2948, 2947, 1429, 2946, 1548, 1559, 2329	498	23	19416	37.29282346778418	2.7874841187330128E-28	4.6458068645550213E-29	4.194939644953907E-29
GOTERM_BP_DIRECT	GO:0061003~positive regulation of dendritic spine morphogenesis	20	4.016064257028113	8.10575334893945E-29	65981, 4076, 11141, 5048, 100528062, 170506, 80823, 29904, 7074, 23316, 10458, 3706, 2048, 27067, 7779, 5789, 7804, 816, 1627, 5649	498	21	19416	37.13138267355135	3.816999252015587E-25	5.45285607430798E-26	4.9236661770986485E-26
GOTERM_BP_DIRECT	GO:0014032~neural crest cell development	19	3.815261044176707	3.044834538640727E-28	9221, 6662, 8854, 1000, 157506, 2296, 202018, 3084, 6591, 6949, 553115, 59349, 83989, 2303, 657, 30812, 84541, 340665, 10016	498	19	19416	38.987951807228924	1.4338125842459185E-24	1.5931250936065758E-25	1.4385151620333747E-25
GOTERM_BP_DIRECT	GO:0061001~regulation of dendritic spine morphogenesis	19	3.815261044176707	3.044834538640727E-28	9762, 10152, 158866, 8499, 8851, 26115, 80725, 26037, 2043, 1020, 23237, 1072, 115703, 120892, 85358, 547, 51225, 9912, 10611	498	19	19416	38.987951807228924	1.4338125842459185E-24	1.5931250936065758E-25	1.4385151620333747E-25
GOTERM_BP_DIRECT	GO:0060997~dendritic spine morphogenesis	18	3.614457831325301	1.1657309285605495E-26	5063, 7476, 22891, 23237, 5728, 1855, 23181, 1501, 1742, 2049, 2048, 2047, 85358, 998, 8976, 10013, 55619, 50944	498	18	19416	38.98795180722891	5.489426942591628E-23	5.489426942591627E-24	4.956687908239456E-24
