Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	23	2.75770224991968e-05	0.00147328754733119	GO:0002376
regulation of immune system process	BP	1639	17	3.83995500303636e-05	0.0019894538966894	GO:0002682
immune response-regulating signaling pathway	BP	574	3	0.313848157611362	1	GO:0002764
immune response	BP	1877	17	0.00020078539468778	0.00819248538984314	GO:0006955
cell communication	BP	6627	49	5.67949822555037e-09	6.83934386317898e-07	GO:0007154
signal transduction	BP	6102	39	2.44073968460457e-05	0.00132621460228343	GO:0007165
biological_process	BP	18158	96	9.3274786910576e-18	3.7781376414433e-15	GO:0008150
cellular process	BP	17684	94	4.4076652081865e-16	1.53428071106217e-13	GO:0009987
signaling	BP	6602	50	1.42114725745051e-09	1.89582746116661e-07	GO:0023052
regulation of response to stimulus	BP	4187	37	1.38305532475737e-08	1.51781805541599e-06	GO:0048583
regulation of immune response	BP	999	12	0.00015702492150402	0.00671439769916806	GO:0050776
regulation of biological process	BP	12193	69	1.94683263046647e-08	2.06531130197771e-06	GO:0050789
regulation of cellular process	BP	11808	64	1.15395291605027e-06	8.65581247938317e-05	GO:0050794
response to stimulus	BP	8941	87	6.18696281542672e-33	7.6573976445598e-30	GO:0050896
cellular response to stimulus	BP	7487	78	1.46644688525826e-28	1.36122932124098e-25	GO:0051716
biological regulation	BP	12588	74	1.60076520460025e-10	2.66133188269287e-08	GO:0065007
immune effector process	BP	673	8	0.00220240535711637	0.0548214374813839	GO:0002252
activation of immune response	BP	581	3	0.32041236884907	1	GO:0002253
acute inflammatory response	BP	108	2	0.0530594975595531	0.467215272989357	GO:0002526
negative regulation of immune system process	BP	564	6	0.013058581231726	0.188446495947415	GO:0002683
positive regulation of immune system process	BP	1123	10	0.00512296436557788	0.100570079435477	GO:0002684
regulation of immune effector process	BP	414	5	0.0140177187613992	0.192413270835768	GO:0002697
regulation of response to biotic stimulus	BP	576	6	0.0143528253605537	0.195479759863001	GO:0002831
developmental process involved in reproduction	BP	1041	5	0.285050698798577	1	GO:0003006
response to stress	BP	4076	57	5.14283684249874e-24	3.95076273024783e-21	GO:0006950
defense response	BP	1936	23	1.12797381936477e-07	1.01736845132827e-05	GO:0006952
inflammatory response	BP	921	17	1.44148217111761e-08	1.57418332392932e-06	GO:0006954
humoral immune response	BP	298	2	0.271789108996184	1	GO:0006959
multicellular organism development	BP	4845	39	6.19721438823925e-08	5.90006590346983e-06	GO:0007275
response to nutrient	BP	169	5	0.000294787562561065	0.0112948056106149	GO:0007584
response to external stimulus	BP	2474	21	7.98614369340866e-05	0.00371430708145633	GO:0009605
response to biotic stimulus	BP	1668	13	0.00448431577981338	0.0905726082889234	GO:0009607
response to endogenous stimulus	BP	1607	20	4.32099673033651e-07	3.37765491783988e-05	GO:0009719
response to hormone	BP	961	15	9.39212225920224e-07	7.09280337933924e-05	GO:0009725
embryo development	BP	1130	3	0.748541428869306	1	GO:0009790
reproductive process	BP	1610	9	0.100130412123	0.72029059908917	GO:0022414
cell differentiation	BP	4520	34	3.28641592493991e-06	0.000223898391363338	GO:0030154
regulation of defense response	BP	886	12	5.06347045135447e-05	0.00254063051160529	GO:0031347
negative regulation of defense response	BP	308	5	0.00419777601056867	0.0859540937164051	GO:0031348
response to nutrient levels	BP	522	11	1.78630230759958e-06	0.000127141350826528	GO:0031667
response to corticosteroid	BP	157	4	0.00210930632647672	0.0531353007561613	GO:0031960
regulation of response to external stimulus	BP	1165	12	0.000629017770049625	0.0210035432612524	GO:0032101
negative regulation of response to external stimulus	BP	448	5	0.0190483466428764	0.240702817078843	GO:0032102
multicellular organismal process	BP	7543	62	1.51640173592355e-14	4.33107665037243e-12	GO:0032501
developmental process	BP	6693	45	7.52588152920085e-07	5.76156662225211e-05	GO:0032502
response to lipid	BP	948	16	1.36831744918751e-07	1.21526058989811e-05	GO:0033993
response to chemical	BP	4019	55	1.76535777712156e-22	1.15672472231512e-19	GO:0042221
response to external biotic stimulus	BP	1627	13	0.00363748971794946	0.0760187579141446	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	14	0.00307939779235263	0.0714612750187831	GO:0044419
innate immune response	BP	1024	7	0.0619010080439877	0.523549983752452	GO:0045087
regulation of innate immune response	BP	482	5	0.0251466982209879	0.287144101982147	GO:0045088
rhythmic process	BP	302	4	0.0202460524523149	0.245984773354713	GO:0048511
animal organ development	BP	3099	20	0.00380425830566086	0.0789853369371041	GO:0048513
positive regulation of biological process	BP	6372	55	3.19624221457955e-13	7.65654667273152e-11	GO:0048518
negative regulation of biological process	BP	5853	42	3.88874315444235e-07	3.07210709200946e-05	GO:0048519
response to steroid hormone	BP	338	5	0.00618625711955899	0.116203571761834	GO:0048545
positive regulation of response to stimulus	BP	2386	30	1.77769856886174e-10	2.93359768274828e-08	GO:0048584
negative regulation of response to stimulus	BP	1829	13	0.00948017730470089	0.155636985994198	GO:0048585
multicellular organismal reproductive process	BP	1004	7	0.0568874754629203	0.488565604611773	GO:0048609
system development	BP	4175	38	3.41759681620129e-09	4.35069839264756e-07	GO:0048731
anatomical structure development	BP	6107	41	3.58354183063214e-06	0.000242656975388519	GO:0048856
stem cell differentiation	BP	256	2	0.218671830440513	1	GO:0048863
cellular developmental process	BP	4522	34	3.31962335110206e-06	0.000225471246999548	GO:0048869
negative regulation of immune response	BP	214	3	0.0373497663421613	0.372627897255114	GO:0050777
positive regulation of immune response	BP	783	9	0.00147331883422094	0.0402731251396001	GO:0050778
response to glucocorticoid	BP	136	3	0.0114923202325749	0.171254789392177	GO:0051384
response to other organism	BP	1624	13	0.0035810553238294	0.075192036290548	GO:0051707
regulation of response to stress	BP	1477	22	4.10341183427583e-09	5.13571959797736e-07	GO:0080134
response to alcohol	BP	276	13	1.20842249369307e-11	2.4698381939903e-09	GO:0097305
defense response to other organism	BP	1302	8	0.0780242281805421	0.607558110942368	GO:0098542
defense response to symbiont	BP	1127	7	0.0919305615323599	0.677034396634021	GO:0140546
response to ketone	BP	225	7	1.27272565168951e-05	0.000738379741362991	GO:1901654
response to oxygen-containing compound	BP	1742	26	1.07171117323394e-10	1.87045889570225e-08	GO:1901700
xenobiotic metabolic process	BP	125	24	7.63336014371627e-36	1.30812305601316e-32	GO:0006805
metabolic process	BP	11765	86	3.88253549808544e-22	2.42915181922599e-19	GO:0008152
response to xenobiotic stimulus	BP	452	30	1.74288107891672e-30	1.84894784171936e-27	GO:0009410
cellular response to chemical stimulus	BP	2248	50	1.69362010923383e-29	1.71502130879597e-26	GO:0070887
cellular response to xenobiotic stimulus	BP	197	26	2.64058982096233e-34	3.67669125196242e-31	GO:0071466
tissue homeostasis	BP	272	2	0.238841298036892	1	GO:0001894
system process	BP	2345	43	1.63008182713748e-21	9.55656919604442e-19	GO:0003008
lipid metabolic process	BP	1388	41	3.15925242295633e-28	2.81527301914485e-25	GO:0006629
digestion	BP	144	2	0.0874574927822318	0.655357559435775	GO:0007586
regulation of lipid metabolic process	BP	343	5	0.00657249241411922	0.119084417501322	GO:0019216
regulation of metabolic process	BP	6949	44	6.07152785157897e-06	0.000382094625642589	GO:0019222
digestive system process	BP	112	2	0.0565871433922592	0.486790242047459	GO:0022600
homeostatic process	BP	1762	19	7.18752970624275e-06	0.000448526013433266	GO:0042592
primary metabolic process	BP	10156	82	5.48283087310824e-23	3.70140927851834e-20	GO:0044238
multicellular organismal-level homeostasis	BP	833	9	0.00224284735672325	0.0557036269934008	GO:0048871
anatomical structure homeostasis	BP	272	2	0.238841298036892	1	GO:0060249
regulation of primary metabolic process	BP	5513	38	5.49402542103934e-06	0.000351712351522742	GO:0080090
neutral lipid metabolic process	BP	138	4	0.00131574487988981	0.036732035631811	GO:0006638
acylglycerol metabolic process	BP	137	4	0.00128093377132495	0.0359983196056408	GO:0006639
triglyceride metabolic process	BP	110	3	0.00644651080307044	0.119084417501322	GO:0006641
catabolic process	BP	2759	43	8.07733383412303e-19	3.59893686313186e-16	GO:0009056
positive regulation of metabolic process	BP	3664	33	7.77248612894963e-08	7.24499773977991e-06	GO:0009893
regulation of catabolic process	BP	1132	6	0.192004376720632	1	GO:0009894
positive regulation of catabolic process	BP	636	4	0.174170519750706	1	GO:0009896
lipid catabolic process	BP	350	10	3.53912349077122e-07	2.84637520315528e-05	GO:0016042
positive regulation of lipid metabolic process	BP	133	2	0.0763541738072665	0.595177846073577	GO:0045834
glycerolipid metabolic process	BP	393	7	0.000412762431598907	0.0147364125819879	GO:0046486
glycerolipid catabolic process	BP	69	3	0.00173117838613254	0.0454801793470056	GO:0046503
positive regulation of cellular process	BP	6023	51	1.14572667951571e-11	2.36337953391212e-09	GO:0048522
regulation of lipid catabolic process	BP	67	2	0.0222099696581149	0.264878856554327	GO:0050994
regulation of triglyceride metabolic process	BP	45	2	0.0104396410578924	0.158537371157278	GO:0090207
angiogenesis	BP	638	6	0.0224868569846102	0.267751042171644	GO:0001525
blood vessel development	BP	819	8	0.00711990033158049	0.123169240948136	GO:0001568
vasculature development	BP	854	8	0.00904521817986156	0.149598641878957	GO:0001944
anatomical structure morphogenesis	BP	2801	22	0.000162813254638469	0.00692204902067903	GO:0009653
