GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0014032	neural crest cell development	80	80	2.16	3.9e-30	6.00795e-26	CDH2, PDCD6, CITED2, SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, RDH10, JAG1, EDN1, EDN3, EDNRA, EDNRB, EFNB1, TAPT1, ERBB4, SEMA3D, FOXC1, FOXC2, FN1, FOLR1, CORO1C, GBX2, GDNF, SOX8, NRG1, HIF1A, HES1, HTR2B, CYP26C1, ISL1, LAMA5, KITLG, NRTN, PAX6, PITX2, SEMA5B, SEMA4C, PEF1, RADIL, MAPK1, MAPK3, SEMA3G, SEMA6A, SEMA4G, OVOL2, KLHL12, RET, SEMA3F, SEMA4A, SHH, BMP4, BMP7, BMPR1A, SNAI2, PHACTR4, SMO, SOX9, SOX10, TBX1, TCOF1, TWIST1, SEMA3B, SEMA6D, ARB2A, KBTBD8, SEMA7A, NRP2, NRP1, ALDH1A2, PHOX2B, ACVR1, SEMA5A, NOLC1, HAND2, SEMA3E, CDC42
GO:0060997	dendritic spine morphogenesis	60	60	1.62	5.8e-25	4.46745e-21	HDAC6, ARMCX5-GPRASP2, ABI2, CDK5, BAIAP2, PDLIM5, CFL1, IL1RAPL1, ARHGAP33, LRRK2, CTNND2, ZDHHC15, DBN1, DHX36, DLG4, DVL1, EFNA1, EPHA4, EPHB1, EPHB2, EPHB3, NLGN1, ZNF365, DIP2A, ARC, CUX2, NGEF, SIPA1L1, DNM3, TANC2, STAU2, EEF2K, ITPKA, CAPRIN1, PAFAH1B1, PAK3, SHANK1, ABI3, KIF1A, DOCK10, RELN, PTEN, PTPRD, CAPRIN2, TIAM1, UBE3A, WNT7A, SLC30A1, LRP8, SRCIN1, GPRASP3, CAMK2B, DTNBP1, PPFIA2, SHANK3, CDK5R1, WASL, LZTS3, ARHGAP44, CDC42
GO:0050919	negative chemotaxis	47	23	1.27	2.9e-24	1.48915e-20	SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, SEMA3D, NRG1, ITGB3, SEMA5B, SEMA4C, SEMA3G, SEMA6A, SEMA4G, SEMA3F, SEMA4A, SEMA3B, SEMA6D, SEMA7A, NRP2, SEMA5A, SEMA3E
GO:0071526	semaphorin-plexin signaling pathway	48	26	1.3	5.1e-24	1.9641375e-20	SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, EDN1, EDNRA, SEMA3D, GDNF, SEMA5B, SEMA4C, SEMA3G, SEMA6A, SEMA4G, SEMA3F, SEMA4A, SEMA3B, SEMA6D, SEMA7A, NRP2, NRP1, SEMA5A, HAND2, SEMA3E
GO:1990166	protein localization to site of double-strand break	16	15	0.43	3.7e-23	1.13997e-19	PARP3, TOPBP1, IFFO1, HTATSF1, H2AX, NBN, SIRT6, SLF2, RAD17, RPA1, TP53BP1, XRCC4, RHNO1, SLF1, MDC1
GO:1901526	positive regulation of mitophagy	24	16	0.65	8.7e-23	2.233725e-19	STUB1, CERS1, FBXO7, EIF2AK1, SLC25A4, SLC25A5, HTT, HIF1A, IRGM, PRKN, VPS13D, AMBRA1, NOD2, UBE2A, VDAC1, DELE1
GO:0035542	regulation of SNARE complex assembly	14	14	0.38	4.7e-18	9.4355625e-15	PRRT2, SEPTIN8, VPS39, VPS8, VPS41, STXBP6, VPS11, VPS18, VPS16, VPS33A, SNCA, STXBP1, ANKRD27, TGFBRAP1
GO:0042276	error-prone translesion synthesis	12	12	0.32	4.9e-18	9.4355625e-15	MAD2L2, POLD3, POLQ, POLI, PRIMPOL, POLK, REV1, POLD2, POLE2, POLH, REV3L, USP1
GO:0019370	leukotriene biosynthetic process	19	19	0.51	1.6e-16	2.73866666666667e-13	PRG3, GGT6, ALOX5, ALOX5AP, GGT1, GGTA1, GGT7, GGT5, LTA4H, LTC4S, MGST2, MGST3, PLA2G1B, PLA2G4A, PLA2G5, SYK, GGTLC3, GGTLC2, GGTLC1
GO:0009410	response to xenobiotic stimulus	450	75	12.15	1.2e-15	1.8486e-12	CDKN1A, SEMA3C, ADCY1, CERS1, EHMT2, ADORA2A, CRH, CRYZ, CYP1A1, CYP1A2, CYP1B1, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP26A1, NQO1, DRD2, EDN1, ABCA2, ENG, ACSL1, FMO4, ABL1, BLOC1S6, GRIA1, GSTM1, GSTM2, GSTM3, GSTM4, ACAA1, HDAC2, HSF1, HSPA8, HSPG2, HTR2B, IL1B, ITGB3, MDM2, MMP2, NFE2L2, NOS1, PAX6, PCNA, ERRFI1, UGT1A1, NUDT15, PRKAA1, PRNP, CYP26B1, PTGS2, BCL2, RELA, RET, RPS6KB1, SNCA, SOD1, SOX10, SRC, TH, TPMT, SCGB1A1, LRP8, CALR, GNPAT, CAT, BECN1, NR1I2, TRPA1, GSTO1, CDK1
