GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:1990166	protein localization to site of double-strand break	16	15	0.17	2.7e-29	4.16016e-25	PARP3, TOPBP1, IFFO1, HTATSF1, H2AX, NBN, SIRT6, SLF2, RAD17, RPA1, TP53BP1, XRCC4, RHNO1, SLF1, MDC1
GO:1901526	positive regulation of mitophagy	24	16	0.26	1.5e-28	1.1556e-24	STUB1, CERS1, FBXO7, EIF2AK1, SLC25A4, SLC25A5, HTT, HIF1A, IRGM, PRKN, VPS13D, AMBRA1, NOD2, UBE2A, VDAC1, DELE1
GO:0035542	regulation of SNARE complex assembly	14	14	0.15	1.4e-22	7.1904e-19	PRRT2, SEPTIN8, VPS39, VPS8, VPS41, STXBP6, VPS11, VPS18, VPS16, VPS33A, SNCA, STXBP1, ANKRD27, TGFBRAP1
GO:0007411	axon guidance	236	35	2.54	5.7e-20	2.19564e-16	SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, CNTN1, EDN1, EDN3, EDNRA, EFNB1, SEMA3D, GBX2, GDNF, ISL1, PAX6, SEMA5B, SEMA4C, SEMA3G, SEMA6A, SEMA4G, RET, SEMA3F, SEMA4A, SHH, BMP7, SMO, SEMA3B, SEMA6D, SEMA7A, NRP2, NRP1, SEMA5A, SEMA3E
GO:0048387	negative regulation of retinoic acid receptor signaling pathway	9	9	0.1	1.6e-18	4.93056e-15	CYP26A1, EZH2, CNOT1, PRAME, CYP26C1, CYP26B1, CALR, DHRS3, ZNF536
GO:0030335	positive regulation of cell migration	601	47	6.46	6.0e-17	1.5408e-13	PDCD6, SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, EDN1, EDN3, EZH2, SEMA3D, FGF2, FOXC2, FN1, HIF1A, KITLG, PAX6, SEMA5B, SEMA4C, MAPK1, MAPK3, SEMA3G, SEMA6A, SEMA4G, PTPRC, BCL2, RET, SEMA3F, SEMA4A, BMP4, BMP7, SNAI2, SMO, SOX9, TWIST1, WNT7A, SEMA3B, SEMA6D, CALR, SEMA7A, NRP2, NRP1, ACVR1, SEMA5A, SEMA3E, CDC42
GO:0032289	central nervous system myelin formation	8	8	0.09	1.5e-16	3.30171428571429e-13	CNTN1, ABCA2, ERCC2, TENM4, MAG, MOBP, MIOS, TLR2
GO:0032288	myelin assembly	24	24	0.26	7.9e-15	1.52154e-11	TPPP, CNTN1, ABCA2, PIKFYVE, ERCC2, EPB41L3, DICER1, TENM4, GPC1, ANK2, ITGB4, NCMAP, MAG, MOBP, PMP22, MIOS, PALS1, TLR2, UGT8, GNPAT, CNTNAP1, MTMR2, CD9, FIG4
GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	10	10	0.11	1.3e-14	2.2256e-11	SEMA3C, EDN1, EDNRA, FOLR1, PITX2, BMP4, BMP7, TWIST1, HAND2, CDC42
GO:0048864	stem cell development	86	86	0.92	6.1e-14	9.39888e-11	CDH2, PDCD6, CITED2, SEMA3A, SEMA6C, SEMA6B, SEMA4F, SEMA4D, SEMA4B, SEMA3C, MSI2, RDH10, JAG1, EDN1, EDN3, EDNRA, EDNRB, EFNB1, TAPT1, ERBB4, SEMA3D, FGF2, FOXC1, FOXC2, FN1, FOLR1, CORO1C, GBX2, GDNF, SETD2, SOX8, NRG1, HIF1A, HES1, HTR2B, CYP26C1, ISL1, LAMA5, KITLG, NRTN, PAX6, PITX2, SEMA5B, SEMA4C, PEF1, RADIL, MAPK1, MAPK3, SEMA3G, SEMA6A, SEMA4G, PTPRC, OVOL2, KLHL12, BCL2, RET, SEMA3F, SEMA4A, SHH, BMP4, BMP7, BMPR1A, SNAI2, PHACTR4, SMO, SOX9, SOX10, TBX1, TCOF1, TWIST1, WNT7A, SEMA3B, SEMA6D, ARB2A, KBTBD8, SEMA7A, NRP2, NRP1, ALDH1A2, PHOX2B, ACVR1, SEMA5A, NOLC1, HAND2, SEMA3E, CDC42
GO:0048484	enteric nervous system development	12	8	0.13	7.4e-14	1.03653818181818e-10	EDNRA, EDNRB, GDNF, SOX8, RET, PHACTR4, SOX10, PHOX2B
GO:0034058	endosomal vesicle fusion	15	8	0.16	9.3e-13	1.19412e-09	VPS39, VPS8, VPS41, VPS11, VPS18, VPS16, VPS33A, TGFBRAP1
GO:0030913	paranodal junction assembly	6	6	0.06	1.4e-12	1.5408e-09	EPB41L3, ANK2, UGT8, GNPAT, CNTNAP1, CD9
GO:1901166	neural crest cell migration involved in autonomic nervous system development	6	6	0.06	1.4e-12	1.5408e-09	SEMA3A, FN1, SEMA3F, NRP2, NRP1, PHOX2B
GO:0045944	positive regulation of transcription by RNA polymerase II	1259	42	13.53	2.4e-11	2.46528e-08	KLF2, CITED2, PARK7, CTBP2, ASXL1, JAG1, EDN1, ENG, FGF2, SNW1, FOXC1, FOXC2, GBX2, GDNF, SOX8, HIF1A, HES1, ISL1, NOS1, PRKN, PAX6, PITX2, MAPK3, OVOL2, NOD2, SHH, BMP4, BMP7, BMPR1A, SMO, SOX9, SOX10, TBX1, TLR2, TP53BP1, TWIST1, WNT7A, NR1I2, PHOX2B, ACVR1, HAND2, MDC1
GO:0001569	branching involved in blood vessel morphogenesis	36	10	0.39	3.5e-11	3.3705e-08	EDN1, EDNRA, ENG, FOXC2, GBX2, SIRT6, SHH, NRP1, ACVR1, SEMA3E
GO:0014029	neural crest formation	15	9	0.16	1.1e-10	9.96988235294118e-08	PDCD6, EDN1, EDNRA, PEF1, KLHL12, SOX9, TCOF1, KBTBD8, NOLC1
GO:0048386	positive regulation of retinoic acid receptor signaling pathway	5	5	0.05	1.4e-10	1.1984e-07	KLF2, TRIM16, CTBP2, ASXL1, NR2C1
GO:0042572	retinol metabolic process	52	10	0.56	1.7e-10	1.37861052631579e-07	CYP1A1, CYP1A2, CYP2C8, CYP2D6, RDH10, CYP3A4, CYP3A5, AKR1C3, ALDH1A2, DHRS3
GO:0003148	outflow tract septum morphogenesis	26	8	0.28	2.0e-10	1.5408e-07	SEMA3C, ENG, ISL1, BMP4, BMPR1A, TBX1, NRP2, NRP1
GO:0061626	pharyngeal arch artery morphogenesis	10	6	0.11	2.9e-10	2.03105454545455e-07	EDN1, EDNRA, FOLR1, HES1, BMP4, BMPR1A
GO:0070989	oxidative demethylation	10	6	0.11	2.9e-10	2.03105454545455e-07	CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5
GO:0000122	negative regulation of transcription by RNA polymerase II	936	34	10.06	3.8e-10	2.54566956521739e-07	KLF2, CITED2, SEMA4D, CTBP2, EDN1, EDNRB, ENG, EZH2, SNW1, FOXC1, CNOT1, FOXC2, DICER1, SOX8, HES1, ISL1, PRKN, PAX6, SIRT6, PITX2, PTPRC, OVOL2, SHH, BMP4, SNAI2, SMO, SNCA, SOX9, SOX10, NR2C1, TWIST1, CALR, NR1I2, ZNF536
GO:0019373	epoxygenase P450 pathway	18	7	0.19	4.3e-10	2.7606e-07	CYP1A1, CYP1A2, CYP2A6, CYP2B6, CYP2C19, CYP2C8, CYP2C9
GO:0042759	long-chain fatty acid biosynthetic process	27	9	0.29	6.3e-10	3.882816e-07	CYP1A1, CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, GSTM1, GSTM2, GSTM4
GO:0007422	peripheral nervous system development	87	19	0.93	6.8e-10	4.02978461538462e-07	CITED2, EDNRB, DICER1, GDNF, GPC1, GSTM3, SOX8, NRG1, ISL1, ITGB4, NCMAP, PMP22, MAPK1, MAPK3, PALS1, SOX10, UGT8, CNTNAP1, HAND2
GO:0016098	monoterpenoid metabolic process	6	5	0.06	8.1e-10	4.6224e-07	CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4
GO:0048538	thymus development	50	9	0.54	2.7e-09	1.48577142857143e-06	CITED2, ASXL1, HES1, MAPK1, MAPK3, BCL2, SHH, TBX1, HAND2
GO:0008210	estrogen metabolic process	40	8	0.43	8.8e-09	4.67553103448276e-06	CYP1A1, CYP1A2, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, UGT1A1
GO:0018916	nitrobenzene metabolic process	4	4	0.04	1.3e-08	6.46141935483871e-06	GSTM1, GSTM2, GSTM3, GSTM4
GO:0097491	sympathetic neuron projection guidance	4	4	0.04	1.3e-08	6.46141935483871e-06	SEMA3A, SEMA3F, NRP2, NRP1
