GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0035542	regulation of SNARE complex assembly	14	14	0.04	1.5e-29	2.31195e-25	PRRT2, SEPTIN8, VPS39, VPS8, VPS41, STXBP6, VPS11, VPS18, VPS16, VPS33A, SNCA, STXBP1, ANKRD27, TGFBRAP1
GO:0048387	negative regulation of retinoic acid receptor signaling pathway	9	9	0.03	5.7e-24	4.392705e-20	CYP26A1, EZH2, CNOT1, PRAME, CYP26C1, CYP26B1, CALR, DHRS3, ZNF536
GO:0034058	endosomal vesicle fusion	15	8	0.04	1.5e-17	7.7065e-14	VPS39, VPS8, VPS41, VPS11, VPS18, VPS16, VPS33A, TGFBRAP1
GO:0045187	regulation of circadian sleep/wake cycle, sleep	15	15	0.04	4.9e-14	1.8880925e-10	CHRNB2, ADORA1, ADORA2A, CRH, PARP1, CSF2, ADRB1, DRD2, GHRH, KCNA2, MTNR1B, GHRL, PTGDS, FXR1, PER3
GO:0048386	positive regulation of retinoic acid receptor signaling pathway	5	5	0.01	1.5e-13	4.6239e-10	KLF2, TRIM16, CTBP2, ASXL1, NR2C1
GO:0008333	endosome to lysosome transport	71	7	0.2	1.1e-09	2.82571666666667e-06	VPS39, VPS41, VPS11, VPS18, VPS16, VPS33A, TGFBRAP1
GO:0060079	excitatory postsynaptic potential	109	7	0.31	1.4e-08	3.0826e-05	CHRNB2, ADORA1, ADORA2A, DRD2, NLGN1, GHRL, SNCA
GO:0010841	positive regulation of circadian sleep/wake cycle, wakefulness	3	3	0.01	2.2e-08	4.238575e-05	CRH, NLGN1, NPS
GO:0034653	retinoic acid catabolic process	4	3	0.01	8.6e-08	0.000147279777777778	CYP26A1, CYP26C1, CYP26B1
GO:0001963	synaptic transmission, dopaminergic	30	6	0.09	1.0e-06	0.0015413	CHRNB2, ADORA2A, CRH, DRD2, SNCA, TH
GO:0060124	positive regulation of growth hormone secretion	9	3	0.03	1.8e-06	0.00252212727272727	DRD2, GHRH, GHRL
GO:0042745	circadian sleep/wake cycle	23	22	0.07	3.0e-06	0.00385325	CHRNB2, BTBD9, ADORA1, ADORA2A, CRH, PARP1, CSF2, ADRB1, DRD2, NLGN1, BLOC1S6, GHRH, HCRTR2, KCNA2, MTNR1B, GHRL, PTGDS, NPS, TH, FXR1, PER3, NR1D1
GO:0048385	regulation of retinoic acid receptor signaling pathway	16	16	0.05	4.2e-06	0.00497958461538461	KLF2, TRIM16, CTBP2, CYP26A1, ASXL1, EZH2, SNW1, CNOT1, PRAME, CYP26C1, CYP26B1, NR2C1, CALR, AKR1C3, DHRS3, ZNF536
GO:0035544	negative regulation of SNARE complex assembly	2	2	0.01	7.9e-06	0.00716251176470588	PRRT2, ANKRD27
GO:0042322	negative regulation of circadian sleep/wake cycle, REM sleep	2	2	0.01	7.9e-06	0.00716251176470588	CRH, GHRL
GO:0045188	regulation of circadian sleep/wake cycle, non-REM sleep	5	5	0.01	7.0e-06	0.00716251176470588	ADORA1, PARP1, KCNA2, MTNR1B, GHRL
GO:0046010	positive regulation of circadian sleep/wake cycle, non-REM sleep	2	2	0.01	7.9e-06	0.00716251176470588	MTNR1B, GHRL
GO:0000122	negative regulation of transcription by RNA polymerase II	936	12	2.66	9.1e-06	0.00739824	KLF2, PARP1, CTBP2, EZH2, SNW1, CNOT1, SNCA, NR2C1, CALR, PER3, NR1D1, ZNF536
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	15	3	0.04	9.6e-06	0.00739824	CNOT1, VPS11, VPS18
GO:0042311	vasodilation	51	5	0.14	9.5e-06	0.00739824	KLF2, ADORA1, ADORA2A, ADRB1, BLOC1S6
GO:0032230	positive regulation of synaptic transmission, GABAergic	16	3	0.05	1.2e-05	0.00880742857142857	ADORA2A, NLGN1, NPS
GO:0032355	response to estradiol	120	5	0.34	2.2e-05	0.015413	DRD2, EZH2, STXBP1, TH, CALR
GO:0006914	autophagy	604	9	1.71	2.3e-05	0.015413	DRD2, VPS39, VPS41, VPS11, VPS18, VPS16, VPS33A, SNCA, TGFBRAP1
GO:0051464	positive regulation of cortisol secretion	4	2	0.01	4.7e-05	0.0301837916666667	CRH, GHRL
GO:0006904	vesicle docking involved in exocytosis	39	4	0.11	5.1e-05	0.03144252	BLOC1S6, VPS11, VPS18, STXBP1
GO:0009410	response to xenobiotic stimulus	450	9	1.28	5.9e-05	0.0349756538461538	ADORA2A, CRH, CYP26A1, DRD2, BLOC1S6, CYP26B1, SNCA, TH, CALR
GO:0051461	positive regulation of corticotropin secretion	5	2	0.01	7.8e-05	0.0445264444444444	CRH, GHRL
GO:0040018	positive regulation of multicellular organism growth	31	3	0.09	9.1e-05	0.05009225	DRD2, GHRH, GHRL
GO:0051968	positive regulation of synaptic transmission, glutamatergic	36	4	0.1	9.5e-05	0.0504908620689655	ADORA2A, NLGN1, NPS, STXBP1
GO:0032229	negative regulation of synaptic transmission, GABAergic	6	2	0.02	0.00012	0.061652	ADORA1, STXBP1
GO:0001975	response to amphetamine	36	3	0.1	0.00014	0.067431875	ADORA2A, DRD2, TH
GO:0032526	response to retinoic acid	107	6	0.3	0.00014	0.067431875	TRIM16, CYP26A1, ASXL1, DRD2, SNW1, CYP26B1
GO:1990384	hyaloid vascular plexus regression	7	2	0.02	0.00016	0.074729696969697	DRD2, TH
GO:0006886	intracellular protein transport	679	11	1.93	0.00020	0.0906647058823529	SEPTIN8, VPS39, VPS8, VPS41, VPS11, VPS18, VPS16, VPS33A, STXBP1, CALR, TGFBRAP1
GO:0051967	negative regulation of synaptic transmission, glutamatergic	8	2	0.02	0.00022	0.0968817142857143	ADORA1, DRD2
GO:0046676	negative regulation of insulin secretion	42	3	0.12	0.00023	0.0984719444444445	DRD2, MTNR1B, GHRL
GO:0019371	cyclooxygenase pathway	9	2	0.03	0.00028	0.116638918918919	PTGDS, AKR1C3
GO:0035646	endosome to melanosome transport	10	2	0.03	0.00035	0.141961842105263	BLOC1S6, ANKRD27
GO:0008542	visual learning	51	3	0.14	0.00041	0.162034102564103	CHRNB2, DRD2, NPS
GO:0001973	G protein-coupled adenosine receptor signaling pathway	12	2	0.03	0.00051	0.19651575	ADORA1, ADORA2A
GO:0035810	positive regulation of urine volume	13	2	0.04	0.00060	0.21506511627907	ADORA2A, DRD2
GO:0060134	prepulse inhibition	13	2	0.04	0.00060	0.21506511627907	ADORA2A, DRD2
GO:2000310	regulation of NMDA receptor activity	13	2	0.04	0.00060	0.21506511627907	CRH, NLGN1
GO:0014059	regulation of dopamine secretion	25	4	0.07	0.00065	0.227692045454545	CHRNB2, DRD2, KCNA2, SNCA
GO:1900272	negative regulation of long-term synaptic potentiation	14	2	0.04	0.00070	0.239757777777778	ADORA1, FXR1
GO:0043401	steroid hormone receptor signaling pathway	138	7	0.39	0.00076	0.254649565217391	PARP1, CNOT1, VPS11, VPS18, NR2C1, CALR, NR1D1
GO:0033189	response to vitamin A	15	2	0.04	0.00081	0.254786326530612	CYP26A1, CYP26B1
GO:0051412	response to corticosterone	15	2	0.04	0.00081	0.254786326530612	CRH, TH
GO:0051481	negative regulation of cytosolic calcium ion concentration	15	2	0.04	0.00081	0.254786326530612	DRD2, MTNR1B
GO:0021984	adenohypophysis development	16	2	0.05	0.00092	0.272691538461538	DRD2, GHRH
GO:0032922	circadian regulation of gene expression	67	3	0.19	0.00091	0.272691538461538	DRD2, PER3, NR1D1
GO:0048169	regulation of long-term neuronal synaptic plasticity	25	3	0.07	0.00089	0.272691538461538	DRD2, SNCA, FXR1
GO:0001659	temperature homeostasis	185	5	0.52	0.00094	0.273362641509434	ADORA1, ADRB1, DRD2, GHRL, NR1D1
GO:0071300	cellular response to retinoic acid	69	3	0.2	0.00099	0.282571666666667	DRD2, SNW1, CYP26B1
GO:0043473	pigmentation	114	5	0.32	0.00117	0.327876545454545	DRD2, BLOC1S6, VPS33A, TH, ANKRD27
GO:1904044	response to aldosterone	19	2	0.05	0.00131	0.360554107142857	CRH, PARP1
GO:0043524	negative regulation of neuron apoptotic process	170	4	0.48	0.00137	0.370452807017544	ADORA2A, MTNR1B, SNCA, STXBP1
GO:0034244	negative regulation of transcription elongation by RNA polymerase II	20	2	0.06	0.00145	0.37879406779661	PARP1, EZH2
GO:0045472	response to ether	20	2	0.06	0.00145	0.37879406779661	CRH, TH
GO:1902774	late endosome to lysosome transport	21	2	0.06	0.00160	0.411013333333333	VPS39, VPS41
GO:0003085	negative regulation of systemic arterial blood pressure	25	3	0.07	0.00169	0.427015901639344	ADORA1, CRH, ADRB1
GO:1900273	positive regulation of long-term synaptic potentiation	22	2	0.06	0.00176	0.437530322580645	ADORA2A, DRD2
GO:0042749	regulation of circadian sleep/wake cycle	19	19	0.05	0.00186	0.455050476190476	CHRNB2, ADORA1, ADORA2A, CRH, PARP1, CSF2, ADRB1, DRD2, NLGN1, GHRH, HCRTR2, KCNA2, MTNR1B, GHRL, PTGDS, NPS, FXR1, PER3, NR1D1
GO:0007613	memory	129	5	0.37	0.00191	0.45998171875	CHRNB2, BTBD9, DRD2, BLOC1S6, TH
GO:0007626	locomotory behavior	213	7	0.6	0.00225	0.472333870967742	CHRNB2, BTBD9, ADORA2A, CRH, DRD2, SNCA, TH
GO:0010840	regulation of circadian sleep/wake cycle, wakefulness	4	4	0.01	0.00267	0.472333870967742	CRH, NLGN1, HCRTR2, NPS
GO:0021542	dentate gyrus development	26	2	0.07	0.00246	0.472333870967742	BLOC1S6, FXR1
GO:0035902	response to immobilization stress	28	2	0.08	0.00285	0.472333870967742	CRH, TH
GO:0042320	regulation of circadian sleep/wake cycle, REM sleep	4	4	0.01	0.00267	0.472333870967742	CHRNB2, CRH, GHRH, GHRL
GO:0042321	negative regulation of circadian sleep/wake cycle, sleep	4	4	0.01	0.00267	0.472333870967742	ADORA1, CRH, DRD2, GHRL
GO:0042748	circadian sleep/wake cycle, non-REM sleep	6	6	0.02	0.00256	0.472333870967742	BTBD9, ADORA1, PARP1, KCNA2, MTNR1B, GHRL
GO:0045938	positive regulation of circadian sleep/wake cycle, sleep	4	4	0.01	0.00267	0.472333870967742	ADORA2A, GHRH, MTNR1B, GHRL
GO:0046697	decidualization	25	2	0.07	0.00227	0.472333870967742	PARP1, GHRL
GO:0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	24	2	0.07	0.00209	0.472333870967742	ADRB1, DRD2
GO:0021854	hypothalamus development	29	2	0.08	0.00305	0.500102659574468	CRH, BLOC1S6
GO:0045471	response to ethanol	129	4	0.37	0.00313	0.507817789473684	CHRNB2, CRH, DRD2, TH
GO:0060078	regulation of postsynaptic membrane potential	151	9	0.43	0.00337	0.541060520833333	CHRNB2, ADORA1, ADORA2A, ADRB1, DRD2, NLGN1, KCNA2, GHRL, SNCA
