GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000002	0.0463439439892554	4.02213188798555	0.810058913375518	3	30	mitochondrial genome maintenance	0.0844686238110819	PARP1, PRIMPOL, SLC25A4
GO:0000012	0.0057046046492156	9.88137472283814	0.378027492908575	3	14	single strand break repair	0.0153097936739632	PARP1, APLF, SIRT1
GO:0000018	1.54523401237753e-09	6.11389128559103	3.83427885664412	20	142	regulation of DNA recombination	1.62568176250646e-08	PARP3, MAD2L2, POLQ, CHEK1, PARP1, APLF, ERCC2, ZNF365, ABL1, SETD2, MRE11, NBN, MRNIP, SIRT6, PLK1, PTPRC, BLM, STAT6, C1QBP, TP53BP1
GO:0000019	0.0139651273283147	14.468154158215	0.189013746454288	2	7	regulation of mitotic recombination	0.0325746570023888	ERCC2, MRE11
GO:0000038	0.243711865774139	2.18870244022374	0.945068732271438	2	35	very long-chain fatty acid metabolic process	0.286488649701954	ACSL1, ACAA1
GO:0000041	0.290880354525059	1.48991118483213	2.72719834169758	4	101	transition metal ion transport	0.33203959932083	FKBP4, FXN, TRPM2, SLC30A1
GO:0000045	0.000380500088561765	3.73085016835017	3.21323368972289	11	119	autophagosome assembly	0.00148845362866231	EHMT2, LRRK2, EFNB1, PIKFYVE, EPHB2, IRGM, ATM, AMBRA1, VMP1, MAP1LC3A, BECN1
GO:0000070	0.267007977364787	1.36123964392738	5.2113790093825	7	193	mitotic sister chromatid segregation	0.309111333977045	MAD2L2, SIRT1, ATM, PLK1, ABRAXAS1, BECN1, CDK1
GO:0000075	2.13828735897381e-28	11.1892405063291	5.48139864717434	45	203	cell cycle checkpoint signaling	7.72432654808061e-27	CDKN1A, MAD2L2, TOPBP1, CHEK1, FOXN3, SYF2, BABAM1, DONSON, NOP53, H2AX, MDM2, FOXO4, MRE11, EIF2AK4, NBN, ATM, MRNIP, FZR1, TAOK3, MBTPS2, DTL, UIMC1, PLK1, TRIM39, TAOK1, RAD17, RINT1, CLSPN, BLM, BRCA1, TP53BP1, BRCC3, CDK5RAP3, RHNO1, ABRAXAS1, BRSK1, CDC14B, MBTPS1, IER3, CCNG1, TICRR, TAOK2, BABAM2, MDC1, CDK1
GO:0000076	1.0559438705291e-05	15.6205083260298	0.540039275583679	6	20	DNA replication checkpoint signaling	6.11398989999969e-05	TOPBP1, DONSON, RAD17, CLSPN, TICRR, MDC1
GO:0000077	2.53548331420817e-36	19.9046818054387	3.5372572550731	44	131	DNA damage checkpoint signaling	1.37997905181303e-34	CDKN1A, TOPBP1, CHEK1, FOXN3, SYF2, BABAM1, DONSON, NOP53, H2AX, MDM2, FOXO4, MRE11, EIF2AK4, NBN, ATM, MRNIP, FZR1, TAOK3, MBTPS2, DTL, UIMC1, PLK1, TRIM39, TAOK1, RAD17, RINT1, CLSPN, BLM, BRCA1, TP53BP1, BRCC3, CDK5RAP3, RHNO1, ABRAXAS1, BRSK1, CDC14B, MBTPS1, IER3, CCNG1, TICRR, TAOK2, BABAM2, MDC1, CDK1
GO:0000079	0.00010611173517999	4.81850244167119	2.32216888500982	10	86	regulation of cyclin-dependent protein serine/threonine kinase activity	0.00048640999775937	CDKN1A, MIR103A1, PLK1, PTEN, BLM, TNFAIP3, CDK5RAP3, CDK5R1, CCND2, CCNG1
GO:0000082	7.19930641630432e-05	2.9642236641492	6.91250272747109	19	256	G1/S transition of mitotic cell cycle	0.000345877846215887	CDKN1A, CYP1A1, EZH2, FBXO7, HSPA8, MIR15B, MIR16-1, MDM2, ATM, AMBRA1, PTEN, BCL2, RPS6KB1, CCND2, ACVR1, CCNG1, ACVR1B, KLF4, CDK1
