Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2676	16	1.45812929954686e-05	0.000792297671592806	GO:0002376
regulation of immune system process	BP	1639	11	0.000157446718224543	0.00637745088837522	GO:0002682
immune response-regulating signaling pathway	BP	574	2	0.284173168816597	1	GO:0002764
immune response	BP	1877	7	0.05453970264496	0.59659402142146	GO:0006955
cell communication	BP	6627	42	3.45531597659038e-18	1.79017510061582e-15	GO:0007154
signal transduction	BP	6102	36	2.25963644449262e-13	5.85350938493099e-11	GO:0007165
biological_process	BP	18158	52	8.80857318273442e-11	1.44292201003645e-08	GO:0008150
cellular process	BP	17684	52	2.22179288250653e-11	4.15942032239331e-09	GO:0009987
signaling	BP	6602	42	2.97970761987191e-18	1.61907137452455e-15	GO:0023052
regulation of response to stimulus	BP	4187	32	1.42528906306379e-14	4.53608424956216e-12	GO:0048583
regulation of immune response	BP	999	3	0.277555917162498	1	GO:0050776
regulation of biological process	BP	12193	52	8.62118370663577e-20	5.82008274595248e-17	GO:0050789
regulation of cellular process	BP	11808	51	1.1996733937333e-18	7.03324312252382e-16	GO:0050794
response to stimulus	BP	8941	43	3.67750563282644e-14	1.06399312322217e-11	GO:0050896
cellular response to stimulus	BP	7487	40	4.1668872738223e-14	1.19012711136171e-11	GO:0051716
biological regulation	BP	12588	52	4.53997430624268e-19	2.97102432894416e-16	GO:0065007
immune effector process	BP	673	2	0.351201339419587	1	GO:0002252
activation of immune response	BP	581	2	0.28894763411022	1	GO:0002253
negative regulation of immune system process	BP	564	5	0.00369619962535636	0.0858643746128143	GO:0002683
positive regulation of immune system process	BP	1123	6	0.0164924933338013	0.259844247871588	GO:0002684
regulation of response to biotic stimulus	BP	576	3	0.0890747796988028	0.857802567207984	GO:0002831
negative regulation of response to biotic stimulus	BP	135	2	0.0255921269073991	0.345959589346504	GO:0002832
developmental process involved in reproduction	BP	1041	7	0.00280357787385911	0.0707339840020762	GO:0003006
response to stress	BP	4076	22	9.48615831092986e-07	7.11557693100658e-05	GO:0006950
defense response	BP	1936	12	0.000158932047945494	0.00640004403769534	GO:0006952
inflammatory response	BP	921	9	4.09049974665721e-05	0.00193068121517011	GO:0006954
multicellular organism development	BP	4845	31	6.834425642343e-12	1.42296574261792e-09	GO:0007275
response to nutrient	BP	169	4	0.000264720565316682	0.00986194774937297	GO:0007584
response to external stimulus	BP	2474	15	2.49307172825976e-05	0.00127679659683152	GO:0009605
response to biotic stimulus	BP	1668	8	0.0105658735136255	0.192466500520482	GO:0009607
response to endogenous stimulus	BP	1607	27	2.19329669492552e-20	1.57620205708229e-17	GO:0009719
response to hormone	BP	961	25	2.69597117950921e-23	2.61134112770027e-20	GO:0009725
embryo development	BP	1130	5	0.0556295943729773	0.605134816133392	GO:0009790
reproductive process	BP	1610	10	0.000604645015646978	0.019985581095821	GO:0022414
cell differentiation	BP	4520	29	5.49133209608272e-11	9.55749190910397e-09	GO:0030154
regulation of defense response	BP	886	9	3.02526593431517e-05	0.00151453650527356	GO:0031347
negative regulation of defense response	BP	308	7	1.47619906562326e-06	0.000104734913324698	GO:0031348
response to nutrient levels	BP	522	9	4.16115845353736e-07	3.45079589920279e-05	GO:0031667
response to corticosteroid	BP	157	5	1.03314595238547e-05	0.000582694317145406	GO:0031960
regulation of response to external stimulus	BP	1165	9	0.000243555473064289	0.00927509201525852	GO:0032101
negative regulation of response to external stimulus	BP	448	7	1.70907862480788e-05	0.000910881665154781	GO:0032102
multicellular organismal process	BP	7543	39	4.69892944897664e-13	1.09044531525314e-10	GO:0032501
developmental process	BP	6693	37	5.5205975517689e-13	1.2423017399829e-10	GO:0032502
response to lipid	BP	948	21	6.00753438182322e-18	2.97413002129462e-15	GO:0033993
response to chemical	BP	4019	35	3.28453562139373e-18	1.74221153746213e-15	GO:0042221
response to external biotic stimulus	BP	1627	8	0.00916718340372383	0.169342049641923	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1790	10	0.0013620648000841	0.0399790245273698	GO:0044419
