Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Long-Term Memory (GO:0007616)	21/21	4.9960759605198515E-50	5.750483430558349E-47	0	0	417900.0	4.74402595144887E7	PRNP;RGS14;LRRN4;RASGRF1;EIF2AK4;SLC2A4;PJA2;NFATC4;NPAS4;NTF4;ARC;KAT2A;CALB1;RELN;CAMK2N1;CAMK4;APOE;CPEB3;SGK1;LDLR;SHANK1
Leukotriene Biosynthetic Process (GO:0019370)	17/17	1.809709762863362E-40	1.041487968527865E-37	0	0	338300.0	3.095791325807246E7	GGT5;GGT7;GGT6;PLA2G1B;MGST3;MGST2;PLA2G4A;PLA2G5;LTC4S;GGTA1;GGTLC2;GGTLC1;ALOX5;ALOX5AP;LTA4H;GGT1;GGTLC3
Memory (GO:0007613)	23/57	3.619700990301219E-39	1.388758613278901E-36	0	0	174.52941176470588	15448.370912552675	PRNP;ACSS2;RGS14;RASGRF1;LRRN4;SLC2A4;EIF2AK4;ADCY8;PJA2;NFATC4;NPAS4;NTF4;ARC;KAT2A;CALB1;RELN;CAMK2N1;CAMK4;APOE;SGK1;CPEB3;LDLR;SHANK1
Xenobiotic Catabolic Process (GO:0042178)	18/23	2.481535756642442E-38	7.140619139738627E-36	0	0	873.439024390244	75630.52254734046	GSTM4;GSTM3;GSTM2;GSTM1;TPMT;GSTO1;NR1I2;CYP2C19;CYP3A4;CYP3A5;CRYZ;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2D7;CYP1A2;NUDT15
Protein Localization to Site of Double-Strand Break (GO:1990166)	13/14	7.549619655560459E-30	1.7379224447100176E-27	0	0	2973.4137931034484	199385.4006457591	H2AX;MDC1;PARP3;SLF1;SLF2;XRCC4;SIRT6;HTATSF1;IFFO1;RAD17;TOPBP1;TP53BP1;RHNO1
Icosanoid Biosynthetic Process (GO:0046456)	11/25	1.1641078916199254E-19	2.0230646855684588E-17	0	0	175.5585874799358	7653.856131712588	CYP2C9;CYP2C8;PLA2G1B;MGST3;ALOX5;ALOX5AP;MGST2;PLA2G4A;PLA2G5;LTA4H;LTC4S
Protein Localization to Chromosome (GO:0034502)	13/49	1.2303607992162652E-19	2.0230646855684588E-17	0	0	82.44955300127714	3590.0027142966087	H2AX;MDC1;PARP3;SLF1;SLF2;XRCC4;SIRT6;HTATSF1;IFFO1;RAD17;TOPBP1;TP53BP1;RHNO1
Leukotriene Metabolic Process (GO:0006691)	10/20	1.089371836518163E-18	1.5673337297905072E-16	0	0	221.0	9140.765627360866	PLA2G1B;MGST3;ALOX5;ALOX5AP;MGST2;PLA2G4A;PLA2G5;LTA4H;LTC4S;GGT1
Leukotriene D4 Metabolic Process (GO:1901748)	8/9	2.628631601745766E-18	3.3617277484548625E-16	0	0	1730.3478260869565	70044.59812500913	GGT5;GGTLC2;GGTLC1;GGT7;GGT6;GGT1;GGTA1;GGTLC3
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	14/85	6.736787360006663E-18	7.754042251367669E-16	0	0	45.46446118571897	1797.6169901035291	GSTM4;GSTM2;ACSL1;PLA2G4A;CYP2C19;CYP3A4;LTC4S;CYP2C9;CYP2C8;CYP2D7;ALOX5;CYP1A2;CYP1A1;ACAA1
Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	10/25	1.8884280988059418E-17	1.9759824924778537E-15	0	0	147.2962962962963	5672.115500937475	GSTM4;CYP2C9;GSTM2;CYP2C8;GSTM1;ALOX5;CYP1A2;CYP1A1;CYP3A4;LTC4S
Lipid Metabolic Process (GO:0006629)	19/259	3.6342375225841965E-17	3.4858394904120086E-15	0	0	19.21502057613169	727.3566893241651	GGT5;ACSS2;UGT1A1;ACSL1;PLA2G1B;MGST3;NR1I2;MGST2;PLA2G5;CYP2C19;CYP3A4;CYP3A5;CYP2C9;CYP2C8;CYP2A6;CYP2B6;CYP1A1;GGT1;LDLR
Leukotriene D4 Biosynthetic Process (GO:1901750)	7/7	6.305414346396022E-17	5.582716855924478E-15	0	0	139300.0	5196243.528986406	GGT5;GGTLC2;GGTLC1;GGT7;GGT6;GGTA1;GGTLC3
Glutathione Metabolic Process (GO:0006749)	10/38	2.589680192834011E-15	2.129087072822819E-13	0	0	78.85714285714286	2648.593940925773	GGT5;GSTM4;GSTM3;GGT7;GSTM2;GSTM1;GSTO1;MGST2;CTNS;GGT1
Fatty Acid Derivative Biosynthetic Process (GO:1901570)	9/26	3.933573485886033E-15	3.018362054836549E-13	0	0	115.67356173238527	3836.802754037016	GGTLC2;GGT5;GGTLC1;GGT7;GGT6;ALOX5;GGT1;GGTA1;GGTLC3
Steroid Metabolic Process (GO:0008202)	13/106	5.9190491885520615E-15	4.258016010014639E-13	0	0	31.82437275985663	1042.5855643432212	UGT1A1;NR1I2;CYP2C19;CYP3A4;CYP3A5;CYP2C9;CYP2C8;CYP2A6;CYP2B6;CHST10;CYP1A2;CYP1A1;ACAA1
Arachidonate Metabolic Process (GO:0019369)	10/49	4.303513203522184E-14	2.91373158662002E-12	0	0	56.58404558404558	1741.4735674976093	CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2D7;ALOX5;CYP1A2;CYP1A1;PLA2G4A;CYP2C19
Sulfur Compound Biosynthetic Process (GO:0044272)	10/56	1.8119491147772815E-13	1.1586407950603615E-11	0	0	47.95652173913044	1407.0061305089403	GGTLC2;GGT5;GGTLC1;GGT7;GGT6;GSTM1;MGST2;GGT1;GGTA1;GGTLC3
Amide Biosynthetic Process (GO:0043604)	10/70	1.906133417370029E-12	1.1547155596804756E-10	0	0	36.74074074074074	991.4835837040724	GGTLC2;GGT5;GGTLC1;GGT7;GGT6;MGST2;GGT1;LDLR;GGTA1;GGTLC3
Estrogen Metabolic Process (GO:0008210)	8/31	2.106313405693771E-12	1.2121833649767652E-10	0	0	75.14933837429112	2020.4712660868786	CYP2C9;CYP2C8;UGT1A1;CHST10;CYP1A2;CYP1A1;CYP3A4;CYP3A5
Fatty Acid Biosynthetic Process (GO:0006633)	9/70	6.835870152117425E-11	3.746707878612932E-9	0	0	32.16555575571969	752.8751118627418	GSTM4;CYP2C9;CYP2C8;PLA2G1B;ALOX5;CYP1A2;CYP1A1;CYP3A4;LTC4S
Epoxygenase P450 Pathway (GO:0019373)	6/16	1.0319401695537806E-10	5.3989233416200065E-9	0	0	126.95744680851064	2919.311614912519	CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP1A2;CYP2C19
Icosanoid Metabolic Process (GO:0006690)	8/55	2.9467658264585426E-10	1.4746641157625141E-8	0	0	36.73080481036078	806.0627527190821	CYP2C9;CYP2C8;CYP2D7;MGST3;ALOX5;PLA2G4A;GGT1;LTC4S
Oxidative Demethylation (GO:0070989)	5/9	3.5022941405241727E-10	1.6796418982263846E-8	0	0	261.7894736842105	5699.793699308146	CYP2C9;CYP2C8;CYP1A2;CYP3A4;CYP3A5
Monocarboxylic Acid Metabolic Process (GO:0032787)	10/127	7.952928437188362E-10	3.661528252481522E-8	0	0	18.78727445394112	393.6368117947637	GGT5;CYP2C9;CYP2C8;UGT1A1;CYP1A2;CYP1A1;GGT1;ACAA1;CYP3A4;CYP3A5
Regulation of Long-Term Synaptic Potentiation (GO:1900271)	6/29	5.808911217086465E-9	2.571560311871739E-7	0	0	55.16281221091582	1046.1005475342995	ARC;RELN;ADCY1;APOE;EIF2AK4;ADCY8
Double-Strand Break Repair (GO:0006302)	10/176	1.8837277941618527E-8	8.030261818815897E-7	0	0	13.208835341365463	234.95120840632273	H2AX;PARP3;SLF1;SLF2;XRCC4;SIRT6;TP53BP1;TOPBP1;HTATSF1;IFFO1
Terpenoid Metabolic Process (GO:0006721)	4/8	4.0550612053623716E-8	1.6375748439597545E-6	0	0	207.25	3527.5431760191746	CYP2C9;CYP1A2;CYP2C19;CYP3A4
Associative Learning (GO:0008306)	5/20	4.125948781479833E-8	1.6375748439597545E-6	0	0	69.7719298245614	1186.3589670673543	RELN;RGS14;ADCY8;DRD2;SHANK1
Organic Acid Metabolic Process (GO:0006082)	4/9	7.271156528405779E-8	2.7897003880650173E-6	0	0	165.79166666666666	2725.0787274146833	CYP2C9;CYP2C8;CYP2C19;FMO4
Learning (GO:0007612)	6/44	8.125995834190388E-8	3.017103614565528E-6	0	0	33.36282194848824	544.6685016709359	NPAS4;RELN;RGS14;EIF2AK4;DRD2;SHANK1
DNA Integrity Checkpoint Signaling (GO:0031570)	6/47	1.2211998420511946E-7	4.392503181877891E-6	0	0	30.916969382459783	492.14441264369196	H2AX;MDC1;RAD17;TOPBP1;TP53BP1;RHNO1
Omega-Hydroxylase P450 Pathway (GO:0097267)	4/11	1.8897870569801037E-7	6.591348189648785E-6	0	0	118.41071428571429	1833.191043808636	CYP2C9;CYP2C8;CYP1A2;CYP2C19
Positive Regulation of Synaptic Transmission (GO:0050806)	7/84	2.0879273779399702E-7	7.068248270614428E-6	0	0	19.377321603128056	298.06048361539024	ARC;RELN;RGS14;EIF2AK4;ADCY8;PRKCZ;NFATC4
Unsaturated Fatty Acid Metabolic Process (GO:0033559)	6/53	2.548631234370334E-7	8.381355859315014E-6	0	0	26.961973743775463	409.35122345586257	GSTM2;CYP2D7;MGST3;ALOX5;PLA2G4A;ACAA1
Fatty Acid Metabolic Process (GO:0006631)	8/130	2.891488928430936E-7	9.244732657288908E-6	0	0	14.096935138987883	212.2480240064413	GGT5;ACSL1;PLA2G1B;ALOX5;CYP1A1;GGT1;ACAA1;CYP2C19
Regulation of Protein Secretion (GO:0050708)	7/99	6.456173156350435E-7	2.0083933251241488E-5	0	0	16.205703599812995	230.98084791361276	SNAP25;PLA2G1B;ALOX5;SIRT6;APOE;DRD2;ADCY8
Retinoid Metabolic Process (GO:0001523)	6/64	7.962603863129701E-7	2.4118308017006017E-5	0	0	21.836390315480557	306.6558445351368	CYP2C8;UGT1A1;CYP1A2;CYP1A1;CYP3A4;CYP3A5
Glutathione Catabolic Process (GO:0006751)	3/5	1.2040164998000132E-6	3.464557478174538E-5	0	0	307.70103092783506	4193.9181292988405	GGT5;GGT7;GGT1
Monoterpenoid Metabolic Process (GO:0016098)	3/5	1.2040164998000132E-6	3.464557478174538E-5	0	0	307.70103092783506	4193.9181292988405	CYP2C9;CYP2C19;CYP3A4
DNA Damage Checkpoint Signaling (GO:0000077)	5/38	1.2439270235903317E-6	3.49209757110359E-5	0	0	31.68580542264753	430.83941309441906	H2AX;RAD17;TOPBP1;TP53BP1;RHNO1
Modulation of Chemical Synaptic Transmission (GO:0050804)	7/117	1.9989465078402913E-6	5.478065310771846E-5	0	0	13.541544477028348	177.70420215360522	NPAS4;GRIA1;NTF4;ARC;RELN;DRD2;BTBD9
Lipid Hydroxylation (GO:0002933)	3/6	2.3992967780572162E-6	6.422303701264781E-5	0	0	205.1237113402062	2654.3695150710146	CYP2C8;CYP3A4;CYP3A5
Regulation of Trans-Synaptic Signaling (GO:0099177)	5/47	3.6685186157719727E-6	9.383255392785646E-5	0	0	24.884711779448622	311.45015021757234	GRIA1;NTF4;ARC;RELN;BTBD9
Double-Strand Break Repair via Nonhomologous End Joining (GO:0006303)	5/47	3.6685186157719727E-6	9.383255392785646E-5	0	0	24.884711779448622	311.45015021757234	XRCC4;TOPBP1;TP53BP1;IFFO1;RHNO1
Lipid Modification (GO:0030258)	5/50	5.007413746042903E-6	1.2529420047163872E-4	0	0	23.22222222222222	283.4177242058149	CYP2C8;ALOX5;CYP1A1;CYP3A4;CYP3A5
Amino Acid Metabolic Process (GO:0006520)	4/25	6.865153777759796E-6	1.6462066662919844E-4	0	0	39.442460317460316	468.9334664055757	GGT5;PRNP;CTNS;GGT1
Retinoic Acid Metabolic Process (GO:0042573)	4/25	6.865153777759796E-6	1.6462066662919844E-4	0	0	39.442460317460316	468.9334664055757	CYP2C8;UGT1A1;CYP3A4;CYP3A5
Adult Locomotory Behavior (GO:0008344)	3/12	2.5822694403897266E-5	6.065698216099133E-4	0	0	68.35395189003437	722.1087027443646	NTF4;BTBD9;DRD2
Carboxylic Acid Metabolic Process (GO:0019752)	4/36	3.0647360561549374E-5	7.055022401268666E-4	0	0	25.869791666666668	268.86381386041506	CYP2C9;GSTO1;CYP1A2;PLA2G4A
Positive Regulation of Long-Term Synaptic Potentiation (GO:1900273)	3/14	4.241532244475955E-5	9.572556104689852E-4	0	0	55.9203373945642	563.0060062434084	RELN;EIF2AK4;ADCY8
Signal Transduction in Response to DNA Damage (GO:0042770)	5/80	5.046817087847377E-5	0.0011170935515600637	0	0	13.912280701754385	137.65043835300511	H2AX;RAD17;TOPBP1;TP53BP1;RHNO1
Lipid Catabolic Process (GO:0016042)	4/42	5.69121176311189E-5	0.0012359593847814689	0	0	21.778508771929825	212.86319430179833	PLA2G1B;CYP1A2;MGST2;CYP3A4
Modified Amino Acid Catabolic Process (GO:0042219)	3/17	7.837829876798801E-5	0.0016706189237398925	0	0	43.930780559646536	415.3199946350019	GGT5;GGT7;GGT1
Cellular Response to Peptide Hormone Stimulus (GO:0071375)	5/94	1.0904721332769338E-4	0.002200407083739065	0	0	11.715552927261975	106.88953725388168	RPS6KB1;PLA2G1B;SLC2A4;ADCY8;PRKCZ
Positive Regulation of Double-Strand Break Repair (GO:2000781)	5/94	1.0904721332769338E-4	0.002200407083739065	0	0	11.715552927261975	106.88953725388168	PARP3;SLF1;SLF2;SIRT6;LDLR
DNA Replication Checkpoint Signaling (GO:0000076)	3/19	1.108806349755567E-4	0.002200407083739065	0	0	38.43556701030928	350.03487252570744	MDC1;RAD17;TOPBP1
Regulation of Behavior (GO:0050795)	3/19	1.108806349755567E-4	0.002200407083739065	0	0	38.43556701030928	350.03487252570744	RELN;EIF2AK4;APOE
Neuron Projection Morphogenesis (GO:0048812)	6/157	1.3801370416432538E-4	0.0026924368388667546	0	0	8.34817528533183	74.19989737636622	NTF4;ARC;EIF2AK4;DRD2;SGK1;SHANK1
Recombinational Repair (GO:0000725)	5/101	1.5307759902642934E-4	0.0029365386079903363	0	0	10.857456140350877	95.37803551823693	SLF1;SLF2;TOPBP1;HTATSF1;RHNO1
Retinol Metabolic Process (GO:0042572)	3/23	1.9973029138903675E-4	0.0036490407204568458	0	0	30.742268041237114	261.8793213001886	CYP1A2;CYP1A1;CYP3A4
Positive Regulation of Dendritic Spine Development (GO:0060999)	3/23	1.9973029138903675E-4	0.0036490407204568458	0	0	30.742268041237114	261.8793213001886	RELN;CPEB3;SHANK1
Positive Regulation of Excitatory Postsynaptic Potential (GO:2000463)	3/23	1.9973029138903675E-4	0.0036490407204568458	0	0	30.742268041237114	261.8793213001886	RELN;PRKCZ;SHANK1
Phosphatidylglycerol Metabolic Process (GO:0046471)	3/24	2.2743640782365407E-4	0.0040273739293080904	0	0	29.276877761413843	245.59318448881905	PLA2G1B;PLA2G4A;PLA2G5
Long-Chain Fatty Acid Transport (GO:0015909)	3/24	2.2743640782365407E-4	0.0040273739293080904	0	0	29.276877761413843	245.59318448881905	RPS6KB1;ACSL1;APOE
Positive Regulation of Developmental Process (GO:0051094)	7/245	2.311316696911608E-4	0.004030796239614031	0	0	6.218216318785578	52.06215921744629	RELN;SRF;SIRT6;APOE;TP53BP1;CPEB3;SHANK1
Positive Regulation of Cellular Component Organization (GO:0051130)	5/111	2.3812880675793866E-4	0.004088338171294021	0	0	9.828202581926515	81.99373414021885	SLF1;RELN;SLF2;SYK;APOE
Toxin Metabolic Process (GO:0009404)	2/5	2.450871709985121E-4	0.004088338171294021	0	0	135.35374149659864	1125.3170126751409	CYP1A2;FMO4
