Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neural Crest Cell Development (GO:0014032)	43/43	4.825218194489046E-89	1.0205336481344332E-85	0	0	851486.0	1.7315497206182802E8	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;PEF1;SEMA3D;PDCD6;SEMA3A;SEMA3B;HTR2B;SEMA3G;NOLC1;KLHL12;SEMA3E;SEMA3F;CORO1C;SHH;CDH2;TCOF1;ERBB4;NRTN;SOX8;TAPT1;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;NRG1;SEMA4F;SEMA4G;SOX10;CYP26C1;GDNF;SNAI2;RADIL;KBTBD8
Neural Crest Cell Migration (GO:0001755)	34/35	1.238430651005991E-68	1.3096404134388355E-65	0	0	4105.085365853659	641879.1172105417	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;SEMA3D;SEMA3A;SEMA3B;HTR2B;SEMA3G;SEMA3E;SEMA3F;SHH;ERBB4;NRTN;SOX8;PITX2;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;FN1;SEMA4F;SEMA4G;SOX10;PHOX2B;GDNF;RADIL
Mesenchymal Cell Migration (GO:0090497)	31/31	6.218060061969778E-64	4.3837323436886936E-61	0	0	613862.0	8.93402403777826E7	SEMA5A;NRP1;SEMA5B;SEMA7A;SEMA3C;SEMA3D;SEMA3A;SEMA3B;HTR2B;SEMA3G;SEMA3E;SEMA3F;SHH;ERBB4;NRTN;SOX8;PHACTR4;SEMA6B;TBX1;SEMA4A;SEMA6C;SEMA6A;SEMA4D;SEMA4B;SEMA6D;SEMA4C;SEMA4F;SEMA4G;SOX10;GDNF;RADIL
Semaphorin-Plexin Signaling Pathway (GO:0071526)	22/39	1.0638948930787088E-34	5.625344247153672E-32	0	0	145.47794117647058	11380.151106975465	SEMA5A;SEMA6B;NRP1;SEMA5B;SEMA4A;SEMA6C;NRP2;SEMA7A;SEMA6A;SEMA3C;SEMA4D;SEMA3D;SEMA3A;SEMA4B;SEMA6D;SEMA3B;SEMA4C;SEMA3G;SEMA3E;SEMA4F;SEMA3F;SEMA4G
Xenobiotic Catabolic Process (GO:0042178)	18/23	1.2191557329852299E-32	5.157028750527523E-30	0	0	395.94	29095.478420128373	GSTM4;GSTM3;GSTM2;GSTM1;TPMT;GSTO1;NR1I2;CYP2C19;CYP3A4;CYP3A5;CRYZ;CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP2D7;CYP1A2;NUDT15
Stem Cell Development (GO:0048864)	15/15	5.007900920326922E-31	1.7652850744152401E-28	0	0	297030.0	2.0723522020578455E7	PEF1;PDCD6;NOLC1;WNT7A;KLHL12;NRG1;SHH;CYP26C1;PTPRC;CDH2;TCOF1;SNAI2;SOX8;KBTBD8;TAPT1
Positive Regulation of Autophagy of Mitochondrion (GO:1903599)	14/15	8.092993627713783E-28	2.445240217516379E-25	0	0	1506.5978260869565	93983.65737309422	PRKN;EIF2AK1;VPS13D;DELE1;NOD2;PARK7;UBE2A;IRGM;CAMKK2;STUB1;SLC25A5;FBXO7;SLC25A4;CERS1
Regulation of Retinoic Acid Receptor Signaling Pathway (GO:0048385)	13/13	5.880202293273864E-27	1.554578481284278E-24	0	0	257426.0	1.5548068666800294E7	CTBP2;DHRS3;KLF2;ASXL1;CYP26A1;CYP26B1;CYP26C1;SNW1;CNOT1;PRAME;CALR;TRIM16;EZH2
Neuron Projection Guidance (GO:0097485)	26/132	1.4021771927940833E-26	3.2951164030660957E-24	0	0	28.08775778850373	1672.041364778531	SEMA5A;RET;SEMA5B;NRP1;SEMA7A;NRP2;SEMA3C;SEMA3D;SEMA3A;SEMA3B;SEMA3G;SEMA3E;SEMA3F;EFNB1;SHH;SEMA6B;SEMA6C;SEMA4A;SEMA6A;SEMA4D;SEMA6D;SEMA4B;SEMA4C;SEMA4F;SEMA4G;CNTN1
Positive Regulation of Cell Migration (GO:0030335)	36/344	1.72625827350631E-26	3.6510362484658455E-24	0	0	14.064935064935066	834.3496164142736	RET;SEMA5A;NRP1;FOXC2;SEMA5B;NRP2;SEMA7A;SEMA3C;SEMA3D;PDCD6;SEMA3A;SEMA3B;SEMA3G;TWIST1;SEMA3E;SEMA3F;HIF1A;CDC42;SOX9;ACVR1;SEMA6B;SEMA6C;SEMA4A;EDN1;SEMA6A;SEMA4D;SEMA6D;SEMA4B;SEMA4C;FN1;SEMA4F;SEMA4G;PTPRC;SNAI2;CALR;EZH2
