Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
response to L-ascorbic acid (GO:0033591)	5	2	0.02	+	81.50	0.000236	1.0	GO:0033591
acetate ester metabolic process (GO:1900619)	6	2	0.03	+	67.92	0.000353	1.0	GO:1900619
acetylcholine metabolic process (GO:0008291)	6	2	0.03	+	67.92	0.000353	1.0	GO:0008291
regulation of nitric-oxide synthase activity (GO:0050999)	7	2	0.03	+	58.22	0.000493	1.0	GO:0050999
ovulation from ovarian follicle (GO:0001542)	10	2	0.05	+	40.75	0.00105	1.0	GO:0001542
negative regulation of response to nutrient levels (GO:0032108)	13	2	0.06	+	31.35	0.0018	1.0	GO:0032108
negative regulation of appetite (GO:0032099)	13	2	0.06	+	31.35	0.0018	1.0	GO:0032099
negative regulation of response to food (GO:0032096)	13	2	0.06	+	31.35	0.0018	1.0	GO:0032096
dermatan sulfate proteoglycan biosynthetic process (GO:0050651)	13	2	0.06	+	31.35	0.0018	1.0	GO:0050651
ovulation (GO:0030728)	14	2	0.07	+	29.11	0.00209	1.0	GO:0030728
negative regulation of GTPase activity (GO:0034260)	15	2	0.07	+	27.17	0.0024	1.0	GO:0034260
epithelial cell-cell adhesion (GO:0090136)	17	2	0.08	+	23.97	0.00309	1.0	GO:0090136
dermatan sulfate proteoglycan metabolic process (GO:0050655)	17	2	0.08	+	23.97	0.00309	1.0	GO:0050655
ossification involved in bone maturation (GO:0043931)	18	2	0.09	+	22.64	0.00347	1.0	GO:0043931
regulation of oxidoreductase activity (GO:0051341)	18	2	0.09	+	22.64	0.00347	1.0	GO:0051341
regulation of response to food (GO:0032095)	18	2	0.09	+	22.64	0.00347	1.0	GO:0032095
regulation of monocyte differentiation (GO:0045655)	19	2	0.09	+	21.45	0.00386	1.0	GO:0045655
bone maturation (GO:0070977)	21	2	0.1	+	19.41	0.00471	1.0	GO:0070977
myelin assembly (GO:0032288)	22	2	0.11	+	18.52	0.00517	1.0	GO:0032288
neurotransmitter reuptake (GO:0098810)	22	2	0.11	+	18.52	0.00517	1.0	GO:0098810
animal organ maturation (GO:0048799)	25	2	0.12	+	16.30	0.00665	1.0	GO:0048799
regulation of appetite (GO:0032098)	25	2	0.12	+	16.30	0.00665	1.0	GO:0032098
synaptic transmission, cholinergic (GO:0007271)	27	2	0.13	+	15.09	0.00773	1.0	GO:0007271
negative regulation of neural precursor cell proliferation (GO:2000178)	27	2	0.13	+	15.09	0.00773	1.0	GO:2000178
cell proliferation in forebrain (GO:0021846)	28	2	0.14	+	14.55	0.0083	1.0	GO:0021846
myelination in peripheral nervous system (GO:0022011)	30	2	0.15	+	13.58	0.00949	1.0	GO:0022011
peripheral nervous system axon ensheathment (GO:0032292)	30	2	0.15	+	13.58	0.00949	1.0	GO:0032292
detection of stimulus involved in sensory perception of pain (GO:0062149)	30	2	0.15	+	13.58	0.00949	1.0	GO:0062149
neurotransmitter uptake (GO:0001504)	32	2	0.16	+	12.74	0.0107	1.0	GO:0001504
negative regulation of cartilage development (GO:0061037)	32	2	0.16	+	12.74	0.0107	1.0	GO:0061037
negative regulation of hydrolase activity (GO:0051346)	35	2	0.17	+	11.64	0.0128	1.0	GO:0051346
regulation of response to nutrient levels (GO:0032107)	36	2	0.18	+	11.32	0.0135	1.0	GO:0032107
positive regulation of smooth muscle cell migration (GO:0014911)	36	2	0.18	+	11.32	0.0135	1.0	GO:0014911
cellular response to estradiol stimulus (GO:0071392)	37	2	0.18	+	11.01	0.0142	1.0	GO:0071392
