Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	441	9.92218054317187e-35	4.47569719941397e-31	GO:0008150
reproduction	BP	1539	40	0.00941933439183262	0.539197126582215	GO:0000003
complement activation, lectin pathway	BP	11	2	0.0153294976398109	0.624648586653992	GO:0001867
immune effector process	BP	637	18	0.0346803720245007	0.777398801645677	GO:0002252
activation of immune response	BP	545	12	0.255880758413129	1	GO:0002253
immune system process	BP	2545	61	0.00857772551464319	0.513161860098839	GO:0002376
inflammatory response to antigenic stimulus	BP	82	2	0.424948191060324	1	GO:0002437
acute inflammatory response	BP	107	5	0.041039756448087	0.861033178539678	GO:0002526
regulation of immune system process	BP	1544	35	0.0769127782629214	1	GO:0002682
negative regulation of immune system process	BP	526	12	0.220167273358475	1	GO:0002683
positive regulation of immune system process	BP	1075	25	0.0977185248587633	1	GO:0002684
regulation of immune effector process	BP	385	10	0.144732434260486	1	GO:0002697
negative regulation of immune effector process	BP	121	2	0.63153079024135	1	GO:0002698
regulation of response to biotic stimulus	BP	524	11	0.319861082777551	1	GO:0002831
negative regulation of response to biotic stimulus	BP	119	3	0.349590652246689	1	GO:0002832
developmental process involved in reproduction	BP	1011	30	0.00407876490355061	0.37837941215634	GO:0003006
response to stress	BP	3939	97	0.000347831674521601	0.0761650057005844	GO:0006950
defense response	BP	1843	43	0.0370850375382762	0.804246092921424	GO:0006952
acute-phase response	BP	47	3	0.0498016509124716	0.891170635894916	GO:0006953
inflammatory response	BP	887	26	0.00838821945959627	0.505850004523353	GO:0006954
immune response	BP	1750	42	0.0265116631029594	0.76666053763414	GO:0006955
complement activation	BP	59	2	0.278805597977264	1	GO:0006956
humoral immune response	BP	248	5	0.443672269115493	1	GO:0006959
multicellular organism development	BP	4758	124	2.53340965195206e-06	0.00114277042580253	GO:0007275
sex differentiation	BP	288	6	0.396998271363491	1	GO:0007548
response to nutrient	BP	164	4	0.32755249657625	1	GO:0007584
gonad development	BP	233	4	0.589339638666921	1	GO:0008406
response to external stimulus	BP	2747	70	0.00108181313318108	0.167117900039494	GO:0009605
response to biotic stimulus	BP	1575	34	0.129528822365511	1	GO:0009607
response to endogenous stimulus	BP	1755	36	0.19303993635118	1	GO:0009719
response to hormone	BP	883	22	0.0666213920348134	0.99658068302377	GO:0009725
embryo development	BP	1126	29	0.0275144533565217	0.773212400034773	GO:0009790
cellular process	BP	17161	420	4.93202908781217e-31	1.8539497341086e-27	GO:0009987
response to extracellular stimulus	BP	519	9	0.565568361191947	1	GO:0009991
response to organic substance	BP	2720	67	0.00317616912785525	0.314189993463366	GO:0010033
