GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	FDR	Symbol
GO:0000003	0.913758398702969	0.678918101214405	14.2568245125348	10	1467	reproduction	0.933036811962366	RPL10L, SEPTIN1, AGRP, EPO, DDX25, H1-7, MMP2, MMP9, RGS2, DMRTA1
GO:0000018	0.364476597835914	1.58729682420605	1.27310430207366	2	131	regulation of DNA recombination	0.656680532891675	ARID2, H1-7
GO:0000027	0.0190858906025261	10.3083870967742	0.213803775920768	2	22	ribosomal large subunit assembly	0.559127454593044	RPL10L, RPL23A
GO:0000045	0.289807081146877	1.8984468339307	1.06901887960384	2	110	autophagosome assembly	0.622400225910348	RAB7A, RB1CC1
GO:0000082	0.602859478085422	0.98916379580332	2.02141751779635	2	208	G1/S transition of mitotic cell cycle	0.771336238642223	ARID2, PHF10
GO:0000122	0.77627502175368	0.791238309016087	8.72708139894769	7	898	negative regulation of transcription by RNA polymerase II	0.857149147034299	EPO, BPTF, MAGEH1, APBB2, NFKB1, NKX6-1, NR1I2
GO:0000165	0.0263280637518985	1.91843416782568	7.11383472609099	13	732	MAPK cascade	0.559127454593044	DUSP19, CSPG4, DAG1, EPO, IL11, NFKB1, NRTN, PPP5C, MAPK3, RGS2, CCL1, RELL1, RB1CC1
GO:0000209	0.248920056219999	1.60128175783932	2.53649025069638	4	261	protein polyubiquitination	0.606485912555821	RBCK1, PELI1, SKP1, MKRN3
GO:0000226	0.418610317366216	1.14594249201278	6.15171773444754	7	633	microtubule cytoskeleton organization	0.681077833158367	DAG1, SEPTIN1, CCDC69, MARK1, CHMP1A, CCDC88A, HOOK3
GO:0000278	0.738973571123851	0.826518518518519	8.37722067471371	7	862	mitotic cell cycle	0.841828684254973	DCTN3, ARID2, KLHL18, CHMP1A, PHF10, PPP5C, AZI2
GO:0000280	0.793585880316865	0.708672168952543	4.18861033735686	3	431	nuclear division	0.861450239979264	RPL10L, SEPTIN1, CHMP1A
GO:0000302	0.120724434840615	2.17516339869281	1.88536056948313	4	194	response to reactive oxygen species	0.563832988581764	MMP2, MMP9, MAPK3, COA8
