Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
sulfur oxidation (GO:0019417)	2	2	0.05	+	39.81	0.00063	1.0	GO:0019417
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	3	2	0.08	+	26.54	0.00186	1.0	GO:0045737
cerebellar cortex maturation (GO:0021699)	3	2	0.08	+	26.54	0.00186	1.0	GO:0021699
cerebellum maturation (GO:0021590)	3	2	0.08	+	26.54	0.00186	1.0	GO:0021590
retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	3	2	0.08	+	26.54	0.00186	1.0	GO:0098921
retrograde trans-synaptic signaling by lipid (GO:0098920)	3	2	0.08	+	26.54	0.00186	1.0	GO:0098920
AV node cell to bundle of His cell communication by electrical coupling (GO:0086053)	3	2	0.08	+	26.54	0.00186	1.0	GO:0086053
positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	4	2	0.1	+	19.90	0.00365	1.0	GO:1904031
hindbrain maturation (GO:0021578)	5	2	0.13	+	15.92	0.00599	1.0	GO:0021578
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902219)	5	2	0.13	+	15.92	0.00599	1.0	GO:1902219
trans-synaptic signaling by endocannabinoid (GO:0099542)	5	2	0.13	+	15.92	0.00599	1.0	GO:0099542
trans-synaptic signaling by lipid (GO:0099541)	5	2	0.13	+	15.92	0.00599	1.0	GO:0099541
N-acylethanolamine metabolic process (GO:0070291)	5	2	0.13	+	15.92	0.00599	1.0	GO:0070291
Fc receptor mediated inhibitory signaling pathway (GO:0002774)	5	2	0.13	+	15.92	0.00599	1.0	GO:0002774
regulation of basement membrane organization (GO:0110011)	8	3	0.2	+	14.93	0.000803	1.0	GO:0110011
immune response-inhibiting signal transduction (GO:0002765)	11	4	0.28	+	14.48	0.000113	0.833	GO:0002765
positive regulation of MHC class I biosynthetic process (GO:0045345)	6	2	0.15	+	13.27	0.00884	1.0	GO:0045345
regulation of macrophage colony-stimulating factor production (GO:1901256)	6	2	0.15	+	13.27	0.00884	1.0	GO:1901256
hindbrain radial glia guided cell migration (GO:0021932)	9	3	0.23	+	13.27	0.00118	1.0	GO:0021932
immune response-inhibiting cell surface receptor signaling pathway (GO:0002767)	9	3	0.23	+	13.27	0.00118	1.0	GO:0002767
cell migration in hindbrain (GO:0021535)	17	5	0.43	+	11.71	4.73e-05	0.698	GO:0021535
central nervous system maturation (GO:0021626)	7	2	0.18	+	11.37	0.0122	1.0	GO:0021626
regulation of Rab protein signal transduction (GO:0032483)	7	2	0.18	+	11.37	0.0122	1.0	GO:0032483
retrograde trans-synaptic signaling (GO:0098917)	7	2	0.18	+	11.37	0.0122	1.0	GO:0098917
anterior commissure morphogenesis (GO:0021960)	7	2	0.18	+	11.37	0.0122	1.0	GO:0021960
penetration of zona pellucida (GO:0007341)	11	3	0.28	+	10.86	0.00224	1.0	GO:0007341
vitamin A metabolic process (GO:0006776)	8	2	0.2	+	9.95	0.016	1.0	GO:0006776
regulation of MHC class I biosynthetic process (GO:0045343)	8	2	0.2	+	9.95	0.016	1.0	GO:0045343
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	8	2	0.2	+	9.95	0.016	1.0	GO:1902255
regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902218)	8	2	0.2	+	9.95	0.016	1.0	GO:1902218
pyruvate biosynthetic process (GO:0042866)	8	2	0.2	+	9.95	0.016	1.0	GO:0042866
positive regulation of granulocyte differentiation (GO:0030854)	8	2	0.2	+	9.95	0.016	1.0	GO:0030854
gap junction assembly (GO:0016264)	8	2	0.2	+	9.95	0.016	1.0	GO:0016264
positive regulation of integrin-mediated signaling pathway (GO:2001046)	13	3	0.33	+	9.19	0.00374	1.0	GO:2001046
cell proliferation in hindbrain (GO:0021534)	9	2	0.23	+	8.85	0.0202	1.0	GO:0021534
Notch receptor processing (GO:0007220)	9	2	0.23	+	8.85	0.0202	1.0	GO:0007220
positive regulation of growth hormone secretion (GO:0060124)	9	2	0.23	+	8.85	0.0202	1.0	GO:0060124
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902231)	9	2	0.23	+	8.85	0.0202	1.0	GO:1902231
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	9	2	0.23	+	8.85	0.0202	1.0	GO:0097681
cerebellar granule cell precursor proliferation (GO:0021930)	9	2	0.23	+	8.85	0.0202	1.0	GO:0021930
cell proliferation in external granule layer (GO:0021924)	9	2	0.23	+	8.85	0.0202	1.0	GO:0021924
respiratory burst involved in defense response (GO:0002679)	10	2	0.25	+	7.96	0.0248	1.0	GO:0002679
inclusion body assembly (GO:0070841)	10	2	0.25	+	7.96	0.0248	1.0	GO:0070841
cellular response to muramyl dipeptide (GO:0071225)	10	2	0.25	+	7.96	0.0248	1.0	GO:0071225
embryonic viscerocranium morphogenesis (GO:0048703)	10	2	0.25	+	7.96	0.0248	1.0	GO:0048703
