GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0051461	positive regulation of corticotropin secretion	4	2	0.04	0.00057	1
GO:0051939	gamma-aminobutyric acid import	6	2	0.06	0.00141	1
GO:0061640	cytoskeleton-dependent cytokinesis	116	4	1.14	0.00285	1
GO:0000727	double-strand break repair via break-induced replication	12	2	0.12	0.00598	1
GO:0030238	male sex determination	14	2	0.14	0.00814	1
GO:1905522	negative regulation of macrophage migration	14	2	0.14	0.00814	1
GO:0018022	peptidyl-lysine methylation	25	3	0.25	0.00925	1
GO:0051602	response to electrical stimulus	44	3	0.43	0.00929	1
GO:0090660	cerebrospinal fluid circulation	15	2	0.15	0.00934	1
GO:0034767	positive regulation of monoatomic ion transmembrane transport	154	2	1.52	0.00989	1
GO:0048712	negative regulation of astrocyte differentiation	16	2	0.16	0.01060	1
GO:0046579	positive regulation of Ras protein signal transduction	18	2	0.18	0.01334	1
GO:0034765	regulation of monoatomic ion transmembrane transport	348	6	3.43	0.01782	1
GO:0010288	response to lead ion	21	2	0.21	0.01797	1
GO:0006268	DNA unwinding involved in DNA replication	21	2	0.21	0.01797	1
GO:0006816	calcium ion transport	427	8	4.21	0.01922	1
GO:0070663	regulation of leukocyte proliferation	266	5	2.62	0.01948	1
GO:0034635	glutathione transport	9	2	0.09	0.01953	1
GO:0035162	embryonic hemopoiesis	24	2	0.24	0.02316	1
GO:0051898	negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	66	3	0.65	0.02745	1
GO:0050996	positive regulation of lipid catabolic process	27	2	0.27	0.02889	1
GO:0071549	cellular response to dexamethasone stimulus	27	2	0.27	0.02889	1
GO:0010766	negative regulation of sodium ion transport	18	2	0.18	0.02916	1
GO:1902680	positive regulation of RNA biosynthetic process	1683	15	16.6	0.02976	1
GO:0099505	regulation of presynaptic membrane potential	30	2	0.3	0.03513	1
GO:0046883	regulation of hormone secretion	254	8	2.51	0.03790	1
GO:0008219	cell death	2039	21	20.11	0.03890	1
GO:0001958	endochondral ossification	32	2	0.32	0.03955	1
GO:0032259	methylation	259	9	2.55	0.04206	1
GO:1901534	positive regulation of hematopoietic progenitor cell differentiation	6	2	0.06	0.04810	1
GO:0035864	response to potassium ion	18	2	0.18	0.04813	1
GO:0035633	maintenance of blood-brain barrier	38	2	0.37	0.05396	1
GO:0060999	positive regulation of dendritic spine development	39	2	0.38	0.05651	1
GO:0051209	release of sequestered calcium ion into cytosol	129	4	1.27	0.05846	1
GO:0006644	phospholipid metabolic process	381	5	3.76	0.05932	1
GO:0001696	gastric acid secretion	13	2	0.13	0.06671	1
GO:0010628	positive regulation of gene expression	1197	14	11.81	0.06683	1
GO:0006338	chromatin remodeling	658	13	6.49	0.06815	1
GO:0045840	positive regulation of mitotic nuclear division	44	2	0.43	0.06990	1
GO:0031507	heterochromatin formation	103	5	1.02	0.07100	1
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	164	4	1.62	0.07252	1
GO:0099565	chemical synaptic transmission, postsynaptic	115	4	1.13	0.07545	1
GO:1990573	potassium ion import across plasma membrane	46	2	0.45	0.07552	1
GO:0032048	cardiolipin metabolic process	16	2	0.16	0.07587	1
GO:0120162	positive regulation of cold-induced thermogenesis	101	3	1	0.07818	1
GO:0120163	negative regulation of cold-induced thermogenesis	48	2	0.47	0.08128	1
GO:0007520	myoblast fusion	48	2	0.47	0.08128	1
GO:0008542	visual learning	49	2	0.48	0.08421	1
GO:1902807	negative regulation of cell cycle G1/S phase transition	94	2	0.93	0.08529	1
GO:0050807	regulation of synapse organization	243	5	2.4	0.08625	1
GO:0051707	response to other organism	1535	11	15.14	0.08788	1
GO:0060079	excitatory postsynaptic potential	107	3	1.06	0.08931	1
GO:0042220	response to cocaine	51	2	0.5	0.09016	1
GO:0030838	positive regulation of actin filament polymerization	52	2	0.51	0.09318	1
GO:0030203	glycosaminoglycan metabolic process	111	3	1.09	0.09389	1
GO:0045930	negative regulation of mitotic cell cycle	248	3	2.45	0.09706	1
GO:0032024	positive regulation of insulin secretion	86	3	0.85	0.09867	1
GO:0036010	protein localization to endosome	27	2	0.27	0.10287	1
GO:0099518	vesicle cytoskeletal trafficking	60	2	0.59	0.10305	1
GO:0032355	response to estradiol	115	3	1.13	0.10512	1
GO:0006915	apoptotic process	1959	20	19.32	0.10547	1
GO:0001541	ovarian follicle development	57	2	0.56	0.10870	1
GO:1905332	positive regulation of morphogenesis of an epithelium	36	3	0.36	0.11114	1
GO:0008154	actin polymerization or depolymerization	196	4	1.93	0.11147	1
GO:0086014	atrial cardiac muscle cell action potential	19	2	0.19	0.11163	1
GO:0001756	somitogenesis	66	3	0.65	0.11730	1
GO:0045589	regulation of regulatory T cell differentiation	36	2	0.36	0.12045	1
GO:0060415	muscle tissue morphogenesis	74	2	0.73	0.12069	1
GO:0032228	regulation of synaptic transmission, GABAergic	35	3	0.35	0.12841	1
GO:0035050	embryonic heart tube development	86	3	0.85	0.12875	1
GO:0090308	regulation of DNA methylation-dependent heterochromatin formation	20	2	0.2	0.12898	1
GO:0045892	negative regulation of DNA-templated transcription	1262	12	12.45	0.12949	1
GO:0048514	blood vessel morphogenesis	714	8	7.04	0.12955	1
GO:0044255	cellular lipid metabolic process	1018	10	10.04	0.13027	1
GO:0034220	monoatomic ion transmembrane transport	1024	13	10.1	0.13282	1
GO:0035556	intracellular signal transduction	2719	28	26.82	0.13771	1
GO:0070665	positive regulation of leukocyte proliferation	163	3	1.61	0.13782	1
GO:0001947	heart looping	66	2	0.65	0.13815	1
GO:0032715	negative regulation of interleukin-6 production	68	2	0.67	0.14491	1
GO:2000679	positive regulation of transcription regulatory region DNA binding	20	2	0.2	0.14599	1
GO:0006590	thyroid hormone generation	23	2	0.23	0.14601	1
GO:0043627	response to estrogen	70	2	0.69	0.15174	1
GO:0051048	negative regulation of secretion	172	4	1.7	0.15396	1
GO:0032098	regulation of appetite	20	2	0.2	0.15437	1
GO:0060122	inner ear receptor cell stereocilium organization	35	2	0.35	0.15449	1
GO:0045933	positive regulation of muscle contraction	47	2	0.46	0.15458	1
GO:0006360	transcription by RNA polymerase I	71	2	0.7	0.15518	1
GO:0070830	bicellular tight junction assembly	71	2	0.7	0.15518	1
GO:0006508	proteolysis	1609	19	15.87	0.15598	1
GO:0008064	regulation of actin polymerization or depolymerization	154	3	1.52	0.16293	1
GO:0070373	negative regulation of ERK1 and ERK2 cascade	74	2	0.73	0.16559	1
GO:0043388	positive regulation of DNA binding	39	3	0.38	0.17017	1
GO:0035640	exploration behavior	35	2	0.35	0.17101	1
GO:0007264	small GTPase-mediated signal transduction	499	7	4.92	0.17133	1
GO:0051668	localization within membrane	692	6	6.83	0.17323	1
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	225	5	2.22	0.17810	1
GO:0033033	negative regulation of myeloid cell apoptotic process	21	2	0.21	0.17902	1
GO:0072010	glomerular epithelium development	26	2	0.26	0.18712	1
GO:0071456	cellular response to hypoxia	152	3	1.5	0.18980	1
GO:0008037	cell recognition	155	4	1.53	0.19178	1
GO:0016525	negative regulation of angiogenesis	153	3	1.51	0.19230	1
GO:0043406	positive regulation of MAP kinase activity	82	2	0.81	0.19387	1
GO:0005977	glycogen metabolic process	74	2	0.73	0.19556	1
GO:0034341	response to type II interferon	142	2	1.4	0.19622	1
GO:0007219	Notch signaling pathway	183	3	1.81	0.19742	1
GO:0001938	positive regulation of endothelial cell proliferation	111	3	1.09	0.19981	1
