Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
positive regulation of dendritic cell cytokine production (GO:0002732)	11	2	0.03	+	73.37	0.000326	1.0	GO:0002732
regulation of dendritic cell cytokine production (GO:0002730)	16	2	0.04	+	50.44	0.000707	1.0	GO:0002730
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	22	2	0.05	+	36.68	0.00135	1.0	GO:0050965
detection of temperature stimulus involved in sensory perception (GO:0050961)	26	2	0.06	+	31.04	0.00188	1.0	GO:0050961
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	26	2	0.06	+	31.04	0.00188	1.0	GO:1900227
positive regulation of inflammasome-mediated signaling pathway (GO:0141087)	27	2	0.07	+	29.89	0.00203	1.0	GO:0141087
detection of temperature stimulus (GO:0016048)	29	2	0.07	+	27.83	0.00234	1.0	GO:0016048
detection of stimulus involved in sensory perception of pain (GO:0062149)	31	2	0.08	+	26.03	0.00267	1.0	GO:0062149
sensory perception of temperature stimulus (GO:0050951)	32	2	0.08	+	25.22	0.00285	1.0	GO:0050951
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	35	2	0.09	+	23.06	0.0034	1.0	GO:0061081
glycoprotein catabolic process (GO:0006516)	36	2	0.09	+	22.42	0.00359	1.0	GO:0006516
lipopolysaccharide-mediated signaling pathway (GO:0031663)	36	2	0.09	+	22.42	0.00359	1.0	GO:0031663
natural killer cell mediated cytotoxicity (GO:0042267)	41	2	0.1	+	19.68	0.00464	1.0	GO:0042267
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	41	2	0.1	+	19.68	0.00464	1.0	GO:0046427
natural killer cell mediated immunity (GO:0002228)	44	2	0.11	+	18.34	0.00533	1.0	GO:0002228
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	44	2	0.11	+	18.34	0.00533	1.0	GO:1900225
lipoprotein biosynthetic process (GO:0042158)	44	2	0.11	+	18.34	0.00533	1.0	GO:0042158
positive regulation of receptor signaling pathway via STAT (GO:1904894)	48	2	0.12	+	16.81	0.00631	1.0	GO:1904894
regulation of inflammasome-mediated signaling pathway (GO:0141085)	49	2	0.12	+	16.47	0.00657	1.0	GO:0141085
positive regulation of cytokine production involved in immune response (GO:0002720)	85	3	0.21	+	14.24	0.00123	1.0	GO:0002720
oligosaccharide metabolic process (GO:0009311)	64	2	0.16	+	12.61	0.011	1.0	GO:0009311
sensory perception of pain (GO:0019233)	67	2	0.17	+	12.05	0.012	1.0	GO:0019233
circadian regulation of gene expression (GO:0032922)	67	2	0.17	+	12.05	0.012	1.0	GO:0032922
antigen processing and presentation of peptide antigen (GO:0048002)	68	2	0.17	+	11.87	0.0124	1.0	GO:0048002
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	71	2	0.18	+	11.37	0.0134	1.0	GO:0046425
leukocyte mediated cytotoxicity (GO:0001909)	76	2	0.19	+	10.62	0.0153	1.0	GO:0001909
positive regulation of type I interferon production (GO:0032481)	76	2	0.19	+	10.62	0.0153	1.0	GO:0032481
