GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0030208	dermatan sulfate biosynthetic process	5	2	0.02	0.00021	1
GO:0001542	ovulation from ovarian follicle	9	2	0.04	0.00074	1
GO:0090136	epithelial cell-cell adhesion	16	2	0.07	0.00241	1
GO:0034260	negative regulation of GTPase activity	22	2	0.1	0.00456	1
GO:0032288	myelin assembly	24	2	0.11	0.00541	1
GO:0040017	positive regulation of locomotion	620	6	2.85	0.00894	1
GO:0120162	positive regulation of cold-induced thermogenesis	101	3	0.46	0.01134	1
GO:0071392	cellular response to estradiol stimulus	38	2	0.17	0.01322	1
GO:0035025	positive regulation of Rho protein signal transduction	39	2	0.18	0.01389	1
GO:0033591	response to L-ascorbic acid	5	2	0.02	0.01807	1
GO:0010712	regulation of collagen metabolic process	43	2	0.2	0.01811	1
GO:0008544	epidermis development	387	5	1.78	0.02150	1
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	52	2	0.24	0.02392	1
GO:0008360	regulation of cell shape	140	3	0.64	0.02682	1
GO:0035082	axoneme assembly	97	3	0.45	0.02787	1
GO:0021954	central nervous system neuron development	86	3	0.4	0.03153	1
GO:0007632	visual behavior	57	2	0.26	0.03591	1
GO:0043297	apical junction assembly	79	2	0.36	0.03596	1
GO:0090303	positive regulation of wound healing	65	2	0.3	0.03612	1
GO:1905515	non-motile cilium assembly	66	2	0.3	0.03714	1
GO:0010976	positive regulation of neuron projection development	161	3	0.74	0.03822	1
GO:0021799	cerebral cortex radially oriented cell migration	36	2	0.17	0.04026	1
GO:0043627	response to estrogen	70	2	0.32	0.04133	1
GO:0007565	female pregnancy	183	3	0.84	0.05240	1
GO:0043931	ossification involved in bone maturation	26	2	0.12	0.05329	1
GO:0032024	positive regulation of insulin secretion	86	2	0.4	0.05969	1
GO:0000281	mitotic cytokinesis	87	2	0.4	0.06092	1
GO:0008543	fibroblast growth factor receptor signaling pathway	87	2	0.4	0.06092	1
GO:2000178	negative regulation of neural precursor cell proliferation	25	2	0.12	0.06188	1
GO:0033120	positive regulation of RNA splicing	49	2	0.23	0.06196	1
GO:0006112	energy reserve metabolic process	88	2	0.41	0.06209	1
GO:0007229	integrin-mediated signaling pathway	111	3	0.51	0.06343	1
GO:2000146	negative regulation of cell motility	395	4	1.82	0.06590	1
GO:0003333	amino acid transmembrane transport	102	2	0.47	0.06642	1
GO:0042593	glucose homeostasis	250	3	1.15	0.06679	1
GO:0071310	cellular response to organic substance	2004	11	9.22	0.07041	1
GO:0035556	intracellular signal transduction	2719	18	12.52	0.07195	1
GO:0002686	negative regulation of leukocyte migration	55	2	0.25	0.07897	1
GO:0007601	visual perception	219	3	1.01	0.08025	1
GO:0006909	phagocytosis	236	4	1.09	0.08197	1
GO:0043270	positive regulation of monoatomic ion transport	211	3	0.97	0.08288	1
GO:0030334	regulation of cell migration	1050	10	4.83	0.08425	1
GO:0050999	regulation of nitric-oxide synthase activity	27	2	0.12	0.08721	1
GO:0022011	myelination in peripheral nervous system	29	2	0.13	0.08722	1
GO:0042269	regulation of natural killer cell mediated cytotoxicity	49	2	0.23	0.08732	1
GO:0031929	TOR signaling	165	2	0.76	0.08785	1
GO:1902476	chloride transmembrane transport	108	2	0.5	0.08852	1
GO:0021846	cell proliferation in forebrain	27	2	0.12	0.09137	1
GO:0001935	endothelial cell proliferation	202	2	0.93	0.09221	1
GO:0048278	vesicle docking	64	2	0.29	0.09569	1
GO:0048041	focal adhesion assembly	85	2	0.39	0.09579	1
GO:0007159	leukocyte cell-cell adhesion	418	5	1.92	0.09819	1
GO:0014911	positive regulation of smooth muscle cell migration	50	2	0.23	0.10384	1
GO:0051493	regulation of cytoskeleton organization	519	3	2.39	0.10522	1
GO:0031669	cellular response to nutrient levels	239	3	1.1	0.10774	1
GO:0098810	neurotransmitter reuptake	35	2	0.16	0.10783	1
GO:0098609	cell-cell adhesion	966	14	4.45	0.11671	1
GO:0007165	signal transduction	5991	36	27.58	0.11810	1
GO:0007271	synaptic transmission, cholinergic	30	2	0.14	0.11993	1
GO:0006811	monoatomic ion transport	1254	14	5.77	0.12160	1
GO:0001944	vasculature development	840	5	3.87	0.12493	1
GO:0007623	circadian rhythm	204	3	0.94	0.12502	1
GO:0031668	cellular response to extracellular stimulus	269	4	1.24	0.12658	1
GO:0006368	transcription elongation by RNA polymerase II	116	3	0.53	0.12703	1
GO:0050767	regulation of neurogenesis	393	4	1.81	0.12740	1
GO:0051603	proteolysis involved in protein catabolic process	754	5	3.47	0.12836	1
GO:0045931	positive regulation of mitotic cell cycle	130	2	0.6	0.13256	1
GO:0016477	cell migration	1612	18	7.42	0.13295	1
GO:0045445	myoblast differentiation	111	2	0.51	0.14034	1
GO:0035249	synaptic transmission, glutamatergic	113	2	0.52	0.14035	1
GO:1990090	cellular response to nerve growth factor stimulus	48	2	0.22	0.14770	1
GO:0008584	male gonad development	149	2	0.69	0.15019	1
GO:0072659	protein localization to plasma membrane	292	3	1.34	0.15153	1
GO:0002250	adaptive immune response	475	3	2.19	0.15323	1
GO:0098656	monoatomic anion transmembrane transport	145	3	0.67	0.15447	1
GO:0002682	regulation of immune system process	1544	9	7.11	0.15892	1
GO:0034243	regulation of transcription elongation by RNA polymerase II	86	2	0.4	0.15959	1
GO:1902600	proton transmembrane transport	157	2	0.72	0.16306	1
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	65	2	0.3	0.16325	1
GO:0018108	peptidyl-tyrosine phosphorylation	269	3	1.24	0.16693	1
GO:0050807	regulation of synapse organization	243	4	1.12	0.16860	1
GO:0050772	positive regulation of axonogenesis	78	2	0.36	0.17096	1
GO:0060078	regulation of postsynaptic membrane potential	148	2	0.68	0.17156	1
GO:0032970	regulation of actin filament-based process	382	2	1.76	0.17360	1
GO:0007163	establishment or maintenance of cell polarity	226	3	1.04	0.17786	1
GO:0030154	cell differentiation	4440	25	20.44	0.18279	1
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	171	2	0.79	0.18603	1
GO:0019882	antigen processing and presentation	117	2	0.54	0.18633	1
GO:0014823	response to activity	74	2	0.34	0.18964	1
GO:0050922	negative regulation of chemotaxis	70	2	0.32	0.19329	1
GO:0048661	positive regulation of smooth muscle cell proliferation	100	3	0.46	0.19513	1
GO:0050896	response to stimulus	8860	49	40.78	0.19611	1
GO:0043087	regulation of GTPase activity	297	5	1.37	0.19631	1
GO:0035725	sodium ion transmembrane transport	181	2	0.83	0.20271	1
GO:0007162	negative regulation of cell adhesion	310	3	1.43	0.20447	1
GO:0009611	response to wounding	565	6	2.6	0.20743	1
GO:0007268	chemical synaptic transmission	748	7	3.44	0.20990	1
GO:0007275	multicellular organism development	4758	32	21.9	0.20994	1
GO:0045785	positive regulation of cell adhesion	484	5	2.23	0.21246	1
GO:0007519	skeletal muscle tissue development	170	2	0.78	0.21253	1
GO:0007043	cell-cell junction assembly	156	3	0.72	0.21723	1
GO:0007155	cell adhesion	1530	19	7.04	0.21764	1
GO:0030101	natural killer cell activation	98	2	0.45	0.21895	1
GO:0010507	negative regulation of autophagy	90	2	0.41	0.22950	1
GO:0050766	positive regulation of phagocytosis	71	2	0.33	0.23279	1
GO:0045860	positive regulation of protein kinase activity	257	3	1.18	0.24283	1
GO:0007224	smoothened signaling pathway	146	2	0.67	0.24410	1
GO:0006814	sodium ion transport	243	3	1.12	0.24610	1
GO:0015718	monocarboxylic acid transport	178	2	0.82	0.25137	1
GO:0032456	endocytic recycling	88	2	0.41	0.26386	1
GO:0002687	positive regulation of leukocyte migration	149	2	0.69	0.26798	1
GO:0001817	regulation of cytokine production	862	5	3.97	0.26873	1
GO:0043547	positive regulation of GTPase activity	229	2	1.05	0.28428	1
GO:0048666	neuron development	1154	12	5.31	0.28933	1
GO:0021537	telencephalon development	275	4	1.27	0.29003	1
GO:0032355	response to estradiol	115	3	0.53	0.29406	1
GO:0030335	positive regulation of cell migration	580	5	2.67	0.29427	1
GO:0050770	regulation of axonogenesis	156	3	0.72	0.29780	1
GO:0021987	cerebral cortex development	127	3	0.58	0.30057	1
GO:0045595	regulation of cell differentiation	1640	10	7.55	0.30628	1
GO:0050796	regulation of insulin secretion	167	3	0.77	0.30742	1
GO:0030198	extracellular matrix organization	332	4	1.53	0.31342	1
GO:0001501	skeletal system development	531	4	2.44	0.31574	1
GO:0035264	multicellular organism growth	147	2	0.68	0.31652	1
GO:0060326	cell chemotaxis	322	2	1.48	0.32531	1
GO:0099175	regulation of postsynapse organization	103	2	0.47	0.32826	1
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	641	9	2.95	0.33071	1
GO:0009410	response to xenobiotic stimulus	443	3	2.04	0.33404	1
GO:0071363	cellular response to growth factor stimulus	746	8	3.43	0.33564	1
GO:0007596	blood coagulation	226	2	1.04	0.33925	1
GO:0048639	positive regulation of developmental growth	168	4	0.77	0.34650	1
GO:0046718	symbiont entry into host cell	156	3	0.72	0.34680	1
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	164	2	0.75	0.36210	1
GO:0031175	neuron projection development	1007	8	4.64	0.36566	1
GO:0022604	regulation of cell morphogenesis	245	4	1.13	0.37629	1
GO:0007033	vacuole organization	233	2	1.07	0.37765	1
GO:0006633	fatty acid biosynthetic process	165	2	0.76	0.39063	1
GO:0042445	hormone metabolic process	240	2	1.1	0.39467	1
GO:0000902	cell morphogenesis	971	9	4.47	0.39665	1
GO:0051924	regulation of calcium ion transport	247	3	1.14	0.41281	1
GO:0008283	cell population proliferation	2077	14	9.56	0.41674	1
GO:0001666	response to hypoxia	310	2	1.43	0.41901	1
GO:0050870	positive regulation of T cell activation	252	3	1.16	0.42084	1
GO:0001822	kidney development	319	2	1.47	0.43328	1
GO:0016525	negative regulation of angiogenesis	153	2	0.7	0.43339	1
GO:0008104	protein localization	2496	18	11.49	0.43613	1
GO:0031346	positive regulation of cell projection organization	360	5	1.66	0.44782	1
GO:0030534	adult behavior	144	2	0.66	0.45851	1
GO:0016241	regulation of macroautophagy	173	2	0.8	0.47366	1
GO:0006402	mRNA catabolic process	346	2	1.59	0.47496	1
GO:0006486	protein glycosylation	225	2	1.04	0.48180	1
GO:0007517	muscle organ development	359	4	1.65	0.50580	1
GO:0015031	protein transport	1412	9	6.5	0.51087	1
GO:0006836	neurotransmitter transport	204	3	0.94	0.51372	1
GO:0006468	protein phosphorylation	1288	7	5.93	0.51783	1
GO:0007015	actin filament organization	464	2	2.14	0.52530	1
GO:0006886	intracellular protein transport	673	4	3.1	0.53157	1
GO:0045765	regulation of angiogenesis	353	3	1.62	0.54231	1
GO:0055085	transmembrane transport	1548	12	7.13	0.54354	1
GO:0006897	endocytosis	712	6	3.28	0.55249	1
GO:0007507	heart development	618	4	2.84	0.55353	1
GO:0001701	in utero embryonic development	401	2	1.85	0.55395	1
GO:0008284	positive regulation of cell population proliferation	983	8	4.52	0.57330	1
GO:0043010	camera-type eye development	346	2	1.59	0.57676	1
GO:0001525	angiogenesis	624	4	2.87	0.58316	1
GO:0016310	phosphorylation	1545	8	7.11	0.59354	1
GO:0060271	cilium assembly	385	5	1.77	0.60119	1
GO:0001934	positive regulation of protein phosphorylation	579	4	2.67	0.62367	1
GO:0098655	monoatomic cation transmembrane transport	846	5	3.89	0.63478	1
GO:0007267	cell-cell signaling	1709	12	7.87	0.64991	1
GO:0006508	proteolysis	1609	9	7.41	0.67298	1
GO:0045087	innate immune response	975	4	4.49	0.68595	1
GO:0030217	T cell differentiation	310	2	1.43	0.68951	1
GO:0010628	positive regulation of gene expression	1197	8	5.51	0.69094	1
GO:0051726	regulation of cell cycle	1114	4	5.13	0.69578	1
GO:0006887	exocytosis	345	2	1.59	0.70273	1
GO:0090150	establishment of protein localization to membrane	272	2	1.25	0.70533	1
GO:0042391	regulation of membrane potential	446	3	2.05	0.74444	1
GO:0006417	regulation of translation	450	2	2.07	0.76869	1
GO:0045944	positive regulation of transcription by RNA polymerase II	1239	6	5.7	0.77145	1
GO:0030336	negative regulation of cell migration	380	3	1.75	0.77267	1
GO:0000226	microtubule cytoskeleton organization	648	5	2.98	0.79191	1
GO:0051301	cell division	642	5	2.96	0.80089	1
GO:0006915	apoptotic process	1959	4	9.02	0.80184	1
GO:0000122	negative regulation of transcription by RNA polymerase II	921	3	4.24	0.80304	1
GO:0009887	animal organ morphogenesis	1024	5	4.71	0.80430	1
GO:0006511	ubiquitin-dependent protein catabolic process	595	2	2.74	0.86431	1
GO:0016567	protein ubiquitination	757	2	3.48	0.86862	1
GO:0045893	positive regulation of DNA-templated transcription	1680	7	7.73	0.86875	1
GO:0010467	gene expression	7028	21	32.35	0.91049	1
GO:0065003	protein-containing complex assembly	1650	6	7.59	0.95090	1
GO:0043066	negative regulation of apoptotic process	903	2	4.16	0.95504	1
GO:0008285	negative regulation of cell population proliferation	789	5	3.63	0.96414	1
GO:0006357	regulation of transcription by RNA polymerase II	2565	9	11.81	0.97498	1
GO:0010629	negative regulation of gene expression	1603	4	7.38	0.98767	1
GO:0071692	protein localization to extracellular region	379	4	1.74	1.00000	1
GO:0071695	anatomical structure maturation	271	2	1.25	1.00000	1
GO:0045927	positive regulation of growth	257	4	1.18	1.00000	1
GO:0000165	MAPK cascade	769	4	3.54	1.00000	1
GO:0050789	regulation of biological process	12069	63	55.55	1.00000	1
GO:0031099	regeneration	199	2	0.92	1.00000	1
GO:1901700	response to oxygen-containing compound	1687	11	7.77	1.00000	1
GO:1901701	cellular response to oxygen-containing compound	1204	9	5.54	1.00000	1
GO:0045184	establishment of protein localization	1693	10	7.79	1.00000	1
GO:0050776	regulation of immune response	903	5	4.16	1.00000	1
GO:0050778	positive regulation of immune response	740	4	3.41	1.00000	1
GO:0000910	cytokinesis	187	2	0.86	1.00000	1
GO:0019752	carboxylic acid metabolic process	904	6	4.16	1.00000	1
GO:0007548	sex differentiation	288	4	1.33	1.00000	1
GO:0042742	defense response to bacterium	319	2	1.47	1.00000	1
