Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
L-proline catabolic process to L-glutamate (GO:0010133)	3	2	0.07	+	27.28	0.00176	1.0	GO:0010133
female genitalia morphogenesis (GO:0048807)	3	2	0.07	+	27.28	0.00176	1.0	GO:0048807
establishment of cell polarity involved in ameboidal cell migration (GO:0003365)	3	2	0.07	+	27.28	0.00176	1.0	GO:0003365
negative regulation of phospholipid biosynthetic process (GO:0071072)	5	3	0.12	+	24.55	0.00014	0.344	GO:0071072
protein localization to cell leading edge (GO:1902463)	4	2	0.1	+	20.46	0.00346	1.0	GO:1902463
L-proline catabolic process (GO:0006562)	4	2	0.1	+	20.46	0.00346	1.0	GO:0006562
branched-chain alpha-keto acid decarboxylation to branched-chain acyl-CoA (GO:0120552)	4	2	0.1	+	20.46	0.00346	1.0	GO:0120552
establishment of meiotic spindle orientation (GO:0051296)	4	2	0.1	+	20.46	0.00346	1.0	GO:0051296
negative regulation of phospholipid metabolic process (GO:1903726)	6	3	0.15	+	20.46	0.000275	0.579	GO:1903726
negative regulation of hippocampal neuron apoptotic process (GO:0110091)	5	2	0.12	+	16.37	0.00568	1.0	GO:0110091
nicotinamide metabolic process (GO:0006769)	5	2	0.12	+	16.37	0.00568	1.0	GO:0006769
proline metabolic process (GO:0006560)	10	4	0.24	+	16.37	6.59e-05	0.486	GO:0006560
ciliary neurotrophic factor-mediated signaling pathway (GO:0070120)	5	2	0.12	+	16.37	0.00568	1.0	GO:0070120
negative regulation of megakaryocyte differentiation (GO:0045653)	6	2	0.15	+	13.64	0.00838	1.0	GO:0045653
regulation of hippocampal neuron apoptotic process (GO:0110089)	6	2	0.15	+	13.64	0.00838	1.0	GO:0110089
L-proline biosynthetic process (GO:0055129)	6	2	0.15	+	13.64	0.00838	1.0	GO:0055129
hemoglobin biosynthetic process (GO:0042541)	6	2	0.15	+	13.64	0.00838	1.0	GO:0042541
absorption of visible light (GO:0016038)	6	2	0.15	+	13.64	0.00838	1.0	GO:0016038
light absorption (GO:0016037)	6	2	0.15	+	13.64	0.00838	1.0	GO:0016037
NADP+ biosynthetic process (GO:0006741)	7	2	0.17	+	11.69	0.0115	1.0	GO:0006741
radial glia-guided pyramidal neuron migration (GO:0140650)	7	2	0.17	+	11.69	0.0115	1.0	GO:0140650
regulation of smooth muscle cell chemotaxis (GO:0071671)	7	2	0.17	+	11.69	0.0115	1.0	GO:0071671
negative regulation of T cell migration (GO:2000405)	7	2	0.17	+	11.69	0.0115	1.0	GO:2000405
pH reduction (GO:0045851)	7	2	0.17	+	11.69	0.0115	1.0	GO:0045851
type II pneumocyte differentiation (GO:0060510)	7	2	0.17	+	11.69	0.0115	1.0	GO:0060510
glucocorticoid biosynthetic process (GO:0006704)	8	2	0.2	+	10.23	0.0151	1.0	GO:0006704
establishment of meiotic spindle localization (GO:0051295)	8	2	0.2	+	10.23	0.0151	1.0	GO:0051295
platelet-derived growth factor receptor-beta signaling pathway (GO:0035791)	8	2	0.2	+	10.23	0.0151	1.0	GO:0035791
tetrahydrobiopterin metabolic process (GO:0046146)	9	2	0.22	+	9.09	0.0192	1.0	GO:0046146
pyridine nucleotide salvage (GO:0019365)	9	2	0.22	+	9.09	0.0192	1.0	GO:0019365
N-terminal protein amino acid acetylation (GO:0006474)	9	2	0.22	+	9.09	0.0192	1.0	GO:0006474
positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)	9	2	0.22	+	9.09	0.0192	1.0	GO:2000096
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	9	2	0.22	+	9.09	0.0192	1.0	GO:0070292
regulation of branching involved in salivary gland morphogenesis (GO:0060693)	9	2	0.22	+	9.09	0.0192	1.0	GO:0060693
NAD+ biosynthetic process via the salvage pathway (GO:0034355)	9	2	0.22	+	9.09	0.0192	1.0	GO:0034355
response to fructose (GO:0009750)	10	2	0.24	+	8.18	0.0236	1.0	GO:0009750
L-leucine transport (GO:0015820)	10	2	0.24	+	8.18	0.0236	1.0	GO:0015820
branching involved in salivary gland morphogenesis (GO:0060445)	16	3	0.39	+	7.67	0.00641	1.0	GO:0060445
collagen-activated signaling pathway (GO:0038065)	16	3	0.39	+	7.67	0.00641	1.0	GO:0038065
glucocorticoid metabolic process (GO:0008211)	16	3	0.39	+	7.67	0.00641	1.0	GO:0008211
adenosine metabolic process (GO:0046085)	11	2	0.27	+	7.44	0.0283	1.0	GO:0046085
hemoglobin metabolic process (GO:0020027)	11	2	0.27	+	7.44	0.0283	1.0	GO:0020027
response to stilbenoid (GO:0035634)	11	2	0.27	+	7.44	0.0283	1.0	GO:0035634
GDP metabolic process (GO:0046710)	11	2	0.27	+	7.44	0.0283	1.0	GO:0046710
establishment of apical/basal cell polarity (GO:0035089)	22	4	0.54	+	7.44	0.00182	1.0	GO:0035089
lung secretory cell differentiation (GO:0061140)	11	2	0.27	+	7.44	0.0283	1.0	GO:0061140
insemination (GO:0007320)	12	2	0.29	+	6.82	0.0335	1.0	GO:0007320
collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	12	2	0.29	+	6.82	0.0335	1.0	GO:0038063
negative regulation of calcium ion import (GO:0090281)	12	2	0.29	+	6.82	0.0335	1.0	GO:0090281
regulation of phospholipid biosynthetic process (GO:0071071)	18	3	0.44	+	6.82	0.00901	1.0	GO:0071071
genitalia morphogenesis (GO:0035112)	12	2	0.29	+	6.82	0.0335	1.0	GO:0035112
