Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
establishment of skin barrier (GO:0061436)	35	2	0.09	+	23.06	0.0034	1.0	GO:0061436
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	57	2	0.14	+	14.16	0.00881	1.0	GO:0046854
regulation of ATP metabolic process (GO:1903578)	79	2	0.2	+	10.22	0.0164	1.0	GO:1903578
regulation of nucleotide metabolic process (GO:0006140)	88	2	0.22	+	9.17	0.0201	1.0	GO:0006140
regulation of purine nucleotide metabolic process (GO:1900542)	88	2	0.22	+	9.17	0.0201	1.0	GO:1900542
endothelial cell differentiation (GO:0045446)	89	2	0.22	+	9.07	0.0206	1.0	GO:0045446
acyl-CoA metabolic process (GO:0006637)	97	2	0.24	+	8.32	0.0241	1.0	GO:0006637
post-embryonic development (GO:0009791)	97	2	0.24	+	8.32	0.0241	1.0	GO:0009791
thioester metabolic process (GO:0035383)	97	2	0.24	+	8.32	0.0241	1.0	GO:0035383
regulation of TOR signaling (GO:0032006)	154	3	0.38	+	7.86	0.00658	1.0	GO:0032006
endothelium development (GO:0003158)	108	2	0.27	+	7.47	0.0294	1.0	GO:0003158
positive regulation of tumor necrosis factor production (GO:0032760)	110	2	0.27	+	7.34	0.0305	1.0	GO:0032760
neural precursor cell proliferation (GO:0061351)	114	2	0.28	+	7.08	0.0325	1.0	GO:0061351
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	114	2	0.28	+	7.08	0.0325	1.0	GO:1903557
phosphatidylinositol biosynthetic process (GO:0006661)	116	2	0.29	+	6.96	0.0336	1.0	GO:0006661
regulation of nucleocytoplasmic transport (GO:0046822)	117	2	0.29	+	6.90	0.0341	1.0	GO:0046822
regulation of tumor necrosis factor production (GO:0032680)	176	3	0.44	+	6.88	0.00948	1.0	GO:0032680
long-chain fatty acid metabolic process (GO:0001676)	118	2	0.29	+	6.84	0.0346	1.0	GO:0001676
regulation of interleukin-1 production (GO:0032652)	118	2	0.29	+	6.84	0.0346	1.0	GO:0032652
actomyosin structure organization (GO:0031032)	120	2	0.3	+	6.73	0.0357	1.0	GO:0031032
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	181	3	0.45	+	6.69	0.0102	1.0	GO:1903555
skin epidermis development (GO:0098773)	122	2	0.3	+	6.62	0.0368	1.0	GO:0098773
regulation of generation of precursor metabolites and energy (GO:0043467)	138	2	0.34	+	5.85	0.046	1.0	GO:0043467
positive regulation of protein catabolic process (GO:0045732)	214	3	0.53	+	5.66	0.016	1.0	GO:0045732
regulation of muscle cell differentiation (GO:0051147)	144	2	0.36	+	5.60	0.0496	1.0	GO:0051147
phosphatidylinositol metabolic process (GO:0046488)	144	2	0.36	+	5.60	0.0496	1.0	GO:0046488
Golgi organization (GO:0007030)	145	2	0.36	+	5.57	0.0502	1.0	GO:0007030
regulation of cold-induced thermogenesis (GO:0120161)	150	2	0.37	+	5.38	0.0533	1.0	GO:0120161
ATP metabolic process (GO:0046034)	172	2	0.43	+	4.69	0.0678	1.0	GO:0046034
regulation of intracellular transport (GO:0032386)	268	3	0.66	+	4.52	0.0287	1.0	GO:0032386
regulation of protein catabolic process (GO:0042176)	377	4	0.93	+	4.28	0.0141	1.0	GO:0042176
positive regulation of monoatomic ion transport (GO:0043270)	189	2	0.47	+	4.27	0.0798	1.0	GO:0043270
glycerophospholipid biosynthetic process (GO:0046474)	193	2	0.48	+	4.18	0.0828	1.0	GO:0046474
purine ribonucleoside triphosphate metabolic process (GO:0009205)	196	2	0.49	+	4.12	0.085	1.0	GO:0009205
purine nucleoside triphosphate metabolic process (GO:0009144)	203	2	0.5	+	3.98	0.0902	1.0	GO:0009144
aerobic respiration (GO:0009060)	205	2	0.51	+	3.94	0.0917	1.0	GO:0009060
glycerolipid biosynthetic process (GO:0045017)	216	2	0.54	+	3.74	0.1	1.0	GO:0045017
positive regulation of protein phosphorylation (GO:0001934)	217	2	0.54	+	3.72	0.101	1.0	GO:0001934
nucleoside triphosphate metabolic process (GO:0009141)	222	2	0.55	+	3.64	0.105	1.0	GO:0009141
cellular respiration (GO:0045333)	231	2	0.57	+	3.49	0.112	1.0	GO:0045333
purine-containing compound biosynthetic process (GO:0072522)	239	2	0.59	+	3.38	0.118	1.0	GO:0072522
phospholipid biosynthetic process (GO:0008654)	240	2	0.59	+	3.36	0.119	1.0	GO:0008654
positive regulation of phosphorylation (GO:0042327)	240	2	0.59	+	3.36	0.119	1.0	GO:0042327
response to endoplasmic reticulum stress (GO:0034976)	241	2	0.6	+	3.35	0.12	1.0	GO:0034976
synapse organization (GO:0050808)	371	3	0.92	+	3.26	0.0642	1.0	GO:0050808
purine-containing compound metabolic process (GO:0072521)	509	4	1.26	+	3.17	0.0371	1.0	GO:0072521
regulation of MAPK cascade (GO:0043408)	652	5	1.62	+	3.09	0.0223	1.0	GO:0043408
cell fate commitment (GO:0045165)	270	2	0.67	+	2.99	0.144	1.0	GO:0045165
sulfur compound metabolic process (GO:0006790)	273	2	0.68	+	2.96	0.147	1.0	GO:0006790
regulation of ERK1 and ERK2 cascade (GO:0070372)	283	2	0.7	+	2.85	0.155	1.0	GO:0070372
regulation of phosphate metabolic process (GO:0019220)	568	4	1.41	+	2.84	0.0518	1.0	GO:0019220
