Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
inositol trisphosphate metabolic process (GO:0032957)	7	2	0.04	+	56.54	0.000522	1.0	GO:0032957
protein import (GO:0017038)	9	2	0.05	+	43.97	0.00089	1.0	GO:0017038
sleep (GO:0030431)	9	2	0.05	+	43.97	0.00089	1.0	GO:0030431
tongue morphogenesis (GO:0043587)	10	2	0.05	+	39.58	0.00111	1.0	GO:0043587
positive regulation of dendritic cell cytokine production (GO:0002732)	11	2	0.06	+	35.98	0.00135	1.0	GO:0002732
response to yeast (GO:0001878)	13	2	0.07	+	30.44	0.0019	1.0	GO:0001878
inositol phosphate biosynthetic process (GO:0032958)	13	2	0.07	+	30.44	0.0019	1.0	GO:0032958
positive regulation of systemic arterial blood pressure (GO:0003084)	15	2	0.08	+	26.38	0.00254	1.0	GO:0003084
positive regulation of neuroinflammatory response (GO:0150078)	15	2	0.08	+	26.38	0.00254	1.0	GO:0150078
regulation of dendritic cell cytokine production (GO:0002730)	16	2	0.08	+	24.74	0.0029	1.0	GO:0002730
cellular response to exogenous dsRNA (GO:0071360)	17	2	0.09	+	23.28	0.00327	1.0	GO:0071360
regulation of interleukin-13 production (GO:0032656)	21	2	0.11	+	18.85	0.00499	1.0	GO:0032656
tongue development (GO:0043586)	21	2	0.11	+	18.85	0.00499	1.0	GO:0043586
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	22	2	0.11	+	17.99	0.00547	0.968	GO:0050965
innate immune response in mucosa (GO:0002227)	23	2	0.12	+	17.21	0.00597	1.0	GO:0002227
cellular response to dsRNA (GO:0071359)	23	2	0.12	+	17.21	0.00597	0.998	GO:0071359
glycoprotein catabolic process (GO:0006516)	36	3	0.18	+	16.49	0.000793	1.0	GO:0006516
natural killer cell activation involved in immune response (GO:0002323)	25	2	0.13	+	15.83	0.00703	1.0	GO:0002323
positive regulation of interferon-alpha production (GO:0032727)	25	2	0.13	+	15.83	0.00703	1.0	GO:0032727
lung epithelial cell differentiation (GO:0060487)	26	2	0.13	+	15.22	0.0076	1.0	GO:0060487
lung cell differentiation (GO:0060479)	26	2	0.13	+	15.22	0.0076	1.0	GO:0060479
detection of temperature stimulus involved in sensory perception (GO:0050961)	26	2	0.13	+	15.22	0.0076	1.0	GO:0050961
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	26	2	0.13	+	15.22	0.0076	1.0	GO:1900227
positive regulation of inflammasome-mediated signaling pathway (GO:0141087)	27	2	0.14	+	14.66	0.00818	1.0	GO:0141087
natural killer cell mediated cytotoxicity (GO:0042267)	41	3	0.21	+	14.48	0.00116	1.0	GO:0042267
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	41	3	0.21	+	14.48	0.00116	1.0	GO:0046427
detection of temperature stimulus (GO:0016048)	29	2	0.15	+	13.65	0.0094	1.0	GO:0016048
natural killer cell mediated immunity (GO:0002228)	44	3	0.22	+	13.49	0.00143	0.924	GO:0002228
inositol phosphate metabolic process (GO:0043647)	30	2	0.15	+	13.19	0.01	1.0	GO:0043647
regulation of interferon-alpha production (GO:0032647)	31	2	0.16	+	12.77	0.0107	1.0	GO:0032647
detection of stimulus involved in sensory perception of pain (GO:0062149)	31	2	0.16	+	12.77	0.0107	1.0	GO:0062149
neutrophil activation (GO:0042119)	31	2	0.16	+	12.77	0.0107	1.0	GO:0042119
sensory perception of temperature stimulus (GO:0050951)	32	2	0.16	+	12.37	0.0114	1.0	GO:0050951
positive regulation of receptor signaling pathway via STAT (GO:1904894)	48	3	0.24	+	12.37	0.00184	1.0	GO:1904894
response to exogenous dsRNA (GO:0043330)	48	3	0.24	+	12.37	0.00184	1.0	GO:0043330
mucosal immune response (GO:0002385)	33	2	0.17	+	11.99	0.0121	1.0	GO:0002385
positive regulation of blood pressure (GO:0045777)	34	2	0.17	+	11.64	0.0128	1.0	GO:0045777
negative regulation of osteoclast differentiation (GO:0045671)	34	2	0.17	+	11.64	0.0128	1.0	GO:0045671
polysaccharide biosynthetic process (GO:0000271)	34	2	0.17	+	11.64	0.0128	1.0	GO:0000271
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	34	2	0.17	+	11.64	0.0128	1.0	GO:0035774
hair follicle morphogenesis (GO:0031069)	34	2	0.17	+	11.64	0.0128	1.0	GO:0031069
regulation of type 2 immune response (GO:0002828)	34	2	0.17	+	11.64	0.0128	1.0	GO:0002828
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	35	2	0.18	+	11.31	0.0135	1.0	GO:0061081
response to amphetamine (GO:0001975)	36	2	0.18	+	10.99	0.0142	1.0	GO:0001975
lipopolysaccharide-mediated signaling pathway (GO:0031663)	36	2	0.18	+	10.99	0.0142	1.0	GO:0031663
organ or tissue specific immune response (GO:0002251)	37	2	0.19	+	10.70	0.015	1.0	GO:0002251
granulocyte activation (GO:0036230)	37	2	0.19	+	10.70	0.015	1.0	GO:0036230
regulation of neuroinflammatory response (GO:0150077)	37	2	0.19	+	10.70	0.015	1.0	GO:0150077
oocyte development (GO:0048599)	56	3	0.28	+	10.60	0.00286	1.0	GO:0048599
response to dsRNA (GO:0043331)	56	3	0.28	+	10.60	0.00286	1.0	GO:0043331
epidermis morphogenesis (GO:0048730)	38	2	0.19	+	10.41	0.0158	1.0	GO:0048730
defense response to fungus (GO:0050832)	58	3	0.29	+	10.24	0.00316	1.0	GO:0050832
lung epithelium development (GO:0060428)	39	2	0.2	+	10.15	0.0166	1.0	GO:0060428
regulation of calcineurin-NFAT signaling cascade (GO:0070884)	39	2	0.2	+	10.15	0.0166	1.0	GO:0070884
regulation of calcineurin-mediated signaling (GO:0106056)	40	2	0.2	+	9.89	0.0174	1.0	GO:0106056
regulation of T cell cytokine production (GO:0002724)	40	2	0.2	+	9.89	0.0174	1.0	GO:0002724
oocyte differentiation (GO:0009994)	60	3	0.3	+	9.89	0.00348	1.0	GO:0009994
regulation of neuronal synaptic plasticity (GO:0048168)	60	3	0.3	+	9.89	0.00348	1.0	GO:0048168
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	60	3	0.3	+	9.89	0.00348	1.0	GO:0061178
