Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
negative regulation of bone mineralization involved in bone maturation (GO:1900158)	4	2	0.04	+	51.45	0.000557	1.0	GO:1900158
diacylglycerol catabolic process (GO:0046340)	6	2	0.06	+	34.30	0.00137	1.0	GO:0046340
blood vessel maturation (GO:0001955)	7	2	0.07	+	29.40	0.00191	1.0	GO:0001955
regulation of bone mineralization involved in bone maturation (GO:1900157)	7	2	0.07	+	29.40	0.00191	1.0	GO:1900157
epithelial cell proliferation involved in liver morphogenesis (GO:0072575)	7	2	0.07	+	29.40	0.00191	1.0	GO:0072575
hepatocyte proliferation (GO:0072574)	7	2	0.07	+	29.40	0.00191	1.0	GO:0072574
positive regulation of triglyceride catabolic process (GO:0010898)	8	2	0.08	+	25.73	0.00253	1.0	GO:0010898
intestinal epithelial structure maintenance (GO:0060729)	8	2	0.08	+	25.73	0.00253	1.0	GO:0060729
synaptic signaling via neuropeptide (GO:0099538)	9	2	0.09	+	22.87	0.00323	1.0	GO:0099538
liver morphogenesis (GO:0072576)	9	2	0.09	+	22.87	0.00323	1.0	GO:0072576
diacylglycerol metabolic process (GO:0046339)	25	4	0.24	+	16.46	9.33e-05	1.0	GO:0046339
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	13	2	0.13	+	15.83	0.00683	1.0	GO:0035437
calcium ion transport into cytosol (GO:0060402)	14	2	0.14	+	14.70	0.00792	1.0	GO:0060402
regulation of triglyceride catabolic process (GO:0010896)	14	2	0.14	+	14.70	0.00792	1.0	GO:0010896
phosphatidylcholine acyl-chain remodeling (GO:0036151)	15	2	0.15	+	13.72	0.00908	1.0	GO:0036151
renal sodium ion absorption (GO:0070294)	16	2	0.16	+	12.86	0.0103	1.0	GO:0070294
P-body assembly (GO:0033962)	16	2	0.16	+	12.86	0.0103	1.0	GO:0033962
positive regulation of cytoplasmic translation (GO:2000767)	17	2	0.17	+	12.11	0.0116	1.0	GO:2000767
mesenchymal to epithelial transition (GO:0060231)	17	2	0.17	+	12.11	0.0116	1.0	GO:0060231
renal sodium ion transport (GO:0003096)	19	2	0.18	+	10.83	0.0144	1.0	GO:0003096
negative regulation of bone mineralization (GO:0030502)	19	2	0.18	+	10.83	0.0144	1.0	GO:0030502
renal absorption (GO:0070293)	40	4	0.39	+	10.29	0.000602	1.0	GO:0070293
regulation of calcium ion transport into cytosol (GO:0010522)	20	2	0.19	+	10.29	0.0159	1.0	GO:0010522
prostanoid biosynthetic process (GO:0046457)	20	2	0.19	+	10.29	0.0159	1.0	GO:0046457
triglyceride catabolic process (GO:0019433)	21	2	0.2	+	9.80	0.0175	1.0	GO:0019433
regulation of translation in response to stress (GO:0043555)	21	2	0.2	+	9.80	0.0175	1.0	GO:0043555
