GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0008045	motor neuron axon guidance	26	2	0.06	0.0016	1
GO:0050775	positive regulation of dendrite morphogenesis	34	2	0.08	0.0028	1
GO:0045787	positive regulation of cell cycle	332	4	0.76	0.0043	1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	409	4	0.94	0.0142	1
GO:0060674	placenta blood vessel development	32	2	0.07	0.0267	1
GO:0060997	dendritic spine morphogenesis	57	2	0.13	0.0311	1
GO:0007611	learning or memory	278	4	0.64	0.0311	1
GO:0097553	calcium ion transmembrane import into cytosol	187	3	0.43	0.0433	1
GO:0071459	protein localization to chromosome, centromeric region	40	2	0.09	0.0484	1
GO:0030030	cell projection organization	1608	10	3.7	0.0484	1
GO:2000145	regulation of cell motility	1110	3	2.55	0.0523	1
GO:0090102	cochlea development	50	2	0.12	0.0569	1
GO:0007062	sister chromatid cohesion	57	2	0.13	0.0569	1
GO:0031668	cellular response to extracellular stimulus	269	3	0.62	0.0646	1
GO:0048667	cell morphogenesis involved in neuron differentiation	583	5	1.34	0.0665	1
GO:0045931	positive regulation of mitotic cell cycle	130	2	0.3	0.0678	1
GO:0032200	telomere organization	188	2	0.43	0.0680	1
GO:0046777	protein autophosphorylation	192	2	0.44	0.0721	1
GO:0042542	response to hydrogen peroxide	101	2	0.23	0.0739	1
GO:0051966	regulation of synaptic transmission, glutamatergic	80	2	0.18	0.0945	1
GO:0050896	response to stimulus	8860	27	20.39	0.0954	1
GO:0051302	regulation of cell division	186	2	0.43	0.0991	1
GO:0033674	positive regulation of kinase activity	303	2	0.7	0.0997	1
GO:0009410	response to xenobiotic stimulus	443	3	1.02	0.1102	1
GO:0060291	long-term synaptic potentiation	100	2	0.23	0.1128	1
GO:0007018	microtubule-based movement	425	3	0.98	0.1141	1
GO:0060271	cilium assembly	385	3	0.89	0.1169	1
GO:1904062	regulation of monoatomic cation transmembrane transport	308	3	0.71	0.1290	1
GO:0018105	peptidyl-serine phosphorylation	282	2	0.65	0.1372	1
GO:0007612	learning	153	2	0.35	0.1388	1
GO:0007186	G protein-coupled receptor signaling pathway	1284	7	2.96	0.1389	1
GO:0006915	apoptotic process	1959	5	4.51	0.1509	1
GO:0007519	skeletal muscle tissue development	170	2	0.39	0.1899	1
GO:0045732	positive regulation of protein catabolic process	205	2	0.47	0.1957	1
GO:0031175	neuron projection development	1007	5	2.32	0.2010	1
GO:0009615	response to virus	409	2	0.94	0.2086	1
GO:0007626	locomotory behavior	202	2	0.46	0.2347	1
GO:0035556	intracellular signal transduction	2719	9	6.26	0.2676	1
GO:0010033	response to organic substance	2720	7	6.26	0.2780	1
GO:0030334	regulation of cell migration	1050	2	2.42	0.3015	1
GO:0007049	cell cycle	1811	7	4.17	0.3128	1
GO:0045944	positive regulation of transcription by RNA polymerase II	1239	4	2.85	0.3182	1
GO:0016310	phosphorylation	1545	6	3.56	0.3508	1
GO:0000122	negative regulation of transcription by RNA polymerase II	921	3	2.12	0.3565	1
GO:0051726	regulation of cell cycle	1114	5	2.56	0.3583	1
GO:0007601	visual perception	219	2	0.5	0.3598	1
GO:0005975	carbohydrate metabolic process	560	2	1.29	0.3609	1
GO:0007268	chemical synaptic transmission	748	4	1.72	0.3667	1
GO:0008284	positive regulation of cell population proliferation	983	3	2.26	0.3959	1
GO:0019722	calcium-mediated signaling	232	2	0.53	0.3991	1
GO:0001558	regulation of cell growth	416	2	0.96	0.4050	1
GO:0051146	striated muscle cell differentiation	313	2	0.72	0.4126	1
GO:0008283	cell population proliferation	2077	5	4.78	0.4473	1
GO:0006281	DNA repair	600	2	1.38	0.4842	1
GO:0007155	cell adhesion	1530	3	3.52	0.5094	1
GO:0001701	in utero embryonic development	401	2	0.92	0.5101	1
GO:0016567	protein ubiquitination	757	2	1.74	0.5248	1
GO:0009611	response to wounding	565	2	1.3	0.5371	1
GO:0007005	mitochondrion organization	511	3	1.18	0.5467	1
GO:0051301	cell division	642	3	1.48	0.5583	1
GO:0007283	spermatogenesis	634	2	1.46	0.6129	1
GO:0006954	inflammatory response	887	2	2.04	0.6613	1
GO:0006508	proteolysis	1609	5	3.7	0.6836	1
GO:0008285	negative regulation of cell population proliferation	789	2	1.82	0.7524	1
GO:0043066	negative regulation of apoptotic process	903	2	2.08	0.7585	1
GO:0030154	cell differentiation	4440	9	10.22	0.8371	1
GO:0010629	negative regulation of gene expression	1603	3	3.69	0.9469	1
GO:0006725	cellular aromatic compound metabolic process	6288	10	14.47	1.0000	1
GO:0043269	regulation of monoatomic ion transport	469	3	1.08	1.0000	1
GO:0007610	behavior	655	6	1.51	1.0000	1
GO:0051093	negative regulation of developmental process	1015	3	2.34	1.0000	1
GO:0043254	regulation of protein-containing complex assembly	418	2	0.96	1.0000	1
GO:0051094	positive regulation of developmental process	1380	3	3.18	1.0000	1
