GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:1904781	positive regulation of protein localization to centrosome	7	3	0.17	0.00047	1
GO:0032355	response to estradiol	115	9	2.8	0.00056	1
GO:0031424	keratinization	83	8	2.02	0.00092	1
GO:0095500	acetylcholine receptor signaling pathway	42	6	1.02	0.00147	1
GO:0003140	determination of left/right asymmetry in lateral mesoderm	10	3	0.24	0.00151	1
GO:0060715	syncytiotrophoblast cell differentiation involved in labyrinthine layer development	3	2	0.07	0.00174	1
GO:0060741	prostate gland stromal morphogenesis	3	2	0.07	0.00174	1
GO:1903288	positive regulation of potassium ion import across plasma membrane	3	2	0.07	0.00174	1
GO:2000670	positive regulation of dendritic cell apoptotic process	3	2	0.07	0.00174	1
GO:0006883	intracellular sodium ion homeostasis	22	4	0.54	0.00179	1
GO:0071313	cellular response to caffeine	11	3	0.27	0.00204	1
GO:0043931	ossification involved in bone maturation	26	4	0.63	0.00266	1
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	25	4	0.61	0.00292	1
GO:0031274	positive regulation of pseudopodium assembly	13	3	0.32	0.00341	1
GO:0035810	positive regulation of urine volume	13	3	0.32	0.00341	1
GO:0061030	epithelial cell differentiation involved in mammary gland alveolus development	4	2	0.1	0.00343	1
GO:1903278	positive regulation of sodium ion export across plasma membrane	4	2	0.1	0.00343	1
GO:0045163	clustering of voltage-gated potassium channels	4	2	0.1	0.00343	1
GO:0014850	response to muscle activity	28	4	0.68	0.00446	1
GO:0030007	intracellular potassium ion homeostasis	15	3	0.36	0.00523	1
GO:0061371	determination of heart left/right asymmetry	71	6	1.73	0.00557	1
GO:0086009	membrane repolarization	54	4	1.31	0.00561	1
GO:1905867	epididymis development	5	2	0.12	0.00563	1
GO:2000481	positive regulation of cAMP-dependent protein kinase activity	5	2	0.12	0.00563	1
GO:0070987	error-free translesion synthesis	5	2	0.12	0.00563	1
GO:0098735	positive regulation of the force of heart contraction	5	2	0.12	0.00563	1
GO:0035582	sequestering of BMP in extracellular matrix	5	2	0.12	0.00563	1
GO:0071380	cellular response to prostaglandin E stimulus	16	3	0.39	0.00633	1
GO:0001837	epithelial to mesenchymal transition	187	7	4.55	0.00727	1
GO:1990349	gap junction-mediated intercellular transport	6	2	0.15	0.00830	1
GO:0070257	positive regulation of mucus secretion	6	2	0.15	0.00830	1
GO:1905691	lipid droplet disassembly	6	2	0.15	0.00830	1
GO:0060574	intestinal epithelial cell maturation	6	2	0.15	0.00830	1
GO:0086029	Purkinje myocyte to ventricular cardiac muscle cell signaling	6	2	0.15	0.00830	1
GO:0045926	negative regulation of growth	246	9	5.99	0.00887	1
GO:0001892	embryonic placenta development	88	7	2.14	0.01354	1
GO:0050765	negative regulation of phagocytosis	21	3	0.51	0.01374	1
GO:0120197	mucociliary clearance	8	2	0.19	0.01501	1
GO:0003360	brainstem development	8	2	0.19	0.01501	1
GO:0035095	behavioral response to nicotine	8	2	0.19	0.01501	1
GO:0006370	7-methylguanosine mRNA capping	8	2	0.19	0.01501	1
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	22	3	0.54	0.01562	1
GO:0007389	pattern specification process	473	23	11.51	0.01669	1
GO:0097028	dendritic cell differentiation	45	5	1.09	0.01881	1
GO:0035357	peroxisome proliferator activated receptor signaling pathway	24	4	0.58	0.01885	1
GO:0002071	glandular epithelial cell maturation	9	2	0.22	0.01899	1
GO:0070292	N-acylphosphatidylethanolamine metabolic process	9	2	0.22	0.01899	1
GO:0061072	iris morphogenesis	9	2	0.22	0.01899	1
GO:0007341	penetration of zona pellucida	9	2	0.22	0.01899	1
