Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
positive regulation of protein localization to cell-cell junction (GO:0150107)	4	2	0.04	+	51.19	0.000562	1.0	GO:0150107
negative regulation of apoptotic process involved in morphogenesis (GO:1902338)	6	2	0.06	+	34.13	0.00139	1.0	GO:1902338
gamma-aminobutyric acid import (GO:0051939)	6	2	0.06	+	34.13	0.00139	1.0	GO:0051939
positive regulation of corticotropin secretion (GO:0051461)	6	2	0.06	+	34.13	0.00139	1.0	GO:0051461
negative regulation of apoptotic process involved in development (GO:1904746)	6	2	0.06	+	34.13	0.00139	1.0	GO:1904746
regulation of protein localization to cell-cell junction (GO:0150106)	6	2	0.06	+	34.13	0.00139	1.0	GO:0150106
positive regulation of hematopoietic progenitor cell differentiation (GO:1901534)	7	2	0.07	+	29.25	0.00193	1.0	GO:1901534
regulation of corticotropin secretion (GO:0051459)	7	2	0.07	+	29.25	0.00193	1.0	GO:0051459
negative regulation of chromatin organization (GO:1905268)	9	2	0.09	+	22.75	0.00327	1.0	GO:1905268
terpenoid catabolic process (GO:0016115)	9	2	0.09	+	22.75	0.00327	1.0	GO:0016115
positive regulation of transcription regulatory region DNA binding (GO:2000679)	10	2	0.1	+	20.48	0.00406	1.0	GO:2000679
glutathione transport (GO:0034635)	11	2	0.11	+	18.62	0.00493	1.0	GO:0034635
isoprenoid catabolic process (GO:0008300)	11	2	0.11	+	18.62	0.00493	1.0	GO:0008300
peptidyl-lysine methylation (GO:0018022)	17	3	0.17	+	18.07	0.000564	1.0	GO:0018022
double-strand break repair via break-induced replication (GO:0000727)	12	2	0.12	+	17.06	0.00587	1.0	GO:0000727
negative regulation of macrophage migration (GO:1905522)	12	2	0.12	+	17.06	0.00587	1.0	GO:1905522
tripeptide transport (GO:0042939)	13	2	0.13	+	15.75	0.0069	1.0	GO:0042939
negative regulation of sodium ion transport (GO:0010766)	13	2	0.13	+	15.75	0.0069	1.0	GO:0010766
regulation of apoptotic process involved in morphogenesis (GO:1902337)	14	2	0.14	+	14.63	0.008	1.0	GO:1902337
regulation of apoptotic process involved in development (GO:1904748)	14	2	0.14	+	14.63	0.008	1.0	GO:1904748
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	14	2	0.14	+	14.63	0.008	1.0	GO:0086026
atrial cardiac muscle cell action potential (GO:0086014)	14	2	0.14	+	14.63	0.008	1.0	GO:0086014
male sex determination (GO:0030238)	14	2	0.14	+	14.63	0.008	1.0	GO:0030238
positive regulation of DNA binding (GO:0043388)	22	3	0.21	+	13.96	0.00123	1.0	GO:0043388
positive regulation of digestive system process (GO:0060456)	15	2	0.15	+	13.65	0.00917	1.0	GO:0060456
gamma-aminobutyric acid transport (GO:0015812)	15	2	0.15	+	13.65	0.00917	1.0	GO:0015812
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	15	2	0.15	+	13.65	0.00917	1.0	GO:0086066
phenol-containing compound catabolic process (GO:0019336)	16	2	0.16	+	12.80	0.0104	1.0	GO:0019336
regulation of transcription regulatory region DNA binding (GO:2000677)	17	2	0.17	+	12.05	0.0117	1.0	GO:2000677
regulation of chromatin organization (GO:1902275)	26	3	0.25	+	11.81	0.00202	1.0	GO:1902275
oligopeptide transport (GO:0006857)	18	2	0.18	+	11.38	0.0131	1.0	GO:0006857
cerebrospinal fluid circulation (GO:0090660)	18	2	0.18	+	11.38	0.0131	1.0	GO:0090660
positive regulation of Ras protein signal transduction (GO:0046579)	18	2	0.18	+	11.38	0.0131	1.0	GO:0046579
renal sodium ion transport (GO:0003096)	19	2	0.19	+	10.78	0.0146	1.0	GO:0003096
toxin metabolic process (GO:0009404)	19	2	0.19	+	10.78	0.0146	1.0	GO:0009404
negative regulation of myeloid cell apoptotic process (GO:0033033)	20	2	0.2	+	10.24	0.0161	1.0	GO:0033033
sex determination (GO:0007530)	22	2	0.21	+	9.31	0.0193	1.0	GO:0007530
embryonic hemopoiesis (GO:0035162)	23	2	0.22	+	8.90	0.021	1.0	GO:0035162
sphingoid metabolic process (GO:0046519)	24	2	0.23	+	8.53	0.0227	1.0	GO:0046519
regulation of appetite (GO:0032098)	25	2	0.24	+	8.19	0.0246	1.0	GO:0032098
cell-cell signaling involved in cardiac conduction (GO:0086019)	25	2	0.24	+	8.19	0.0246	1.0	GO:0086019
positive regulation of morphogenesis of an epithelium (GO:1905332)	38	3	0.37	+	8.08	0.00602	1.0	GO:1905332
glomerular epithelium development (GO:0072010)	27	2	0.26	+	7.58	0.0284	1.0	GO:0072010
striated muscle adaptation (GO:0014888)	27	2	0.26	+	7.58	0.0284	1.0	GO:0014888
positive regulation of lipid catabolic process (GO:0050996)	28	2	0.27	+	7.31	0.0304	1.0	GO:0050996
acid secretion (GO:0046717)	28	2	0.27	+	7.31	0.0304	1.0	GO:0046717
protein methylation (GO:0006479)	42	3	0.41	+	7.31	0.00796	1.0	GO:0006479
protein alkylation (GO:0008213)	42	3	0.41	+	7.31	0.00796	1.0	GO:0008213
positive regulation of binding (GO:0051099)	43	3	0.42	+	7.14	0.0085	1.0	GO:0051099
cellular response to dexamethasone stimulus (GO:0071549)	29	2	0.28	+	7.06	0.0324	1.0	GO:0071549
regulation of digestive system process (GO:0044058)	44	3	0.43	+	6.98	0.00906	1.0	GO:0044058
secretion by tissue (GO:0032941)	30	2	0.29	+	6.83	0.0345	1.0	GO:0032941
regulation of DNA binding (GO:0051101)	45	3	0.44	+	6.83	0.00964	1.0	GO:0051101
rRNA transcription (GO:0009303)	30	2	0.29	+	6.83	0.0345	1.0	GO:0009303
regulation of endocrine process (GO:0044060)	46	3	0.45	+	6.68	0.0102	1.0	GO:0044060
endochondral ossification (GO:0001958)	31	2	0.3	+	6.61	0.0367	1.0	GO:0001958
regulation of presynaptic membrane potential (GO:0099505)	31	2	0.3	+	6.61	0.0367	1.0	GO:0099505
replacement ossification (GO:0036075)	31	2	0.3	+	6.61	0.0367	1.0	GO:0036075
myoblast fusion (GO:0007520)	31	2	0.3	+	6.61	0.0367	1.0	GO:0007520
negative regulation of mononuclear cell migration (GO:0071676)	32	2	0.31	+	6.40	0.0389	1.0	GO:0071676
transcription by RNA polymerase I (GO:0006360)	33	2	0.32	+	6.21	0.0411	1.0	GO:0006360
regulation of myeloid cell apoptotic process (GO:0033032)	33	2	0.32	+	6.21	0.0411	1.0	GO:0033032
ERK1 and ERK2 cascade (GO:0070371)	50	3	0.49	+	6.14	0.0128	1.0	GO:0070371
acidic amino acid transport (GO:0015800)	50	3	0.49	+	6.14	0.0128	1.0	GO:0015800
secondary metabolic process (GO:0019748)	50	3	0.49	+	6.14	0.0128	1.0	GO:0019748
regulation of synaptic transmission, GABAergic (GO:0032228)	34	2	0.33	+	6.02	0.0434	1.0	GO:0032228
eating behavior (GO:0042755)	34	2	0.33	+	6.02	0.0434	1.0	GO:0042755
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	35	2	0.34	+	5.85	0.0457	1.0	GO:0048010
response to dietary excess (GO:0002021)	36	2	0.35	+	5.69	0.0481	1.0	GO:0002021
muscle adaptation (GO:0043500)	36	2	0.35	+	5.69	0.0481	1.0	GO:0043500
regulation of regulatory T cell differentiation (GO:0045589)	37	2	0.36	+	5.53	0.0506	1.0	GO:0045589
regulation of polysaccharide biosynthetic process (GO:0032885)	37	2	0.36	+	5.53	0.0506	1.0	GO:0032885
response to electrical stimulus (GO:0051602)	38	2	0.37	+	5.39	0.053	1.0	GO:0051602
zymogen activation (GO:0031638)	38	2	0.37	+	5.39	0.053	1.0	GO:0031638
release of sequestered calcium ion into cytosol (GO:0051209)	57	3	0.56	+	5.39	0.0183	1.0	GO:0051209
tight junction assembly (GO:0120192)	57	3	0.56	+	5.39	0.0183	1.0	GO:0120192
negative regulation of sequestering of calcium ion (GO:0051283)	58	3	0.57	+	5.30	0.0191	1.0	GO:0051283
cell-cell fusion (GO:0140253)	39	2	0.38	+	5.25	0.0556	1.0	GO:0140253
syncytium formation by plasma membrane fusion (GO:0000768)	39	2	0.38	+	5.25	0.0556	1.0	GO:0000768
positive regulation of nervous system process (GO:0031646)	39	2	0.38	+	5.25	0.0556	1.0	GO:0031646
maintenance of blood-brain barrier (GO:0035633)	39	2	0.38	+	5.25	0.0556	1.0	GO:0035633
