Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
regulation of plasma membrane repair (GO:1905684)	7	2	0.03	+	57.65	0.000503	1.0	GO:1905684
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	10	2	0.05	+	40.35	0.00107	1.0	GO:0036490
regulation of translational initiation in response to stress (GO:0043558)	10	2	0.05	+	40.35	0.00107	1.0	GO:0043558
membrane raft assembly (GO:0001765)	13	2	0.06	+	31.04	0.00183	1.0	GO:0001765
outer mitochondrial membrane organization (GO:0007008)	13	2	0.06	+	31.04	0.00183	1.0	GO:0007008
regulation of plasma membrane organization (GO:1903729)	17	2	0.08	+	23.74	0.00315	1.0	GO:1903729
monocyte differentiation (GO:0030224)	20	2	0.1	+	20.18	0.00436	1.0	GO:0030224
positive regulation of calcineurin-NFAT signaling cascade (GO:0070886)	21	2	0.1	+	19.22	0.0048	1.0	GO:0070886
positive regulation of calcineurin-mediated signaling (GO:0106058)	21	2	0.1	+	19.22	0.0048	1.0	GO:0106058
regulation of translation in response to stress (GO:0043555)	21	2	0.1	+	19.22	0.0048	1.0	GO:0043555
central nervous system myelination (GO:0022010)	25	2	0.12	+	16.14	0.00677	1.0	GO:0022010
axon ensheathment in central nervous system (GO:0032291)	25	2	0.12	+	16.14	0.00677	1.0	GO:0032291
positive regulation of protein processing (GO:0010954)	26	2	0.13	+	15.52	0.00732	1.0	GO:0010954
positive regulation of protein maturation (GO:1903319)	27	2	0.13	+	14.95	0.00788	1.0	GO:1903319
membrane raft organization (GO:0031579)	28	2	0.14	+	14.41	0.00845	1.0	GO:0031579
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	29	2	0.14	+	13.91	0.00905	1.0	GO:0009219
hematopoietic stem cell homeostasis (GO:0061484)	29	2	0.14	+	13.91	0.00905	1.0	GO:0061484
positive regulation of translational initiation (GO:0045948)	30	2	0.15	+	13.45	0.00967	1.0	GO:0045948
protein localization to Golgi apparatus (GO:0034067)	33	2	0.16	+	12.23	0.0116	1.0	GO:0034067
phosphatidic acid biosynthetic process (GO:0006654)	33	2	0.16	+	12.23	0.0116	1.0	GO:0006654
positive regulation of epidermis development (GO:0045684)	34	2	0.17	+	11.87	0.0123	1.0	GO:0045684
phagocytosis, engulfment (GO:0006911)	35	2	0.17	+	11.53	0.013	1.0	GO:0006911
determination of adult lifespan (GO:0008340)	38	2	0.19	+	10.62	0.0152	1.0	GO:0008340
phosphatidic acid metabolic process (GO:0046473)	38	2	0.19	+	10.62	0.0152	1.0	GO:0046473
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	77	4	0.38	+	10.48	0.000583	1.0	GO:0043491
regulation of calcineurin-NFAT signaling cascade (GO:0070884)	39	2	0.19	+	10.35	0.016	1.0	GO:0070884
centrosome duplication (GO:0051298)	39	2	0.19	+	10.35	0.016	1.0	GO:0051298
cortical actin cytoskeleton organization (GO:0030866)	39	2	0.19	+	10.35	0.016	1.0	GO:0030866
regulation of calcineurin-mediated signaling (GO:0106056)	40	2	0.2	+	10.09	0.0168	1.0	GO:0106056
chromosome condensation (GO:0030261)	40	2	0.2	+	10.09	0.0168	1.0	GO:0030261
regulation of protein processing (GO:0070613)	61	3	0.3	+	9.92	0.00345	1.0	GO:0070613
regulation of keratinocyte differentiation (GO:0045616)	41	2	0.2	+	9.84	0.0176	1.0	GO:0045616
regulation of protein maturation (GO:1903317)	66	3	0.33	+	9.17	0.00431	1.0	GO:1903317
positive regulation of stem cell proliferation (GO:2000648)	45	2	0.22	+	8.97	0.021	1.0	GO:2000648
plasma membrane invagination (GO:0099024)	45	2	0.22	+	8.97	0.021	1.0	GO:0099024
potassium ion import across plasma membrane (GO:1990573)	46	2	0.23	+	8.77	0.0219	1.0	GO:1990573
regulation of epidermis development (GO:0045682)	70	3	0.35	+	8.65	0.00509	1.0	GO:0045682
endodermal cell differentiation (GO:0035987)	47	2	0.23	+	8.59	0.0228	1.0	GO:0035987
oligodendrocyte development (GO:0014003)	49	2	0.24	+	8.24	0.0246	1.0	GO:0014003
2'-deoxyribonucleotide metabolic process (GO:0009394)	49	2	0.24	+	8.24	0.0246	1.0	GO:0009394
DNA-templated transcription elongation (GO:0006354)	50	2	0.25	+	8.07	0.0255	1.0	GO:0006354
deoxyribonucleotide metabolic process (GO:0009262)	50	2	0.25	+	8.07	0.0255	1.0	GO:0009262
negative regulation of DNA recombination (GO:0045910)	51	2	0.25	+	7.91	0.0265	1.0	GO:0045910
retinol metabolic process (GO:0042572)	52	2	0.26	+	7.76	0.0275	1.0	GO:0042572
membrane invagination (GO:0010324)	52	2	0.26	+	7.76	0.0275	1.0	GO:0010324
positive regulation of stress fiber assembly (GO:0051496)	53	2	0.26	+	7.61	0.0285	1.0	GO:0051496
regulation of chondrocyte differentiation (GO:0032330)	54	2	0.27	+	7.47	0.0295	1.0	GO:0032330
cortical cytoskeleton organization (GO:0030865)	55	2	0.27	+	7.34	0.0305	1.0	GO:0030865
positive regulation of GTPase activity (GO:0043547)	83	3	0.41	+	7.29	0.00815	1.0	GO:0043547
Golgi to plasma membrane transport (GO:0006893)	56	2	0.28	+	7.21	0.0315	1.0	GO:0006893
endoderm formation (GO:0001706)	56	2	0.28	+	7.21	0.0315	1.0	GO:0001706
regulation of translational initiation (GO:0006446)	85	3	0.42	+	7.12	0.0087	1.0	GO:0006446
endothelial cell migration (GO:0043542)	85	3	0.42	+	7.12	0.0087	1.0	GO:0043542
pyrimidine nucleotide metabolic process (GO:0006220)	57	2	0.28	+	7.08	0.0325	1.0	GO:0006220
fatty acid beta-oxidation (GO:0006635)	58	2	0.29	+	6.96	0.0336	1.0	GO:0006635
long-term synaptic potentiation (GO:0060291)	59	2	0.29	+	6.84	0.0347	1.0	GO:0060291
positive regulation of calcium-mediated signaling (GO:0050850)	59	2	0.29	+	6.84	0.0347	1.0	GO:0050850
negative regulation of carbohydrate metabolic process (GO:0045912)	59	2	0.29	+	6.84	0.0347	1.0	GO:0045912
regulation of Rho protein signal transduction (GO:0035023)	90	3	0.45	+	6.73	0.0102	1.0	GO:0035023
membrane assembly (GO:0071709)	61	2	0.3	+	6.62	0.0368	1.0	GO:0071709
regulation of stress fiber assembly (GO:0051492)	92	3	0.46	+	6.58	0.0108	1.0	GO:0051492
regulation of epidermal cell differentiation (GO:0045604)	62	2	0.31	+	6.51	0.0379	1.0	GO:0045604
fatty acid derivative biosynthetic process (GO:1901570)	62	2	0.31	+	6.51	0.0379	1.0	GO:1901570
positive regulation of actin filament bundle assembly (GO:0032233)	64	2	0.32	+	6.31	0.0402	1.0	GO:0032233
ensheathment of neurons (GO:0007272)	130	4	0.64	+	6.21	0.00401	1.0	GO:0007272
axon ensheathment (GO:0008366)	130	4	0.64	+	6.21	0.00401	1.0	GO:0008366
Rho protein signal transduction (GO:0007266)	67	2	0.33	+	6.02	0.0437	1.0	GO:0007266
regulation of focal adhesion assembly (GO:0051893)	67	2	0.33	+	6.02	0.0437	1.0	GO:0051893
regulation of cell-substrate junction assembly (GO:0090109)	67	2	0.33	+	6.02	0.0437	1.0	GO:0090109
regulation of actomyosin structure organization (GO:0110020)	102	3	0.51	+	5.93	0.0142	1.0	GO:0110020
phosphatidylcholine metabolic process (GO:0046470)	68	2	0.34	+	5.93	0.0448	1.0	GO:0046470
membrane biogenesis (GO:0044091)	69	2	0.34	+	5.85	0.046	1.0	GO:0044091
cellular response to retinoic acid (GO:0071300)	70	2	0.35	+	5.76	0.0472	1.0	GO:0071300
regulation of DNA recombination (GO:0000018)	141	4	0.7	+	5.72	0.00534	1.0	GO:0000018
regulation of actin filament bundle assembly (GO:0032231)	106	3	0.53	+	5.71	0.0158	1.0	GO:0032231
positive regulation of hydrolase activity (GO:0051345)	109	3	0.54	+	5.55	0.017	1.0	GO:0051345
regulation of cartilage development (GO:0061035)	74	2	0.37	+	5.45	0.0522	1.0	GO:0061035
pyrimidine-containing compound metabolic process (GO:0072527)	74	2	0.37	+	5.45	0.0522	1.0	GO:0072527
regulation of cell-substrate junction organization (GO:0150116)	75	2	0.37	+	5.38	0.0534	1.0	GO:0150116
regulation of receptor internalization (GO:0002090)	76	2	0.38	+	5.31	0.0547	1.0	GO:0002090
positive regulation of DNA recombination (GO:0045911)	76	2	0.38	+	5.31	0.0547	1.0	GO:0045911
stem cell proliferation (GO:0072089)	78	2	0.39	+	5.17	0.0573	1.0	GO:0072089
heart valve development (GO:0003170)	78	2	0.39	+	5.17	0.0573	1.0	GO:0003170
cellular response to calcium ion (GO:0071277)	79	2	0.39	+	5.11	0.0586	1.0	GO:0071277
regulation of stem cell proliferation (GO:0072091)	80	2	0.4	+	5.04	0.0599	1.0	GO:0072091
positive regulation of pattern recognition receptor signaling pathway (GO:0062208)	80	2	0.4	+	5.04	0.0599	1.0	GO:0062208
mRNA destabilization (GO:0061157)	80	2	0.4	+	5.04	0.0599	1.0	GO:0061157
regulation of receptor-mediated endocytosis (GO:0048259)	121	3	0.6	+	5.00	0.0223	1.0	GO:0048259
glycerophospholipid metabolic process (GO:0006650)	284	7	1.41	+	4.97	0.000535	1.0	GO:0006650
regulation of stem cell differentiation (GO:2000736)	82	2	0.41	+	4.92	0.0626	1.0	GO:2000736
fatty acid oxidation (GO:0019395)	83	2	0.41	+	4.86	0.0639	1.0	GO:0019395
regulation of muscle adaptation (GO:0043502)	83	2	0.41	+	4.86	0.0639	1.0	GO:0043502
epithelial to mesenchymal transition (GO:0001837)	84	2	0.42	+	4.80	0.0653	1.0	GO:0001837
RNA destabilization (GO:0050779)	84	2	0.42	+	4.80	0.0653	1.0	GO:0050779
endoderm development (GO:0007492)	85	2	0.42	+	4.75	0.0666	1.0	GO:0007492
myelination (GO:0042552)	128	3	0.63	+	4.73	0.0258	1.0	GO:0042552
glial cell development (GO:0021782)	129	3	0.64	+	4.69	0.0264	1.0	GO:0021782
oligodendrocyte differentiation (GO:0048709)	86	2	0.43	+	4.69	0.068	1.0	GO:0048709
regulation of GTPase activity (GO:0043087)	129	3	0.64	+	4.69	0.0264	1.0	GO:0043087
positive regulation of mRNA metabolic process (GO:1903313)	129	3	0.64	+	4.69	0.0264	1.0	GO:1903313
chondrocyte differentiation (GO:0002062)	87	2	0.43	+	4.64	0.0694	1.0	GO:0002062
retinoid metabolic process (GO:0001523)	88	2	0.44	+	4.59	0.0708	1.0	GO:0001523
glycerolipid metabolic process (GO:0046486)	355	8	1.76	+	4.55	0.000388	1.0	GO:0046486
fatty acid catabolic process (GO:0009062)	90	2	0.45	+	4.48	0.0736	1.0	GO:0009062
lipid oxidation (GO:0034440)	90	2	0.45	+	4.48	0.0736	1.0	GO:0034440
positive regulation of translation (GO:0045727)	136	3	0.67	+	4.45	0.0302	1.0	GO:0045727
phospholipid metabolic process (GO:0006644)	363	8	1.8	+	4.45	0.00045	1.0	GO:0006644
fatty acid derivative metabolic process (GO:1901568)	91	2	0.45	+	4.43	0.075	1.0	GO:1901568
cellular response to UV (GO:0034644)	91	2	0.45	+	4.43	0.075	1.0	GO:0034644
diterpenoid metabolic process (GO:0016101)	92	2	0.46	+	4.39	0.0764	1.0	GO:0016101
fatty acid transport (GO:0015908)	94	2	0.47	+	4.29	0.0793	1.0	GO:0015908
primary alcohol metabolic process (GO:0034308)	94	2	0.47	+	4.29	0.0793	1.0	GO:0034308
positive regulation of mRNA catabolic process (GO:0061014)	94	2	0.47	+	4.29	0.0793	1.0	GO:0061014
phosphatidylinositol metabolic process (GO:0046488)	144	3	0.71	+	4.20	0.0349	1.0	GO:0046488
post-embryonic development (GO:0009791)	97	2	0.48	+	4.16	0.0837	1.0	GO:0009791
protein localization to plasma membrane (GO:0072659)	195	4	0.97	+	4.14	0.0162	1.0	GO:0072659
centrosome cycle (GO:0007098)	98	2	0.49	+	4.12	0.0851	1.0	GO:0007098
regulation of calcium-mediated signaling (GO:0050848)	99	2	0.49	+	4.08	0.0866	1.0	GO:0050848
response to alkaloid (GO:0043279)	101	2	0.5	+	4.00	0.0896	1.0	GO:0043279
post-Golgi vesicle-mediated transport (GO:0006892)	102	2	0.51	+	3.96	0.0911	1.0	GO:0006892
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	204	4	1.01	+	3.96	0.0188	1.0	GO:0051897
lipid modification (GO:0030258)	153	3	0.76	+	3.96	0.0406	1.0	GO:0030258
lipid catabolic process (GO:0016042)	307	6	1.52	+	3.94	0.00427	1.0	GO:0016042
regulation of biomineral tissue development (GO:0070167)	103	2	0.51	+	3.92	0.0926	1.0	GO:0070167
response to UV (GO:0009411)	157	3	0.78	+	3.86	0.0433	1.0	GO:0009411
olefinic compound metabolic process (GO:0120254)	158	3	0.78	+	3.83	0.0439	1.0	GO:0120254
terpenoid metabolic process (GO:0006721)	107	2	0.53	+	3.77	0.0988	1.0	GO:0006721
negative regulation of cellular response to growth factor stimulus (GO:0090288)	107	2	0.53	+	3.77	0.0988	1.0	GO:0090288
regulation of BMP signaling pathway (GO:0030510)	107	2	0.53	+	3.77	0.0988	1.0	GO:0030510
glycerolipid biosynthetic process (GO:0045017)	216	4	1.07	+	3.74	0.0226	1.0	GO:0045017
inorganic ion import across plasma membrane (GO:0099587)	108	2	0.54	+	3.74	0.1	1.0	GO:0099587
inorganic cation import across plasma membrane (GO:0098659)	108	2	0.54	+	3.74	0.1	1.0	GO:0098659
actin filament-based movement (GO:0030048)	108	2	0.54	+	3.74	0.1	1.0	GO:0030048
regulation of fatty acid metabolic process (GO:0019217)	109	2	0.54	+	3.70	0.102	1.0	GO:0019217
response to retinoic acid (GO:0032526)	109	2	0.54	+	3.70	0.102	1.0	GO:0032526
reactive oxygen species metabolic process (GO:0072593)	109	2	0.54	+	3.70	0.102	1.0	GO:0072593
small GTPase-mediated signal transduction (GO:0007264)	275	5	1.36	+	3.67	0.012	1.0	GO:0007264
proteoglycan metabolic process (GO:0006029)	112	2	0.56	+	3.60	0.107	1.0	GO:0006029
microtubule organizing center organization (GO:0031023)	112	2	0.56	+	3.60	0.107	1.0	GO:0031023
