GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0010133	proline catabolic process to glutamate	3	2	0.07	0.0018	1
GO:0003365	establishment of cell polarity involved in ameboidal cell migration	3	2	0.07	0.0018	1
GO:0048807	female genitalia morphogenesis	3	2	0.07	0.0018	1
GO:0030334	regulation of cell migration	1050	36	25.72	0.0034	1
GO:0046839	phospholipid dephosphorylation	43	5	1.05	0.0034	1
GO:0046854	phosphatidylinositol phosphate biosynthetic process	64	6	1.57	0.0035	1
GO:0035089	establishment of apical/basal cell polarity	22	4	0.54	0.0057	1
GO:0038065	collagen-activated signaling pathway	15	3	0.37	0.0057	1
GO:0070120	ciliary neurotrophic factor-mediated signaling pathway	5	2	0.12	0.0057	1
GO:0051491	positive regulation of filopodium assembly	31	4	0.76	0.0066	1
GO:0006670	sphingosine metabolic process	20	3	0.49	0.0084	1
GO:0060510	type II pneumocyte differentiation	6	2	0.15	0.0084	1
GO:0055129	L-proline biosynthetic process	6	2	0.15	0.0084	1
GO:0045851	pH reduction	6	2	0.15	0.0084	1
GO:0000425	pexophagy	7	2	0.17	0.0116	1
GO:0010536	positive regulation of activation of Janus kinase activity	7	2	0.17	0.0116	1
GO:0045580	regulation of T cell differentiation	183	5	4.48	0.0142	1
GO:0008211	glucocorticoid metabolic process	25	3	0.61	0.0152	1
GO:0048041	focal adhesion assembly	85	4	2.08	0.0160	1
GO:0042100	B cell proliferation	104	6	2.55	0.0161	1
GO:0006915	apoptotic process	1959	60	47.98	0.0186	1
GO:2000096	positive regulation of Wnt signaling pathway, planar cell polarity pathway	9	2	0.22	0.0192	1
GO:0070292	N-acylphosphatidylethanolamine metabolic process	9	2	0.22	0.0192	1
GO:0030277	maintenance of gastrointestinal epithelium	24	3	0.59	0.0202	1
GO:0010839	negative regulation of keratinocyte proliferation	24	3	0.59	0.0202	1
GO:0071526	semaphorin-plexin signaling pathway	44	4	1.08	0.0223	1
GO:0060396	growth hormone receptor signaling pathway	25	3	0.61	0.0225	1
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	66	5	1.62	0.0227	1
GO:0007368	determination of left/right symmetry	137	6	3.36	0.0229	1
GO:0015820	leucine transport	10	2	0.24	0.0237	1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	409	17	10.02	0.0244	1
GO:0097502	mannosylation	26	2	0.64	0.0245	1
GO:0032945	negative regulation of mononuclear cell proliferation	90	3	2.2	0.0245	1
GO:0051453	regulation of intracellular pH	91	5	2.23	0.0249	1
GO:0030833	regulation of actin filament polymerization	136	5	3.33	0.0251	1
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	299	12	7.32	0.0255	1
GO:0046425	regulation of receptor signaling pathway via JAK-STAT	105	8	2.57	0.0280	1
GO:0051492	regulation of stress fiber assembly	93	5	2.28	0.0283	1
GO:0090309	positive regulation of DNA methylation-dependent heterochromatin formation	11	2	0.27	0.0284	1
GO:0046710	GDP metabolic process	11	2	0.27	0.0284	1
GO:0015015	heparan sulfate proteoglycan biosynthetic process, enzymatic modification	12	2	0.29	0.0336	1
GO:0030324	lung development	193	11	4.73	0.0341	1
GO:0003334	keratinocyte development	13	2	0.32	0.0391	1
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	13	2	0.32	0.0391	1
GO:0098693	regulation of synaptic vesicle cycle	13	2	0.32	0.0391	1
GO:0035865	cellular response to potassium ion	13	2	0.32	0.0391	1
GO:0048240	sperm capacitation	34	4	0.83	0.0393	1
GO:0032200	telomere organization	188	4	4.6	0.0402	1
GO:0032355	response to estradiol	115	7	2.82	0.0402	1
GO:0007186	G protein-coupled receptor signaling pathway	1284	45	31.45	0.0403	1
GO:0006654	phosphatidic acid biosynthetic process	32	3	0.78	0.0428	1
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	32	3	0.78	0.0428	1
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	32	3	0.78	0.0428	1
GO:0006631	fatty acid metabolic process	399	11	9.77	0.0434	1
GO:0044342	type B pancreatic cell proliferation	28	3	0.69	0.0447	1
GO:0043306	positive regulation of mast cell degranulation	14	2	0.34	0.0449	1
GO:0006000	fructose metabolic process	14	2	0.34	0.0449	1
GO:0050930	induction of positive chemotaxis	14	2	0.34	0.0449	1
GO:0042541	hemoglobin biosynthetic process	14	2	0.34	0.0449	1
GO:0060019	radial glial cell differentiation	14	2	0.34	0.0449	1
GO:0050817	coagulation	231	10	5.66	0.0480	1
GO:0031453	positive regulation of heterochromatin formation	13	3	0.32	0.0482	1
GO:0030203	glycosaminoglycan metabolic process	111	4	2.72	0.0484	1
GO:0055017	cardiac muscle tissue growth	91	3	2.23	0.0484	1
GO:0046032	ADP catabolic process	92	2	2.25	0.0485	1
GO:0008608	attachment of spindle microtubules to kinetochore	52	4	1.27	0.0507	1
GO:0033198	response to ATP	33	3	0.81	0.0508	1
GO:0090263	positive regulation of canonical Wnt signaling pathway	111	6	2.72	0.0554	1
GO:0007204	positive regulation of cytosolic calcium ion concentration	168	8	4.12	0.0568	1
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	84	6	2.06	0.0569	1
GO:0099150	regulation of postsynaptic specialization assembly	16	2	0.39	0.0573	1
GO:0048712	negative regulation of astrocyte differentiation	16	2	0.39	0.0573	1
GO:0045869	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	16	2	0.39	0.0573	1
GO:0006259	DNA metabolic process	1028	26	25.18	0.0575	1
GO:0043388	positive regulation of DNA binding	39	4	0.96	0.0611	1
GO:0050848	regulation of calcium-mediated signaling	94	6	2.3	0.0634	1
GO:0016310	phosphorylation	1545	41	37.84	0.0636	1
GO:0031214	biomineral tissue development	180	6	4.41	0.0639	1
GO:0045198	establishment of epithelial cell apical/basal polarity	17	2	0.42	0.0639	1
