Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
protein localization to chromosome, centromeric region (GO:0071459)	25	2	0.06	+	32.93	0.00167	1.0	GO:0071459
motor neuron axon guidance (GO:0008045)	26	2	0.06	+	31.66	0.00181	1.0	GO:0008045
placenta blood vessel development (GO:0060674)	33	2	0.08	+	24.95	0.00291	1.0	GO:0060674
positive regulation of dendrite morphogenesis (GO:0050775)	34	2	0.08	+	24.21	0.00309	1.0	GO:0050775
integrated stress response signaling (GO:0140467)	36	2	0.09	+	22.87	0.00346	1.0	GO:0140467
positive regulation of cell morphogenesis (GO:0010770)	36	2	0.09	+	22.87	0.00346	1.0	GO:0010770
sister chromatid cohesion (GO:0007062)	49	2	0.12	+	16.80	0.00632	1.0	GO:0007062
glutamate receptor signaling pathway (GO:0007215)	51	2	0.12	+	16.14	0.00684	1.0	GO:0007215
cochlea development (GO:0090102)	57	2	0.14	+	14.44	0.00848	1.0	GO:0090102
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	58	2	0.14	+	14.19	0.00877	1.0	GO:0045744
positive regulation of calcium ion transmembrane transport (GO:1904427)	60	2	0.15	+	13.72	0.00936	1.0	GO:1904427
regulation of dendrite morphogenesis (GO:0048814)	64	2	0.16	+	12.86	0.0106	1.0	GO:0048814
amino acid biosynthetic process (GO:0008652)	69	2	0.17	+	11.93	0.0122	1.0	GO:0008652
regulation of synaptic transmission, glutamatergic (GO:0051966)	74	2	0.18	+	11.12	0.014	1.0	GO:0051966
proteinogenic amino acid catabolic process (GO:0170040)	81	2	0.2	+	10.16	0.0166	1.0	GO:0170040
L-amino acid catabolic process (GO:0170035)	83	2	0.2	+	9.92	0.0174	1.0	GO:0170035
metaphase chromosome alignment (GO:0051310)	84	2	0.2	+	9.80	0.0178	1.0	GO:0051310
protein localization to chromosome (GO:0034502)	84	2	0.2	+	9.80	0.0178	1.0	GO:0034502
alpha-amino acid catabolic process (GO:1901606)	95	2	0.23	+	8.67	0.0224	1.0	GO:1901606
regulation of dendrite development (GO:0050773)	100	2	0.24	+	8.23	0.0246	1.0	GO:0050773
positive regulation of calcium ion transport (GO:0051928)	101	2	0.25	+	8.15	0.0251	1.0	GO:0051928
positive regulation of JNK cascade (GO:0046330)	101	2	0.25	+	8.15	0.0251	1.0	GO:0046330
chromosome localization (GO:0050000)	105	2	0.26	+	7.84	0.0269	1.0	GO:0050000
amino acid catabolic process (GO:0009063)	108	2	0.26	+	7.62	0.0284	1.0	GO:0009063
positive regulation of cation transmembrane transport (GO:1904064)	120	2	0.29	+	6.86	0.0344	1.0	GO:1904064
