Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes	GOID
0.0309333095468489	76	2086	1.6706048722565	GO:0009888 tissue development 	 http://amigo.geneontology.org/amigo/term/GO:0009888	 PCK2  AKNA  ATRNL1  KRT32  MYOD1  KRT85  BMP2K  CER1  KRT82  DAND5  SEMA4D  NCOA1  NANOG  BMP2  F2RL1  BSG  PAF1  HDAC4  ITGA8  B4GALT1  PHGDH  HIF1A  GATA1  PLOD3  LHX2  BMPR1A  RBM24  KDM5B  PPL  GNA13  AMELX  GPCPD1  HOXD10  FOXA1  BMP15  GRSF1  BCL10  PCDH15  GRHL3  LCE3D  FZD5  CITED2  GJB2  DCHS1  ARL13B  BPTF  FOXB1  ESRRA  AMBN  ADIPOQ  LCE5A  FOXE3  LCE2C  CPLANE1  RYR2  KRTAP6-3  LBH  PPP3R1  GPX1  LCE6A  COL7A1  CRIP1  ITGB8  RHEB  RAPGEF1  DDX5  RAPGEF2  LIN7C  PGRMC2  CCDC103  SLC8A1  ESRP1  PLAAT1  NIBAN2  ABI2  CELSR2	GO:0009888
0.0789348848414406	6	36	7.64228456913828	GO:0010644 cell communication by electrical coupling 	 http://amigo.geneontology.org/amigo/term/GO:0010644	 RYR2  GJB2  SLC8A1  CASQ2  ATP1B2  ATP1A1	GO:0010644
0.0789348848414406	40	958	1.91455980855239	GO:0014070 response to organic cyclic compound 	 http://amigo.geneontology.org/amigo/term/GO:0014070	 GNA15  PCK2  CSN1S1  SAFB  RAPGEF1  RAPGEF2  ADORA2A  FOXA1  ATP1A1  RYR2  GH1  OTC  CASP8  BCKDHB  MTAP  GATA1  EFTUD2  FLT3  OPRL1  BMP2  MYOD1  KLF16  ATP5F1A  PGRMC2  GJB2  PLA2G4F  ALK  PRKCE  BSG  ESRRA  OR10H4  ADIPOQ  SLC8A1  HRH1  LBH  GPX1  DDX5  CASQ2  GNB1  P2RY2	GO:0014070
0.0789348848414406	33	756	2.0015507204886	GO:0030855 epithelial cell differentiation 	 http://amigo.geneontology.org/amigo/term/GO:0030855	 PCK2  KRT32  KRT85  KRT82  F2RL1  B4GALT1  HIF1A  GATA1  PLOD3  KDM5B  PPL  BMP2  FOXA1  BMP15  PCDH15  LCE3D  FZD5  FOXB1  ADIPOQ  LCE5A  FOXE3  LCE2C  KRTAP6-3  LBH  PPP3R1  GPX1  LCE6A  RHEB  RAPGEF1  RAPGEF2  ESRP1  PLAAT1  ABI2	GO:0030855
0.0789348848414406	20	357	2.56883514929018	GO:0031346 positive regulation of cell projection organization 	 http://amigo.geneontology.org/amigo/term/GO:0031346	 CDKL3  CDC42EP1  PLXNB1  ENTR1  EPS8L2  ABI2  PROM2  HDAC4  RAPGEF1  NEDD9  ATP1B2  PIK3R1  NCK1  F2RL1  ALK  SEMA4D  GPC2  APC  CX3CL1  RAPGEF2	GO:0031346
0.0789348848414406	7	49	6.55052963068995	GO:0046677 response to antibiotic 	 http://amigo.geneontology.org/amigo/term/GO:0046677	 AOC3  CRIP1  CASP8  KDM5B  GJB2  PLA2G4F  CCR4	GO:0046677
0.0789348848414406	50	1271	1.80384372206254	GO:0060429 epithelium development 	 http://amigo.geneontology.org/amigo/term/GO:0060429	 PCK2  KRT32  KRT85  KRT82  F2RL1  BSG  B4GALT1  PHGDH  HIF1A  GATA1  PLOD3  LHX2  BMPR1A  KDM5B  PPL  GNA13  BMP2  FOXA1  BMP15  GRSF1  BCL10  CER1  PCDH15  GRHL3  LCE3D  FZD5  CITED2  DCHS1  ARL13B  FOXB1  ADIPOQ  LCE5A  FOXE3  LCE2C  CPLANE1  RYR2  KRTAP6-3  LBH  PPP3R1  GPX1  LCE6A  RHEB  RAPGEF1  RAPGEF2  LIN7C  CCDC103  ESRP1  PLAAT1  ABI2  CELSR2	GO:0060429
0.0789348848414406	29	618	2.15171118936903	GO:0071407 cellular response to organic cyclic compound 	 http://amigo.geneontology.org/amigo/term/GO:0071407	 GNA15  PCK2  SAFB  RAPGEF1  RAPGEF2  ATP1A1  RYR2  CASP8  GATA1  FLT3  BMP2  MYOD1  KLF16  ATP5F1A  PGRMC2  GJB2  PLA2G4F  ALK  ESRRA  OR10H4  ADIPOQ  SLC8A1  HRH1  LBH  DDX5  CASQ2  FOXA1  GNB1  P2RY2	GO:0071407
0.0789348848414406	3	5	27.5122244488978	GO:1900108 negative regulation of nodal signaling pathway 	 http://amigo.geneontology.org/amigo/term/GO:1900108	 CER1  DAND5  NOMO3	GO:1900108
0.0904831880726842	58	1660	1.60211748798802	GO:0009719 response to endogenous stimulus 	 http://amigo.geneontology.org/amigo/term/GO:0009719	 GNA15  NCOA1  PCK2  BMPR1A  LAMTOR3  BMP2  CSN1S1  BMP15  PIK3R1  CER1  SAFB  DAND5  GH1  BRMS1L  GATA1  RAPGEF1  RAPGEF2  MEAK7  PID1  ATP1A1  CITED2  RYR2  PDK2  OTC  HDAC4  NUCKS1  EPHA8  ITGA8  BCKDHB  ITGB8  KDM5B  FLT3  MYOD1  KLF16  ATP5F1A  PRKAA2  PGRMC2  GJB2  ALK  PRKCE  BSG  ESRRA  OR10H4  ADIPOQ  SLC8A1  HRH1  LBH  GPX1  CTSL  DDX5  CASQ2  FOXA1  APC  CRIM1  NCK1  ME1  GNB1  P2RY2	GO:0009719
