Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
inositol trisphosphate metabolic process (GO:0032957)	7	2	0.07	+	28.82	0.00199	1.0	GO:0032957
positive regulation of receptor catabolic process (GO:2000646)	8	2	0.08	+	25.22	0.00263	1.0	GO:2000646
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	9	2	0.09	+	22.42	0.00336	1.0	GO:0045743
protein import (GO:0017038)	9	2	0.09	+	22.42	0.00336	1.0	GO:0017038
sleep (GO:0030431)	9	2	0.09	+	22.42	0.00336	1.0	GO:0030431
sympathetic ganglion development (GO:0061549)	9	2	0.09	+	22.42	0.00336	1.0	GO:0061549
tongue morphogenesis (GO:0043587)	10	2	0.1	+	20.18	0.00418	1.0	GO:0043587
positive regulation of dendritic cell cytokine production (GO:0002732)	11	2	0.11	+	18.34	0.00507	1.0	GO:0002732
regulation of receptor catabolic process (GO:2000644)	12	2	0.12	+	16.81	0.00604	1.0	GO:2000644
negative regulation of extracellular matrix organization (GO:1903054)	13	2	0.13	+	15.52	0.0071	1.0	GO:1903054
response to yeast (GO:0001878)	13	2	0.13	+	15.52	0.0071	1.0	GO:0001878
inositol phosphate biosynthetic process (GO:0032958)	13	2	0.13	+	15.52	0.0071	1.0	GO:0032958
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	14	2	0.14	+	14.41	0.00823	1.0	GO:0045736
maternal behavior (GO:0042711)	14	2	0.14	+	14.41	0.00823	1.0	GO:0042711
protein localization to microtubule (GO:0035372)	14	2	0.14	+	14.41	0.00823	1.0	GO:0035372
positive regulation of systemic arterial blood pressure (GO:0003084)	15	2	0.15	+	13.45	0.00943	1.0	GO:0003084
locomotor rhythm (GO:0045475)	15	2	0.15	+	13.45	0.00943	1.0	GO:0045475
negative regulation of lyase activity (GO:0051350)	15	2	0.15	+	13.45	0.00943	1.0	GO:0051350
positive regulation of neuroinflammatory response (GO:0150078)	15	2	0.15	+	13.45	0.00943	1.0	GO:0150078
parental behavior (GO:0060746)	15	2	0.15	+	13.45	0.00943	1.0	GO:0060746
negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	16	2	0.16	+	12.61	0.0107	1.0	GO:1904030
regulation of dendritic cell cytokine production (GO:0002730)	16	2	0.16	+	12.61	0.0107	1.0	GO:0002730
positive regulation of interferon-alpha production (GO:0032727)	25	3	0.25	+	12.11	0.00188	1.0	GO:0032727
cellular response to exogenous dsRNA (GO:0071360)	17	2	0.17	+	11.87	0.0121	1.0	GO:0071360
ganglion development (GO:0061548)	17	2	0.17	+	11.87	0.0121	1.0	GO:0061548
glycogen biosynthetic process (GO:0005978)	19	2	0.19	+	10.62	0.015	1.0	GO:0005978
glucan biosynthetic process (GO:0009250)	19	2	0.19	+	10.62	0.015	1.0	GO:0009250
detection of temperature stimulus (GO:0016048)	29	3	0.29	+	10.44	0.0029	1.0	GO:0016048
positive regulation of homotypic cell-cell adhesion (GO:0034112)	20	2	0.2	+	10.09	0.0165	1.0	GO:0034112
natural killer cell mediated cytotoxicity (GO:0042267)	41	4	0.41	+	9.84	0.000712	1.0	GO:0042267
regulation of interferon-alpha production (GO:0032647)	31	3	0.31	+	9.76	0.00352	1.0	GO:0032647
regulation of interleukin-13 production (GO:0032656)	21	2	0.21	+	9.61	0.0181	1.0	GO:0032656
tongue development (GO:0043586)	21	2	0.21	+	9.61	0.0181	1.0	GO:0043586
phasic smooth muscle contraction (GO:0014821)	21	2	0.21	+	9.61	0.0181	1.0	GO:0014821
natural killer cell mediated immunity (GO:0002228)	44	4	0.44	+	9.17	0.000933	1.0	GO:0002228
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	22	2	0.22	+	9.17	0.0198	1.0	GO:0050965
sympathetic nervous system development (GO:0048485)	22	2	0.22	+	9.17	0.0198	1.0	GO:0048485
polysaccharide biosynthetic process (GO:0000271)	34	3	0.34	+	8.90	0.00458	1.0	GO:0000271
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	34	3	0.34	+	8.90	0.00458	1.0	GO:0035774
vasoconstriction (GO:0042310)	34	3	0.34	+	8.90	0.00458	1.0	GO:0042310
innate immune response in mucosa (GO:0002227)	23	2	0.23	+	8.77	0.0216	1.0	GO:0002227
positive regulation of amino acid transport (GO:0051957)	23	2	0.23	+	8.77	0.0216	1.0	GO:0051957
cellular response to dsRNA (GO:0071359)	23	2	0.23	+	8.77	0.0216	1.0	GO:0071359
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	47	4	0.47	+	8.59	0.0012	1.0	GO:0000079
glycoprotein catabolic process (GO:0006516)	36	3	0.36	+	8.41	0.00539	1.0	GO:0006516
