GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0007194	negative regulation of adenylate cyclase activity	14	3	0.06	3.3e-05	0.512028
GO:0006914	autophagy	577	5	2.66	0.00029	1
GO:0014911	positive regulation of smooth muscle cell migration	50	3	0.23	0.00530	1
GO:0090314	positive regulation of protein targeting to membrane	28	2	0.13	0.00732	1
GO:0001659	temperature homeostasis	183	3	0.84	0.00887	1
GO:0007628	adult walking behavior	32	2	0.15	0.00949	1
GO:0007155	cell adhesion	1530	12	7.04	0.01158	1
GO:0051968	positive regulation of synaptic transmission, glutamatergic	36	2	0.17	0.01192	1
GO:0072102	glomerulus morphogenesis	9	2	0.04	0.01359	1
GO:0007015	actin filament organization	464	6	2.14	0.01430	1
GO:0005978	glycogen biosynthetic process	46	2	0.21	0.01901	1
GO:0050729	positive regulation of inflammatory response	153	4	0.7	0.01945	1
GO:0008542	visual learning	49	2	0.23	0.02141	1
GO:0007267	cell-cell signaling	1709	12	7.87	0.02319	1
GO:0030838	positive regulation of actin filament polymerization	52	2	0.24	0.02392	1
GO:0000122	negative regulation of transcription by RNA polymerase II	921	9	4.24	0.02553	1
GO:0032956	regulation of actin cytoskeleton organization	341	5	1.57	0.03772	1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	409	5	1.88	0.04039	1
GO:0043266	regulation of potassium ion transport	102	2	0.47	0.04041	1
GO:0008333	endosome to lysosome transport	73	2	0.34	0.04458	1
GO:0032729	positive regulation of type II interferon production	77	2	0.35	0.04906	1
GO:0072659	protein localization to plasma membrane	292	4	1.34	0.05232	1
GO:0016078	tRNA catabolic process	16	2	0.07	0.05757	1
GO:0032456	endocytic recycling	88	2	0.41	0.06215	1
GO:1990845	adaptive thermogenesis	169	2	0.78	0.07520	1
GO:0070374	positive regulation of ERK1 and ERK2 cascade	214	3	0.99	0.07605	1
GO:0048661	positive regulation of smooth muscle cell proliferation	100	2	0.46	0.07761	1
GO:0051301	cell division	642	8	2.96	0.07862	1
GO:1990830	cellular response to leukemia inhibitory factor	104	2	0.48	0.08301	1
GO:0007212	dopamine receptor signaling pathway	40	2	0.18	0.08310	1
GO:0032228	regulation of synaptic transmission, GABAergic	35	2	0.16	0.08725	1
GO:0042633	hair cycle	118	2	0.54	0.09180	1
GO:0007186	G protein-coupled receptor signaling pathway	1284	11	5.91	0.09581	1
GO:0007608	sensory perception of smell	434	6	2	0.10509	1
GO:0048260	positive regulation of receptor-mediated endocytosis	52	2	0.24	0.11199	1
GO:0001523	retinoid metabolic process	84	2	0.39	0.11218	1
GO:0045944	positive regulation of transcription by RNA polymerase II	1239	9	5.7	0.11562	1
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	44	2	0.2	0.11599	1
GO:0010595	positive regulation of endothelial cell migration	131	2	0.6	0.12210	1
GO:0007049	cell cycle	1811	16	8.34	0.12365	1
GO:0099601	regulation of neurotransmitter receptor activity	46	2	0.21	0.12403	1
GO:0050873	brown fat cell differentiation	54	2	0.25	0.12408	1
GO:0045765	regulation of angiogenesis	353	4	1.62	0.13108	1
GO:0008360	regulation of cell shape	140	2	0.64	0.13598	1
GO:0046488	phosphatidylinositol metabolic process	162	2	0.75	0.13675	1
GO:0048168	regulation of neuronal synaptic plasticity	58	2	0.27	0.13996	1
GO:0040014	regulation of multicellular organism growth	64	2	0.29	0.14000	1
GO:0030073	insulin secretion	200	2	0.92	0.14098	1
GO:0002437	inflammatory response to antigenic stimulus	82	2	0.38	0.14405	1
GO:0006897	endocytosis	712	8	3.28	0.14629	1
GO:0016477	cell migration	1612	10	7.42	0.16505	1
GO:0032465	regulation of cytokinesis	93	3	0.43	0.16545	1
GO:0001932	regulation of protein phosphorylation	924	6	4.25	0.17069	1
GO:0007163	establishment or maintenance of cell polarity	226	2	1.04	0.18359	1
GO:0018108	peptidyl-tyrosine phosphorylation	269	2	1.24	0.18399	1
GO:0050680	negative regulation of epithelial cell proliferation	173	2	0.8	0.18935	1
GO:0001525	angiogenesis	624	8	2.87	0.19279	1
GO:0050921	positive regulation of chemotaxis	142	2	0.65	0.20134	1
GO:0006508	proteolysis	1609	10	7.41	0.20308	1
GO:0006629	lipid metabolic process	1397	7	6.43	0.20836	1
GO:0045766	positive regulation of angiogenesis	187	2	0.86	0.21280	1
GO:0045930	negative regulation of mitotic cell cycle	248	2	1.14	0.21696	1
GO:0045600	positive regulation of fat cell differentiation	71	2	0.33	0.22222	1
GO:0051260	protein homooligomerization	195	2	0.9	0.22633	1
GO:0042130	negative regulation of T cell proliferation	73	2	0.34	0.22931	1
GO:0006936	muscle contraction	355	3	1.63	0.23353	1
GO:0045786	negative regulation of cell cycle	405	6	1.86	0.23677	1
GO:0040029	epigenetic regulation of gene expression	218	3	1	0.24237	1
GO:0008015	blood circulation	526	4	2.42	0.24686	1
GO:0010564	regulation of cell cycle process	744	9	3.42	0.24920	1
GO:0002027	regulation of heart rate	104	2	0.48	0.25390	1
GO:0001817	regulation of cytokine production	862	6	3.97	0.26252	1
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	80	3	0.37	0.26435	1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	388	3	1.79	0.26485	1
GO:0035914	skeletal muscle cell differentiation	77	2	0.35	0.26707	1
GO:0002088	lens development in camera-type eye	90	2	0.41	0.26724	1
GO:0000278	mitotic cell cycle	910	6	4.19	0.27643	1
GO:0030155	regulation of cell adhesion	806	5	3.71	0.27798	1
GO:1901796	regulation of signal transduction by p53 class mediator	108	2	0.5	0.28727	1
GO:0030100	regulation of endocytosis	289	4	1.33	0.29022	1
GO:0043408	regulation of MAPK cascade	668	6	3.07	0.29881	1
GO:0007613	memory	126	2	0.58	0.32860	1
GO:0006006	glucose metabolic process	192	2	0.88	0.34176	1
GO:0070372	regulation of ERK1 and ERK2 cascade	307	4	1.41	0.34276	1
GO:0007409	axonogenesis	454	3	2.09	0.34794	1
GO:0030099	myeloid cell differentiation	439	3	2.02	0.35120	1
GO:0043085	positive regulation of catalytic activity	878	2	4.04	0.35561	1
GO:0034599	cellular response to oxidative stress	247	2	1.14	0.36048	1
GO:0045807	positive regulation of endocytosis	153	3	0.7	0.36709	1
GO:0007338	single fertilization	166	2	0.76	0.37082	1
GO:0045664	regulation of neuron differentiation	196	2	0.9	0.37418	1
GO:0007059	chromosome segregation	420	2	1.93	0.38645	1
GO:0048738	cardiac muscle tissue development	248	2	1.14	0.41931	1
GO:0001701	in utero embryonic development	401	3	1.85	0.42025	1
GO:0008283	cell population proliferation	2077	13	9.56	0.42880	1
GO:0030182	neuron differentiation	1423	5	6.55	0.43706	1
GO:0006997	nucleus organization	141	2	0.65	0.43833	1
GO:0002181	cytoplasmic translation	159	2	0.73	0.43865	1
GO:0016055	Wnt signaling pathway	464	2	2.14	0.43899	1
GO:0007266	Rho protein signal transduction	145	2	0.67	0.44350	1
GO:0007009	plasma membrane organization	169	3	0.78	0.44501	1
GO:0006470	protein dephosphorylation	208	2	0.96	0.44970	1
GO:0071805	potassium ion transmembrane transport	217	2	1	0.45238	1
GO:0071456	cellular response to hypoxia	152	2	0.7	0.45369	1
GO:0043065	positive regulation of apoptotic process	551	3	2.54	0.46784	1
GO:0019722	calcium-mediated signaling	232	2	1.07	0.46993	1
GO:0006468	protein phosphorylation	1288	7	5.93	0.50443	1
GO:0046777	protein autophosphorylation	192	2	0.88	0.50662	1
GO:0006874	intracellular calcium ion homeostasis	302	2	1.39	0.53509	1
GO:0006511	ubiquitin-dependent protein catabolic process	595	5	2.74	0.54451	1
GO:0071363	cellular response to growth factor stimulus	746	3	3.43	0.54605	1
GO:0007268	chemical synaptic transmission	748	5	3.44	0.54762	1
GO:0051726	regulation of cell cycle	1114	12	5.13	0.57392	1
GO:0006909	phagocytosis	236	2	1.09	0.57841	1
GO:0030154	cell differentiation	4440	23	20.44	0.58006	1
GO:0034976	response to endoplasmic reticulum stress	269	2	1.24	0.58861	1
GO:0017148	negative regulation of translation	205	2	0.94	0.59292	1
GO:0001934	positive regulation of protein phosphorylation	579	4	2.67	0.60797	1
GO:0009410	response to xenobiotic stimulus	443	2	2.04	0.60850	1
GO:0007417	central nervous system development	1032	4	4.75	0.61210	1
GO:0006869	lipid transport	454	3	2.09	0.64067	1
GO:0030335	positive regulation of cell migration	580	7	2.67	0.64244	1
GO:0060271	cilium assembly	385	2	1.77	0.76208	1
GO:0045892	negative regulation of DNA-templated transcription	1262	10	5.81	0.77550	1
GO:0007399	nervous system development	2535	8	11.67	0.77647	1
GO:0006886	intracellular protein transport	673	3	3.1	0.79542	1
GO:0007264	small GTPase-mediated signal transduction	499	3	2.3	0.80269	1
GO:0016567	protein ubiquitination	757	2	3.48	0.80489	1
GO:0008284	positive regulation of cell population proliferation	983	6	4.52	0.80673	1
GO:0030336	negative regulation of cell migration	380	2	1.75	0.81739	1
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	641	3	2.95	0.85460	1
GO:0008285	negative regulation of cell population proliferation	789	5	3.63	0.90577	1
GO:0007165	signal transduction	5991	28	27.58	0.90971	1
GO:0010628	positive regulation of gene expression	1197	4	5.51	0.96185	1
GO:0043066	negative regulation of apoptotic process	903	2	4.16	0.96919	1
GO:0006357	regulation of transcription by RNA polymerase II	2565	13	11.81	0.96987	1
GO:0090313	regulation of protein targeting to membrane	34	2	0.16	1.00000	1
GO:0009987	cellular process	17161	74	78.99	1.00000	1
GO:0043009	chordate embryonic development	659	3	3.03	1.00000	1
GO:0042692	muscle cell differentiation	428	4	1.97	1.00000	1
GO:0080134	regulation of response to stress	1408	8	6.48	1.00000	1
GO:0007275	multicellular organism development	4758	21	21.9	1.00000	1
GO:0080135	regulation of cellular response to stress	510	3	2.35	1.00000	1
GO:0032101	regulation of response to external stimulus	1142	7	5.26	1.00000	1
GO:0007276	gamete generation	815	2	3.75	1.00000	1
GO:0032102	negative regulation of response to external stimulus	456	2	2.1	1.00000	1
GO:0032103	positive regulation of response to external stimulus	640	5	2.95	1.00000	1
GO:0070887	cellular response to chemical stimulus	2731	14	12.57	1.00000	1
GO:0098876	vesicle-mediated transport to the plasma membrane	149	2	0.69	1.00000	1
GO:0010467	gene expression	7028	23	32.35	1.00000	1
GO:0010468	regulation of gene expression	5391	20	24.81	1.00000	1
GO:0010469	regulation of signaling receptor activity	104	2	0.48	1.00000	1
GO:0000280	nuclear division	444	2	2.04	1.00000	1
GO:0006807	nitrogen compound metabolic process	9959	43	45.84	1.00000	1
GO:0009914	hormone transport	322	2	1.48	1.00000	1
GO:0071495	cellular response to endogenous stimulus	1502	8	6.91	1.00000	1
GO:0045893	positive regulation of DNA-templated transcription	1680	9	7.73	1.00000	1
GO:0014910	regulation of smooth muscle cell migration	91	3	0.42	1.00000	1
GO:0061919	process utilizing autophagic mechanism	577	5	2.66	1.00000	1
GO:0000271	polysaccharide biosynthetic process	66	2	0.3	1.00000	1
GO:0019438	aromatic compound biosynthetic process	4064	16	18.71	1.00000	1
GO:0019439	aromatic compound catabolic process	676	2	3.11	1.00000	1
GO:0120031	plasma membrane bounded cell projection assembly	583	4	2.68	1.00000	1
GO:0120032	regulation of plasma membrane bounded cell projection assembly	204	2	0.94	1.00000	1
GO:0000226	microtubule cytoskeleton organization	648	2	2.98	1.00000	1
GO:0090304	nucleic acid metabolic process	5510	19	25.36	1.00000	1
GO:0120035	regulation of plasma membrane bounded cell projection organization	659	2	3.03	1.00000	1
GO:0120036	plasma membrane bounded cell projection organization	1566	7	7.21	1.00000	1
GO:0050905	neuromuscular process	165	2	0.76	1.00000	1
GO:0042325	regulation of phosphorylation	1000	6	4.6	1.00000	1
GO:0050906	detection of stimulus involved in sensory perception	523	5	2.41	1.00000	1
GO:0050907	detection of chemical stimulus involved in sensory perception	454	5	2.09	1.00000	1
GO:0042327	positive regulation of phosphorylation	624	4	2.87	1.00000	1
GO:0120039	plasma membrane bounded cell projection morphogenesis	661	3	3.04	1.00000	1
GO:0050790	regulation of catalytic activity	1404	6	6.46	1.00000	1
GO:0050793	regulation of developmental process	2552	16	11.75	1.00000	1
GO:0009205	purine ribonucleoside triphosphate metabolic process	242	2	1.11	1.00000	1
