geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:0046339	diacylglycerol metabolic process	http://amigo.geneontology.org/amigo/term/GO:0046339	27	4	0.28933738167529915	13.824691358024692	1.845894161205207e-4	1	9489;57104;151056;221955
GO:0120254	olefinic compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:0120254	160	8	1.7145918914091802	4.6658333333333335	3.327736660328913e-4	1	231;873;2052;2879;57104;64600;151056;221955
GO:0019369	arachidonic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019369	58	5	0.6215395606358278	8.044540229885058	3.8682474828278043e-4	1	873;2052;2879;64600;221955
GO:0070293	renal absorption	http://amigo.geneontology.org/amigo/term/GO:0070293	35	4	0.3750669762457582	10.664761904761905	5.151325106622572e-4	1	3043;6523;10916;26249
GO:1900158	negative regulation of bone mineralization involved in bone maturation	http://amigo.geneontology.org/amigo/term/GO:1900158	4	2	0.0428647972852295	46.65833333333334	6.755895574197041e-4	1	26585;359845
GO:0046340	diacylglycerol catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046340	5	2	0.05358099660653688	37.32666666666667	0.0011180403151655053	1	151056;221955
GO:0033559	unsaturated fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0033559	112	6	1.2002143239864262	4.9991071428571425	0.0013042881492500177	1	231;873;2052;2879;64600;221955
GO:0006690	icosanoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006690	119	6	1.2752277192355779	4.705042016806722	0.001779175631932918	1	231;873;2052;2879;64600;221955
GO:1900157	regulation of bone mineralization involved in bone maturation	http://amigo.geneontology.org/amigo/term/GO:1900157	7	2	0.07501339524915164	26.66190476190476	0.002314921115090305	1	26585;359845
GO:0022612	gland morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022612	126	6	1.3502411144847295	4.443650793650793	0.002375020913073132	1	1896;4853;5080;5371;6195;55727
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	322	10	3.4506161814609753	2.8980331262939956	0.0025265666754312487	1	1294;1307;2006;4148;8434;26585;50939;79147;79709;118856
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	323	10	3.4613323807822827	2.8890608875129	0.002583621706391488	1	1294;1307;2006;4148;8434;26585;50939;79147;79709;118856
GO:0045229	external encapsulating structure organization	http://amigo.geneontology.org/amigo/term/GO:0045229	324	10	3.47204858010359	2.8801440329218106	0.0026417064297979418	1	1294;1307;2006;4148;8434;26585;50939;79147;79709;118856
GO:0009887	animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0009887	1011	21	10.834077513841757	1.938328387734916	0.002767132082470535	1	104;578;1896;2006;2245;2690;4853;5080;5371;6195;10087;26249;26585;50939;55727;56956;79147;79864;80144;80199;359845
GO:0010898	positive regulation of triglyceride catabolic process	http://amigo.geneontology.org/amigo/term/GO:0010898	8	2	0.085729594570459	23.32916666666667	0.0030648455460413246	1	57104;221955
GO:0001955	blood vessel maturation	http://amigo.geneontology.org/amigo/term/GO:0001955	8	2	0.085729594570459	23.32916666666667	0.0030648455460413246	1	4066;8434
GO:0019433	triglyceride catabolic process	http://amigo.geneontology.org/amigo/term/GO:0019433	28	3	0.30005358099660656	9.998214285714285	0.003255503346716376	1	57104;151056;221955
GO:0060402	calcium ion transport into cytosol	http://amigo.geneontology.org/amigo/term/GO:0060402	28	3	0.30005358099660656	9.998214285714285	0.003255503346716376	1	578;5371;6546
GO:0009888	tissue development	http://amigo.geneontology.org/amigo/term/GO:0009888	1981	34	21.228790855509914	1.6015985192663638	0.003600578239597172	1	104;231;873;977;1063;1294;1829;1846;1896;2006;2690;2939;3347;4148;4852;4853;5080;5371;6546;9150;26249;26585;54922;55011;55614;55727;57167;79147;79812;79864;80144;80199;254910;359845
GO:0035107	appendage morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035107	150	6	1.6074298981961064	3.732666666666667	0.005590642276167474	1	578;4853;8434;26585;57167;80144
GO:0035108	limb morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035108	150	6	1.6074298981961064	3.732666666666667	0.005590642276167474	1	578;4853;8434;26585;57167;80144
GO:0007435	salivary gland morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0007435	34	3	0.3643507769244508	8.233823529411765	0.0056737556480925865	1	1896;5080;55727
GO:0046471	phosphatidylglycerol metabolic process	http://amigo.geneontology.org/amigo/term/GO:0046471	35	3	0.3750669762457582	7.998571428571428	0.006157376567173629	1	9489;64600;151056
GO:0001676	long-chain fatty acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0001676	109	5	1.168065726022504	4.280581039755352	0.006369880796142737	1	873;2052;2879;64600;221955
GO:0007431	salivary gland development	http://amigo.geneontology.org/amigo/term/GO:0007431	37	3	0.39649937488837295	7.566216216216215	0.007196585508060331	1	1896;5080;55727
GO:0002009	morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:0002009	499	12	5.347383461332381	2.2440881763527054	0.007631769195463074	1	977;4853;5371;26249;26585;54922;55727;57167;79812;79864;80144;80199
GO:0046461	neutral lipid catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046461	38	3	0.4072155742096803	7.367105263157895	0.007752726023390614	1	57104;151056;221955
GO:0046464	acylglycerol catabolic process	http://amigo.geneontology.org/amigo/term/GO:0046464	38	3	0.4072155742096803	7.367105263157895	0.007752726023390614	1	57104;151056;221955
GO:0010896	regulation of triglyceride catabolic process	http://amigo.geneontology.org/amigo/term/GO:0010896	13	2	0.1393105911769959	14.356410256410255	0.008242387985169032	1	57104;221955
GO:0035630	bone mineralization involved in bone maturation	http://amigo.geneontology.org/amigo/term/GO:0035630	13	2	0.1393105911769959	14.356410256410255	0.008242387985169032	1	26585;359845
GO:0070294	renal sodium ion absorption	http://amigo.geneontology.org/amigo/term/GO:0070294	13	2	0.1393105911769959	14.356410256410255	0.008242387985169032	1	10916;26249
GO:0035437	maintenance of protein localization in endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0035437	13	2	0.1393105911769959	14.356410256410255	0.008242387985169032	1	79147;143678
GO:0052548	regulation of endopeptidase activity	http://amigo.geneontology.org/amigo/term/GO:0052548	214	7	2.2932666547597784	3.0524143302180686	0.008358525266495187	1	489;578;6195;8434;26998;51065;55011
