Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
inositol trisphosphate biosynthetic process (GO:0032959)	3	2	0.07	+	27.11	0.00178	1.0	GO:0032959
positive regulation of viral transcription (GO:0050434)	3	2	0.07	+	27.11	0.00178	1.0	GO:0050434
atrial cardiac muscle cell membrane repolarization (GO:0099624)	5	3	0.12	+	24.40	0.000142	0.424	GO:0099624
membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)	5	3	0.12	+	24.40	0.000142	0.353	GO:0098914
regulation of determination of dorsal identity (GO:2000015)	4	2	0.1	+	20.34	0.0035	1.0	GO:2000015
sleep (GO:0030431)	9	4	0.22	+	18.08	4.12e-05	0.153	GO:0030431
inositol trisphosphate metabolic process (GO:0032957)	7	3	0.17	+	17.43	0.00048	0.794	GO:0032957
compartment pattern specification (GO:0007386)	5	2	0.12	+	16.27	0.00574	1.0	GO:0007386
glutamate receptor clustering (GO:0097688)	5	2	0.12	+	16.27	0.00574	1.0	GO:0097688
noradrenergic neuron development (GO:0003358)	5	2	0.12	+	16.27	0.00574	1.0	GO:0003358
AMPA glutamate receptor clustering (GO:0097113)	5	2	0.12	+	16.27	0.00574	1.0	GO:0097113
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	14	5	0.34	+	14.53	1.47e-05	0.218	GO:0086026
atrial cardiac muscle cell action potential (GO:0086014)	14	5	0.34	+	14.53	1.47e-05	0.109	GO:0086014
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	6	2	0.15	+	13.56	0.00848	1.0	GO:0007171
autosome genomic imprinting (GO:0141068)	6	2	0.15	+	13.56	0.00848	1.0	GO:0141068
keratinocyte migration (GO:0051546)	6	2	0.15	+	13.56	0.00848	1.0	GO:0051546
excitatory chemical synaptic transmission (GO:0098976)	12	4	0.3	+	13.56	0.000153	0.325	GO:0098976
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	15	5	0.37	+	13.56	2.16e-05	0.107	GO:0086066
tongue morphogenesis (GO:0043587)	10	3	0.25	+	12.20	0.00156	1.0	GO:0043587
positive regulation of T-helper 2 cell differentiation (GO:0045630)	7	2	0.17	+	11.62	0.0117	1.0	GO:0045630
cell-cell adhesion mediated by integrin (GO:0033631)	7	2	0.17	+	11.62	0.0117	1.0	GO:0033631
regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)	7	2	0.17	+	11.62	0.0117	1.0	GO:0060372
amyloid-beta clearance by transcytosis (GO:0150093)	7	2	0.17	+	11.62	0.0117	1.0	GO:0150093
positive regulation of cardiac muscle contraction (GO:0060452)	8	2	0.2	+	10.17	0.0153	1.0	GO:0060452
regulation of proton transport (GO:0010155)	8	2	0.2	+	10.17	0.0153	1.0	GO:0010155
positive regulation of receptor catabolic process (GO:2000646)	8	2	0.2	+	10.17	0.0153	1.0	GO:2000646
skeletal muscle fiber differentiation (GO:0098528)	8	2	0.2	+	10.17	0.0153	1.0	GO:0098528
negative regulation of extracellular matrix organization (GO:1903054)	13	3	0.32	+	9.39	0.00352	1.0	GO:1903054
inositol phosphate biosynthetic process (GO:0032958)	13	3	0.32	+	9.39	0.00352	1.0	GO:0032958
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	9	2	0.22	+	9.04	0.0194	1.0	GO:0045743
tetrahydrobiopterin metabolic process (GO:0046146)	9	2	0.22	+	9.04	0.0194	1.0	GO:0046146
positive regulation of interleukin-18 production (GO:0032741)	9	2	0.22	+	9.04	0.0194	1.0	GO:0032741
response to gravity (GO:0009629)	9	2	0.22	+	9.04	0.0194	1.0	GO:0009629
protein import (GO:0017038)	9	2	0.22	+	9.04	0.0194	1.0	GO:0017038
iodide transport (GO:0015705)	9	2	0.22	+	9.04	0.0194	1.0	GO:0015705
sympathetic ganglion development (GO:0061549)	9	2	0.22	+	9.04	0.0194	1.0	GO:0061549
germ cell migration (GO:0008354)	9	2	0.22	+	9.04	0.0194	1.0	GO:0008354
smooth muscle cell migration (GO:0014909)	14	3	0.34	+	8.72	0.00439	1.0	GO:0014909
cell-cell signaling involved in cardiac conduction (GO:0086019)	24	5	0.59	+	8.47	0.000254	0.473	GO:0086019
regulation of inner ear receptor cell differentiation (GO:2000980)	10	2	0.25	+	8.13	0.0238	1.0	GO:2000980
regulation of mechanoreceptor differentiation (GO:0045631)	10	2	0.25	+	8.13	0.0238	1.0	GO:0045631
regulation of inner ear auditory receptor cell differentiation (GO:0045607)	10	2	0.25	+	8.13	0.0238	1.0	GO:0045607
fucose catabolic process (GO:0019317)	10	2	0.25	+	8.13	0.0238	1.0	GO:0019317
locomotor rhythm (GO:0045475)	15	3	0.37	+	8.13	0.00539	1.0	GO:0045475
regulation of delayed rectifier potassium channel activity (GO:1902259)	10	2	0.25	+	8.13	0.0238	1.0	GO:1902259
otolith development (GO:0048840)	10	2	0.25	+	8.13	0.0238	1.0	GO:0048840
L-fucose catabolic process (GO:0042355)	10	2	0.25	+	8.13	0.0238	1.0	GO:0042355
L-fucose metabolic process (GO:0042354)	10	2	0.25	+	8.13	0.0238	1.0	GO:0042354
heparan sulfate proteoglycan catabolic process (GO:0030200)	10	2	0.25	+	8.13	0.0238	1.0	GO:0030200
cardiac muscle cell myoblast differentiation (GO:0060379)	11	2	0.27	+	7.39	0.0286	1.0	GO:0060379
IMP biosynthetic process (GO:0006188)	11	2	0.27	+	7.39	0.0286	1.0	GO:0006188
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	22	4	0.54	+	7.39	0.00186	1.0	GO:0050965
negative regulation of JUN kinase activity (GO:0043508)	11	2	0.27	+	7.39	0.0286	1.0	GO:0043508
regulation of endosome size (GO:0051036)	11	2	0.27	+	7.39	0.0286	1.0	GO:0051036
GDP metabolic process (GO:0046710)	11	2	0.27	+	7.39	0.0286	1.0	GO:0046710
noradrenergic neuron differentiation (GO:0003357)	11	2	0.27	+	7.39	0.0286	1.0	GO:0003357
trophoblast giant cell differentiation (GO:0060707)	11	2	0.27	+	7.39	0.0286	1.0	GO:0060707
positive regulation of dendritic cell cytokine production (GO:0002732)	11	2	0.27	+	7.39	0.0286	1.0	GO:0002732
detection of temperature stimulus (GO:0016048)	29	5	0.71	+	7.01	0.000642	0.955	GO:0016048
regulation of T-helper 2 cell differentiation (GO:0045628)	12	2	0.3	+	6.78	0.0338	1.0	GO:0045628
regulation of receptor catabolic process (GO:2000644)	12	2	0.3	+	6.78	0.0338	1.0	GO:2000644
positive regulation of myoblast proliferation (GO:2000288)	12	2	0.3	+	6.78	0.0338	1.0	GO:2000288
negative regulation of protein localization to cell surface (GO:2000009)	12	2	0.3	+	6.78	0.0338	1.0	GO:2000009
regulation of TORC2 signaling (GO:1903939)	12	2	0.3	+	6.78	0.0338	1.0	GO:1903939
regulation of vesicle size (GO:0097494)	18	3	0.44	+	6.78	0.00916	1.0	GO:0097494
negative regulation of response to oxidative stress (GO:1902883)	12	2	0.3	+	6.78	0.0338	1.0	GO:1902883
negative regulation of anoikis (GO:2000811)	19	3	0.47	+	6.42	0.0107	1.0	GO:2000811
response to yeast (GO:0001878)	13	2	0.32	+	6.26	0.0393	1.0	GO:0001878
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	13	2	0.32	+	6.26	0.0393	1.0	GO:0099625
membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	13	2	0.32	+	6.26	0.0393	1.0	GO:0098915
detection of temperature stimulus involved in sensory perception (GO:0050961)	26	4	0.64	+	6.26	0.00351	1.0	GO:0050961
midbrain dopaminergic neuron differentiation (GO:1904948)	13	2	0.32	+	6.26	0.0393	1.0	GO:1904948
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	13	2	0.32	+	6.26	0.0393	1.0	GO:0035589
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	13	2	0.32	+	6.26	0.0393	1.0	GO:0035437
superoxide anion generation (GO:0042554)	26	4	0.64	+	6.26	0.00351	1.0	GO:0042554
positive regulation of striated muscle contraction (GO:0045989)	13	2	0.32	+	6.26	0.0393	1.0	GO:0045989
neurotransmitter-gated ion channel clustering (GO:0072578)	13	2	0.32	+	6.26	0.0393	1.0	GO:0072578
mitral valve morphogenesis (GO:0003183)	13	2	0.32	+	6.26	0.0393	1.0	GO:0003183
negative regulation of myoblast differentiation (GO:0045662)	27	4	0.66	+	6.03	0.00405	1.0	GO:0045662
GMP metabolic process (GO:0046037)	27	4	0.66	+	6.03	0.00405	1.0	GO:0046037
rhythmic behavior (GO:0007622)	27	4	0.66	+	6.03	0.00405	1.0	GO:0007622
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	14	2	0.34	+	5.81	0.0452	1.0	GO:0045736
cardioblast differentiation (GO:0010002)	14	2	0.34	+	5.81	0.0452	1.0	GO:0010002
regulation of interleukin-18 production (GO:0032661)	14	2	0.34	+	5.81	0.0452	1.0	GO:0032661
protein localization to nuclear envelope (GO:0090435)	14	2	0.34	+	5.81	0.0452	1.0	GO:0090435
