Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
glomerulus morphogenesis (GO:0072102)	9	2	0.04	+	44.84	0.000856	1.0	GO:0072102
negative regulation of adenylate cyclase activity (GO:0007194)	10	2	0.05	+	40.35	0.00107	1.0	GO:0007194
negative regulation of lyase activity (GO:0051350)	11	2	0.05	+	36.68	0.0013	1.0	GO:0051350
negative regulation of behavior (GO:0048521)	15	2	0.07	+	26.90	0.00245	1.0	GO:0048521
regulation of circadian sleep/wake cycle (GO:0042749)	24	2	0.12	+	16.81	0.00625	1.0	GO:0042749
positive regulation of smooth muscle cell migration (GO:0014911)	36	3	0.18	+	16.81	0.000749	1.0	GO:0014911
columnar/cuboidal epithelial cell development (GO:0002066)	25	2	0.12	+	16.14	0.00677	1.0	GO:0002066
positive regulation of protein targeting to membrane (GO:0090314)	28	2	0.14	+	14.41	0.00845	1.0	GO:0090314
regulation of adenylate cyclase activity (GO:0045761)	30	2	0.15	+	13.45	0.00967	1.0	GO:0045761
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	31	2	0.15	+	13.02	0.0103	1.0	GO:0051968
regulation of protein targeting to membrane (GO:0090313)	34	2	0.17	+	11.87	0.0123	1.0	GO:0090313
regulation of synaptic transmission, GABAergic (GO:0032228)	34	2	0.17	+	11.87	0.0123	1.0	GO:0032228
adult walking behavior (GO:0007628)	34	2	0.17	+	11.87	0.0123	1.0	GO:0007628
temperature homeostasis (GO:0001659)	38	2	0.19	+	10.62	0.0152	1.0	GO:0001659
walking behavior (GO:0090659)	40	2	0.2	+	10.09	0.0168	1.0	GO:0090659
regulation of smooth muscle cell migration (GO:0014910)	63	3	0.31	+	9.61	0.00378	1.0	GO:0014910
regulation of alpha-beta T cell proliferation (GO:0046640)	43	2	0.21	+	9.38	0.0192	1.0	GO:0046640
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	47	2	0.23	+	8.59	0.0228	1.0	GO:0006120
regulation of synaptic transmission, glutamatergic (GO:0051966)	74	3	0.37	+	8.18	0.00594	1.0	GO:0051966
positive regulation of actin filament polymerization (GO:0030838)	52	2	0.26	+	7.76	0.0275	1.0	GO:0030838
regulation of behavior (GO:0050795)	80	3	0.4	+	7.57	0.00737	1.0	GO:0050795
visual learning (GO:0008542)	54	2	0.27	+	7.47	0.0295	1.0	GO:0008542
cortical cytoskeleton organization (GO:0030865)	55	2	0.27	+	7.34	0.0305	1.0	GO:0030865
aerobic electron transport chain (GO:0019646)	87	3	0.43	+	6.96	0.00927	1.0	GO:0019646
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	91	3	0.45	+	6.65	0.0105	1.0	GO:0042775
ATP synthesis coupled electron transport (GO:0042773)	91	3	0.45	+	6.65	0.0105	1.0	GO:0042773
glomerulus development (GO:0032835)	61	2	0.3	+	6.62	0.0368	1.0	GO:0032835
regulation of action potential (GO:0098900)	61	2	0.3	+	6.62	0.0368	1.0	GO:0098900
regulation of neuronal synaptic plasticity (GO:0048168)	61	2	0.3	+	6.62	0.0368	1.0	GO:0048168
tRNA modification (GO:0006400)	93	3	0.46	+	6.51	0.0111	1.0	GO:0006400
visual behavior (GO:0007632)	62	2	0.31	+	6.51	0.0379	1.0	GO:0007632
skeletal muscle cell differentiation (GO:0035914)	63	2	0.31	+	6.41	0.0391	1.0	GO:0035914
regulation of cytokinesis (GO:0032465)	96	3	0.48	+	6.31	0.0121	1.0	GO:0032465
glycogen metabolic process (GO:0005977)	64	2	0.32	+	6.31	0.0402	1.0	GO:0005977
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	2	0.32	+	6.31	0.0402	1.0	GO:0042776
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	98	3	0.49	+	6.18	0.0128	1.0	GO:0007193
sprouting angiogenesis (GO:0002040)	66	2	0.33	+	6.11	0.0425	1.0	GO:0002040
glucan metabolic process (GO:0044042)	66	2	0.33	+	6.11	0.0425	1.0	GO:0044042
tRNA processing (GO:0008033)	133	4	0.66	+	6.07	0.00435	1.0	GO:0008033
regulation of multicellular organism growth (GO:0040014)	68	2	0.34	+	5.93	0.0448	1.0	GO:0040014
myofibril assembly (GO:0030239)	68	2	0.34	+	5.93	0.0448	1.0	GO:0030239
positive regulation of fat cell differentiation (GO:0045600)	69	2	0.34	+	5.85	0.046	1.0	GO:0045600
endosome to lysosome transport (GO:0008333)	69	2	0.34	+	5.85	0.046	1.0	GO:0008333
respiratory electron transport chain (GO:0022904)	107	3	0.53	+	5.66	0.0162	1.0	GO:0022904
proton motive force-driven ATP synthesis (GO:0015986)	72	2	0.36	+	5.60	0.0497	1.0	GO:0015986
acute inflammatory response (GO:0002526)	73	2	0.36	+	5.53	0.0509	1.0	GO:0002526
biogenic amine metabolic process (GO:0006576)	74	2	0.37	+	5.45	0.0522	1.0	GO:0006576
positive regulation of synaptic transmission (GO:0050806)	148	4	0.73	+	5.45	0.00633	1.0	GO:0050806
positive regulation of type II interferon production (GO:0032729)	76	2	0.38	+	5.31	0.0547	1.0	GO:0032729
oxidative phosphorylation (GO:0006119)	115	3	0.57	+	5.26	0.0196	1.0	GO:0006119
electron transport chain (GO:0022900)	117	3	0.58	+	5.17	0.0205	1.0	GO:0022900
negative regulation of T cell proliferation (GO:0042130)	78	2	0.39	+	5.17	0.0573	1.0	GO:0042130
polysaccharide metabolic process (GO:0005976)	79	2	0.39	+	5.11	0.0586	1.0	GO:0005976
endocytic recycling (GO:0032456)	79	2	0.39	+	5.11	0.0586	1.0	GO:0032456
energy reserve metabolic process (GO:0006112)	79	2	0.39	+	5.11	0.0586	1.0	GO:0006112
regulation of type II interferon production (GO:0032649)	119	3	0.59	+	5.09	0.0214	1.0	GO:0032649
regulation of protein targeting (GO:1903533)	80	2	0.4	+	5.04	0.0599	1.0	GO:1903533
positive regulation of smooth muscle cell proliferation (GO:0048661)	82	2	0.41	+	4.92	0.0626	1.0	GO:0048661
positive regulation of inflammatory response (GO:0050729)	166	4	0.82	+	4.86	0.00941	1.0	GO:0050729
lens development in camera-type eye (GO:0002088)	84	2	0.42	+	4.80	0.0653	1.0	GO:0002088
amine metabolic process (GO:0009308)	84	2	0.42	+	4.80	0.0653	1.0	GO:0009308
ATP biosynthetic process (GO:0006754)	85	2	0.42	+	4.75	0.0666	1.0	GO:0006754
regulation of potassium ion transport (GO:0043266)	86	2	0.43	+	4.69	0.068	1.0	GO:0043266
adult locomotory behavior (GO:0008344)	87	2	0.43	+	4.64	0.0694	1.0	GO:0008344
positive regulation of protein polymerization (GO:0032273)	90	2	0.45	+	4.48	0.0736	1.0	GO:0032273
negative regulation of lymphocyte proliferation (GO:0050672)	93	2	0.46	+	4.34	0.0778	1.0	GO:0050672
regulation of fat cell differentiation (GO:0045598)	140	3	0.69	+	4.32	0.0325	1.0	GO:0045598
regulation of cell shape (GO:0008360)	140	3	0.69	+	4.32	0.0325	1.0	GO:0008360
primary alcohol metabolic process (GO:0034308)	94	2	0.47	+	4.29	0.0793	1.0	GO:0034308
negative regulation of mononuclear cell proliferation (GO:0032945)	95	2	0.47	+	4.25	0.0807	1.0	GO:0032945
protein N-linked glycosylation (GO:0006487)	96	2	0.48	+	4.20	0.0822	1.0	GO:0006487
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	96	2	0.48	+	4.20	0.0822	1.0	GO:0009206
purine nucleoside triphosphate biosynthetic process (GO:0009145)	97	2	0.48	+	4.16	0.0837	1.0	GO:0009145
mitochondrial respiratory chain complex assembly (GO:0033108)	99	2	0.49	+	4.08	0.0866	1.0	GO:0033108
associative learning (GO:0008306)	99	2	0.49	+	4.08	0.0866	1.0	GO:0008306
tRNA metabolic process (GO:0006399)	199	4	0.99	+	4.06	0.0173	1.0	GO:0006399
columnar/cuboidal epithelial cell differentiation (GO:0002065)	100	2	0.5	+	4.04	0.0881	1.0	GO:0002065
ribonucleoside triphosphate biosynthetic process (GO:0009201)	102	2	0.51	+	3.96	0.0911	1.0	GO:0009201
cellular response to leukemia inhibitory factor (GO:1990830)	103	2	0.51	+	3.92	0.0926	1.0	GO:1990830
negative regulation of leukocyte proliferation (GO:0070664)	103	2	0.51	+	3.92	0.0926	1.0	GO:0070664
