Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	GOID
GOTERM_BP_DIRECT	GO:0030890~positive regulation of B cell proliferation	4	2.0	0.0091575428299856	84433, 1880, 3596, 958	180	47	19512	9.225531914893615	0.9998244781513684	1.0	1.0	GO:0030890
GOTERM_BP_DIRECT	GO:0021537~telencephalon development	3	1.5	0.028890813763842	552, 554, 7080	180	29	19512	11.213793103448277	0.9999999999989236	1.0	1.0	GO:0021537
GOTERM_BP_DIRECT	GO:0050873~brown fat cell differentiation	3	1.5	0.0366902686033548	51316, 283927, 2170	180	33	19512	9.854545454545454	0.9999999999999994	1.0	1.0	GO:0050873
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	6	3.0	0.0367021063156079	25804, 55599, 55094, 10450, 9716, 25766	180	199	19512	3.2683417085427133	0.9999999999999994	1.0	1.0	GO:0000398
GOTERM_BP_DIRECT	GO:0001992~regulation of systemic arterial blood pressure by vasopressin	2	1.0	0.0450398324299375	552, 554	180	5	19512	43.36	1.0	1.0	1.0	GO:0001992
GOTERM_BP_DIRECT	GO:0007186~G protein-coupled receptor signaling pathway	16	8.0	0.0560842440866142	53829, 403244, 441911, 285601, 401994, 1880, 8490, 9293, 128371, 54112, 552, 4829, 554, 5745, 119692, 81193	180	1041	19512	1.666090297790586	1.0	1.0	1.0	GO:0007186
GOTERM_BP_DIRECT	GO:0048255~mRNA stabilization	3	1.5	0.0591496853317582	9641, 2521, 1869	180	43	19512	7.562790697674418	1.0	1.0	1.0	GO:0048255
GOTERM_BP_DIRECT	GO:0007165~signal transduction	28	14.000000000000002	0.0615799490141507	401994, 1880, 128371, 54112, 552, 4829, 554, 896, 115, 83478, 5912, 81193, 6362, 53829, 403244, 5796, 441911, 8500, 285601, 9293, 27115, 84433, 56882, 3146, 945, 1607, 5745, 119692	180	2168	19512	1.4	1.0	1.0	1.0	GO:0007165
GOTERM_BP_DIRECT	GO:0032722~positive regulation of chemokine production	3	1.5	0.0743664800173213	58515, 247, 3146	180	49	19512	6.636734693877552	1.0	1.0	1.0	GO:0032722
GOTERM_BP_DIRECT	GO:0007179~transforming growth factor beta receptor signaling pathway	4	2.0	0.0789224591061334	25805, 5796, 8516, 3596	180	109	19512	3.977981651376147	1.0	1.0	1.0	GO:0007179
GOTERM_BP_DIRECT	GO:0032870~cellular response to hormone stimulus	3	1.5	0.0796889392632588	552, 554, 285601	180	51	19512	6.376470588235294	1.0	1.0	1.0	GO:0032870
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	7	3.5000000000000004	0.0831333223255549	25804, 378949, 2521, 55599, 10450, 9716, 25766	180	329	19512	2.3063829787234043	1.0	1.0	1.0	GO:0008380
GOTERM_BP_DIRECT	GO:0035455~response to interferon-alpha	2	1.0	0.0964321672860764	27074, 103	180	11	19512	19.70909090909091	1.0	1.0	1.0	GO:0035455
GOTERM_BP_DIRECT	GO:0048304~positive regulation of isotype switching to IgG isotypes	2	1.0	0.0964321672860764	22976, 958	180	11	19512	19.70909090909091	1.0	1.0	1.0	GO:0048304
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	8	4.0	0.0989595478226479	25804, 378949, 103, 55599, 55094, 10450, 9716, 25766	180	427	19512	2.030913348946136	1.0	1.0	1.0	GO:0006397
GOTERM_BP_DIRECT	GO:0007188~adenylate cyclase-modulating G protein-coupled receptor signaling pathway	3	1.5	0.1020684042535515	54112, 554, 5745	180	59	19512	5.511864406779662	1.0	1.0	1.0	GO:0007188
GOTERM_BP_DIRECT	GO:0030336~negative regulation of cell migration	5	2.5	0.1022103664806237	4286, 247, 5796, 7080, 5912	180	193	19512	2.8082901554404143	1.0	1.0	1.0	GO:0030336
GOTERM_BP_DIRECT	GO:0003084~positive regulation of systemic arterial blood pressure	2	1.0	0.1047260312914724	552, 554	180	12	19512	18.066666666666663	1.0	1.0	1.0	GO:0003084
GOTERM_BP_DIRECT	GO:0043276~anoikis	2	1.0	0.1047260312914724	23604, 1869	180	12	19512	18.066666666666663	1.0	1.0	1.0	GO:0043276
GOTERM_BP_DIRECT	GO:1990266~neutrophil migration	2	1.0	0.1047260312914724	23604, 58515	180	12	19512	18.066666666666663	1.0	1.0	1.0	GO:1990266
GOTERM_BP_DIRECT	GO:0034145~positive regulation of toll-like receptor 4 signaling pathway	2	1.0	0.1210873222707521	3146, 4814	180	14	19512	15.485714285714286	1.0	1.0	1.0	GO:0034145
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	4	2.0	0.1215041197413143	84433, 2521, 54557, 4814	180	132	19512	3.2848484848484847	1.0	1.0	1.0	GO:0051260
GOTERM_BP_DIRECT	GO:0009584~detection of visible light	2	1.0	0.1291561174973056	54112, 9293	180	15	19512	14.453333333333331	1.0	1.0	1.0	GO:0009584
GOTERM_BP_DIRECT	GO:0071639~positive regulation of monocyte chemotactic protein-1 production	2	1.0	0.1291561174973056	58515, 3146	180	15	19512	14.453333333333331	1.0	1.0	1.0	GO:0071639
GOTERM_BP_DIRECT	GO:0030168~platelet activation	3	1.5	0.1320827970987626	1607, 958, 5912	180	69	19512	4.71304347826087	1.0	1.0	1.0	GO:0030168
GOTERM_BP_DIRECT	GO:0002407~dendritic cell chemotaxis	2	1.0	0.1371512477714227	3146, 1880	180	16	19512	13.55	1.0	1.0	1.0	GO:0002407
GOTERM_BP_DIRECT	GO:0033962~P-body assembly	2	1.0	0.1371512477714227	25804, 8994	180	16	19512	13.55	1.0	1.0	1.0	GO:0033962
GOTERM_BP_DIRECT	GO:0030030~cell projection organization	5	2.5	0.1425114760396313	9786, 8516, 352909, 57562, 85462	180	219	19512	2.474885844748858	1.0	1.0	1.0	GO:0030030
GOTERM_BP_DIRECT	GO:0071482~cellular response to light stimulus	2	1.0	0.1450733818876846	54112, 9293	180	17	19512	12.75294117647059	1.0	1.0	1.0	GO:0071482
GOTERM_BP_DIRECT	GO:0045926~negative regulation of growth	2	1.0	0.1529231825795611	4493, 247	180	18	19512	12.044444444444446	1.0	1.0	1.0	GO:0045926
GOTERM_BP_DIRECT	GO:0006955~immune response	9	4.5	0.1565136867045086	9641, 2537, 6362, 2204, 3127, 5553, 3146, 1880, 3596	180	572	19512	1.7055944055944057	1.0	1.0	1.0	GO:0006955
GOTERM_BP_DIRECT	GO:0002076~osteoblast development	2	1.0	0.1684084048823299	8994, 5745	180	20	19512	10.84	1.0	1.0	1.0	GO:0002076
GOTERM_BP_DIRECT	GO:0045777~positive regulation of blood pressure	2	1.0	0.1684084048823299	552, 554	180	20	19512	10.84	1.0	1.0	1.0	GO:0045777
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	16	8.0	0.1688972683766221	6297, 64784, 4286, 7080, 3596, 390874, 27319, 54583, 26298, 55534, 3146, 8516, 84662, 958, 1869, 51316	180	1243	19512	1.395333869670153	1.0	1.0	1.0	GO:0045944
GOTERM_BP_DIRECT	GO:0050995~negative regulation of lipid catabolic process	2	1.0	0.1760451222799746	26580, 64784	180	21	19512	10.323809523809524	1.0	1.0	1.0	GO:0050995
GOTERM_BP_DIRECT	GO:0060340~positive regulation of type I interferon-mediated signaling pathway	2	1.0	0.1760451222799746	9641, 103	180	21	19512	10.323809523809524	1.0	1.0	1.0	GO:0060340
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	3	1.5	0.1834099740940984	4619, 26287, 6261	180	85	19512	3.825882352941176	1.0	1.0	1.0	GO:0006936
GOTERM_BP_DIRECT	GO:0043149~stress fiber assembly	2	1.0	0.1836120979692931	10398, 85462	180	22	19512	9.854545454545455	1.0	1.0	1.0	GO:0043149
GOTERM_BP_DIRECT	GO:0031175~neuron projection development	4	2.0	0.1862814840269498	25814, 5796, 3146, 4147	180	162	19512	2.676543209876544	1.0	1.0	1.0	GO:0031175
GOTERM_BP_DIRECT	GO:0060271~cilium assembly	5	2.5	0.1865682738707987	25814, 9786, 51314, 57562, 85462	180	244	19512	2.221311475409836	1.0	1.0	1.0	GO:0060271
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	3	1.5	0.193344140256923	896, 4331, 79935	180	88	19512	3.6954545454545458	1.0	1.0	1.0	GO:0000082
GOTERM_BP_DIRECT	GO:0042116~macrophage activation	2	1.0	0.1985393519420214	64784, 3596	180	24	19512	9.033333333333331	1.0	1.0	1.0	GO:0042116
GOTERM_BP_DIRECT	GO:0046835~carbohydrate phosphorylation	2	1.0	0.205900879864584	2584, 5209	180	25	19512	8.672	1.0	1.0	1.0	GO:0046835
GOTERM_BP_DIRECT	GO:0098586~cellular response to virus	3	1.5	0.2201383556170429	9641, 2537, 103	180	96	19512	3.3875	1.0	1.0	1.0	GO:0098586
