Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
regulation of calcium-independent cell-cell adhesion (GO:0051040)	2	2	0.05	+	40.51	0.000608	0.472	GO:0051040
serine import across plasma membrane (GO:0098718)	3	2	0.07	+	27.01	0.00179	0.854	GO:0098718
L-serine import across plasma membrane (GO:1903812)	3	2	0.07	+	27.01	0.00179	0.827	GO:1903812
syncytiotrophoblast cell differentiation involved in labyrinthine layer development (GO:0060715)	3	2	0.07	+	27.01	0.00179	0.802	GO:0060715
positive regulation of dendritic cell apoptotic process (GO:2000670)	4	2	0.1	+	20.26	0.00353	1.0	GO:2000670
ornithine metabolic process (GO:0006591)	4	2	0.1	+	20.26	0.00353	1.0	GO:0006591
regulation of cAMP-dependent protein kinase activity (GO:2000479)	4	2	0.1	+	20.26	0.00353	1.0	GO:2000479
clustering of voltage-gated potassium channels (GO:0045163)	4	2	0.1	+	20.26	0.00353	1.0	GO:0045163
sequestering of BMP in extracellular matrix (GO:0035582)	4	2	0.1	+	20.26	0.00353	1.0	GO:0035582
negative regulation of nodal signaling pathway (GO:1900108)	4	2	0.1	+	20.26	0.00353	0.983	GO:1900108
prostate gland stromal morphogenesis (GO:0060741)	4	2	0.1	+	20.26	0.00353	0.965	GO:0060741
epithelial cell differentiation involved in mammary gland alveolus development (GO:0061030)	4	2	0.1	+	20.26	0.00353	0.947	GO:0061030
intestinal epithelial cell maturation (GO:0060574)	4	2	0.1	+	20.26	0.00353	0.93	GO:0060574
positive regulation of protein localization to centrosome (GO:1904781)	7	3	0.17	+	17.36	0.000486	0.478	GO:1904781
positive regulation of potassium ion import across plasma membrane (GO:1903288)	5	2	0.12	+	16.20	0.00579	1.0	GO:1903288
regulation of polyamine transmembrane transport (GO:1902267)	5	2	0.12	+	16.20	0.00579	1.0	GO:1902267
error-free translesion synthesis (GO:0070987)	5	2	0.12	+	16.20	0.00579	1.0	GO:0070987
elastin metabolic process (GO:0051541)	5	2	0.12	+	16.20	0.00579	1.0	GO:0051541
negative regulation of glucocorticoid biosynthetic process (GO:0031947)	5	2	0.12	+	16.20	0.00579	1.0	GO:0031947
negative regulation of glucocorticoid metabolic process (GO:0031944)	5	2	0.12	+	16.20	0.00579	1.0	GO:0031944
positive regulation of the force of heart contraction (GO:0098735)	5	2	0.12	+	16.20	0.00579	1.0	GO:0098735
positive regulation of mucus secretion (GO:0070257)	5	2	0.12	+	16.20	0.00579	1.0	GO:0070257
Purkinje myocyte to ventricular cardiac muscle cell signaling (GO:0086029)	5	2	0.12	+	16.20	0.00579	1.0	GO:0086029
neural plate regionalization (GO:0060897)	5	2	0.12	+	16.20	0.00579	1.0	GO:0060897
serine transport (GO:0032329)	8	3	0.2	+	15.19	0.000763	0.563	GO:0032329
regulation of potassium ion import (GO:1903286)	6	2	0.15	+	13.50	0.00854	1.0	GO:1903286
gap junction-mediated intercellular transport (GO:1990349)	6	2	0.15	+	13.50	0.00854	1.0	GO:1990349
negative regulation of steroid hormone biosynthetic process (GO:0090032)	6	2	0.15	+	13.50	0.00854	1.0	GO:0090032
proline transmembrane transport (GO:0035524)	9	3	0.22	+	13.50	0.00112	0.691	GO:0035524
regulation of nodal signaling pathway (GO:1900107)	6	2	0.15	+	13.50	0.00854	1.0	GO:1900107
Purkinje myocyte to ventricular cardiac muscle cell communication (GO:0086068)	6	2	0.15	+	13.50	0.00854	1.0	GO:0086068
determination of left/right asymmetry in lateral mesoderm (GO:0003140)	9	3	0.22	+	13.50	0.00112	0.663	GO:0003140
male mating behavior (GO:0060179)	7	2	0.17	+	11.57	0.0118	1.0	GO:0060179
maintenance of protein location in extracellular region (GO:0071694)	7	2	0.17	+	11.57	0.0118	1.0	GO:0071694
glandular epithelial cell maturation (GO:0002071)	7	2	0.17	+	11.57	0.0118	1.0	GO:0002071
7-methylguanosine mRNA capping (GO:0006370)	7	2	0.17	+	11.57	0.0118	1.0	GO:0006370
negative regulation of hormone biosynthetic process (GO:0032353)	7	2	0.17	+	11.57	0.0118	1.0	GO:0032353
lipid droplet disassembly (GO:1905691)	7	2	0.17	+	11.57	0.0118	1.0	GO:1905691
L-serine transport (GO:0015825)	7	2	0.17	+	11.57	0.0118	1.0	GO:0015825
neural plate pattern specification (GO:0060896)	7	2	0.17	+	11.57	0.0118	1.0	GO:0060896
cellular response to caffeine (GO:0071313)	11	3	0.27	+	11.05	0.00213	0.872	GO:0071313
proline transport (GO:0015824)	11	3	0.27	+	11.05	0.00213	0.849	GO:0015824
sodium ion export across plasma membrane (GO:0036376)	15	4	0.37	+	10.80	0.000403	0.496	GO:0036376
cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	15	4	0.37	+	10.80	0.000403	0.458	GO:0086064
regulation of protein localization to centrosome (GO:1904779)	12	3	0.3	+	10.13	0.00279	0.956	GO:1904779
cell communication by electrical coupling (GO:0010644)	20	5	0.49	+	10.13	0.000102	0.302	GO:0010644
regulation of transforming growth factor beta2 production (GO:0032909)	8	2	0.2	+	10.13	0.0154	1.0	GO:0032909
regulation of mucus secretion (GO:0070255)	8	2	0.2	+	10.13	0.0154	1.0	GO:0070255
lateral mesoderm development (GO:0048368)	16	4	0.39	+	10.13	0.000527	0.486	GO:0048368
7-methylguanosine RNA capping (GO:0009452)	8	2	0.2	+	10.13	0.0154	1.0	GO:0009452
putrescine metabolic process (GO:0009445)	8	2	0.2	+	10.13	0.0154	1.0	GO:0009445
formate metabolic process (GO:0015942)	8	2	0.2	+	10.13	0.0154	1.0	GO:0015942
response to caffeine (GO:0031000)	16	4	0.39	+	10.13	0.000527	0.458	GO:0031000
gap junction assembly (GO:0016264)	8	2	0.2	+	10.13	0.0154	1.0	GO:0016264
brainstem development (GO:0003360)	8	2	0.2	+	10.13	0.0154	1.0	GO:0003360
interneuron migration from the subpallium to the cortex (GO:0021830)	8	2	0.2	+	10.13	0.0154	1.0	GO:0021830
cellular response to purine-containing compound (GO:0071415)	13	3	0.32	+	9.35	0.00356	0.92	GO:0071415
positive regulation of pseudopodium assembly (GO:0031274)	13	3	0.32	+	9.35	0.00356	0.905	GO:0031274
regulation of pseudopodium assembly (GO:0031272)	13	3	0.32	+	9.35	0.00356	0.889	GO:0031272
glutamine transport (GO:0006868)	9	2	0.22	+	9.00	0.0195	1.0	GO:0006868
G protein-coupled adenosine receptor signaling pathway (GO:0001973)	9	2	0.22	+	9.00	0.0195	1.0	GO:0001973
osmosensory signaling pathway (GO:0007231)	9	2	0.22	+	9.00	0.0195	1.0	GO:0007231
female mating behavior (GO:0060180)	9	2	0.22	+	9.00	0.0195	1.0	GO:0060180
malate metabolic process (GO:0006108)	9	2	0.22	+	9.00	0.0195	1.0	GO:0006108
negative regulation of hormone metabolic process (GO:0032351)	9	2	0.22	+	9.00	0.0195	1.0	GO:0032351
regulation of synaptic transmission, cholinergic (GO:0032222)	9	2	0.22	+	9.00	0.0195	1.0	GO:0032222
N-acylphosphatidylethanolamine metabolic process (GO:0070292)	9	2	0.22	+	9.00	0.0195	1.0	GO:0070292
G protein-coupled purinergic receptor signaling pathway (GO:0035588)	9	2	0.22	+	9.00	0.0195	1.0	GO:0035588
behavioral response to nicotine (GO:0035095)	9	2	0.22	+	9.00	0.0195	1.0	GO:0035095
hindbrain radial glia guided cell migration (GO:0021932)	9	2	0.22	+	9.00	0.0195	1.0	GO:0021932
iris morphogenesis (GO:0061072)	9	2	0.22	+	9.00	0.0195	1.0	GO:0061072
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	9	2	0.22	+	9.00	0.0195	1.0	GO:0021843
substrate-independent telencephalic tangential migration (GO:0021826)	9	2	0.22	+	9.00	0.0195	1.0	GO:0021826
positive regulation of dendritic cell chemotaxis (GO:2000510)	10	2	0.25	+	8.10	0.024	1.0	GO:2000510
columnar/cuboidal epithelial cell maturation (GO:0002069)	10	2	0.25	+	8.10	0.024	1.0	GO:0002069
host-mediated modulation of intestinal microbiota composition (GO:0048874)	10	2	0.25	+	8.10	0.024	1.0	GO:0048874
regulation of glucocorticoid biosynthetic process (GO:0031946)	10	2	0.25	+	8.10	0.024	1.0	GO:0031946
sequestering of extracellular ligand from receptor (GO:0035581)	10	2	0.25	+	8.10	0.024	1.0	GO:0035581
positive regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035360)	10	2	0.25	+	8.10	0.024	1.0	GO:0035360
peroxisome proliferator activated receptor signaling pathway (GO:0035357)	10	2	0.25	+	8.10	0.024	1.0	GO:0035357
intercellular transport (GO:0010496)	10	2	0.25	+	8.10	0.024	1.0	GO:0010496
presynaptic membrane organization (GO:0097090)	10	2	0.25	+	8.10	0.024	1.0	GO:0097090
bone maturation (GO:0070977)	21	4	0.52	+	7.72	0.00157	0.8	GO:0070977
negative regulation of activin receptor signaling pathway (GO:0032926)	16	3	0.39	+	7.60	0.00659	1.0	GO:0032926
synaptic transmission, cholinergic (GO:0007271)	27	5	0.67	+	7.50	0.000463	0.488	GO:0007271
response to selenium ion (GO:0010269)	11	2	0.27	+	7.37	0.0289	1.0	GO:0010269
positive regulation of sodium ion export across plasma membrane (GO:1903278)	11	2	0.27	+	7.37	0.0289	1.0	GO:1903278
regulation of sodium ion export across plasma membrane (GO:1903276)	11	2	0.27	+	7.37	0.0289	1.0	GO:1903276
penetration of zona pellucida (GO:0007341)	11	2	0.27	+	7.37	0.0289	1.0	GO:0007341
intracellular sodium ion homeostasis (GO:0006883)	22	4	0.54	+	7.37	0.00188	0.795	GO:0006883
cellular response to antibiotic (GO:0071236)	11	2	0.27	+	7.37	0.0289	1.0	GO:0071236
Rap protein signal transduction (GO:0032486)	11	2	0.27	+	7.37	0.0289	1.0	GO:0032486
intracellular potassium ion homeostasis (GO:0030007)	17	3	0.42	+	7.15	0.00786	1.0	GO:0030007
mitotic sister chromatid cohesion (GO:0007064)	23	4	0.57	+	7.05	0.00224	0.847	GO:0007064
cellular response to epinephrine stimulus (GO:0071872)	12	2	0.3	+	6.75	0.0341	1.0	GO:0071872
angiogenesis involved in wound healing (GO:0060055)	18	3	0.44	+	6.75	0.00926	1.0	GO:0060055
polyamine metabolic process (GO:0006595)	18	3	0.44	+	6.75	0.00926	1.0	GO:0006595
regulation of dendritic cell chemotaxis (GO:2000508)	12	2	0.3	+	6.75	0.0341	1.0	GO:2000508
regulation of norepinephrine secretion (GO:0014061)	12	2	0.3	+	6.75	0.0341	1.0	GO:0014061
glandular epithelial cell development (GO:0002068)	12	2	0.3	+	6.75	0.0341	1.0	GO:0002068
cellular response to follicle-stimulating hormone stimulus (GO:0071372)	12	2	0.3	+	6.75	0.0341	1.0	GO:0071372
ossification involved in bone maturation (GO:0043931)	18	3	0.44	+	6.75	0.00926	1.0	GO:0043931
regulation of glucocorticoid metabolic process (GO:0031943)	12	2	0.3	+	6.75	0.0341	1.0	GO:0031943
positive regulation of astrocyte differentiation (GO:0048711)	12	2	0.3	+	6.75	0.0341	1.0	GO:0048711
double-strand break repair via break-induced replication (GO:0000727)	12	2	0.3	+	6.75	0.0341	1.0	GO:0000727
positive regulation by symbiont of entry into host (GO:0075294)	12	2	0.3	+	6.75	0.0341	1.0	GO:0075294
mucociliary clearance (GO:0120197)	12	2	0.3	+	6.75	0.0341	1.0	GO:0120197
positive regulation of urine volume (GO:0035810)	12	2	0.3	+	6.75	0.0341	1.0	GO:0035810
extracellular negative regulation of signal transduction (GO:1900116)	12	2	0.3	+	6.75	0.0341	1.0	GO:1900116
extracellular regulation of signal transduction (GO:1900115)	12	2	0.3	+	6.75	0.0341	1.0	GO:1900115
positive regulation of viral entry into host cell (GO:0046598)	12	2	0.3	+	6.75	0.0341	1.0	GO:0046598
mammary gland epithelial cell differentiation (GO:0060644)	18	3	0.44	+	6.75	0.00926	1.0	GO:0060644
animal organ maturation (GO:0048799)	25	4	0.62	+	6.48	0.00307	0.986	GO:0048799
positive regulation of transforming growth factor beta production (GO:0071636)	19	3	0.47	+	6.40	0.0108	1.0	GO:0071636
regulation of glutamate secretion (GO:0014048)	19	3	0.47	+	6.40	0.0108	1.0	GO:0014048
response to muscle activity (GO:0014850)	32	5	0.79	+	6.33	0.00104	0.699	GO:0014850
positive regulation of osteoblast proliferation (GO:0033690)	13	2	0.32	+	6.23	0.0396	1.0	GO:0033690
epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)	13	2	0.32	+	6.23	0.0396	1.0	GO:0060287
regulation of dendritic cell apoptotic process (GO:2000668)	13	2	0.32	+	6.23	0.0396	1.0	GO:2000668
inositol phosphate biosynthetic process (GO:0032958)	13	2	0.32	+	6.23	0.0396	1.0	GO:0032958
endodermal cell fate commitment (GO:0001711)	13	2	0.32	+	6.23	0.0396	1.0	GO:0001711
polyamine biosynthetic process (GO:0006596)	13	2	0.32	+	6.23	0.0396	1.0	GO:0006596
glycine metabolic process (GO:0006544)	13	2	0.32	+	6.23	0.0396	1.0	GO:0006544
neuronal ion channel clustering (GO:0045161)	13	2	0.32	+	6.23	0.0396	1.0	GO:0045161
angiotensin maturation (GO:0002003)	13	2	0.32	+	6.23	0.0396	1.0	GO:0002003
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	13	2	0.32	+	6.23	0.0396	1.0	GO:0043568
relaxation of cardiac muscle (GO:0055119)	13	2	0.32	+	6.23	0.0396	1.0	GO:0055119
serine family amino acid biosynthetic process (GO:0009070)	13	2	0.32	+	6.23	0.0396	1.0	GO:0009070
telencephalon regionalization (GO:0021978)	13	2	0.32	+	6.23	0.0396	1.0	GO:0021978
mitral valve morphogenesis (GO:0003183)	13	2	0.32	+	6.23	0.0396	1.0	GO:0003183
positive regulation of sodium ion transmembrane transport (GO:1902307)	20	3	0.49	+	6.08	0.0125	1.0	GO:1902307
cellular response to prostaglandin E stimulus (GO:0071380)	20	3	0.49	+	6.08	0.0125	1.0	GO:0071380
