GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0010519	negative regulation of phospholipase activity	7	2	0.07	0.0018	1
GO:0071492	cellular response to UV-A	11	2	0.1	0.0047	1
GO:0030488	tRNA methylation	40	3	0.38	0.0065	1
GO:0048246	macrophage chemotaxis	40	3	0.38	0.0065	1
GO:0034145	positive regulation of toll-like receptor 4 signaling pathway	13	2	0.12	0.0066	1
GO:0045663	positive regulation of myoblast differentiation	43	3	0.41	0.0079	1
GO:0055093	response to hyperoxia	20	2	0.19	0.0153	1
GO:0060546	negative regulation of necroptotic process	22	2	0.21	0.0184	1
GO:0043331	response to dsRNA	58	4	0.55	0.0187	1
GO:0007566	embryo implantation	59	3	0.56	0.0188	1
GO:0000027	ribosomal large subunit assembly	23	2	0.22	0.0201	1
GO:0045022	early endosome to late endosome transport	43	4	0.41	0.0213	1
GO:0033617	mitochondrial cytochrome c oxidase assembly	25	2	0.24	0.0235	1
GO:0048245	eosinophil chemotaxis	27	2	0.26	0.0271	1
GO:0021869	forebrain ventricular zone progenitor cell division	6	2	0.06	0.0282	1
GO:2000819	regulation of nucleotide-excision repair	28	2	0.27	0.0290	1
GO:0048714	positive regulation of oligodendrocyte differentiation	28	2	0.27	0.0290	1
GO:0030705	cytoskeleton-dependent intracellular transport	199	3	1.9	0.0292	1
GO:0030516	regulation of axon extension	92	3	0.88	0.0309	1
GO:0061640	cytoskeleton-dependent cytokinesis	116	3	1.11	0.0310	1
GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	29	2	0.28	0.0310	1
GO:0071260	cellular response to mechanical stimulus	73	3	0.7	0.0326	1
GO:2001258	negative regulation of cation channel activity	48	3	0.46	0.0327	1
GO:0000278	mitotic cell cycle	910	7	8.68	0.0334	1
GO:0030201	heparan sulfate proteoglycan metabolic process	16	2	0.15	0.0374	1
GO:0030641	regulation of cellular pH	95	2	0.91	0.0376	1
GO:0071347	cellular response to interleukin-1	110	4	1.05	0.0381	1
GO:0051973	positive regulation of telomerase activity	33	2	0.31	0.0393	1
GO:0071276	cellular response to cadmium ion	36	2	0.34	0.0461	1
GO:0001845	phagolysosome assembly	19	2	0.18	0.0465	1
GO:0048844	artery morphogenesis	81	4	0.77	0.0476	1
GO:0071230	cellular response to amino acid stimulus	86	3	0.82	0.0491	1
GO:0070316	regulation of G0 to G1 transition	38	2	0.36	0.0508	1
GO:0035094	response to nicotine	50	3	0.48	0.0576	1
GO:0060078	regulation of postsynaptic membrane potential	148	3	1.41	0.0582	1
GO:0016311	dephosphorylation	307	6	2.93	0.0623	1
GO:0007017	microtubule-based process	938	9	8.94	0.0652	1
GO:0051602	response to electrical stimulus	44	2	0.42	0.0659	1
GO:0007631	feeding behavior	106	3	1.01	0.0683	1
GO:0030574	collagen catabolic process	45	2	0.43	0.0685	1
GO:1990776	response to angiotensin	44	2	0.42	0.0735	1
GO:0016477	cell migration	1612	23	15.37	0.0738	1
GO:0030509	BMP signaling pathway	168	3	1.6	0.0740	1
GO:0045776	negative regulation of blood pressure	48	2	0.46	0.0767	1
GO:0009314	response to radiation	429	7	4.09	0.0817	1
GO:0043330	response to exogenous dsRNA	50	2	0.48	0.0823	1
GO:0021799	cerebral cortex radially oriented cell migration	36	2	0.34	0.0823	1
GO:0042592	homeostatic process	1714	15	16.34	0.0838	1
GO:0035987	endodermal cell differentiation	51	2	0.49	0.0851	1
GO:0048013	ephrin receptor signaling pathway	51	2	0.49	0.0851	1
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	52	2	0.5	0.0880	1
GO:0000165	MAPK cascade	769	13	7.33	0.0899	1
GO:0006813	potassium ion transport	241	6	2.3	0.0900	1
GO:2000641	regulation of early endosome to late endosome transport	19	2	0.18	0.0909	1
GO:0032024	positive regulation of insulin secretion	86	3	0.82	0.0932	1
GO:1904645	response to amyloid-beta	54	2	0.51	0.0938	1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	409	7	3.9	0.0971	1
GO:0008333	endosome to lysosome transport	73	3	0.7	0.0989	1
GO:0034453	microtubule anchoring	25	2	0.24	0.0996	1
GO:0001541	ovarian follicle development	57	2	0.54	0.1027	1
GO:0060135	maternal process involved in female pregnancy	59	2	0.56	0.1088	1
GO:0031122	cytoplasmic microtubule organization	59	2	0.56	0.1088	1
GO:0032981	mitochondrial respiratory chain complex I assembly	60	2	0.57	0.1119	1
GO:0032496	response to lipopolysaccharide	347	6	3.31	0.1120	1
GO:0071805	potassium ion transmembrane transport	217	5	2.07	0.1136	1
GO:0071356	cellular response to tumor necrosis factor	241	4	2.3	0.1154	1
GO:0014044	Schwann cell development	42	2	0.4	0.1167	1
GO:1903078	positive regulation of protein localization to plasma membrane	62	2	0.59	0.1181	1
GO:0022617	extracellular matrix disassembly	64	2	0.61	0.1244	1
