Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes	GOID
0.097141335160699	5	168	6.8786075036075	GO:0002367 cytokine production involved in immune response 	 http://amigo.geneontology.org/amigo/term/GO:0002367	 IL18  IFNA2  RAET1G  PLCG2  MAVS	GO:0002367
0.097141335160699	5	168	6.8786075036075	GO:0002718 regulation of cytokine production involved in immune response 	 http://amigo.geneontology.org/amigo/term/GO:0002718	 IL18  IFNA2  RAET1G  PLCG2  MAVS	GO:0002718
0.097141335160699	5	146	7.9151100041511	GO:0009581 detection of external stimulus 	 http://amigo.geneontology.org/amigo/term/GO:0009581	 NR2F6  CACNA1F  ANO1  NMT2  CTNNB1	GO:0009581
0.097141335160699	5	149	7.75574537319504	GO:0009582 detection of abiotic stimulus 	 http://amigo.geneontology.org/amigo/term/GO:0009582	 NR2F6  CACNA1F  ANO1  NMT2  CTNNB1	GO:0009582
0.097141335160699	32	4181	1.76892580432403	GO:0009893 positive regulation of metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0009893	 BICRAL  DHX9  GH2  IL36B  CNOT6L  NCOA2  GDF9  CTNNB1  IFNA2  ENY2  FSTL3  NSF  MAVS  HAS3  SEPTIN4  IL26  APOE  MTDH  IL18  CHP2  NR2F2  RAET1G  CCAR1  AIMP2  GCG  RANBP2  HELQ  CAMP  PLCG2  NELFE  RPS4X  GRIN2A	GO:0009893
0.097141335160699	17	1645	2.38848669061435	GO:0009967 positive regulation of signal transduction 	 http://amigo.geneontology.org/amigo/term/GO:0009967	 MAVS  GH2  NEPRO  GDF9  GRIN2A  IL26  MTDH  IL18  CHP2  GCG  ITPKB  INTU  CTNNB1  PLCG2  NELFE  SEPTIN4  APOE	GO:0009967
0.097141335160699	31	3847	1.86242723570511	GO:0010604 positive regulation of macromolecule metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0010604	 BICRAL  DHX9  GH2  IL36B  CNOT6L  NCOA2  GDF9  CTNNB1  IFNA2  ENY2  FSTL3  NSF  MAVS  HAS3  SEPTIN4  IL26  APOE  IL18  CHP2  NR2F2  RAET1G  CCAR1  AIMP2  GCG  MTDH  HELQ  CAMP  PLCG2  NELFE  RPS4X  GRIN2A	GO:0010604
0.097141335160699	18	1830	2.27332339791356	GO:0010647 positive regulation of cell communication 	 http://amigo.geneontology.org/amigo/term/GO:0010647	 MAVS  GCG  GH2  NEPRO  GDF9  GRIN2A  IL26  APOE  MTDH  IL18  CHP2  ANO1  ITPKB  INTU  CTNNB1  PLCG2  NELFE  SEPTIN4	GO:0010647
0.097141335160699	19	1836	2.39177724962039	GO:0023056 positive regulation of signaling 	 http://amigo.geneontology.org/amigo/term/GO:0023056	 MAVS  GCG  GH2  NEPRO  GDF9  GRIN2A  NSF  IL26  APOE  MTDH  IL18  CHP2  ANO1  ITPKB  INTU  CTNNB1  PLCG2  NELFE  SEPTIN4	GO:0023056
0.097141335160699	30	3617	1.91695780028653	GO:0031325 positive regulation of cellular metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0031325	 BICRAL  DHX9  GH2  CNOT6L  NCOA2  GDF9  CTNNB1  IFNA2  ENY2  FSTL3  NSF  MAVS  HAS3  SEPTIN4  IL26  APOE  MTDH  IL18  CHP2  NR2F2  CCAR1  AIMP2  GCG  RANBP2  HELQ  CAMP  PLCG2  NELFE  RPS4X  GRIN2A	GO:0031325
0.097141335160699	17	1641	2.3943087178919	GO:0031399 regulation of protein modification process 	 http://amigo.geneontology.org/amigo/term/GO:0031399	 GH2  GDF9  IFNA2  MAVS  SEPTIN4  APOE  IL18  CTNNB1  NR2F2  AIMP2  GCG  FBXO2  ITPKB  CAMP  PLCG2  NELFE  CRTAP	GO:0031399
0.097141335160699	16	1504	2.45873629916183	GO:0032270 positive regulation of cellular protein metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0032270	 GH2  GDF9  IFNA2  MAVS  SEPTIN4  APOE  DHX9  IL18  AIMP2  GCG  CAMP  CTNNB1  PLCG2  NELFE  RPS4X  GRIN2A	GO:0032270
0.097141335160699	15	1259	2.75362842082461	GO:0034645 cellular macromolecule biosynthetic process 	 http://amigo.geneontology.org/amigo/term/GO:0034645	 MGAT4A  HAS3  GYS1  CNOT6L  NMT2  FKRP  RPS4X  MRPS35  MRPS30  MRPL33  APOE  DHX9  AIMP2  KBTBD8  CTNNB1	GO:0034645
0.097141335160699	2	10	46.2242424242424	GO:0043587 tongue morphogenesis 	 http://amigo.geneontology.org/amigo/term/GO:0043587	 CTNNB1  INTU	GO:0043587
0.097141335160699	7	302	5.35711418824002	GO:0044262 cellular carbohydrate metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0044262	 HAS3  GYS1  NEU2  GCG  NCOA2  RANBP2  IDUA	GO:0044262
0.097141335160699	22	2427	2.0950418898503	GO:0048584 positive regulation of response to stimulus 	 http://amigo.geneontology.org/amigo/term/GO:0048584	 MAVS  GH2  NEPRO  GDF9  IL18  GRIN2A  IL26  MTDH  CHP2  PLCG2  RAET1G  GCG  ITPKB  HELQ  INTU  CTNNB1  NELFE  SEPTIN4  APOE  DHX9  NKG7  GPR151	GO:0048584
0.097141335160699	7	321	5.0400264325498	GO:0051091 positive regulation of DNA-binding transcription factor activity 	 http://amigo.geneontology.org/amigo/term/GO:0051091	 MAVS  MTDH  IL18  CTNNB1  PLCG2  CAMK2A  DHX9	GO:0051091
0.097141335160699	29	3403	1.96959011211142	GO:0051173 positive regulation of nitrogen compound metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0051173	 BICRAL  DHX9  GH2  CNOT6L  NCOA2  GDF9  CTNNB1  IFNA2  ENY2  FSTL3  MAVS  HAS3  SEPTIN4  IL26  APOE  IL18  CHP2  NR2F2  CCAR1  AIMP2  GCG  MTDH  HELQ  CAMP  PLCG2  NELFE  NSF  RPS4X  GRIN2A	GO:0051173
0.097141335160699	24	2795	1.98458285900146	GO:0051246 regulation of protein metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0051246	 GH2  CNOT6L  GDF9  IFNA2  MAVS  SEPTIN4  APOE  DHX9  IL18  CTNNB1  NR2F2  AIMP2  GCG  FBXO2  ITPKB  KBTBD8  CAMP  GRIN2A  PLCG2  NELFE  NSF  PSMA3  CRTAP  RPS4X	GO:0051246
0.097141335160699	17	1618	2.42834400869011	GO:0051247 positive regulation of protein metabolic process 	 http://amigo.geneontology.org/amigo/term/GO:0051247	 GH2  GDF9  IFNA2  MAVS  SEPTIN4  APOE  DHX9  IL18  AIMP2  GCG  CAMP  CTNNB1  PLCG2  NELFE  NSF  RPS4X  GRIN2A	GO:0051247
0.097141335160699	3	39	17.7785547785548	GO:0051569 regulation of histone H3-K4 methylation 	 http://amigo.geneontology.org/amigo/term/GO:0051569	 GCG  CTNNB1  NELFE	GO:0051569
0.097141335160699	3	27	25.6801346801347	GO:0051571 positive regulation of histone H3-K4 methylation 	 http://amigo.geneontology.org/amigo/term/GO:0051571	 GCG  CTNNB1  NELFE	GO:0051571
0.102074322435481	6	258	5.37491190979563	GO:0071222 cellular response to lipopolysaccharide 	 http://amigo.geneontology.org/amigo/term/GO:0071222	 IL36B  IL18  CAMP  MRC1  MTDH  PLCG2	GO:0071222
0.107316788984201	2	11	42.0220385674931	GO:0002732 positive regulation of dendritic cell cytokine production 	 http://amigo.geneontology.org/amigo/term/GO:0002732	 PLCG2  MAVS	GO:0002732
0.114223683666936	6	268	5.17435549525102	GO:0071219 cellular response to molecule of bacterial origin 	 http://amigo.geneontology.org/amigo/term/GO:0071219	 IL36B  IL18  CAMP  MRC1  MTDH  PLCG2	GO:0071219
