Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
negative regulation of dendritic cell apoptotic process (GO:2000669)	9	2	0.02	+	91.47	0.000206	1.0	GO:2000669
regulation of dendritic cell apoptotic process (GO:2000668)	13	2	0.03	+	63.32	0.000444	1.0	GO:2000668
regulation of transforming growth factor beta production (GO:0071634)	34	2	0.08	+	24.21	0.00309	1.0	GO:0071634
negative regulation of cytokine production involved in immune response (GO:0002719)	34	2	0.08	+	24.21	0.00309	1.0	GO:0002719
vacuolar acidification (GO:0007035)	37	2	0.09	+	22.25	0.00365	1.0	GO:0007035
regulation of macrophage cytokine production (GO:0010935)	37	2	0.09	+	22.25	0.00365	1.0	GO:0010935
dendritic cell differentiation (GO:0097028)	38	2	0.09	+	21.66	0.00385	1.0	GO:0097028
negative regulation of type II interferon production (GO:0032689)	42	2	0.1	+	19.60	0.00468	1.0	GO:0032689
regulation of type I interferon-mediated signaling pathway (GO:0060338)	44	2	0.11	+	18.71	0.00513	1.0	GO:0060338
negative regulation of production of molecular mediator of immune response (GO:0002701)	45	2	0.11	+	18.29	0.00536	1.0	GO:0002701
intracellular pH reduction (GO:0051452)	55	2	0.13	+	14.97	0.00791	1.0	GO:0051452
negative regulation of leukocyte apoptotic process (GO:2000107)	57	2	0.14	+	14.44	0.00848	1.0	GO:2000107
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	64	2	0.16	+	12.86	0.0106	1.0	GO:0001961
negative regulation of tumor necrosis factor production (GO:0032720)	65	2	0.16	+	12.66	0.0109	1.0	GO:0032720
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	67	2	0.16	+	12.29	0.0116	1.0	GO:1903556
positive regulation of response to cytokine stimulus (GO:0060760)	71	2	0.17	+	11.59	0.0129	1.0	GO:0060760
protein dephosphorylation (GO:0006470)	87	2	0.21	+	9.46	0.019	1.0	GO:0006470
positive regulation of protein polymerization (GO:0032273)	90	2	0.22	+	9.15	0.0202	1.0	GO:0032273
regulation of intracellular pH (GO:0051453)	92	2	0.22	+	8.95	0.0211	1.0	GO:0051453
regulation of leukocyte apoptotic process (GO:2000106)	95	2	0.23	+	8.67	0.0224	1.0	GO:2000106
negative regulation of innate immune response (GO:0045824)	95	2	0.23	+	8.67	0.0224	1.0	GO:0045824
endosome organization (GO:0007032)	96	2	0.23	+	8.58	0.0228	1.0	GO:0007032
regulation of cellular pH (GO:0030641)	96	2	0.23	+	8.58	0.0228	1.0	GO:0030641
spindle assembly (GO:0051225)	105	2	0.26	+	7.84	0.0269	1.0	GO:0051225
regulation of pH (GO:0006885)	107	2	0.26	+	7.69	0.0279	1.0	GO:0006885
positive regulation of canonical Wnt signaling pathway (GO:0090263)	108	2	0.26	+	7.62	0.0284	1.0	GO:0090263
regulation of cytokine-mediated signaling pathway (GO:0001959)	175	3	0.43	+	7.06	0.00884	1.0	GO:0001959
regulation of type II interferon production (GO:0032649)	119	2	0.29	+	6.92	0.0339	1.0	GO:0032649
proton transmembrane transport (GO:1902600)	185	3	0.45	+	6.67	0.0103	1.0	GO:1902600
regulation of response to cytokine stimulus (GO:0060759)	186	3	0.45	+	6.64	0.0104	1.0	GO:0060759
regulation of cytokine production involved in immune response (GO:0002718)	127	2	0.31	+	6.48	0.0382	1.0	GO:0002718
cellular response to lipopolysaccharide (GO:0071222)	195	3	0.47	+	6.33	0.0118	1.0	GO:0071222
regulation of type I interferon production (GO:0032479)	132	2	0.32	+	6.24	0.0409	1.0	GO:0032479
dephosphorylation (GO:0016311)	132	2	0.32	+	6.24	0.0409	1.0	GO:0016311
negative regulation of response to biotic stimulus (GO:0002832)	132	2	0.32	+	6.24	0.0409	1.0	GO:0002832
positive regulation of protein-containing complex assembly (GO:0031334)	202	3	0.49	+	6.11	0.013	1.0	GO:0031334
negative regulation of translation (GO:0017148)	135	2	0.33	+	6.10	0.0426	1.0	GO:0017148
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	135	2	0.33	+	6.10	0.0426	1.0	GO:1902850
negative regulation of immune effector process (GO:0002698)	136	2	0.33	+	6.05	0.0432	1.0	GO:0002698
determination of left/right symmetry (GO:0007368)	137	2	0.33	+	6.01	0.0438	1.0	GO:0007368
microtubule bundle formation (GO:0001578)	138	2	0.34	+	5.97	0.0444	1.0	GO:0001578
cellular response to molecule of bacterial origin (GO:0071219)	208	3	0.51	+	5.94	0.0141	1.0	GO:0071219
negative regulation of immune response (GO:0050777)	212	3	0.52	+	5.82	0.0148	1.0	GO:0050777
determination of bilateral symmetry (GO:0009855)	143	2	0.35	+	5.76	0.0473	1.0	GO:0009855
specification of symmetry (GO:0009799)	143	2	0.35	+	5.76	0.0473	1.0	GO:0009799
left/right pattern formation (GO:0060972)	144	2	0.35	+	5.72	0.0479	1.0	GO:0060972
keratinocyte differentiation (GO:0030216)	145	2	0.35	+	5.68	0.0485	1.0	GO:0030216
defense response to virus (GO:0051607)	292	4	0.71	+	5.64	0.00548	1.0	GO:0051607
positive regulation of Wnt signaling pathway (GO:0030177)	147	2	0.36	+	5.60	0.0497	1.0	GO:0030177
innate immune response-activating signaling pathway (GO:0002758)	153	2	0.37	+	5.38	0.0533	1.0	GO:0002758
cellular response to biotic stimulus (GO:0071216)	235	3	0.57	+	5.25	0.0194	1.0	GO:0071216
regulation of organelle assembly (GO:1902115)	237	3	0.58	+	5.21	0.0199	1.0	GO:1902115
phagocytosis (GO:0006909)	164	2	0.4	+	5.02	0.0603	1.0	GO:0006909
spindle organization (GO:0007051)	172	2	0.42	+	4.79	0.0655	1.0	GO:0007051
negative regulation of lymphocyte activation (GO:0051250)	174	2	0.42	+	4.73	0.0669	1.0	GO:0051250
positive regulation of supramolecular fiber organization (GO:1902905)	174	2	0.42	+	4.73	0.0669	1.0	GO:1902905
transport along microtubule (GO:0010970)	175	2	0.43	+	4.70	0.0675	1.0	GO:0010970
regulation of tumor necrosis factor production (GO:0032680)	176	2	0.43	+	4.68	0.0682	1.0	GO:0032680
activation of innate immune response (GO:0002218)	179	2	0.43	+	4.60	0.0702	1.0	GO:0002218
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	181	2	0.44	+	4.55	0.0716	1.0	GO:1903555
negative regulation of defense response (GO:0031348)	277	3	0.67	+	4.46	0.0297	1.0	GO:0031348
cell-substrate adhesion (GO:0031589)	185	2	0.45	+	4.45	0.0744	1.0	GO:0031589
positive regulation of cytoskeleton organization (GO:0051495)	189	2	0.46	+	4.36	0.0772	1.0	GO:0051495
regulation of production of molecular mediator of immune response (GO:0002700)	197	2	0.48	+	4.18	0.0828	1.0	GO:0002700
regulation of protein polymerization (GO:0032271)	200	2	0.49	+	4.12	0.085	1.0	GO:0032271
response to virus (GO:0009615)	400	4	0.97	+	4.12	0.016	1.0	GO:0009615
cytoskeleton-dependent intracellular transport (GO:0030705)	200	2	0.49	+	4.12	0.085	1.0	GO:0030705
negative regulation of leukocyte activation (GO:0002695)	201	2	0.49	+	4.10	0.0857	1.0	GO:0002695
positive regulation of cytokine production (GO:0001819)	506	5	1.23	+	4.07	0.00751	1.0	GO:0001819
purine nucleoside triphosphate metabolic process (GO:0009144)	203	2	0.49	+	4.06	0.0872	1.0	GO:0009144
intracellular receptor signaling pathway (GO:0030522)	206	2	0.5	+	4.00	0.0894	1.0	GO:0030522
regulation of endocytosis (GO:0030100)	309	3	0.75	+	4.00	0.0391	1.0	GO:0030100
protein homooligomerization (GO:0051260)	209	2	0.51	+	3.94	0.0916	1.0	GO:0051260
establishment or maintenance of cell polarity (GO:0007163)	210	2	0.51	+	3.92	0.0924	1.0	GO:0007163
carbohydrate derivative catabolic process (GO:1901136)	210	2	0.51	+	3.92	0.0924	1.0	GO:1901136
epidermal cell differentiation (GO:0009913)	212	2	0.52	+	3.88	0.0938	1.0	GO:0009913
response to lipopolysaccharide (GO:0032496)	319	3	0.78	+	3.87	0.0424	1.0	GO:0032496
