Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)	2/7	0.00012760097078443218	0.0666077067494736	0	0	166.20833333333334	1490.3240703269437	MAVS;PLCG2	GO:0002732	2
+ Reg of Myeloid Leukocyte Cytokine Production Inv in Imm Resp (GO:0061081)	2/16	0.0007187392304892979	0.1250606261051378	0	0	59.333333333333336	429.45537567816734	MAVS;PLCG2	GO:0061081	2
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)	2/16	0.0007187392304892979	0.1250606261051378	0	0	59.333333333333336	429.45537567816734	PLCG2;MTDH	GO:0031663	2
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227)	2/24	0.0016321249773357	0.1682880179272523	0	0	37.74242424242424	242.22606459531664	MAVS;PLCG2	GO:1900227	2
Positive Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141087)	2/25	0.0017712212130127	0.1682880179272523	0	0	36.09963768115942	228.73040961874747	MAVS;PLCG2	GO:0141087	2
Natural Killer Cell Mediated Immunity (GO:0002228)	2/31	0.0027192556482504	0.1682880179272523	0	0	28.62212643678161	169.08226656127547	RAET1G;NKG7	GO:0002228	2
Regulation of Primary Metabolic Process (GO:0080090)	3/113	0.0028374324702645	0.1682880179272523	0	0	11.512572533849127	67.51957659481218	NCOA2;PLCG2;APOE	GO:0080090	3
Natural Killer Cell Mediated Cytotoxicity (GO:0042267)	2/32	0.0028959211173454	0.1682880179272523	0	0	27.666666666666668	161.69650653172428	RAET1G;NKG7	GO:0042267	2
Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720)	2/35	0.0034573756419477	0.1682880179272523	0	0	25.147727272727277	142.5183432834292	RAET1G;PLCG2	GO:0002720	2
Positive Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046427)	2/38	0.0040654672914765	0.1682880179272523	0	0	23.04861111111111	126.88782669928548	GH2;IL26	GO:0046427	2
Positive Regulation of Receptor Signaling Pathway via STAT (GO:1904894)	2/42	0.0049475924537835	0.1682880179272523	0	0	20.73958333333333	110.1034239545967	GH2;IL26	GO:1904894	2
Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900225)	2/42	0.0049475924537835	0.1682880179272523	0	0	20.73958333333333	110.1034239545967	MAVS;PLCG2	GO:1900225	2
Oligosaccharide Metabolic Process (GO:0009311)	2/48	0.0064203200925442	0.1682880179272523	0	0	18.02898550724637	91.01549863791358	NEU2;IDUA	GO:0009311	2
Regulation of Lipid Metabolic Process (GO:0019216)	2/51	0.0072225026271421	0.1682880179272523	0	0	16.922619047619047	83.43788300609687	NCOA2;PLCG2	GO:0019216	2
Glycoprotein Metabolic Process (GO:0009100)	2/52	0.007499481830469	0.1682880179272523	0	0	16.583333333333332	81.14094572244915	NEU2;MGAT4A	GO:0009100	2
Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046425)	2/55	0.0083588302127531	0.1682880179272523	0	0	15.642295597484276	74.83957451132376	GH2;IL26	GO:0046425	2
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	3/174	0.0094022629376098	0.1682880179272523	0	0	7.382978723404255	34.45492114000981	MAVS;PLCG2;MTDH	GO:0051091	3
Pattern Recognition Receptor Signaling Pathway (GO:0002221)	2/65	0.0115237618661231	0.1682880179272523	0	0	13.15277777777778	58.70537343689256	MAVS;PLCG2	GO:0002221	2
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	2/73	0.0143765335552059	0.1682880179272523	0	0	11.666079812206572	49.48935398933624	IL26;APOE	GO:0050680	2
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	2/74	0.0147525184670075	0.1682880179272523	0	0	11.50347222222222	48.50256694786101	PLCG2;CACNA1F	GO:0097553	2
Positive Regulation of Interleukin-6 Production (GO:0032755)	2/77	0.0159057771109684	0.1682880179272523	0	0	11.041666666666666	45.72434655376785	MAVS;PLCG2	GO:0032755	2
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	2/82	0.0179108739546233	0.1682880179272523	0	0	10.348958333333334	41.62710426921145	MAVS;PLCG2	GO:0032760	2
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	2/85	0.0191627543313976	0.1682880179272523	0	0	9.973393574297187	39.44264488506008	MAVS;PLCG2	GO:1903557	2
Positive Regulation of Biosynthetic Process (GO:0009891)	2/87	0.0200173181098975	0.1682880179272523	0	0	9.737745098039216	38.08585452607372	PLCG2;APOE	GO:0009891	2
Regulation of Transcription by RNA Polymerase II (GO:0006357)	11/2250	0.0211210173229639	0.1682880179272523	0	0	2.2310898867397304	8.606399458856512	NCOA2;MAVS;IL26;SALL3;MAGEE2;PASD1;PHF21A;MAGEA4;MTDH;FSTL3;NR2F6	GO:0006357	11
Positive Regulation of Response to Stimulus (GO:0048584)	2/92	0.0222223839756269	0.1682880179272523	0	0	9.194444444444445	35.00007985571613	GPR151;MAVS	GO:0048584	2
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	5/652	0.0229731160441059	0.1682880179272523	0	0	3.314957925467972	12.508763721273285	MAVS;IL26;PLCG2;SEPTIN4;MTDH	GO:1902533	5
Positive Regulation of Protein-Containing Complex Assembly (GO:0031334)	2/105	0.0283980432384044	0.1682880179272523	0	0	8.028721682847896	28.593770697553435	MAVS;PLCG2	GO:0031334	2
Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122)	3/270	0.0299346348770651	0.1682880179272523	0	0	4.705474539803968	16.51028255772315	MAVS;PLCG2;MTDH	GO:0043122	3
Regulation of Interleukin-6 Production (GO:0032675)	2/114	0.0330295301793541	0.1682880179272523	0	0	7.380208333333333	25.169117576656426	MAVS;PLCG2	GO:0032675	2
Positive Regulation of Inflammatory Response (GO:0050729)	2/115	0.033561350657856	0.1682880179272523	0	0	7.31452802359882	24.82828874550635	PLCG2;NKG7	GO:0050729	2
