GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0001992	regulation of systemic arterial blood pressure by vasopressin	5	2	0.05	0.0009	1
GO:0003084	positive regulation of systemic arterial blood pressure	12	2	0.12	0.0057	1
GO:0030890	positive regulation of B cell proliferation	44	3	0.42	0.0086	1
GO:0002076	osteoblast development	17	2	0.16	0.0113	1
GO:0035455	response to interferon-alpha	18	2	0.17	0.0126	1
GO:0045926	negative regulation of growth	246	4	2.36	0.0127	1
GO:0050873	brown fat cell differentiation	54	3	0.52	0.0150	1
GO:0033962	P-body assembly	21	2	0.2	0.0170	1
GO:0002765	immune response-inhibiting signal transduction	11	2	0.11	0.0190	1
GO:0046835	carbohydrate phosphorylation	23	2	0.22	0.0203	1
GO:0002407	dendritic cell chemotaxis	24	2	0.23	0.0220	1
GO:0061484	hematopoietic stem cell homeostasis	24	2	0.23	0.0220	1
GO:0048255	mRNA stabilization	65	3	0.62	0.0245	1
GO:0042104	positive regulation of activated T cell proliferation	27	2	0.26	0.0274	1
GO:0010875	positive regulation of cholesterol efflux	27	2	0.26	0.0274	1
GO:0009132	nucleoside diphosphate metabolic process	127	3	1.22	0.0284	1
GO:0050995	negative regulation of lipid catabolic process	28	2	0.27	0.0294	1
GO:0045070	positive regulation of viral genome replication	31	2	0.3	0.0354	1
GO:0000398	mRNA splicing, via spliceosome	329	8	3.15	0.0361	1
GO:1903900	regulation of viral life cycle	143	4	1.37	0.0375	1
GO:0019724	B cell mediated immunity	140	2	1.34	0.0379	1
GO:0071482	cellular response to light stimulus	122	4	1.17	0.0393	1
GO:0045907	positive regulation of vasoconstriction	33	2	0.32	0.0398	1
GO:0051260	protein homooligomerization	195	6	1.87	0.0401	1
GO:0043276	anoikis	34	2	0.33	0.0420	1
GO:0006644	phospholipid metabolic process	381	8	3.65	0.0453	1
GO:0070269	pyroptosis	37	2	0.35	0.0489	1
GO:0098586	cellular response to virus	87	3	0.83	0.0512	1
GO:0009725	response to hormone	883	8	8.47	0.0550	1
GO:0032392	DNA geometric change	83	4	0.8	0.0555	1
GO:2000144	positive regulation of DNA-templated transcription initiation	68	2	0.65	0.0561	1
GO:0032733	positive regulation of interleukin-10 production	42	2	0.4	0.0613	1
GO:0007599	hemostasis	233	5	2.23	0.0646	1
GO:0010742	macrophage derived foam cell differentiation	40	2	0.38	0.0650	1
GO:0002752	cell surface pattern recognition receptor signaling pathway	79	2	0.76	0.0651	1
GO:0034440	lipid oxidation	113	2	1.08	0.0652	1
GO:0120162	positive regulation of cold-induced thermogenesis	101	3	0.97	0.0732	1
GO:0042632	cholesterol homeostasis	101	3	0.97	0.0732	1
GO:0031295	T cell costimulation	48	2	0.46	0.0774	1
GO:0007602	phototransduction	49	2	0.47	0.0802	1
GO:1902624	positive regulation of neutrophil migration	34	2	0.33	0.0827	1
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	50	2	0.48	0.0831	1
GO:0034101	erythrocyte homeostasis	144	2	1.38	0.0832	1
GO:0042742	defense response to bacterium	319	5	3.06	0.0858	1
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	51	2	0.49	0.0859	1
GO:0022900	electron transport chain	172	4	1.65	0.0881	1
GO:0035176	social behavior	52	2	0.5	0.0888	1
GO:0042572	retinol metabolic process	52	2	0.5	0.0888	1
GO:0071875	adrenergic receptor signaling pathway	34	3	0.33	0.0910	1
GO:0090263	positive regulation of canonical Wnt signaling pathway	111	3	1.06	0.0911	1
GO:0009584	detection of visible light	53	2	0.51	0.0918	1
GO:1902749	regulation of cell cycle G2/M phase transition	116	2	1.11	0.0919	1
GO:0032870	cellular response to hormone stimulus	614	5	5.89	0.0965	1
GO:0030336	negative regulation of cell migration	380	6	3.64	0.1096	1
GO:0010718	positive regulation of epithelial to mesenchymal transition	59	2	0.57	0.1099	1
GO:0031122	cytoplasmic microtubule organization	59	2	0.57	0.1099	1
GO:0032981	mitochondrial respiratory chain complex I assembly	60	2	0.58	0.1130	1
