Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	180	2.00755698407258e-17	1.13196100546932e-13	GO:0008150
reproduction	BP	1539	20	0.00607261564613784	0.816664501387041	GO:0000003
immune effector process	BP	637	4	0.657146923139352	1	GO:0002252
activation of immune response	BP	545	5	0.337216340642387	1	GO:0002253
immune system process	BP	2545	22	0.181805354965752	1	GO:0002376
inflammatory response to antigenic stimulus	BP	82	2	0.11337940609307	1	GO:0002437
regulation of immune system process	BP	1544	10	0.649060331627709	1	GO:0002682
negative regulation of immune system process	BP	526	7	0.0787529581669018	1	GO:0002683
positive regulation of immune system process	BP	1075	6	0.77040090640865	1	GO:0002684
regulation of response to biotic stimulus	BP	524	3	0.715002661328275	1	GO:0002831
developmental process involved in reproduction	BP	1011	12	0.0540798232757073	1	GO:0003006
response to stress	BP	3939	29	0.422969773852381	1	GO:0006950
defense response	BP	1843	14	0.420765352825909	1	GO:0006952
inflammatory response	BP	887	6	0.594330849443903	1	GO:0006954
immune response	BP	1750	15	0.249258687614156	1	GO:0006955
humoral immune response	BP	248	3	0.253373464224513	1	GO:0006959
multicellular organism development	BP	4758	35	0.411084908085701	1	GO:0007275
sex differentiation	BP	288	4	0.145514363725985	1	GO:0007548
gonad development	BP	233	4	0.0824689394978013	1	GO:0008406
female gonad development	BP	102	2	0.161026957193084	1	GO:0008585
response to external stimulus	BP	2747	22	0.29030988852061	1	GO:0009605
response to biotic stimulus	BP	1575	11	0.551759644914285	1	GO:0009607
response to endogenous stimulus	BP	1755	17	0.112206967743058	1	GO:0009719
response to hormone	BP	883	9	0.170518316581796	1	GO:0009725
embryo development	BP	1126	12	0.100377244164576	1	GO:0009790
cellular process	BP	17161	166	2.05854792280038e-12	9.28569797016795e-09	GO:0009987
response to extracellular stimulus	BP	519	4	0.49619993063229	1	GO:0009991
response to organic substance	BP	2720	28	0.0258959220997616	1	GO:0010033
response to organic cyclic compound	BP	896	10	0.101455934552077	1	GO:0014070
reproductive process	BP	1529	20	0.00566281396562849	0.816664501387041	GO:0022414
cell differentiation	BP	4440	39	0.0791806891496693	1	GO:0030154
regulation of defense response	BP	828	7	0.363655977798857	1	GO:0031347
negative regulation of defense response	BP	291	4	0.149388115529672	1	GO:0031348
response to nutrient levels	BP	490	4	0.451979344206104	1	GO:0031667
response to corticosteroid	BP	156	3	0.0976001504492997	1	GO:0031960
regulation of response to external stimulus	BP	1142	10	0.28311988059043	1	GO:0032101
negative regulation of response to external stimulus	BP	456	5	0.218285125290213	1	GO:0032102
multicellular organismal process	BP	7869	68	0.0278569439066158	1	GO:0032501
developmental process	BP	6582	51	0.234112647587022	1	GO:0032502
multicellular organism reproduction	BP	972	11	0.0823880000492818	1	GO:0032504
response to lipid	BP	928	10	0.119888490255181	1	GO:0033993
response to chemical	BP	4061	41	0.00981430247366643	0.918472107846774	GO:0042221
response to external biotic stimulus	BP	1538	11	0.519554686489465	1	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1708	12	0.542132120201749	1	GO:0044419
innate immune response	BP	975	5	0.818579830494694	1	GO:0045087
regulation of innate immune response	BP	440	2	0.817334550867352	1	GO:0045088
development of primary sexual characteristics	BP	238	4	0.0875149713478983	1	GO:0045137
development of primary female sexual characteristics	BP	106	2	0.170954137816585	1	GO:0046545
female sex differentiation	BP	121	2	0.208956579278609	1	GO:0046660
rhythmic process	BP	296	2	0.617486070395999	1	GO:0048511
animal organ development	BP	3050	24	0.30891151147454	1	GO:0048513
positive regulation of biological process	BP	6363	61	0.00449525756225737	0.783414622455438	GO:0048518
negative regulation of biological process	BP	5768	49	0.0814822490082846	1	GO:0048519
response to steroid hormone	BP	338	3	0.424492000783976	1	GO:0048545
embryonic organ development	BP	455	9	0.00507702146107282	0.816664501387041	GO:0048568
regulation of response to stimulus	BP	4085	30	0.426252984302202	1	GO:0048583
positive regulation of response to stimulus	BP	2339	22	0.0985219648987679	1	GO:0048584
negative regulation of response to stimulus	BP	1763	12	0.587046280051647	1	GO:0048585
reproductive structure development	BP	307	4	0.170694357199104	1	GO:0048608
multicellular organismal reproductive process	BP	924	11	0.0624309479998821	1	GO:0048609
system development	BP	4067	31	0.340281752160805	1	GO:0048731
anatomical structure development	BP	6007	46	0.279015161087231	1	GO:0048856
