Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	84	1.16357718866838e-05	0.0258114922108054	GO:0008150
reproduction	BP	1539	6	0.461681952741441	1	GO:0000003
immune effector process	BP	637	2	0.661002362794563	1	GO:0002252
activation of immune response	BP	545	3	0.30245891071452	1	GO:0002253
immune system process	BP	2545	11	0.285960170450767	1	GO:0002376
regulation of immune system process	BP	1544	9	0.0951414053399046	1	GO:0002682
negative regulation of immune system process	BP	526	3	0.284170282876371	1	GO:0002683
positive regulation of immune system process	BP	1075	7	0.0860411979225697	1	GO:0002684
regulation of immune effector process	BP	385	2	0.395013321696446	1	GO:0002697
regulation of response to biotic stimulus	BP	524	2	0.554525112219885	1	GO:0002831
developmental process involved in reproduction	BP	1011	4	0.480543591381381	1	GO:0003006
response to stress	BP	3939	18	0.149115725033628	1	GO:0006950
defense response	BP	1843	7	0.477166326626399	1	GO:0006952
inflammatory response	BP	887	2	0.824706557406478	1	GO:0006954
immune response	BP	1750	6	0.588562229840578	1	GO:0006955
multicellular organism development	BP	4758	32	0.000139349303376256	0.101383360914454	GO:0007275
sex differentiation	BP	288	4	0.0191670003045268	1	GO:0007548
response to nutrient	BP	164	2	0.114363002075032	1	GO:0007584
gonad development	BP	233	4	0.00945214354029507	0.862354513432551	GO:0008406
female gonad development	BP	102	3	0.00569136237630254	0.794754118282764	GO:0008585
response to external stimulus	BP	2747	13	0.16957840435971	1	GO:0009605
response to biotic stimulus	BP	1575	5	0.658974514781031	1	GO:0009607
response to endogenous stimulus	BP	1755	15	0.00124139962535949	0.444421065878697	GO:0009719
response to hormone	BP	883	8	0.0129675671285147	0.952034704757975	GO:0009725
embryo development	BP	1126	6	0.207353770665347	1	GO:0009790
cellular process	BP	17161	82	3.26779384996614e-06	0.0105288317845909	GO:0009987
response to extracellular stimulus	BP	519	5	0.0369837567453021	1	GO:0009991
response to organic substance	BP	2720	16	0.0286883659023463	1	GO:0010033
response to organic cyclic compound	BP	896	7	0.0394467494190658	1	GO:0014070
reproductive process	BP	1529	6	0.455397908108208	1	GO:0022414
ovulation cycle process	BP	50	2	0.0135359678538803	0.952034704757975	GO:0022602
cell differentiation	BP	4440	25	0.010406044185715	0.862354513432551	GO:0030154
regulation of defense response	BP	828	3	0.562808728567716	1	GO:0031347
response to nutrient levels	BP	490	4	0.0956281846254452	1	GO:0031667
regulation of response to external stimulus	BP	1142	6	0.216287028549953	1	GO:0032101
negative regulation of response to external stimulus	BP	456	3	0.218121949201338	1	GO:0032102
multicellular organismal process	BP	7869	44	0.000364788661899329	0.205686087011937	GO:0032501
developmental process	BP	6582	41	5.73114293185569e-05	0.0615524750881302	GO:0032502
multicellular organism reproduction	BP	972	3	0.671457271215699	1	GO:0032504
response to lipid	BP	928	6	0.110428907316238	1	GO:0033993
response to chemical	BP	4061	20	0.0743373624248902	1	GO:0042221
ovulation cycle	BP	72	2	0.0268656687248822	1	GO:0042698
response to external biotic stimulus	BP	1538	5	0.638069628179732	1	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1708	6	0.564408168745247	1	GO:0044419
innate immune response	BP	975	4	0.452572758986676	1	GO:0045087
regulation of innate immune response	BP	440	2	0.461550309870548	1	GO:0045088
development of primary sexual characteristics	BP	238	4	0.010159765791473	0.862354513432551	GO:0045137
development of primary female sexual characteristics	BP	106	3	0.0063302818339784	0.794754118282764	GO:0046545
female sex differentiation	BP	121	3	0.0090977179325312	0.862354513432551	GO:0046660
rhythmic process	BP	296	4	0.0209519944094364	1	GO:0048511
animal organ development	BP	3050	21	0.00200399623476733	0.627751820540866	GO:0048513
positive regulation of biological process	BP	6363	35	0.0028511904180556	0.639891431930269	GO:0048518
negative regulation of biological process	BP	5768	24	0.214592563180773	1	GO:0048519
response to steroid hormone	BP	338	2	0.335419378668497	1	GO:0048545
embryonic organ development	BP	455	2	0.478966982069802	1	GO:0048568
regulation of response to stimulus	BP	4085	22	0.0264083288346264	1	GO:0048583
positive regulation of response to stimulus	BP	2339	16	0.00774124368634593	0.833702966651184	GO:0048584
negative regulation of response to stimulus	BP	1763	8	0.283418448204885	1	GO:0048585
reproductive structure development	BP	307	4	0.0235684844119517	1	GO:0048608
multicellular organismal reproductive process	BP	924	3	0.637534958068164	1	GO:0048609
system development	BP	4067	27	0.000689685004626617	0.299137607583629	GO:0048731
anatomical structure development	BP	6007	39	3.79833689391673e-05	0.0465199095125718	GO:0048856
cellular developmental process	BP	4442	25	0.0104636131223325	0.862354513432551	GO:0048869
regulation of immune response	BP	903	5	0.214532891494706	1	GO:0050776
positive regulation of immune response	BP	740	4	0.265344979050791	1	GO:0050778
regulation of biological process	BP	12069	63	3.08214838694831e-05	0.0463431831461548	GO:0050789
response to stimulus	BP	8860	49	0.000159090130923757	0.1121287129017	GO:0050896
response to other organism	BP	1535	5	0.636341576542707	1	GO:0051707
reproductive system development	BP	311	4	0.0245670166923908	1	GO:0061458
biological regulation	BP	12489	65	1.97210636648211e-05	0.0317706335640268	GO:0065007
regulation of response to stress	BP	1408	6	0.378606799558727	1	GO:0080134
response to alcohol	BP	259	2	0.232528908146029	1	GO:0097305
defense response to other organism	BP	1218	5	0.430807714421512	1	GO:0098542
defense response to symbiont	BP	1113	4	0.556529749293304	1	GO:0140546
response to oxygen-containing compound	BP	1687	11	0.0356468946376039	1	GO:1901700
metabolic process	BP	12005	53	0.0206067103355515	1	GO:0008152
response to xenobiotic stimulus	BP	443	3	0.206226123206293	1	GO:0009410
cellular metabolic process	BP	10651	41	0.27244758311191	1	GO:0044237
cellular response to stimulus	BP	7474	42	0.000496379415361747	0.233236277793101	GO:0051716
cellular response to chemical stimulus	BP	2731	12	0.255068533091061	1	GO:0070887
system process	BP	2308	13	0.0624238325671521	1	GO:0003008
proteolysis	BP	1609	9	0.114857237731384	1	GO:0006508
lipid metabolic process	BP	1397	8	0.120563155487111	1	GO:0006629
nitrogen compound metabolic process	BP	9959	43	0.0630935602412814	1	GO:0006807
negative regulation of metabolic process	BP	3382	11	0.659819325321527	1	GO:0009892
negative regulation of macromolecule metabolic process	BP	3172	9	0.80137338218242	1	GO:0010605
regulation of metabolic process	BP	7045	31	0.0978839956006212	1	GO:0019222
protein metabolic process	BP	4882	24	0.052569667723916	1	GO:0019538
regulation of proteolysis	BP	599	4	0.161971878357235	1	GO:0030162
homeostatic process	BP	1714	7	0.401983358579797	1	GO:0042592
negative regulation of catalytic activity	BP	449	5	0.0216049065655948	1	GO:0043086
macromolecule metabolic process	BP	9918	39	0.230396085544852	1	GO:0043170
negative regulation of molecular function	BP	751	6	0.0501354044770451	1	GO:0044092
primary metabolic process	BP	10443	43	0.121468235191754	1	GO:0044238
multicellular organismal-level homeostasis	BP	801	4	0.313532491396442	1	GO:0048871
regulation of catalytic activity	BP	1404	12	0.0039177103136224	0.678846415150765	GO:0050790
regulation of nitrogen compound metabolic process	BP	5576	24	0.167429338906336	1	GO:0051171
negative regulation of nitrogen compound metabolic process	BP	2259	6	0.818200075889752	1	GO:0051172
regulation of protein metabolic process	BP	2218	13	0.0482703075642302	1	GO:0051246
negative regulation of protein metabolic process	BP	897	2	0.82948738859365	1	GO:0051248
regulation of hydrolase activity	BP	743	7	0.0162726427396896	0.980625993049676	GO:0051336
negative regulation of hydrolase activity	BP	204	3	0.0357652536559712	1	GO:0051346
regulation of peptidase activity	BP	303	2	0.289988974070513	1	GO:0052547
regulation of macromolecule metabolic process	BP	6529	26	0.275170255351942	1	GO:0060255
regulation of molecular function	BP	2028	15	0.00494722577517429	0.744213733243548	GO:0065009
organic substance metabolic process	BP	11490	51	0.0220094557829262	1	GO:0071704
regulation of primary metabolic process	BP	5719	22	0.363452258605409	1	GO:0080090
organonitrogen compound metabolic process	BP	5954	31	0.0123180979195219	0.941770781277618	GO:1901564
catabolic process	BP	2655	13	0.141841621189424	1	GO:0009056
positive regulation of metabolic process	BP	3796	20	0.0417659019443944	1	GO:0009893
regulation of catabolic process	BP	1114	5	0.357620077858601	1	GO:0009894
lipid catabolic process	BP	340	3	0.119187405468745	1	GO:0016042
regulation of cellular metabolic process	BP	6541	23	0.54737890516411	1	GO:0031323
