GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0000122	negative regulation of transcription by RNA polymerase II	936	9	4.7	0.04510	1	NCOA2, MAGEE2, CTNNB1, NR2F6, MAGEA4, PHF21A, NR2F2, NELFE, MTDH
GO:0000165	MAPK cascade	776	7	3.89	0.33734	1	CTNNB1, GCG, APOE, ITPKB, PLCG2, IL26, NELFE
GO:0000226	microtubule cytoskeleton organization	674	2	3.38	1.00000	1	DNAAF8, CTNNB1
GO:0000271	polysaccharide biosynthetic process	66	2	0.33	1.00000	1	GYS1, HAS3
GO:0000278	mitotic cell cycle	928	3	4.66	1.00000	1	CTNNB1, CAMK2A, NEK9
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	58	2	0.29	1.00000	1	DHX9, CNOT6L
GO:0000375	RNA splicing, via transesterification reactions	334	2	1.68	1.00000	1	DHX9, NCBP2L
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	330	2	1.66	1.00000	1	DHX9, NCBP2L
GO:0000398	mRNA splicing, via spliceosome	330	2	1.66	1.00000	1	DHX9, NCBP2L
GO:0000902	cell morphogenesis	997	4	5	1.00000	1	CTNNB1, APOE, ANO1, LZTS3
GO:0000956	nuclear-transcribed mRNA catabolic process	124	2	0.62	1.00000	1	DHX9, CNOT6L
GO:0001501	skeletal system development	537	2	2.69	1.00000	1	CTNNB1, PAPPA2
GO:0001503	ossification	455	5	2.28	0.32557	1	FSTL3, CTNNB1, DHX9, INTU, FKRP
GO:0001525	angiogenesis	636	4	3.19	0.72375	1	CTNNB1, IL18, CAMP, MTDH
GO:0001558	regulation of cell growth	406	3	2.04	0.59199	1	GDF9, APOE, PAPPA2
GO:0001568	blood vessel development	821	6	4.12	1.00000	1	CTNNB1, APOE, IL18, NR2F2, CAMP, MTDH
GO:0001649	osteoblast differentiation	261	2	1.31	0.41348	1	CTNNB1, DHX9
GO:0001654	eye development	410	2	2.06	1.00000	1	CTNNB1, FKRP
GO:0001678	intracellular glucose homeostasis	162	3	0.81	1.00000	1	GCG, ANO1, ENY2
GO:0001701	in utero embryonic development	403	3	2.02	0.46941	1	CTNNB1, NR2F2, FKRP
GO:0001708	cell fate specification	110	2	0.55	0.22892	1	CTNNB1, ESRP1
GO:0001764	neuron migration	189	5	0.95	0.02387	1	CTNNB1, SEPTIN4, NR2F2, FKRP, CAMK2A
GO:0001775	cell activation	1138	9	5.71	1.00000	1	CTNNB1, IL36B, IFNA2, APOE, IL18, ITPKB, NKG7, PLCG2, CAMP
GO:0001816	cytokine production	887	8	4.45	1.00000	1	DHX9, IFNA2, RAET1G, IL18, PLCG2, IL26, MAVS, CAMP
GO:0001817	regulation of cytokine production	880	8	4.42	1.00000	1	DHX9, IFNA2, RAET1G, IL18, PLCG2, IL26, MAVS, CAMP
GO:0001819	positive regulation of cytokine production	507	7	2.54	0.43106	1	DHX9, RAET1G, IL18, PLCG2, IL26, MAVS, CAMP
GO:0001837	epithelial to mesenchymal transition	192	2	0.96	1.00000	1	CTNNB1, KBTBD8
GO:0001878	response to yeast	14	2	0.07	0.00218	1	PLCG2, CAMP
GO:0001906	cell killing	259	4	1.3	1.00000	1	RAET1G, IL18, NKG7, CAMP
GO:0001909	leukocyte mediated cytotoxicity	146	3	0.73	1.00000	1	RAET1G, IL18, NKG7
GO:0001932	regulation of protein phosphorylation	717	6	3.6	1.00000	1	GCG, APOE, IL18, PLCG2, MAVS, NR2F2
GO:0001933	negative regulation of protein phosphorylation	236	2	1.18	1.00000	1	APOE, NR2F2
GO:0001934	positive regulation of protein phosphorylation	454	4	2.28	0.34829	1	GCG, IL18, PLCG2, MAVS
GO:0001935	endothelial cell proliferation	202	2	1.01	1.00000	1	APOE, NR2F2
GO:0001936	regulation of endothelial cell proliferation	179	2	0.9	1.00000	1	APOE, NR2F2
GO:0001937	negative regulation of endothelial cell proliferation	79	2	0.4	0.05985	1	APOE, NR2F2
GO:0001942	hair follicle development	96	2	0.48	1.00000	1	CTNNB1, INTU
GO:0001944	vasculature development	855	6	4.29	1.00000	1	CTNNB1, APOE, IL18, NR2F2, CAMP, MTDH
GO:0001975	response to amphetamine	36	2	0.18	0.01405	1	GRIN2A, RANBP2
GO:0002009	morphogenesis of an epithelium	500	2	2.51	1.00000	1	CTNNB1, INTU
GO:0002181	cytoplasmic translation	164	2	0.82	0.47295	1	DHX9, RPS4X
