Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
glycogen biosynthetic process (GO:0005978)	18	2	0.09	+	22.87	0.0034	1.0	GO:0005978
glucan biosynthetic process (GO:0009250)	18	2	0.09	+	22.87	0.0034	1.0	GO:0009250
entrainment of circadian clock by photoperiod (GO:0043153)	24	2	0.12	+	17.15	0.00602	1.0	GO:0043153
polysaccharide biosynthetic process (GO:0000271)	26	2	0.13	+	15.83	0.00704	1.0	GO:0000271
entrainment of circadian clock (GO:0009649)	29	2	0.14	+	14.19	0.00871	1.0	GO:0009649
photoperiodism (GO:0009648)	29	2	0.14	+	14.19	0.00871	1.0	GO:0009648
telomere maintenance via telomere lengthening (GO:0010833)	30	2	0.15	+	13.72	0.00931	1.0	GO:0010833
energy reserve metabolic process (GO:0006112)	79	5	0.38	+	13.03	4.15e-05	0.613	GO:0006112
negative regulation of axon extension (GO:0030517)	32	2	0.16	+	12.86	0.0105	1.0	GO:0030517
proteinogenic amino acid biosynthetic process (GO:0170038)	52	3	0.25	+	11.87	0.00207	1.0	GO:0170038
positive regulation of protein import into nucleus (GO:0042307)	38	2	0.18	+	10.83	0.0147	1.0	GO:0042307
central nervous system neuron axonogenesis (GO:0021955)	39	2	0.19	+	10.55	0.0154	1.0	GO:0021955
polysaccharide metabolic process (GO:0005976)	79	4	0.38	+	10.42	0.000596	1.0	GO:0005976
regulation of homotypic cell-cell adhesion (GO:0034110)	40	2	0.19	+	10.29	0.0162	1.0	GO:0034110
alpha-amino acid biosynthetic process (GO:1901607)	60	3	0.29	+	10.29	0.00312	1.0	GO:1901607
spleen development (GO:0048536)	42	2	0.2	+	9.80	0.0177	1.0	GO:0048536
glycogen metabolic process (GO:0005977)	64	3	0.31	+	9.65	0.00374	1.0	GO:0005977
amino sugar metabolic process (GO:0006040)	43	2	0.21	+	9.57	0.0185	1.0	GO:0006040
glucan metabolic process (GO:0044042)	66	3	0.32	+	9.35	0.00408	1.0	GO:0044042
semaphorin-plexin signaling pathway (GO:0071526)	46	2	0.22	+	8.95	0.0211	1.0	GO:0071526
amino acid biosynthetic process (GO:0008652)	69	3	0.34	+	8.95	0.00462	1.0	GO:0008652
