Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
Atrial Cardiac Muscle Cell Action Potential (GO:0086014)	4/12	0.0001628607353443865	0.3547106815800738	0	0	19.649193548387096	171.39235248046162	KCNQ1;KCNN2;CACNA1C;KCNJ3	GO:0086014	4
Neural Crest Cell Differentiation (GO:0014033)	4/18	0.0008936428005945616	0.6249648037468921	0	0	11.224654377880183	78.7993682152863	OTUD5;HTR2B;NRG1;KBTBD8	GO:0014033	4
Potassium Ion Transport (GO:0006813)	10/127	0.0013423605876715	0.6249648037468921	0	0	3.380952380952381	22.359338873434307	SLC9A2;SLC12A4;KCNT2;KCNQ1;KCNQ5;KCNN2;KCNN4;KCNA7;KCNK1;KCNJ3	GO:0006813	10
Regulation of Neuronal Synaptic Plasticity (GO:0048168)	5/35	0.0016723009219112	0.6249648037468921	0	0	6.555555555555555	41.91330371048233	GRIN2A;CAMK2A;APOE;RAB5A;SHISA6	GO:0048168	5
Potassium Ion Transmembrane Transport (GO:0071805)	10/134	0.0020062913580418	0.6249648037468921	0	0	3.1889400921658986	19.80799728495446	SLC9A2;SLC12A4;KCNT2;KCNQ1;KCNQ5;KCNN2;KCNN4;KCNA7;KCNK1;KCNJ3	GO:0071805	10
Extracellular Matrix Organization (GO:0030198)	12/182	0.002151047285691	0.6249648037468921	0	0	2.796046287367406	17.172758334281518	ITGB1;DDX18;CRTAP;P4HA1;SH3PXD2B;SERPINH1;HAS3;NCAPG;COL10A1;MMP19;PRSS58;NPNT	GO:0030198	12
Positive Regulation of Neuron Apoptotic Process (GO:0043525)	5/39	0.0027330227766207	0.6249648037468921	0	0	5.783125371360666	34.134012906869444	CASP14;DDIT3;CASP4;CTNNB1;MCL1	GO:0043525	5
Female Gamete Generation (GO:0007292)	5/40	0.0030603438504433	0.6249648037468921	0	0	5.617604617604617	32.521593944631725	GDF9;PRDM9;CGB7;METTL3;HROB	GO:0007292	5
Cellular Response to Calcium Ion (GO:0071277)	6/59	0.003480650710306	0.6249648037468921	0	0	4.45657321824154	25.22659321405451	MEF2A;ITPKB;CPNE8;CHP2;PPIF;PLCG2	GO:0071277	6
+ Reg of Insulin Secretion Inv in Cellular Resp to Glucose Stimulus (GO:0035774)	3/13	0.0036844855632525	0.6249648037468921	0	0	11.764587525150905	65.92432931190774	ANO1;GCG;CFTR	GO:0035774	3
Positive Regulation of Heart Rate (GO:0010460)	3/14	0.0046030335119074	0.6249648037468921	0	0	10.694530821291384	57.54769528290907	EDN3;KCNQ1;NPPA	GO:0010460	3
Positive Regulation of Cell Division (GO:0051781)	5/44	0.0046555630214747	0.6249648037468921	0	0	5.040404040404041	27.06541939839408	MRGPRX2;OPN1MW3;HTR2B;KIF20B;OR2A4	GO:0051781	5
Activation of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	2/5	0.0059328116851476	0.6249648037468921	0	0	26.100401606425702	133.823467686336	CHRNA3;NRG1	GO:0007171	2
Cell-Cell Adhesion Mediated by Integrin (GO:0033631)	2/5	0.0059328116851476	0.6249648037468921	0	0	26.100401606425702	133.823467686336	ITGB1;NPNT	GO:0033631	2
Hyaluronan Biosynthetic Process (GO:0030213)	2/5	0.0059328116851476	0.6249648037468921	0	0	26.100401606425702	133.823467686336	DDX18;HAS3	GO:0030213	2
Stem Cell Differentiation (GO:0048863)	5/47	0.0061867303317732	0.6249648037468921	0	0	4.67965367965368	23.797670052686616	OTUD5;HTR2B;CTNNB1;MEOX1;BMPR1A	GO:0048863	5
Membrane Repolarization During Cardiac Muscle Cell Action Potential (GO:0086013)	3/16	0.0068237991956155	0.6249648037468921	0	0	9.048289738430585	45.12688734955045	KCNQ1;KCNN2;KCNJ3	GO:0086013	3
Regulation of Primary Metabolic Process (GO:0080090)	8/113	0.0074934288412615	0.6249648037468921	0	0	3.0034843205574915	14.698237710808186	PM20D2;NCOA2;ENY2;HNRNPF;ESRP1;PLCG2;APOE;SGF29	GO:0080090	8
Negative Regulation of Anoikis (GO:2000811)	3/17	0.0081341235198355	0.6249648037468921	0	0	8.401552170163841	40.425641759776674	ITGB1;CEACAM5;MCL1	GO:2000811	3
Macromolecule Glycosylation (GO:0043413)	5/51	0.0087361270994885	0.6249648037468921	0	0	4.271848924022837	20.24979552154968	ALG1L2;FUT10;MGAT4A;PMM2;FUT2	GO:0043413	5
Regulation of Striated Muscle Cell Differentiation (GO:0051153)	2/6	0.0087524127649488	0.6249648037468921	0	0	19.57429718875502	92.75135622654078	NRG1;RBM24	GO:0051153	2
Excitatory Chemical Synaptic Transmission (GO:0098976)	2/6	0.0087524127649488	0.6249648037468921	0	0	19.57429718875502	92.75135622654078	GRIN2A;SHISA6	GO:0098976	2
Heparan Sulfate Proteoglycan Catabolic Process (GO:0030200)	2/6	0.0087524127649488	0.6249648037468921	0	0	19.57429718875502	92.75135622654078	IDUA;GNS	GO:0030200	2
