Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	GOID
GOTERM_BP_DIRECT	GO:0050965~detection of temperature stimulus involved in sensory perception of pain	2	4.0	0.0475834923888804	55107, 2063	46	21	19416	40.19875776397515	0.9999999879422607	1.0	1.0	GO:0050965
GOTERM_BP_DIRECT	GO:1900227~positive regulation of NLRP3 inflammasome complex assembly	2	4.0	0.0585823845366243	5336, 57506	46	26	19416	32.468227424749166	0.9999999998434737	1.0	1.0	GO:1900227
GOTERM_BP_DIRECT	GO:0072657~protein localization to membrane	2	4.0	0.0607672113915764	9397, 55107	46	27	19416	31.265700483091784	0.9999999999343562	1.0	1.0	GO:0072657
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	6	12.0	0.0695075679764437	4103, 139599, 10499, 51317, 2063, 92140	46	958	19416	2.643550875919034	0.9999999999980111	1.0	1.0	GO:0000122
GOTERM_BP_DIRECT	GO:0031663~lipopolysaccharide-mediated signaling pathway	2	4.0	0.0802088536589402	5336, 92140	46	36	19416	23.44927536231884	0.9999999999999736	1.0	1.0	GO:0031663
GOTERM_BP_DIRECT	GO:0042267~natural killer cell mediated cytotoxicity	2	4.0	0.082344591615082	4818, 353091	46	37	19416	22.81551116333725	0.999999999999989	1.0	1.0	GO:0042267
GOTERM_BP_DIRECT	GO:0032481~positive regulation of type I interferon production	2	4.0	0.0844754803795105	5336, 57506	46	38	19416	22.215102974828376	0.9999999999999952	1.0	1.0	GO:0032481
GOTERM_BP_DIRECT	GO:0019216~regulation of lipid metabolic process	2	4.0	0.0844754803795105	5336, 10499	46	38	19416	22.215102974828376	0.9999999999999952	1.0	1.0	GO:0019216
GOTERM_BP_DIRECT	GO:0046427~positive regulation of receptor signaling pathway via JAK-STAT	2	4.0	0.0950575621400988	2689, 55801	46	43	19416	19.6319514661274	1.0	1.0	1.0	GO:0046427
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	2	4.0	0.1521436350614842	139135, 10499	46	71	19416	11.88977342314758	1.0	1.0	1.0	GO:0032922
GOTERM_BP_DIRECT	GO:0031398~positive regulation of protein ubiquitination	2	4.0	0.1619602164165325	7965, 5414	46	76	19416	11.107551487414188	1.0	1.0	1.0	GO:0031398
GOTERM_BP_DIRECT	GO:0051091~positive regulation of DNA-binding transcription factor activity	2	4.0	0.1869661632807527	5336, 57506	46	89	19416	9.485100146555936	1.0	1.0	1.0	GO:0051091
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	4	8.0	0.2125583567445733	57224, 10272, 7965, 2063	46	687	19416	2.457565976836909	1.0	1.0	1.0	GO:0030154
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	2	4.0	0.2130798028066372	5336, 57506	46	103	19416	8.195863233431828	1.0	1.0	1.0	GO:0032755
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	2	4.0	0.2330206500896687	5336, 57506	46	114	19416	7.405034324942791	1.0	1.0	1.0	GO:0032760
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	2	4.0	0.2472118889376745	5336, 92140	46	122	19416	6.919458303635067	1.0	1.0	1.0	GO:0051092
GOTERM_BP_DIRECT	GO:0007010~cytoskeleton organization	2	4.0	0.3030853718001535	4001, 348	46	155	19416	5.446283309957924	1.0	1.0	1.0	GO:0007010
GOTERM_BP_DIRECT	GO:0010467~gene expression	2	4.0	0.3271218659480628	6445, 348	46	170	19416	4.965728900255754	1.0	1.0	1.0	GO:0010467
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	3	6.0	0.3326481777230716	2661, 6191, 55749	46	511	19416	2.478005615587509	1.0	1.0	1.0	GO:0008284
GOTERM_BP_DIRECT	GO:0051897~positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	2	4.0	0.3668789794533512	55801, 92140	46	196	19416	4.30700976042591	1.0	1.0	1.0	GO:0051897
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	2	4.0	0.3800984432599	348, 55801	46	205	19416	4.117921527041357	1.0	1.0	1.0	GO:0070374
GOTERM_BP_DIRECT	GO:0007601~visual perception	2	4.0	0.3987179506765599	778, 3617	46	218	19416	3.87235739928201	1.0	1.0	1.0	GO:0007601
GOTERM_BP_DIRECT	GO:0006412~translation	2	4.0	0.4001273522763379	7965, 6191	46	219	19416	3.854675402025015	1.0	1.0	1.0	GO:0006412
GOTERM_BP_DIRECT	GO:0043123~positive regulation of canonical NF-kappaB signal transduction	2	4.0	0.4099031169716338	57506, 92140	46	226	19416	3.735282801077337	1.0	1.0	1.0	GO:0043123
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	3	6.0	0.4234375162687777	7965, 5414, 55749	46	620	19416	2.0423562412342213	1.0	1.0	1.0	GO:0006915
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	2	4.0	0.4235987876783501	5684, 55749	46	236	19416	3.5770081061164336	1.0	1.0	1.0	GO:0006511
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	2	4.0	0.4289895964779103	348, 5414	46	240	19416	3.517391304347826	1.0	1.0	1.0	GO:0042981
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	3	6.0	0.4989506112013365	348, 92140, 55749	46	717	19416	1.7660542113880298	1.0	1.0	1.0	GO:0045893
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	2	4.0	0.516867212069964	5684, 84541	46	311	19416	2.7143855724870685	1.0	1.0	1.0	GO:0043161
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	2	4.0	0.5347635462817912	5414, 55749	46	327	19416	2.5815715995213404	1.0	1.0	1.0	GO:0043065
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	4	8.0	0.5582945027849451	10272, 55801, 10499, 57506	46	1246	19416	1.355014306650848	1.0	1.0	1.0	GO:0045944
GOTERM_BP_DIRECT	GO:0007186~G protein-coupled receptor signaling pathway	3	6.0	0.6453774959315615	348, 134391, 2857	46	936	19416	1.3528428093645484	1.0	1.0	1.0	GO:0007186
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	2	4.0	0.6762427675557274	7965, 55749	46	480	19416	1.758695652173913	1.0	1.0	1.0	GO:0016567
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	2	4.0	0.6956761511513708	4103, 92140	46	506	19416	1.6683278913902733	1.0	1.0	1.0	GO:0043066
GOTERM_BP_DIRECT	GO:0045892~negative regulation of DNA-templated transcription	2	4.0	0.7412680984235531	139135, 55749	46	574	19416	1.4706862596576276	1.0	1.0	1.0	GO:0045892
