Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	44	0.000163385716141771	0.409444604651278	GO:0008150
reproduction	BP	1539	3	0.515389225337908	1	GO:0000003
activation of immune response	BP	545	2	0.250065135398101	1	GO:0002253
immune system process	BP	2545	6	0.291268379625184	1	GO:0002376
regulation of immune system process	BP	1544	3	0.517606370920906	1	GO:0002682
positive regulation of immune system process	BP	1075	2	0.570657696547969	1	GO:0002684
regulation of response to biotic stimulus	BP	524	2	0.236320228649578	1	GO:0002831
response to stress	BP	3939	8	0.393310074053444	1	GO:0006950
defense response	BP	1843	6	0.104348217685184	1	GO:0006952
inflammatory response	BP	887	5	0.0197259331560452	1	GO:0006954
immune response	BP	1750	4	0.373208555967123	1	GO:0006955
multicellular organism development	BP	4758	16	0.00614389904911941	1	GO:0007275
response to external stimulus	BP	2747	6	0.355871132891338	1	GO:0009605
response to biotic stimulus	BP	1575	5	0.143528567751501	1	GO:0009607
embryo development	BP	1126	6	0.013919517834377	1	GO:0009790
cellular process	BP	17161	40	0.00280032342624191	1	GO:0009987
response to organic substance	BP	2720	6	0.347116251617007	1	GO:0010033
reproductive process	BP	1529	3	0.510939806504691	1	GO:0022414
cell differentiation	BP	4440	17	0.00108642216730887	1	GO:0030154
regulation of defense response	BP	828	4	0.0579636809222996	1	GO:0031347
regulation of response to external stimulus	BP	1142	4	0.141791343650033	1	GO:0032101
multicellular organismal process	BP	7869	23	0.00446967298523014	1	GO:0032501
developmental process	BP	6582	21	0.00246607208776534	1	GO:0032502
multicellular organism reproduction	BP	972	2	0.515614743026512	1	GO:0032504
response to chemical	BP	4061	9	0.283682917119951	1	GO:0042221
response to external biotic stimulus	BP	1538	5	0.133611355708347	1	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1708	6	0.078890662421154	1	GO:0044419
innate immune response	BP	975	3	0.246878445644148	1	GO:0045087
regulation of innate immune response	BP	440	2	0.182105920651549	1	GO:0045088
animal organ development	BP	3050	12	0.0058150565995235	1	GO:0048513
positive regulation of biological process	BP	6363	17	0.0414515215901817	1	GO:0048518
negative regulation of biological process	BP	5768	10	0.581356978767504	1	GO:0048519
embryonic organ development	BP	455	2	0.191655713531307	1	GO:0048568
regulation of response to stimulus	BP	4085	10	0.175646439982611	1	GO:0048583
positive regulation of response to stimulus	BP	2339	7	0.115190843171636	1	GO:0048584
negative regulation of response to stimulus	BP	1763	2	0.82645485210488	1	GO:0048585
multicellular organismal reproductive process	BP	924	2	0.488483470769452	1	GO:0048609
system development	BP	4067	13	0.0215925562773335	1	GO:0048731
anatomical structure development	BP	6007	21	0.00072199141053446	1	GO:0048856
cellular developmental process	BP	4442	17	0.00109203545720512	1	GO:0048869
regulation of immune response	BP	903	2	0.476331842908499	1	GO:0050776
positive regulation of immune response	BP	740	2	0.376844469757328	1	GO:0050778
regulation of biological process	BP	12069	29	0.0202326919148526	1	GO:0050789
response to stimulus	BP	8860	19	0.189861214786809	1	GO:0050896
response to other organism	BP	1535	5	0.132821690768718	1	GO:0051707
biological regulation	BP	12489	30	0.0170555510105434	1	GO:0065007
regulation of response to stress	BP	1408	4	0.236244767621513	1	GO:0080134
defense response to other organism	BP	1218	4	0.167024414905525	1	GO:0098542
defense response to symbiont	BP	1113	4	0.132609232810973	1	GO:0140546
response to oxygen-containing compound	BP	1687	2	0.806838323237917	1	GO:1901700
metabolic process	BP	12005	27	0.064842977641239	1	GO:0008152
