GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR
GO:0046340	diacylglycerol catabolic process	5	2	0.05	0.00099	1
GO:1900158	negative regulation of bone mineralization involved in bone maturation	5	2	0.05	0.00099	1
GO:0019369	arachidonic acid metabolic process	57	5	0.57	0.00135	1
GO:0001955	blood vessel maturation	8	2	0.08	0.00272	1
GO:0010898	positive regulation of triglyceride catabolic process	8	2	0.08	0.00272	1
GO:0035437	maintenance of protein localization in endoplasmic reticulum	13	2	0.13	0.00733	1
GO:0070294	renal sodium ion absorption	13	2	0.13	0.00733	1
GO:0030198	extracellular matrix organization	332	10	3.35	0.00736	1
GO:0036151	phosphatidylcholine acyl-chain remodeling	14	2	0.14	0.00850	1
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	44	3	0.44	0.00986	1
GO:0030326	embryonic limb morphogenesis	122	5	1.23	0.01241	1
GO:0042572	retinol metabolic process	52	3	0.52	0.01552	1
GO:0033962	P-body assembly	21	2	0.21	0.01872	1
GO:0006936	muscle contraction	355	6	3.58	0.02074	1
GO:0072574	hepatocyte proliferation	23	2	0.23	0.02226	1
GO:0010332	response to gamma radiation	52	3	0.52	0.02586	1
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	65	3	0.66	0.02791	1
GO:0098719	sodium ion import across plasma membrane	26	2	0.26	0.02804	1
GO:1905709	negative regulation of membrane permeability	22	2	0.22	0.02982	1
GO:1903779	regulation of cardiac conduction	28	2	0.28	0.03219	1
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	44	3	0.44	0.03850	1
GO:0034063	stress granule assembly	31	2	0.31	0.03883	1
GO:0061572	actin filament bundle organization	166	3	1.67	0.03965	1
GO:0046434	organophosphate catabolic process	234	3	2.36	0.03980	1
GO:0042098	T cell proliferation	212	3	2.14	0.04148	1
GO:0051973	positive regulation of telomerase activity	33	2	0.33	0.04352	1
GO:0015012	heparan sulfate proteoglycan biosynthetic process	33	2	0.33	0.04352	1
GO:0010522	regulation of calcium ion transport into cytosol	18	2	0.18	0.04918	1
GO:0061371	determination of heart left/right asymmetry	71	2	0.72	0.04932	1
GO:0016070	RNA metabolic process	4962	34	50.03	0.05553	1
GO:0090090	negative regulation of canonical Wnt signaling pathway	144	4	1.45	0.05808	1
GO:0045892	negative regulation of DNA-templated transcription	1262	13	12.72	0.06261	1
GO:0002088	lens development in camera-type eye	90	3	0.91	0.06272	1
GO:0010507	negative regulation of autophagy	90	3	0.91	0.06272	1
GO:0001709	cell fate determination	42	2	0.42	0.06695	1
GO:0003338	metanephros morphogenesis	31	2	0.31	0.06822	1
GO:0060271	cilium assembly	385	8	3.88	0.06879	1
GO:0045022	early endosome to late endosome transport	43	2	0.43	0.06977	1
GO:0030261	chromosome condensation	44	2	0.44	0.07262	1
GO:0033044	regulation of chromosome organization	247	6	2.49	0.07681	1
GO:0007029	endoplasmic reticulum organization	100	3	1.01	0.08038	1
GO:0006953	acute-phase response	47	2	0.47	0.08139	1
GO:0006805	xenobiotic metabolic process	125	4	1.26	0.08148	1
GO:0042542	response to hydrogen peroxide	101	3	1.02	0.08226	1
GO:0008104	protein localization	2496	22	25.17	0.08250	1
GO:0045910	negative regulation of DNA recombination	48	2	0.48	0.08439	1
GO:0007435	salivary gland morphogenesis	34	3	0.34	0.08639	1
GO:0033622	integrin activation	26	2	0.26	0.08681	1
GO:1903725	regulation of phospholipid metabolic process	34	2	0.34	0.08685	1
GO:0001706	endoderm formation	60	2	0.6	0.08697	1
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	49	2	0.49	0.08742	1
GO:0044788	modulation by host of viral process	49	2	0.49	0.08742	1
GO:0043087	regulation of GTPase activity	297	4	2.99	0.08782	1
GO:1990830	cellular response to leukemia inhibitory factor	104	3	1.05	0.08799	1
GO:0060402	calcium ion transport into cytosol	28	3	0.28	0.09549	1
GO:1904263	positive regulation of TORC1 signaling	52	2	0.52	0.09669	1
GO:0030308	negative regulation of cell growth	189	5	1.91	0.10141	1
GO:0048146	positive regulation of fibroblast proliferation	54	2	0.54	0.10302	1
GO:0001919	regulation of receptor recycling	25	2	0.25	0.10504	1
GO:0034508	centromere complex assembly	28	2	0.28	0.10506	1
GO:0031571	mitotic G1 DNA damage checkpoint signaling	30	2	0.3	0.10507	1
GO:0031109	microtubule polymerization or depolymerization	135	3	1.36	0.10510	1
GO:0009620	response to fungus	67	2	0.68	0.10527	1
GO:0006897	endocytosis	712	11	7.18	0.10806	1
GO:0006979	response to oxidative stress	397	8	4	0.10943	1
GO:1902895	positive regulation of miRNA transcription	56	2	0.56	0.10946	1
GO:0035082	axoneme assembly	97	3	0.98	0.11212	1
GO:0010906	regulation of glucose metabolic process	101	3	1.02	0.11216	1
GO:0006334	nucleosome assembly	116	3	1.17	0.11252	1
GO:0031018	endocrine pancreas development	44	2	0.44	0.11414	1
GO:0055088	lipid homeostasis	176	4	1.77	0.11516	1
GO:0008015	blood circulation	526	9	5.3	0.11682	1
GO:0046339	diacylglycerol metabolic process	27	4	0.27	0.12166	1
GO:0032107	regulation of response to nutrient levels	28	2	0.28	0.12293	1
GO:0035036	sperm-egg recognition	51	2	0.51	0.12308	1
GO:0045471	response to ethanol	122	3	1.23	0.12566	1
GO:0007224	smoothened signaling pathway	146	3	1.47	0.12584	1
GO:0019439	aromatic compound catabolic process	676	8	6.82	0.12623	1
GO:0046470	phosphatidylcholine metabolic process	76	4	0.77	0.13071	1
GO:0009743	response to carbohydrate	231	3	2.33	0.13244	1
GO:0019433	triglyceride catabolic process	28	3	0.28	0.13973	1
GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction	66	2	0.67	0.14309	1
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	66	2	0.67	0.14309	1
