GO.ID	Term	Annotated	Significant	Expected	topgoFisher	FDR	Symbol
GO:0000018	regulation of DNA recombination	142	3	3.49	1.00000	1	MORF4L1, HELQ, PRDM9
GO:0000041	transition metal ion transport	101	3	2.48	1.00000	1	COX17, HEPHL1, HAMP
GO:0000045	autophagosome assembly	119	3	2.92	1.00000	1	EFNB1, PIP4K2A, RAB5A
GO:0000070	mitotic sister chromatid segregation	193	2	4.74	1.00000	1	NCAPG, PSRC1
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	86	5	2.11	0.52374	1	MNAT1, PTEN, NR2F2, PSRC1, CDC25A
GO:0000082	G1/S transition of mitotic cell cycle	256	7	6.28	0.07627	1	ITGB1, MNAT1, PTEN, RPS6KB1, CAMK2A, BCL7B, CDC25A
GO:0000122	negative regulation of transcription by RNA polymerase II	936	27	22.98	0.21849	1	NCOA2, MXD4, SGF29, NACC1, FOXP4, MAGEE2, CTNNB1, DDIT3, DNMT3A, NR2F6, ESR2, MAFF, ANKRD2, MAGEH1, APBB1, INSM1, MAGEA4, MEF2A, PHF21A, PPARD, HAMP, PRDM12, PRDM1, NR2F2, NELFE, MTDH, KEAP1
GO:0000165	MAPK cascade	776	21	19.05	0.75003	1	CTNNB1, EDN3, DOK6, NPNT, GCG, PDCD4, LAMTOR2, MDFIC, NRG1, HTR2B, APOE, ITPKB, MEF2A, NPPA, DUSP13B, PLCG2, IL26, SEMA6A, AVPI1, RYK, NELFE
GO:0000209	protein polyubiquitination	262	5	6.43	0.53559	1	HUWE1, CTNNB1, RNF114, KCMF1, HAMP
GO:0000226	microtubule cytoskeleton organization	674	12	16.54	1.00000	1	NISCH, DNAAF8, CTNNB1, DYNC1H1, KIF24, ITGB1, MAP2, PPP1R12A, PTEN, HAUS3, PSRC1, NAV3
GO:0000266	mitochondrial fission	42	2	1.03	1.00000	1	DDHD2, INF2
GO:0000271	polysaccharide biosynthetic process	66	3	1.62	1.00000	1	GYS1, HAS3, GYG2
GO:0000278	mitotic cell cycle	928	20	22.78	0.10792	1	EXOC5, CTNNB1, DYNC1H1, EDN3, ITGB1, MNAT1, MYBL1, PPP1R12A, NUDT15, PTEN, RPS6KB1, NCAPG, CENPT, REEP4, CAMK2A, PSRC1, NEK9, BCL7B, KIF20B, CDC25A
GO:0000280	nuclear division	449	10	11.02	1.00000	1	EDN3, C1orf146, MYBL1, PRDM9, PTEN, NCAPG, BTBD18, REEP4, PSRC1, KIF20B
GO:0000281	mitotic cytokinesis	93	2	2.28	0.71899	1	EXOC5, KIF20B
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	58	3	1.42	1.00000	1	DHX9, PATL1, CNOT6L
GO:0000302	response to reactive oxygen species	199	3	4.88	0.11796	1	PPIF, APOE, NUDT15
GO:0000375	RNA splicing, via transesterification reactions	334	8	8.2	1.00000	1	DHX9, HNRNPUL2, RBM24, RBMX, HNRNPF, NCBP2L, CRNKL1, METTL3
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	330	8	8.1	1.00000	1	DHX9, HNRNPUL2, RBM24, RBMX, HNRNPF, NCBP2L, CRNKL1, METTL3
GO:0000380	alternative mRNA splicing, via spliceosome	75	4	1.84	0.07085	1	DHX9, HNRNPUL2, RBM24, RBMX
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	57	2	1.4	0.40980	1	RBM24, RBMX
GO:0000398	mRNA splicing, via spliceosome	330	8	8.1	0.79263	1	DHX9, HNRNPUL2, RBM24, RBMX, HNRNPF, NCBP2L, CRNKL1, METTL3
GO:0000413	protein peptidyl-prolyl isomerization	28	3	0.69	0.03056	1	PPIF, RANBP2, PPIAL4G
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17	2	0.42	0.06414	1	RPF2, DDX18
GO:0000470	maturation of LSU-rRNA	26	2	0.64	1.00000	1	RPF2, DDX18
GO:0000578	embryonic axis specification	42	2	1.03	0.27576	1	CTNNB1, CHRDL1
GO:0000723	telomere maintenance	161	2	3.95	1.00000	1	CCT2, CTNNB1
GO:0000724	double-strand break repair via homologous recombination	188	5	4.61	0.44652	1	MORF4L1, HELQ, ERCC5, MMS22L, KDM4D
GO:0000725	recombinational repair	193	6	4.74	0.11677	1	MORF4L1, HELQ, ERCC5, MMS22L, KDM4D, HROB
GO:0000768	syncytium formation by plasma membrane fusion	62	3	1.52	1.00000	1	IL4R, ITGB1, PLEKHO1
GO:0000819	sister chromatid segregation	234	3	5.74	1.00000	1	NCAPG, PSRC1, BCL7B
GO:0000902	cell morphogenesis	997	32	24.47	1.00000	1	CHN1, CHRNA3, CTNNB1, EDN3, EFNB1, EIF4G2, GLA, APBB1, OSTN, APOE, ITGB1, MAP2, MEF2A, PPP1R12A, F11R, PLEKHO1, KIF1A, ANO1, METTL3, RGMA, PTEN, ERMN, SEMA6A, ALS2, RYK, SH3GL2, DDR1, PICALM, NUMB, KIF20B, LZTS3, SEPTIN7
GO:0000910	cytokinesis	191	7	4.69	1.00000	1	EXOC5, MRGPRX2, SEPTIN14, SEPTIN4, OR2A4, KIF20B, SEPTIN7
GO:0000956	nuclear-transcribed mRNA catabolic process	124	4	3.04	1.00000	1	DHX9, PATL1, GSPT2, CNOT6L
GO:0001101	response to acid chemical	144	5	3.53	1.00000	1	CHUK, DNMT3A, LAMTOR2, GRIN1, RPS6KB1
GO:0001501	skeletal system development	537	16	13.18	0.32452	1	DLL3, COL10A1, CTNNB1, CHADL, SH3PXD2B, HOXA10, OSTN, LEPR, PRKG2, PAPPA2, RYK, CSRNP1, BMPR1A, DCHS1, SERPINH1, ACVR2A
GO:0001503	ossification	455	13	11.17	0.51370	1	FSTL3, CTNNB1, DHX9, NPNT, INTU, RBMX, OSTN, PTEN, BMPR1A, FKRP, DCHS1, CHRDL1, ACVR2A
GO:0001508	action potential	177	7	4.34	0.80906	1	CNR2, KCNA7, KCNJ3, KCNN2, KCNQ1, CACNA1C, NUP155
GO:0001525	angiogenesis	636	13	15.61	0.65193	1	HTATIP2, CTNNB1, IL18, ITGB1, LEPR, MMP19, PDE3B, SEMA6A, BMPR1A, C3AR1, CAMP, ADTRP, MTDH
GO:0001539	cilium or flagellum-dependent cell motility	218	5	5.35	1.00000	1	KLC3, CFAP141, SEPTIN4, RFX3, QRICH2
GO:0001558	regulation of cell growth	406	14	9.97	0.09959	1	EIF4G2, ESR2, GDF9, LAMTOR2, NRG1, OSTN, APOE, MAP2, RGMA, PAPPA2, RYK, DDR1, ING5, PSRC1
GO:0001562	response to protozoan	32	2	0.79	1.00000	1	IL4R, NKG7
GO:0001568	blood vessel development	821	20	20.15	0.66549	1	HTATIP2, CTNNB1, DDIT3, APOE, IL18, ITGB1, LEPR, MMP19, PDE3B, SEMA6A, PRDM1, BMPR1A, NR2F2, C3AR1, CAMP, ANTXR1, DCTN5, MYO18B, ADTRP, MTDH
GO:0001570	vasculogenesis	86	2	2.11	0.86649	1	CTNNB1, MYO18B
GO:0001578	microtubule bundle formation	136	3	3.34	0.53796	1	NISCH, DNAAF8, PSRC1
GO:0001649	osteoblast differentiation	261	8	6.41	0.73523	1	CTNNB1, DHX9, NPNT, RBMX, OSTN, PTEN, BMPR1A, ACVR2A
GO:0001654	eye development	410	8	10.06	0.03432	1	CRYBB1, CTNNB1, SH3PXD2B, PBX3, PRDM1, CACNA1C, FKRP, CHRDL1
GO:0001655	urogenital system development	66	2	1.62	1.00000	1	CTNNB1, HOXA10
GO:0001657	ureteric bud development	100	3	2.45	1.00000	1	CTNNB1, NPNT, DCHS1
