Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
otolith mineralization (GO:0045299)	4	3	0.1	+	30.56	5.77e-05	0.851	GO:0045299
follicular dendritic cell activation (GO:0002266)	3	2	0.07	+	27.17	0.00177	1.0	GO:0002266
L-glutamine catabolic process (GO:0006543)	3	2	0.07	+	27.17	0.00177	1.0	GO:0006543
positive regulation of female receptivity (GO:0045925)	3	2	0.07	+	27.17	0.00177	1.0	GO:0045925
positive regulation of glomerular filtration (GO:0003104)	3	2	0.07	+	27.17	0.00177	1.0	GO:0003104
negative regulation of protein kinase activity by regulation of protein phosphorylation (GO:0044387)	5	2	0.12	+	16.30	0.00572	1.0	GO:0044387
protein localization to motile cilium (GO:0120229)	5	2	0.12	+	16.30	0.00572	1.0	GO:0120229
positive regulation of mucus secretion (GO:0070257)	5	2	0.12	+	16.30	0.00572	1.0	GO:0070257
adenosine to inosine editing (GO:0006382)	6	2	0.15	+	13.58	0.00844	1.0	GO:0006382
positive regulation of prostaglandin secretion (GO:0032308)	12	4	0.29	+	13.58	0.000152	0.559	GO:0032308
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070434)	6	2	0.15	+	13.58	0.00844	1.0	GO:0070434
chemorepulsion of axon (GO:0061643)	6	2	0.15	+	13.58	0.00844	1.0	GO:0061643
miRNA-mediated gene silencing by mRNA destabilization (GO:0035279)	6	2	0.15	+	13.58	0.00844	1.0	GO:0035279
testosterone biosynthetic process (GO:0061370)	6	2	0.15	+	13.58	0.00844	1.0	GO:0061370
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	6	2	0.15	+	13.58	0.00844	1.0	GO:0010606
regulation of prostaglandin secretion (GO:0032306)	13	4	0.32	+	12.54	0.000215	0.634	GO:0032306
male mating behavior (GO:0060179)	7	2	0.17	+	11.64	0.0116	1.0	GO:0060179
protein retention in ER lumen (GO:0006621)	7	2	0.17	+	11.64	0.0116	1.0	GO:0006621
glutamate biosynthetic process (GO:0006537)	7	2	0.17	+	11.64	0.0116	1.0	GO:0006537
positive regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0070426)	7	2	0.17	+	11.64	0.0116	1.0	GO:0070426
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	7	2	0.17	+	11.64	0.0116	1.0	GO:0042985
natural killer cell degranulation (GO:0043320)	7	2	0.17	+	11.64	0.0116	1.0	GO:0043320
smooth muscle adaptation (GO:0014805)	7	2	0.17	+	11.64	0.0116	1.0	GO:0014805
otolith development (GO:0048840)	11	3	0.27	+	11.11	0.00209	1.0	GO:0048840
