Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	GOID	Count
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	6/174	0.00024120140681926631	0.1058353823793779	0	0	7.496960486322188	62.4487681751743	MAVS;DHX9;CAMK2A;PLCG2;IL18;MTDH	GO:0051091	6
Regulation of Primary Metabolic Process (GO:0080090)	5/113	0.0002587519019564365	0.1058353823793779	0	0	9.645224171539962	79.66608769865242	NCOA2;ENY2;ESRP1;PLCG2;APOE	GO:0080090	5
Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)	2/7	0.0005113327792346296	0.1058353823793779	0	0	81.20408163265306	615.4043164173056	MAVS;PLCG2	GO:0002732	2
Response to Exogenous dsRNA (GO:0043330)	3/34	0.0006484839479590657	0.1058353823793779	0	0	19.822746923844363	145.51627376631131	MAVS;DHX9;IFNA2	GO:0043330	3
Regulation of Neuronal Synaptic Plasticity (GO:0048168)	3/35	0.0007067159044822667	0.1058353823793779	0	0	19.202319587628867	139.31055899468168	GRIN2A;CAMK2A;APOE	GO:0048168	3
Positive Regulation of Cell Population Proliferation (GO:0008284)	9/484	0.0007167181650973675	0.1058353823793779	0	0	4.044534412955466	29.28577749776172	RPS4X;GDF9;CNOT6L;DHX9;BICRAL;CHP2;IL18;CTNNB1;CCAR1	GO:0008284	9
Positive Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046427)	3/38	0.0009010656627178086	0.109302160119582	0	0	17.55375552282769	123.08574753825548	GH2;IL26;CAMK2A	GO:0046427	3
Positive Regulation of Receptor Signaling Pathway via STAT (GO:1904894)	3/42	0.0012085906045389	0.109302160119582	0	0	15.750198255352895	105.81456304852416	GH2;IL26;CAMK2A	GO:1904894	3
Positive Regulation of Nucleocytoplasmic Transport (GO:0046824)	3/46	0.0015751859953084	0.109302160119582	0	0	14.282186526012946	92.16840432528492	MAVS;DHX9;CHP2	GO:0046824	3
Positive Regulation of Neuroinflammatory Response (GO:0150078)	2/12	0.0015810451022911	0.109302160119582	0	0	40.59183673469388	261.8039188938469	IL18;PLCG2	GO:0150078	2
+ Reg of Insulin Secretion Inv in Cellular Resp to Glucose Stimulus (GO:0035774)	2/13	0.0018624280503563	0.109302160119582	0	0	36.89981447124304	231.94759321375395	ANO1;GCG	GO:0035774	2
Positive Regulation of NF-kappaB Transcription Factor Activity (GO:0051092)	4/105	0.001911353052285	0.109302160119582	0	0	8.167904290429043	51.130622502952	DHX9;CAMK2A;IL18;MTDH	GO:0051092	4
Regulation of Secretion by Cell (GO:1903530)	3/51	0.0021222963043568	0.109302160119582	0	0	12.791237113402062	78.73334684431502	NSF;CAMK2A;SEPTIN4	GO:1903530	3
Cellular Response to Exogenous dsRNA (GO:0071360)	2/14	0.0021657651600423	0.109302160119582	0	0	33.82312925170068	207.5042741698455	MAVS;DHX9	GO:0071360	2
Positive Regulation of Response to Cytokine Stimulus (GO:0060760)	2/14	0.0021657651600423	0.109302160119582	0	0	33.82312925170068	207.5042741698455	MAVS;DHX9	GO:0060760	2
Glycoprotein Metabolic Process (GO:0009100)	3/52	0.0022441220665619	0.109302160119582	0	0	12.529560277719336	76.42331236603597	NEU2;FBXO2;MGAT4A	GO:0009100	3
Regulation of Interleukin-13 Production (GO:0032656)	2/15	0.0024908343052083	0.109302160119582	0	0	31.21978021978022	187.16687708215863	IFNA2;IL18	GO:0032656	2
Regulation of Smooth Muscle Cell Proliferation (GO:0048660)	3/54	0.002500594818504	0.109302160119582	0	0	12.036992116434202	72.11634792982616	IL18;CTNNB1;APOE	GO:0048660	3
Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046425)	3/55	0.0026353413771885	0.109302160119582	0	0	11.804916732751783	70.10636130554923	GH2;IL26;CAMK2A	GO:0046425	3
Positive Regulation of Inflammatory Response (GO:0050729)	4/115	0.0026613022938468	0.109302160119582	0	0	7.428303303303303	44.04196229800182	DHX9;PLCG2;IL18;NKG7	GO:0050729	4
Regulation of Response to Cytokine Stimulus (GO:0060759)	2/16	0.0028374149918175	0.109302160119582	0	0	28.988338192419825	170.01259891772904	MAVS;DHX9	GO:0060759	2
+ Reg of Myeloid Leukocyte Cytokine Production Inv in Imm Resp (GO:0061081)	2/16	0.0028374149918175	0.109302160119582	0	0	28.988338192419825	170.01259891772904	MAVS;PLCG2	GO:0061081	2
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)	2/16	0.0028374149918175	0.109302160119582	0	0	28.988338192419825	170.01259891772904	PLCG2;MTDH	GO:0031663	2
Cellular Response to dsRNA (GO:0071359)	2/17	0.0032052883489498	0.1140757577949782	0	0	27.05442176870748	155.3722787250682	MAVS;DHX9	GO:0071359	2
Cellular Response to Calcium Ion (GO:0071277)	3/59	0.0032188419242375	0.1140757577949782	0	0	10.959499263622977	62.89364704662167	ITPKB;CHP2;PLCG2	GO:0071277	3
Cellular Response to Lipopolysaccharide (GO:0071222)	4/125	0.0035919377730342	0.1224021871887821	0	0	6.81095041322314	38.33927204757649	IL36B;PLCG2;IL18;MTDH	GO:0071222	4
Glycoprotein Catabolic Process (GO:0006516)	2/19	0.0040040456388033	0.1313920161473984	0	0	23.869147659063625	131.7684366549516	NEU2;FBXO2	GO:0006516	2
Regulation of Neuroinflammatory Response (GO:0150077)	2/21	0.0048853872583166	0.1545876111024495	0	0	21.354457572502685	113.63788950907964	IL18;PLCG2	GO:0150077	2
Positive Regulation of Interferon-Alpha Production (GO:0032727)	2/22	0.0053564969577325	0.1581952101517023	0	0	20.285714285714285	106.08302856731788	MAVS;DHX9	GO:0032727	2
Natural Killer Cell Activation Involved in Immune Response (GO:0002323)	2/22	0.0053564969577325	0.1581952101517023	0	0	20.285714285714285	106.08302856731788	IFNA2;NKG7	GO:0002323	2
Carbohydrate Derivative Catabolic Process (GO:1901136)	2/23	0.0058476195920622	0.1621347851414267	0	0	19.318756073858115	99.33164622370634	NEU2;FBXO2	GO:1901136	2
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	3/73	0.0058558838877264	0.1621347851414267	0	0	8.761413843888072	45.03636856812869	IL26;APOE;NR2F2	GO:0050680	3
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	3/74	0.006081441880416	0.1632775001832905	0	0	8.637578045593147	44.07335823715741	GRIN2A;PLCG2;CACNA1F	GO:0097553	3
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227)	2/24	0.0063585473607634	0.1656962635775415	0	0	18.43970315398887	93.26719485343038	MAVS;PLCG2	GO:1900227	2
Positive Regulation of Interleukin-6 Production (GO:0032755)	3/77	0.0067890554235683	0.1695477657363154	0	0	8.286152131512956	41.36814601724816	MAVS;DHX9;PLCG2	GO:0032755	3
Positive Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141087)	2/25	0.0068890740028299	0.1695477657363154	0	0	17.637089618456077	87.79423275712823	MAVS;PLCG2	GO:0141087	2
Acylglycerol Homeostasis (GO:0055090)	2/26	0.0074389947886241	0.1781337671005663	0	0	16.901360544217688	82.83389842043363	IL18;APOE	GO:0055090	2
Regulation of Interferon-Alpha Production (GO:0032647)	2/27	0.0080081065105895	0.1834069927477938	0	0	16.224489795918366	78.32049478663112	MAVS;DHX9	GO:0032647	2
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	3/82	0.0080732197710654	0.1834069927477938	0	0	7.759754665274697	37.39583215487946	MAVS;DHX9;PLCG2	GO:0032760	3
Regulation of Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0061178)	2/28	0.008596207471144	0.1857619468154535	0	0	15.599686028257455	74.19887958363982	ANO1;GCG	GO:0061178	2
Long-Term Synaptic Potentiation (GO:0060291)	2/28	0.008596207471144	0.1857619468154535	0	0	15.599686028257455	74.19887958363982	GRIN2A;CAMK2A	GO:0060291	2
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	3/85	0.008907727513708	0.1879106327891747	0	0	7.474729695750566	35.28697392743489	MAVS;DHX9;PLCG2	GO:1903557	3
Positive Regulation of Protein Import Into Nucleus (GO:0042307)	2/29	0.0092030974751143	0.1896266130918912	0	0	15.02116402116402	70.4224490277819	MAVS;CHP2	GO:0042307	2
Inflammatory Response (GO:0006954)	5/261	0.0100399865568296	0.2021688202125246	0	0	4.0386513157894735	18.58255965672337	IL36B;DHX9;IFNA2;IL18;KLRG1	GO:0006954	5
Natural Killer Cell Mediated Immunity (GO:0002228)	2/31	0.0104724512850622	0.2055247208394008	0	0	13.983814215341308	63.75230908786907	RAET1G;NKG7	GO:0002228	2
Positive Regulation of DNA-templated Transcription (GO:0045893)	13/1274	0.0108530921440773	0.2055247208394008	0	0	2.208674013508709	9.990506759429254	NCOA2;ENY2;DHX9;BICRAL;IL26;IL18;NR2F2;FSTL3;MAVS;CHP2;HAS3;CTNNB1;APOE	GO:0045893	13
Positive Regulation of Response to Stimulus (GO:0048584)	3/92	0.0110454740818408	0.2055247208394008	0	0	6.884397080968377	31.019265579000628	GPR151;MAVS;DHX9	GO:0048584	3
Natural Killer Cell Mediated Cytotoxicity (GO:0042267)	2/32	0.0111345221222248	0.2055247208394008	0	0	13.517006802721088	60.79550767481704	RAET1G;NKG7	GO:0042267	2
Mitochondrial Translation (GO:0032543)	3/94	0.0117059445280262	0.2092444370272357	0	0	6.732411917978928	29.943469004228515	MRPS35;MRPS30;MRPL33	GO:0032543	3
Regulation of calcineurin-NFAT Signaling Cascade (GO:0070884)	2/33	0.0118145960439167	0.2092444370272357	0	0	13.08031599736669	58.0559303610333	CHP2;PLCG2	GO:0070884	2
Response to Calcium Ion (GO:0051592)	3/95	0.0120445443435542	0.2092444370272357	0	0	6.658897355445989	29.426622786632866	ITPKB;CHP2;PLCG2	GO:0051592	3
Triglyceride Homeostasis (GO:0070328)	2/34	0.0125124802245355	0.2130237378143853	0	0	12.67091836734694	55.51165721021778	IL18;APOE	GO:0070328	2
Positive Regulation of Cellular Process (GO:0048522)	8/622	0.0127429549708379	0.2130237378143853	0	0	2.7313411698059764	11.91623164651006	RPS4X;GDF9;CNOT6L;BICRAL;CHP2;CTNNB1;CCAR1;MAGEA4	GO:0048522	8
Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720)	2/35	0.0132279832722483	0.2170065070091386	0	0	12.286332714904145	53.14355844722063	RAET1G;PLCG2	GO:0002720	2
Sensory Perception of Chemical Stimulus (GO:0007606)	3/100	0.0138217578324637	0.2170065070091386	0	0	6.314061005420342	27.03372337884673	GNAL;OBP2A;OR5AN1	GO:0007606	3
Mitochondrial Gene Expression (GO:0140053)	3/100	0.0138217578324637	0.2170065070091386	0	0	6.314061005420342	27.03372337884673	MRPS35;MRPS30;MRPL33	GO:0140053	3
Embryonic Limb Morphogenesis (GO:0030326)	2/36	0.0139609152364795	0.2170065070091386	0	0	11.92436974789916	50.93486932982207	INTU;CTNNB1	GO:0030326	2
Negative Regulation of Endothelial Cell Migration (GO:0010596)	2/37	0.0147110875878218	0.2189597479135662	0	0	11.583090379008746	48.87083992538764	APOE;NR2F2	GO:0010596	2
Positive Regulation of Interferon-Beta Production (GO:0032728)	2/37	0.0147110875878218	0.2189597479135662	0	0	11.583090379008746	48.87083992538764	MAVS;DHX9	GO:0032728	2
Regulation of Transcription by RNA Polymerase II (GO:0006357)	19/2250	0.0151256765072005	0.2189597479135662	0	0	1.8577231048469656	7.786389189075066	NCOA2;ENY2;DHX9;MAGEE2;BICRAL;IL26;PRRX2;IL18;PASD1;NR2F2;PHF21A;MTDH;NR2F6;FSTL3;MAVS;SALL3;CHP2;CTNNB1;MAGEA4	GO:0006357	19
Regulation of Defense Response to Virus by Host (GO:0050691)	2/38	0.0154783132235365	0.2189597479135662	0	0	11.260770975056689	46.9384448645158	MAVS;DHX9	GO:0050691	2
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	2/38	0.0154783132235365	0.2189597479135662	0	0	11.260770975056689	46.9384448645158	APOE;NR2F2	GO:0001937	2
Positive Regulation of Multicellular Organismal Process (GO:0051240)	6/407	0.0164457960066641	0.2189597479135662	0	0	3.103783095452857	12.749364494589914	NCOA2;BICRAL;IL26;IL18;CTNNB1;APOE	GO:0051240	6
