geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:1905684	regulation of plasma membrane repair	http://amigo.geneontology.org/amigo/term/GO:1905684	7	2	0.03708995653985831	53.922953451043334	5.729916315294852e-4	1	4627;6281
GO:0044255	cellular lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044255	995	14	5.27207239387986	2.6555022302523854	7.104141062830555e-4	1	30;126;3633;5467;5920;9588;30849;79888;80821;81616;149998;151176;158835;768239
GO:0032508	DNA duplex unwinding	http://amigo.geneontology.org/amigo/term/GO:0032508	78	4	0.41328808715842114	9.678478824546241	7.790416534887326e-4	1	2068;10973;22907;54921
GO:0006650	glycerophospholipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006650	298	7	1.578972435553968	4.433262951511952	0.0010264469507158668	1	3633;5920;9588;30849;79888;80821;149998
GO:0032392	DNA geometric change	http://amigo.geneontology.org/amigo/term/GO:0032392	84	4	0.4450794784782997	8.987158908507222	0.0010286951472365288	1	2068;10973;22907;54921
GO:0046486	glycerolipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0046486	389	8	2.061141870572126	3.881343693134225	0.0010611052052461602	1	3633;5920;9588;30849;79888;80821;149998;158835
GO:0071103	DNA conformation change	http://amigo.geneontology.org/amigo/term/GO:0071103	91	4	0.482169435018158	8.295838992468205	0.0013854243181021272	1	2068;10973;22907;54921
GO:0036490	regulation of translation in response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:0036490	11	2	0.058284217419777344	34.31460674157303	0.001480121456148121	1	1965;23645
GO:0043558	regulation of translational initiation in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043558	12	2	0.0635827826397571	31.45505617977528	0.001770033527248947	1	1965;23645
GO:0016311	dephosphorylation	http://amigo.geneontology.org/amigo/term/GO:0016311	270	6	1.4306126093945348	4.194007490636704	0.0031132027873609714	1	3633;9475;23261;23645;63904;64077
GO:1903729	regulation of plasma membrane organization	http://amigo.geneontology.org/amigo/term/GO:1903729	17	2	0.0900756087396559	22.203569068076668	0.0035850877449127095	1	4627;6281
GO:0006644	phospholipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006644	374	7	1.9816633922724296	3.5323859881031066	0.0036994251058626157	1	3633;5920;9588;30849;79888;80821;149998
GO:0036499	PERK-mediated unfolded protein response	http://amigo.geneontology.org/amigo/term/GO:0036499	19	2	0.1006727391796154	19.866351271437022	0.0044768286036309226	1	1965;23645
GO:0043555	regulation of translation in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043555	19	2	0.1006727391796154	19.866351271437022	0.0044768286036309226	1	1965;23645
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	http://amigo.geneontology.org/amigo/term/GO:0043491	292	6	1.5471810442340894	3.878020624903802	0.004561980534705219	1	940;5467;5863;30849;57624;151176
GO:0070613	regulation of protein processing	http://amigo.geneontology.org/amigo/term/GO:0070613	65	3	0.34440673929868426	8.710630942091617	0.004955918053217403	1	3633;4627;6281
GO:0032515	negative regulation of phosphoprotein phosphatase activity	http://amigo.geneontology.org/amigo/term/GO:0032515	20	2	0.10597130439959516	18.87303370786517	0.0049571902532912805	1	9475;23645
GO:0000018	regulation of DNA recombination	http://amigo.geneontology.org/amigo/term/GO:0000018	130	4	0.6888134785973685	5.8070872947277445	0.00503729486652809	1	940;2068;3024;341567
GO:0006629	lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006629	1367	15	7.24313865571233	2.070925425149799	0.005228564714438203	1	30;126;3633;5467;5920;9588;30849;79888;80821;81616;149998;151176;158835;340654;768239
GO:0030855	epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030855	734	10	3.8891468714651425	2.5712579983467534	0.005393938514834291	1	2068;5534;5872;5920;9475;11167;81606;133396;340654;768239
GO:0070886	positive regulation of calcineurin-NFAT signaling cascade	http://amigo.geneontology.org/amigo/term/GO:0070886	21	2	0.11126986961957493	17.974317817014445	0.005460211992375684	1	5534;23261
GO:0106058	positive regulation of calcineurin-mediated signaling	http://amigo.geneontology.org/amigo/term/GO:0106058	21	2	0.11126986961957493	17.974317817014445	0.005460211992375684	1	5534;23261
GO:1903317	regulation of protein maturation	http://amigo.geneontology.org/amigo/term/GO:1903317	69	3	0.3656010001786033	8.205666829506596	0.005855056270709858	1	3633;4627;6281
GO:0010923	negative regulation of phosphatase activity	http://amigo.geneontology.org/amigo/term/GO:0010923	22	2	0.11656843483955469	17.157303370786515	0.005985645724936236	1	9475;23645
GO:0035304	regulation of protein dephosphorylation	http://amigo.geneontology.org/amigo/term/GO:0035304	72	3	0.3814966958385426	7.86376404494382	0.0065894197814642995	1	9475;23261;23645
GO:0010954	positive regulation of protein processing	http://amigo.geneontology.org/amigo/term/GO:0010954	24	2	0.1271655652795142	15.72752808988764	0.007102766477764234	1	4627;6281
GO:0022010	central nervous system myelination	http://amigo.geneontology.org/amigo/term/GO:0022010	25	2	0.13246413049949396	15.098426966292134	0.007693966959894098	1	745;2068
GO:0032291	axon ensheathment in central nervous system	http://amigo.geneontology.org/amigo/term/GO:0032291	25	2	0.13246413049949396	15.098426966292134	0.007693966959894098	1	745;2068
GO:1903319	positive regulation of protein maturation	http://amigo.geneontology.org/amigo/term/GO:1903319	26	2	0.13776269571947372	14.51771823681936	0.008306606331474392	1	4627;6281
GO:0016042	lipid catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016042	335	6	1.775019348693219	3.3802448431997316	0.008749699104868707	1	30;5467;5920;9588;149998;340654
GO:0009411	response to UV	http://amigo.geneontology.org/amigo/term/GO:0009411	153	4	0.8106804786569031	4.934126459572592	0.008881038852114444	1	993;1965;2068;138162
GO:0006446	regulation of translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006446	81	3	0.42918378281836045	6.990012484394507	0.009110897585328896	1	1965;23645;57055
GO:0007272	ensheathment of neurons	http://amigo.geneontology.org/amigo/term/GO:0007272	155	4	0.8212776090968625	4.8704603117071406	0.009285268883545488	1	745;2068;5467;5534
GO:0008366	axon ensheathment	http://amigo.geneontology.org/amigo/term/GO:0008366	155	4	0.8212776090968625	4.8704603117071406	0.009285268883545488	1	745;2068;5467;5534
GO:0001778	plasma membrane repair	http://amigo.geneontology.org/amigo/term/GO:0001778	28	2	0.14835982615943324	13.480738362760833	0.009595249536851381	1	4627;6281
GO:0035308	negative regulation of protein dephosphorylation	http://amigo.geneontology.org/amigo/term/GO:0035308	28	2	0.14835982615943324	13.480738362760833	0.009595249536851381	1	9475;23645
GO:0045948	positive regulation of translational initiation	http://amigo.geneontology.org/amigo/term/GO:0045948	28	2	0.14835982615943324	13.480738362760833	0.009595249536851381	1	23645;57055
GO:0034250	positive regulation of amide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034250	160	4	0.8477704351967613	4.718258426966292	0.010347889148274452	1	940;9475;23645;57055
GO:0150033	negative regulation of protein localization to lysosome	http://amigo.geneontology.org/amigo/term/GO:0150033	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	9475
GO:0150174	negative regulation of phosphatidylcholine metabolic process	http://amigo.geneontology.org/amigo/term/GO:0150174	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	79888
GO:1905793	protein localization to pericentriolar material	http://amigo.geneontology.org/amigo/term/GO:1905793	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	23386
GO:1900756	protein processing in phagocytic vesicle	http://amigo.geneontology.org/amigo/term/GO:1900756	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	4627
GO:1903921	regulation of protein processing in phagocytic vesicle	http://amigo.geneontology.org/amigo/term/GO:1903921	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	4627
GO:1903923	positive regulation of protein processing in phagocytic vesicle	http://amigo.geneontology.org/amigo/term/GO:1903923	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	4627
GO:0032723	positive regulation of connective tissue growth factor production	http://amigo.geneontology.org/amigo/term/GO:0032723	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	9475
GO:0003172	sinoatrial valve development	http://amigo.geneontology.org/amigo/term/GO:0003172	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	6474
GO:0150073	regulation of protein-glutamine gamma-glutamyltransferase activity	http://amigo.geneontology.org/amigo/term/GO:0150073	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	5920
GO:0150074	positive regulation of protein-glutamine gamma-glutamyltransferase activity	http://amigo.geneontology.org/amigo/term/GO:0150074	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	5920
GO:0032796	uropod organization	http://amigo.geneontology.org/amigo/term/GO:0032796	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	4627
GO:0060471	cortical granule exocytosis	http://amigo.geneontology.org/amigo/term/GO:0060471	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	4627
GO:0032485	regulation of Ral protein signal transduction	http://amigo.geneontology.org/amigo/term/GO:0032485	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	5863
GO:1904674	positive regulation of somatic stem cell population maintenance	http://amigo.geneontology.org/amigo/term/GO:1904674	2	1	0.010597130439959516	94.36516853932585	0.010569369441034619	1	81606
GO:0043604	amide biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0043604	812	10	4.3024349586235635	2.324265234958765	0.010647700038594015	1	940;1965;6136;9933;10973;23645;27165;57055;81616;84545
