Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
regulation of systemic arterial blood pressure by vasopressin (GO:0001992)	5	2	0.05	+	40.55	0.000949	1.0	GO:0001992
positive regulation of isotype switching to IgG isotypes (GO:0048304)	11	2	0.11	+	18.43	0.00502	1.0	GO:0048304
immune response-inhibiting signal transduction (GO:0002765)	11	2	0.11	+	18.43	0.00502	1.0	GO:0002765
anoikis (GO:0043276)	12	2	0.12	+	16.90	0.00599	1.0	GO:0043276
positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	14	2	0.14	+	14.48	0.00815	1.0	GO:0071639
response to interferon-alpha (GO:0035455)	22	3	0.22	+	13.82	0.00127	1.0	GO:0035455
regulation of isotype switching to IgG isotypes (GO:0048302)	15	2	0.15	+	13.52	0.00934	1.0	GO:0048302
positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	16	2	0.16	+	12.67	0.0106	1.0	GO:0034145
osteoblast development (GO:0002076)	16	2	0.16	+	12.67	0.0106	1.0	GO:0002076
P-body assembly (GO:0033962)	16	2	0.16	+	12.67	0.0106	1.0	GO:0033962
positive regulation of systemic arterial blood pressure (GO:0003084)	17	2	0.17	+	11.93	0.0119	1.0	GO:0003084
dendritic cell chemotaxis (GO:0002407)	17	2	0.17	+	11.93	0.0119	1.0	GO:0002407
regulation of monocyte chemotactic protein-1 production (GO:0071637)	20	2	0.2	+	10.14	0.0164	1.0	GO:0071637
mitochondrial calcium ion transmembrane transport (GO:0006851)	21	2	0.21	+	9.66	0.018	1.0	GO:0006851
stress fiber assembly (GO:0043149)	21	2	0.21	+	9.66	0.018	1.0	GO:0043149
contractile actin filament bundle assembly (GO:0030038)	21	2	0.21	+	9.66	0.018	1.0	GO:0030038
adrenergic receptor signaling pathway (GO:0071875)	23	2	0.23	+	8.82	0.0214	1.0	GO:0071875
positive regulation of B cell proliferation (GO:0030890)	47	4	0.46	+	8.63	0.00118	1.0	GO:0030890
reflex (GO:0060004)	24	2	0.24	+	8.45	0.0232	1.0	GO:0060004
carbohydrate phosphorylation (GO:0046835)	24	2	0.24	+	8.45	0.0232	1.0	GO:0046835
brown fat cell differentiation (GO:0050873)	37	3	0.36	+	8.22	0.00574	1.0	GO:0050873
cAMP metabolic process (GO:0046058)	25	2	0.25	+	8.11	0.025	1.0	GO:0046058
positive regulation of activated T cell proliferation (GO:0042104)	25	2	0.25	+	8.11	0.025	1.0	GO:0042104
positive regulation of interferon-alpha production (GO:0032727)	26	2	0.26	+	7.80	0.0269	1.0	GO:0032727
dendritic cell migration (GO:0036336)	26	2	0.26	+	7.80	0.0269	1.0	GO:0036336
positive regulation of cholesterol efflux (GO:0010875)	26	2	0.26	+	7.80	0.0269	1.0	GO:0010875
DNA catabolic process (GO:0006308)	27	2	0.27	+	7.51	0.0289	1.0	GO:0006308
negative regulation of lipid catabolic process (GO:0050995)	28	2	0.28	+	7.24	0.0309	1.0	GO:0050995
positive regulation of vasoconstriction (GO:0045907)	28	2	0.28	+	7.24	0.0309	1.0	GO:0045907
regulation of systemic arterial blood pressure by hormone (GO:0001990)	43	3	0.42	+	7.07	0.00873	1.0	GO:0001990
hematopoietic stem cell homeostasis (GO:0061484)	29	2	0.29	+	6.99	0.033	1.0	GO:0061484
positive regulation of alcohol biosynthetic process (GO:1902932)	29	2	0.29	+	6.99	0.033	1.0	GO:1902932
positive regulation of isotype switching (GO:0045830)	29	2	0.29	+	6.99	0.033	1.0	GO:0045830
multicellular organismal-level water homeostasis (GO:0050891)	45	3	0.44	+	6.76	0.0099	1.0	GO:0050891
regulation of toll-like receptor 4 signaling pathway (GO:0034143)	31	2	0.31	+	6.54	0.0373	1.0	GO:0034143
positive regulation of viral genome replication (GO:0045070)	31	2	0.31	+	6.54	0.0373	1.0	GO:0045070
acetyl-CoA metabolic process (GO:0006084)	31	2	0.31	+	6.54	0.0373	1.0	GO:0006084
regulation of monocyte chemotaxis (GO:0090025)	31	2	0.31	+	6.54	0.0373	1.0	GO:0090025
detection of visible light (GO:0009584)	31	2	0.31	+	6.54	0.0373	1.0	GO:0009584
regulation of interferon-alpha production (GO:0032647)	32	2	0.32	+	6.34	0.0396	1.0	GO:0032647
negative regulation of protein localization to plasma membrane (GO:1903077)	33	2	0.33	+	6.14	0.0419	1.0	GO:1903077
pyroptotic inflammatory response (GO:0070269)	33	2	0.33	+	6.14	0.0419	1.0	GO:0070269
regulation of B cell proliferation (GO:0030888)	67	4	0.66	+	6.05	0.00434	1.0	GO:0030888
