Ontology	Ref	Count	expected	Fold Enrichment	over_under	raw P-value	FDR	GOID
forebrain ventricular zone progenitor cell division (GO:0021869)	6	2	0.06	+	33.63	0.00143	1.0	GO:0021869
positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900738)	7	2	0.07	+	28.82	0.00199	1.0	GO:1900738
regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)	7	2	0.07	+	28.82	0.00199	1.0	GO:1905274
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	9	2	0.09	+	22.42	0.00336	1.0	GO:1900736
insulin processing (GO:0030070)	9	2	0.09	+	22.42	0.00336	1.0	GO:0030070
cellular response to UV-A (GO:0071492)	11	2	0.11	+	18.34	0.00507	1.0	GO:0071492
vacuole fusion (GO:0097576)	13	2	0.13	+	15.52	0.0071	1.0	GO:0097576
eosinophil migration (GO:0072677)	21	3	0.21	+	14.41	0.00112	1.0	GO:0072677
regulation of modification of postsynaptic structure (GO:0099159)	15	2	0.15	+	13.45	0.00943	1.0	GO:0099159
response to UV-A (GO:0070141)	15	2	0.15	+	13.45	0.00943	1.0	GO:0070141
positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	16	2	0.16	+	12.61	0.0107	1.0	GO:0034145
negative regulation of necroptotic process (GO:0060546)	16	2	0.16	+	12.61	0.0107	1.0	GO:0060546
tyrosine metabolic process (GO:0006570)	17	2	0.17	+	11.87	0.0121	1.0	GO:0006570
macrophage chemotaxis (GO:0048246)	17	2	0.17	+	11.87	0.0121	1.0	GO:0048246
neurotransmitter receptor transport (GO:0099637)	18	2	0.18	+	11.21	0.0135	1.0	GO:0099637
cell proliferation in forebrain (GO:0021846)	28	3	0.28	+	10.81	0.00262	1.0	GO:0021846
phagolysosome assembly (GO:0001845)	19	2	0.19	+	10.62	0.015	1.0	GO:0001845
insulin metabolic process (GO:1901142)	19	2	0.19	+	10.62	0.015	1.0	GO:1901142
response to hyperoxia (GO:0055093)	19	2	0.19	+	10.62	0.015	1.0	GO:0055093
negative regulation of programmed necrotic cell death (GO:0062099)	19	2	0.19	+	10.62	0.015	1.0	GO:0062099
vesicle-mediated transport between endosomal compartments (GO:0098927)	29	3	0.29	+	10.44	0.0029	1.0	GO:0098927
regulation of early endosome to late endosome transport (GO:2000641)	20	2	0.2	+	10.09	0.0165	1.0	GO:2000641
eosinophil chemotaxis (GO:0048245)	20	2	0.2	+	10.09	0.0165	1.0	GO:0048245
regulation of modification of synaptic structure (GO:1905244)	20	2	0.2	+	10.09	0.0165	1.0	GO:1905244
regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	23	2	0.23	+	8.77	0.0216	1.0	GO:0060307
macrophage migration (GO:1905517)	23	2	0.23	+	8.77	0.0216	1.0	GO:1905517
ventricular cardiac muscle cell action potential (GO:0086005)	23	2	0.23	+	8.77	0.0216	1.0	GO:0086005
early endosome to late endosome transport (GO:0045022)	24	2	0.24	+	8.41	0.0234	1.0	GO:0045022
positive regulation of Rac protein signal transduction (GO:0035022)	24	2	0.24	+	8.41	0.0234	1.0	GO:0035022
natural killer cell activation involved in immune response (GO:0002323)	25	2	0.25	+	8.07	0.0253	1.0	GO:0002323
positive regulation of oligodendrocyte differentiation (GO:0048714)	25	2	0.25	+	8.07	0.0253	1.0	GO:0048714
ribosomal large subunit assembly (GO:0000027)	25	2	0.25	+	8.07	0.0253	1.0	GO:0000027
axon regeneration (GO:0031103)	25	2	0.25	+	8.07	0.0253	1.0	GO:0031103
microtubule anchoring (GO:0034453)	25	2	0.25	+	8.07	0.0253	1.0	GO:0034453
tRNA methylation (GO:0030488)	39	3	0.39	+	7.76	0.00675	1.0	GO:0030488
mitochondrial cytochrome c oxidase assembly (GO:0033617)	27	2	0.27	+	7.47	0.0292	1.0	GO:0033617
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	27	2	0.27	+	7.47	0.0292	1.0	GO:0099623
regulation of necroptotic process (GO:0060544)	27	2	0.27	+	7.47	0.0292	1.0	GO:0060544
response to dsRNA (GO:0043331)	55	4	0.55	+	7.34	0.00215	1.0	GO:0043331
artery morphogenesis (GO:0048844)	69	5	0.68	+	7.31	0.000612	1.0	GO:0048844
response to increased oxygen levels (GO:0036296)	28	2	0.28	+	7.21	0.0312	1.0	GO:0036296
peptide hormone processing (GO:0016486)	42	3	0.42	+	7.21	0.00829	1.0	GO:0016486
regulation of heart rate by cardiac conduction (GO:0086091)	43	3	0.43	+	7.04	0.00885	1.0	GO:0086091
regulation of nucleotide-excision repair (GO:2000819)	29	2	0.29	+	6.96	0.0333	1.0	GO:2000819
viral release from host cell (GO:0019076)	29	2	0.29	+	6.96	0.0333	1.0	GO:0019076
exit from host cell (GO:0035891)	29	2	0.29	+	6.96	0.0333	1.0	GO:0035891
non-canonical NF-kappaB signal transduction (GO:0038061)	30	2	0.3	+	6.73	0.0355	1.0	GO:0038061
phagosome maturation (GO:0090382)	30	2	0.3	+	6.73	0.0355	1.0	GO:0090382
regulation of cardiac muscle cell action potential (GO:0098901)	30	2	0.3	+	6.73	0.0355	1.0	GO:0098901
positive regulation of myoblast differentiation (GO:0045663)	46	3	0.46	+	6.58	0.0107	1.0	GO:0045663
signaling receptor ligand precursor processing (GO:0140448)	46	3	0.46	+	6.58	0.0107	1.0	GO:0140448
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	31	2	0.31	+	6.51	0.0377	1.0	GO:0015012
regulation of toll-like receptor 4 signaling pathway (GO:0034143)	31	2	0.31	+	6.51	0.0377	1.0	GO:0034143
neuron projection regeneration (GO:0031102)	31	2	0.31	+	6.51	0.0377	1.0	GO:0031102
respiratory chain complex IV assembly (GO:0008535)	31	2	0.31	+	6.51	0.0377	1.0	GO:0008535
ionotropic glutamate receptor signaling pathway (GO:0035235)	31	2	0.31	+	6.51	0.0377	1.0	GO:0035235
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	32	2	0.32	+	6.31	0.0399	1.0	GO:0045742
megakaryocyte differentiation (GO:0030219)	32	2	0.32	+	6.31	0.0399	1.0	GO:0030219
response to nicotine (GO:0035094)	49	3	0.49	+	6.18	0.0127	1.0	GO:0035094
regulation of programmed necrotic cell death (GO:0062098)	33	2	0.33	+	6.11	0.0422	1.0	GO:0062098
positive regulation of ERBB signaling pathway (GO:1901186)	34	2	0.34	+	5.93	0.0446	1.0	GO:1901186
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	51	3	0.51	+	5.93	0.0141	1.0	GO:0050731
embryo implantation (GO:0007566)	52	3	0.52	+	5.82	0.0149	1.0	GO:0007566
regulation of membrane repolarization (GO:0060306)	36	2	0.36	+	5.60	0.0494	1.0	GO:0060306
basement membrane organization (GO:0071711)	36	2	0.36	+	5.60	0.0494	1.0	GO:0071711
negative regulation of JNK cascade (GO:0046329)	36	2	0.36	+	5.60	0.0494	1.0	GO:0046329
response to axon injury (GO:0048678)	55	3	0.55	+	5.50	0.0173	1.0	GO:0048678
regulation of G0 to G1 transition (GO:0070316)	37	2	0.37	+	5.45	0.0519	1.0	GO:0070316
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	37	2	0.37	+	5.45	0.0519	1.0	GO:1904707
cerebral cortex radially oriented cell migration (GO:0021799)	38	2	0.38	+	5.31	0.0545	1.0	GO:0021799
regulation of myoblast differentiation (GO:0045661)	76	4	0.75	+	5.31	0.0069	1.0	GO:0045661
regulation of stress-activated MAPK cascade (GO:0032872)	38	2	0.38	+	5.31	0.0545	1.0	GO:0032872
response to electrical stimulus (GO:0051602)	38	2	0.38	+	5.31	0.0545	1.0	GO:0051602
regulation of cholesterol efflux (GO:0010874)	38	2	0.38	+	5.31	0.0545	1.0	GO:0010874
regulation of Rac protein signal transduction (GO:0035020)	38	2	0.38	+	5.31	0.0545	1.0	GO:0035020
positive regulation of heart contraction (GO:0045823)	38	2	0.38	+	5.31	0.0545	1.0	GO:0045823
membrane protein proteolysis (GO:0033619)	39	2	0.39	+	5.17	0.057	1.0	GO:0033619
activation of protein kinase activity (GO:0032147)	39	2	0.39	+	5.17	0.057	1.0	GO:0032147
positive regulation of small GTPase mediated signal transduction (GO:0051057)	78	4	0.77	+	5.17	0.00755	1.0	GO:0051057
positive regulation of blood circulation (GO:1903524)	39	2	0.39	+	5.17	0.057	1.0	GO:1903524
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	40	2	0.4	+	5.04	0.0596	1.0	GO:0070302
chromosome condensation (GO:0030261)	40	2	0.4	+	5.04	0.0596	1.0	GO:0030261
regulation of action potential (GO:0098900)	61	3	0.6	+	4.96	0.0227	1.0	GO:0098900
embryonic digit morphogenesis (GO:0042733)	61	3	0.6	+	4.96	0.0227	1.0	GO:0042733
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	41	2	0.41	+	4.92	0.0623	1.0	GO:0045745
positive regulation of glial cell differentiation (GO:0045687)	41	2	0.41	+	4.92	0.0623	1.0	GO:0045687
response to angiotensin (GO:1990776)	41	2	0.41	+	4.92	0.0623	1.0	GO:1990776
collagen catabolic process (GO:0030574)	41	2	0.41	+	4.92	0.0623	1.0	GO:0030574
regulation of neuroinflammatory response (GO:0150077)	41	2	0.41	+	4.92	0.0623	1.0	GO:0150077
protein methylation (GO:0006479)	42	2	0.42	+	4.80	0.065	1.0	GO:0006479
heparan sulfate proteoglycan metabolic process (GO:0030201)	42	2	0.42	+	4.80	0.065	1.0	GO:0030201
protein alkylation (GO:0008213)	42	2	0.42	+	4.80	0.065	1.0	GO:0008213
artery development (GO:0060840)	107	5	1.06	+	4.71	0.00428	1.0	GO:0060840
