Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	GOID
GOTERM_BP_DIRECT	GO:0030431~sleep	4	0.8	0.0003959609064420869	117194, 2717, 2903, 3606	448	7	19416	24.76530612244898	0.5875102486644705	0.8853685868045064	0.8853685868045064	GO:0030431
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	30	6.0	0.0013256303397416	7026, 91851, 10075, 10272, 221662, 4170, 3084, 57224, 657, 344901, 4205, 4327, 55905, 10553, 4603, 5991, 8788, 6189, 643376, 146310, 2063, 9275, 57556, 1808, 5467, 7965, 989, 5986, 10683, 285590	448	687	19416	1.892545227698066	0.9484949714516994	1.0	1.0	GO:0030154
GOTERM_BP_DIRECT	GO:0071805~potassium ion transmembrane transport	11	2.2	0.0016868231933029	6560, 56479, 3781, 3760, 343450, 1908, 3783, 3784, 3775, 3743, 6549	448	142	19416	3.35726861167002	0.9770611057099624	1.0	1.0	GO:0071805
GOTERM_BP_DIRECT	GO:0098976~excitatory chemical synaptic transmission	4	0.8	0.0029187745016984	388336, 91851, 2903, 2902	448	13	19416	13.335164835164836	0.998549610118925	1.0	1.0	GO:0098976
GOTERM_BP_DIRECT	GO:0098914~membrane repolarization during atrial cardiac muscle cell action potential	3	0.6	0.0050503394691041	3781, 3760, 3784	448	5	19416	26.003571428571423	0.9999878862702126	1.0	1.0	GO:0098914
GOTERM_BP_DIRECT	GO:0007292~female gamete generation	4	0.8	0.0089274279461842	94027, 78995, 2661, 56979	448	19	19416	9.12406015037594	0.9999999980420468	1.0	1.0	GO:0007292
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	25	5.0	0.0095529694400562	94027, 6198, 64651, 166824, 3440, 4170, 83879, 122509, 11188, 5414, 4205, 837, 10553, 55749, 28986, 9275, 57556, 5728, 27250, 322, 1048, 5467, 90525, 7965, 10884	448	620	19416	1.7475518433179724	0.9999999995228176	1.0	1.0	GO:0006915
GOTERM_BP_DIRECT	GO:0050965~detection of temperature stimulus involved in sensory perception of pain	4	0.8	0.0118444671579189	59335, 55107, 2063, 56925	448	21	19416	8.255102040816327	0.9999999999973124	1.0	1.0	GO:0050965
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	18	3.6	0.0194062073298621	50848, 6374, 3440, 10219, 79147, 55693, 4818, 1269, 1147, 3588, 3269, 27177, 57817, 122618, 5724, 3606, 719, 56925	448	424	19416	1.839875336927224	1.0	1.0	1.0	GO:0006954
GOTERM_BP_DIRECT	GO:0042554~superoxide anion generation	4	0.8	0.0212789703115467	50508, 10394, 4689, 285590	448	26	19416	6.667582417582418	1.0	1.0	1.0	GO:0042554
GOTERM_BP_DIRECT	GO:0048168~regulation of neuronal synaptic plasticity	4	0.8	0.0235392995146743	348, 815, 2903, 2902	448	27	19416	6.42063492063492	1.0	1.0	1.0	GO:0048168
GOTERM_BP_DIRECT	GO:0045662~negative regulation of myoblast differentiation	4	0.8	0.0259245536137479	26287, 5467, 1649, 3606	448	28	19416	6.191326530612245	1.0	1.0	1.0	GO:0045662
GOTERM_BP_DIRECT	GO:0008542~visual learning	5	1.0	0.0315094771477373	3269, 3688, 2903, 23259, 2902	448	52	19416	4.167239010989011	1.0	1.0	1.0	GO:0008542
GOTERM_BP_DIRECT	GO:0031424~keratinization	6	1.2	0.0323603954385929	23581, 196374, 353145, 3713, 112802, 353139	448	77	19416	3.3770871985157696	1.0	1.0	1.0	GO:0031424
GOTERM_BP_DIRECT	GO:0031032~actomyosin structure organization	4	0.8	0.0338261512659985	50848, 64097, 2037, 84700	448	31	19416	5.592165898617511	1.0	1.0	1.0	GO:0031032
GOTERM_BP_DIRECT	GO:0035774~positive regulation of insulin secretion involved in cellular response to glucose stimulus	4	0.8	0.0428307002322853	1080, 2641, 5467, 55107	448	34	19416	5.098739495798319	1.0	1.0	1.0	GO:0035774
GOTERM_BP_DIRECT	GO:0045475~locomotor rhythm	3	0.6	0.0455622929668154	5728, 148523, 10499	448	15	19416	8.667857142857143	1.0	1.0	1.0	GO:0045475
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	39	7.8	0.0463720616273278	7026, 6596, 64651, 10272, 1660, 23764, 64806, 1499, 657, 92, 55801, 4205, 7936, 10499, 57506, 10553, 4603, 2902, 8484, 5991, 4222, 2100, 27316, 5090, 11317, 56963, 3229, 3206, 255743, 322, 63928, 1147, 57817, 5467, 4613, 607, 1649, 3606, 4659	448	1246	19416	1.3565265994038065	1.0	1.0	1.0	GO:0045944
GOTERM_BP_DIRECT	GO:0006457~protein folding	9	1.7999999999999998	0.0472829124190636	204474, 131118, 84750, 10576, 80273, 644591, 4878, 10105, 5903	448	173	19416	2.254644921552436	1.0	1.0	1.0	GO:0006457
GOTERM_BP_DIRECT	GO:0001975~response to amphetamine	4	0.8	0.0494314562633789	1269, 26575, 2903, 5903	448	36	19416	4.81547619047619	1.0	1.0	1.0	GO:0001975
GOTERM_BP_DIRECT	GO:0042267~natural killer cell mediated cytotoxicity	4	0.8	0.0529067958213344	5817, 4818, 3606, 353091	448	37	19416	4.685328185328185	1.0	1.0	1.0	GO:0042267
GOTERM_BP_DIRECT	GO:0051091~positive regulation of DNA-binding transcription factor activity	6	1.2	0.0546088321143891	5728, 2100, 55182, 5336, 1649, 57506	448	89	19416	2.921749598715891	1.0	1.0	1.0	GO:0051091
GOTERM_BP_DIRECT	GO:0019722~calcium-mediated signaling	7	1.4	0.055350804735006	2899, 3357, 5336, 1827, 2903, 2902, 719	448	118	19416	2.5709745762711864	1.0	1.0	1.0	GO:0019722
GOTERM_BP_DIRECT	GO:0071277~cellular response to calcium ion	6	1.2	0.056780189260897	63928, 3707, 144402, 5336, 4205, 10105	448	90	19416	2.8892857142857142	1.0	1.0	1.0	GO:0071277
GOTERM_BP_DIRECT	GO:1901381~positive regulation of potassium ion transmembrane transport	3	0.6	0.0572707209120155	1908, 3783, 3784	448	17	19416	7.648109243697478	1.0	1.0	1.0	GO:1901381
GOTERM_BP_DIRECT	GO:0042119~neutrophil activation	3	0.6	0.0572707209120155	820, 10394, 3606	448	17	19416	7.648109243697478	1.0	1.0	1.0	GO:0042119
GOTERM_BP_DIRECT	GO:0006998~nuclear envelope organization	3	0.6	0.0572707209120155	9631, 4001, 80346	448	17	19416	7.648109243697478	1.0	1.0	1.0	GO:0006998
GOTERM_BP_DIRECT	GO:0048813~dendrite morphogenesis	4	0.8	0.0601989176559442	4133, 8301, 3688, 4205	448	39	19416	4.445054945054945	1.0	1.0	1.0	GO:0048813
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	5	1.0	0.0655718374468167	1499, 23581, 837, 1649, 4170	448	66	19416	3.283279220779221	1.0	1.0	1.0	GO:0043525
GOTERM_BP_DIRECT	GO:0032959~inositol trisphosphate biosynthetic process	2	0.4	0.0674922750677498	5336, 5724	448	3	19416	28.892857142857142	1.0	1.0	1.0	GO:0032959
GOTERM_BP_DIRECT	GO:0050434~positive regulation of viral transcription	2	0.4	0.0674922750677498	1660, 29969	448	3	19416	28.892857142857142	1.0	1.0	1.0	GO:0050434
