Term	Ont	N	DE	P.DE	adj_pval	GOID
biological_process	BP	18249	434	1.62623677134995e-30	9.16953603525667e-27	GO:0008150
reproduction	BP	1539	37	0.0350912200641165	0.64741166435752	GO:0000003
immune effector process	BP	637	19	0.0189018379713893	0.502134338759382	GO:0002252
activation of immune response	BP	545	17	0.0174102542958311	0.481547274075078	GO:0002253
immune system process	BP	2545	66	0.000975688572884546	0.116432169697556	GO:0002376
inflammatory response to antigenic stimulus	BP	82	4	0.0569499062351751	0.805296667854633	GO:0002437
acute inflammatory response to antigenic stimulus	BP	28	3	0.0128344066251727	0.463889754846386	GO:0002438
acute inflammatory response	BP	107	4	0.120648099630554	1	GO:0002526
regulation of immune system process	BP	1544	39	0.0156915531342879	0.481547274075078	GO:0002682
negative regulation of immune system process	BP	526	14	0.084169529705254	0.907599070776128	GO:0002683
positive regulation of immune system process	BP	1075	30	0.0093800079026855	0.394628907993554	GO:0002684
regulation of immune effector process	BP	385	11	0.0804938632212293	0.907599070776128	GO:0002697
negative regulation of immune effector process	BP	121	4	0.165466838845485	1	GO:0002698
regulation of response to biotic stimulus	BP	524	14	0.0822255936307045	0.907599070776128	GO:0002831
negative regulation of response to biotic stimulus	BP	119	3	0.349590652246689	1	GO:0002832
regulation of humoral immune response	BP	46	2	0.194219145193372	1	GO:0002920
developmental process involved in reproduction	BP	1011	24	0.0871367285011741	0.919273823376359	GO:0003006
response to stress	BP	3939	92	0.00263307281118269	0.196779485038047	GO:0006950
defense response	BP	1843	48	0.00447583419622989	0.261041816375068	GO:0006952
inflammatory response	BP	887	16	0.497107796205047	1	GO:0006954
immune response	BP	1750	51	0.000304155736685896	0.051969155191013	GO:0006955
humoral immune response	BP	248	9	0.0324822615742571	0.64741166435752	GO:0006959
multicellular organism development	BP	4758	131	5.09257976794419e-08	3.37817776724157e-05	GO:0007275
sex differentiation	BP	288	12	0.00536681431216503	0.29167019276282	GO:0007548
response to nutrient	BP	164	8	0.00880107430934991	0.380996986512625	GO:0007584
gonad development	BP	233	10	0.00867505161853021	0.380760045528978	GO:0008406
female gonad development	BP	102	2	0.538705480521762	1	GO:0008585
response to external stimulus	BP	2747	78	1.67784711301119e-05	0.00632647673310875	GO:0009605
response to biotic stimulus	BP	1575	46	0.000576054390890286	0.0832841713598687	GO:0009607
response to endogenous stimulus	BP	1755	58	3.17137517697221e-06	0.0015549390378572	GO:0009719
response to hormone	BP	883	30	0.000525051696165943	0.0779079997060966	GO:0009725
embryo development	BP	1126	35	0.000915869976815552	0.111929886658149	GO:0009790
cellular process	BP	17161	414	7.24888749239753e-28	3.26982817007068e-24	GO:0009987
response to extracellular stimulus	BP	519	12	0.207563912469154	1	GO:0009991
response to organic substance	BP	2720	75	6.54719496010352e-05	0.0171703994337413	GO:0010033
response to organic cyclic compound	BP	896	23	0.0474286616678907	0.762869805046231	GO:0014070
reproductive process	BP	1529	37	0.032314888403982	0.64741166435752	GO:0022414
ovulation cycle process	BP	50	2	0.220027829620275	1	GO:0022602
cell differentiation	BP	4440	124	6.03725662112186e-08	3.88051195395363e-05	GO:0030154
regulation of defense response	BP	828	18	0.212365549507803	1	GO:0031347
negative regulation of defense response	BP	291	7	0.254565865960022	1	GO:0031348
response to nutrient levels	BP	490	11	0.248509427984235	1	GO:0031667
response to corticosteroid	BP	156	4	0.2958127956111	1	GO:0031960
regulation of response to external stimulus	BP	1142	27	0.075826755468545	0.889294409082146	GO:0032101
negative regulation of response to external stimulus	BP	456	12	0.110568439050638	1	GO:0032102
multicellular organismal process	BP	7869	215	1.05478988668624e-13	1.32165172801786e-10	GO:0032501
developmental process	BP	6582	190	4.85335835221482e-14	6.84141526724081e-11	GO:0032502
multicellular organism reproduction	BP	972	18	0.44791970864426	1	GO:0032504
response to lipid	BP	928	20	0.207619312996134	1	GO:0033993
response to prostaglandin	BP	32	2	0.108740964955233	1	GO:0034694
response to chemical	BP	4061	112	6.23348100323413e-07	0.00031952256942487	GO:0042221
ovulation cycle	BP	72	4	0.0383127181196226	0.689286023822362	GO:0042698
response to external biotic stimulus	BP	1538	44	0.00114227183543729	0.125709604818144	GO:0043207
biological process involved in interspecies interaction between organisms	BP	1708	49	0.000566449348658704	0.0829590818808339	GO:0044419
innate immune response	BP	975	29	0.00455607054414391	0.263337020763879	GO:0045087
regulation of innate immune response	BP	440	12	0.0912023978991114	0.947916535583668	GO:0045088
development of primary sexual characteristics	BP	238	10	0.00997837251182941	0.410302584678324	GO:0045137
negative regulation of innate immune response	BP	88	3	0.202604054365519	1	GO:0045824
development of primary female sexual characteristics	BP	106	2	0.559526002146399	1	GO:0046545
female sex differentiation	BP	121	2	0.63153079024135	1	GO:0046660
rhythmic process	BP	296	11	0.0165353868891547	0.481547274075078	GO:0048511
animal organ development	BP	3050	83	3.98554437270534e-05	0.0118276273397364	GO:0048513
positive regulation of biological process	BP	6363	151	2.84761032862473e-05	0.00944485343408855	GO:0048518
negative regulation of biological process	BP	5768	125	0.00595386466521452	0.310123472654153	GO:0048519
response to steroid hormone	BP	338	9	0.144900711559301	1	GO:0048545
embryonic organ development	BP	455	15	0.0158172044840128	0.481547274075078	GO:0048568
regulation of response to stimulus	BP	4085	96	0.00173388730990654	0.153961001526111	GO:0048583
positive regulation of response to stimulus	BP	2339	49	0.117053463369421	1	GO:0048584
negative regulation of response to stimulus	BP	1763	47	0.0031742653801797	0.219608531854518	GO:0048585
reproductive structure development	BP	307	13	0.00335411103879421	0.223812486298712	GO:0048608
multicellular organismal reproductive process	BP	924	17	0.46203970671474	1	GO:0048609
system development	BP	4067	115	1.13490436946793e-07	6.73595609183675e-05	GO:0048731
anatomical structure development	BP	6007	177	1.00676508740925e-13	1.32165172801786e-10	GO:0048856
stem cell differentiation	BP	248	10	0.0130269726996591	0.467850863484253	GO:0048863
cellular developmental process	BP	4442	124	6.19395363759557e-08	3.88051195395363e-05	GO:0048869
regulation of immune response	BP	903	27	0.00568135185757697	0.302087933647815	GO:0050776
negative regulation of immune response	BP	194	6	0.129140443083144	1	GO:0050777
positive regulation of immune response	BP	740	20	0.0400438900792081	0.705585856911296	GO:0050778
regulation of biological process	BP	12069	293	2.12339088897473e-13	2.3945479054968e-10	GO:0050789
response to stimulus	BP	8860	238	8.54338373406836e-15	1.75170433398343e-11	GO:0050896
response to glucocorticoid	BP	134	3	0.420950237833115	1	GO:0051384
response to other organism	BP	1535	43	0.00193011828779793	0.160043705378657	GO:0051707
reproductive system development	BP	311	13	0.00374022904390551	0.238296965695607	GO:0061458
biological regulation	BP	12489	301	1.48609860848267e-13	1.76407726398517e-10	GO:0065007
regulation of response to stress	BP	1408	28	0.28046750026714	1	GO:0080134
response to alcohol	BP	259	5	0.481065947400557	1	GO:0097305
defense response to other organism	BP	1218	36	0.00184967959071514	0.155718978402897	GO:0098542
defense response to symbiont	BP	1113	34	0.00144070163669337	0.140058554801648	GO:0140546
response to ketone	BP	217	10	0.00536438062954009	0.29167019276282	GO:1901654
response to oxygen-containing compound	BP	1687	46	0.00229024386392586	0.18252353394694	GO:1901700
xenobiotic metabolic process	BP	125	6	0.023532221065476	0.578154372451792	GO:0006805
metabolic process	BP	12005	257	2.14094743931092e-05	0.00778821428164815	GO:0008152
response to xenobiotic stimulus	BP	443	14	0.0264767742848111	0.622687348508478	GO:0009410
cellular metabolic process	BP	10651	232	2.60917899738976e-05	0.0090425807729133	GO:0044237
cellular response to stimulus	BP	7474	213	1.42837611829487e-15	4.02694937150283e-12	GO:0051716
cellular response to chemical stimulus	BP	2731	84	3.09789224827025e-07	0.000170414296993871	GO:0070887
cellular response to xenobiotic stimulus	BP	193	9	0.00747676991368983	0.352784662412888	GO:0071466
tissue homeostasis	BP	259	6	0.306679306519143	1	GO:0001894
system process	BP	2308	59	0.00252738952513199	0.19411740558628	GO:0003008
proteolysis	BP	1609	30	0.400384510516057	1	GO:0006508
lipid metabolic process	BP	1397	46	3.85291443258255e-05	0.0115864842816622	GO:0006629
nitrogen compound metabolic process	BP	9959	200	0.0118874977308403	0.455196305299444	GO:0006807
digestion	BP	136	2	0.69402529934572	1	GO:0007586
negative regulation of metabolic process	BP	3382	63	0.336522598366701	1	GO:0009892
negative regulation of peptidase activity	BP	132	4	0.204203185412714	1	GO:0010466
negative regulation of macromolecule metabolic process	BP	3172	59	0.347708508934671	1	GO:0010605
negative regulation of endopeptidase activity	BP	124	4	0.175759793373124	1	GO:0010951
regulation of lipid metabolic process	BP	326	10	0.0644703627597913	0.833756391686693	GO:0019216
regulation of metabolic process	BP	7045	138	0.0817708000586727	0.907599070776128	GO:0019222
protein metabolic process	BP	4882	106	0.0112295475052718	0.43894491236378	GO:0019538
digestive system process	BP	104	2	0.54920009200675	1	GO:0022600
regulation of proteolysis	BP	599	11	0.486877038180692	1	GO:0030162
homeostatic process	BP	1714	48	0.00107281081400097	0.121492307068667	GO:0042592
negative regulation of catalytic activity	BP	449	11	0.171723982234811	1	GO:0043086
macromolecule metabolic process	BP	9918	192	0.0565647769771378	0.803562475662158	GO:0043170
negative regulation of molecular function	BP	751	19	0.074730405387304	0.882988984051109	GO:0044092
primary metabolic process	BP	10443	219	0.000679580366228782	0.095200345216919	GO:0044238
negative regulation of proteolysis	BP	231	4	0.582539296407716	1	GO:0045861
multicellular organismal-level homeostasis	BP	801	22	0.0278496446218449	0.634610378679094	GO:0048871
regulation of catalytic activity	BP	1404	39	0.00356657237987907	0.232486917502291	GO:0050790
regulation of nitrogen compound metabolic process	BP	5576	107	0.173053028361399	1	GO:0051171
negative regulation of nitrogen compound metabolic process	BP	2259	48	0.101572857977432	0.974079656322933	GO:0051172
regulation of protein metabolic process	BP	2218	57	0.00266649617721769	0.197180835347435	GO:0051246
negative regulation of protein metabolic process	BP	897	24	0.0291179842112935	0.64741166435752	GO:0051248
regulation of hydrolase activity	BP	743	14	0.436759417169435	1	GO:0051336
negative regulation of hydrolase activity	BP	204	4	0.484937773951797	1	GO:0051346
regulation of peptidase activity	BP	303	8	0.168058657972746	1	GO:0052547
regulation of endopeptidase activity	BP	279	8	0.121666570504107	1	GO:0052548
anatomical structure homeostasis	BP	259	6	0.306679306519143	1	GO:0060249
regulation of macromolecule metabolic process	BP	6529	123	0.209793681210644	1	GO:0060255
regulation of molecular function	BP	2028	53	0.00266336956437698	0.197180835347435	GO:0065009
organic substance metabolic process	BP	11490	236	0.00123528265962853	0.132639028987515	GO:0071704
regulation of primary metabolic process	BP	5719	112	0.113819803935916	1	GO:0080090
organonitrogen compound metabolic process	BP	5954	133	0.00141402767457344	0.139424764438263	GO:1901564
neutral lipid metabolic process	BP	137	4	0.222621999734383	1	GO:0006638
acylglycerol metabolic process	BP	136	4	0.218903078092549	1	GO:0006639
catabolic process	BP	2655	61	0.0194212229222807	0.510520118635336	GO:0009056
positive regulation of metabolic process	BP	3796	94	0.000362847427620759	0.0601739770776367	GO:0009893
regulation of catabolic process	BP	1114	22	0.321319874479975	1	GO:0009894
positive regulation of catabolic process	BP	624	10	0.662894568777101	1	GO:0009896
lipid catabolic process	BP	340	12	0.0182134799227248	0.489614810699804	GO:0016042
regulation of cellular metabolic process	BP	6541	128	0.0950508326740349	0.971186571578363	GO:0031323
positive regulation of cellular metabolic process	BP	3422	83	0.00155293202473034	0.142958485248033	GO:0031325
regulation of cellular catabolic process	BP	782	15	0.405089757733457	1	GO:0031329
positive regulation of cellular catabolic process	BP	427	6	0.765397138821721	1	GO:0031331
cellular lipid catabolic process	BP	230	5	0.38129975475509	1	GO:0044242
cellular catabolic process	BP	1689	39	0.0518184211341553	0.762869805046231	GO:0044248
cellular lipid metabolic process	BP	1018	36	6.76916305706264e-05	0.0175484716768955	GO:0044255
positive regulation of lipid metabolic process	BP	123	5	0.0667963266611835	0.833756391686693	GO:0045834
glycerolipid metabolic process	BP	398	15	0.00503085742271654	0.278786138358597	GO:0046486
glycerolipid catabolic process	BP	65	2	0.317904338060336	1	GO:0046503
positive regulation of cellular process	BP	5834	135	0.000292144891708631	0.0502979838747822	GO:0048522
regulation of cellular process	BP	11512	274	6.21266171416322e-11	5.60481489204949e-08	GO:0050794
regulation of lipid catabolic process	BP	66	3	0.11069888482163	1	GO:0050994
positive regulation of lipid catabolic process	BP	27	2	0.0814193883768475	0.907599070776128	GO:0050996
organic substance catabolic process	BP	2177	46	0.114324076823772	1	GO:1901575
angiogenesis	BP	624	15	0.140937000865298	1	GO:0001525
blood vessel development	BP	807	18	0.183572701718894	1	GO:0001568
ameboidal-type cell migration	BP	496	19	0.00142425738931532	0.139663918080947	GO:0001667
vasculature development	BP	840	18	0.229702128363961	1	GO:0001944
anatomical structure morphogenesis	BP	2751	80	5.37867959209804e-06	0.00258107956425913	GO:0009653
regulation of endothelial cell migration	BP	233	7	0.119092003849555	1	GO:0010594
positive regulation of endothelial cell migration	BP	131	6	0.0287596271365741	0.645417542724669	GO:0010595
