Term	Ont	N	DE	P.DE	adj_pval	GOID
immune system process	BP	2548	39	0.0024178220893509	0.141736824544779	GO:0002376
regulation of immune system process	BP	1567	26	0.00495804214752748	0.223758158751653	GO:0002682
immune response-regulating signaling pathway	BP	559	7	0.298812040931586	1	GO:0002764
immune response	BP	1786	25	0.0395831516132334	0.689020468654862	GO:0006955
cell communication	BP	6029	82	0.000225011581293811	0.0269515223237273	GO:0007154
signal transduction	BP	5525	76	0.000317289133948279	0.0333213740244546	GO:0007165
biological_process	BP	16078	184	7.21504820155801e-08	6.39513012393295e-05	GO:0008150
cellular process	BP	15660	177	4.69962256770411e-06	0.00172332381432332	GO:0009987
signaling	BP	6004	81	0.000336649530891627	0.0340630911188473	GO:0023052
regulation of response to stimulus	BP	3956	60	0.000142543917269991	0.0206446448548087	GO:0048583
regulation of immune response	BP	959	14	0.0832967531670445	0.993482187173216	GO:0050776
regulation of biological process	BP	10864	144	1.40624461222353e-08	2.09889019535676e-05	GO:0050789
regulation of cellular process	BP	10495	138	1.23419159988879e-07	9.767304164977e-05	GO:0050794
response to stimulus	BP	8178	128	2.2749775071819e-12	5.04112265816438e-08	GO:0050896
cellular response to stimulus	BP	6844	105	1.14301335740756e-08	1.9483102297534e-05	GO:0051716
biological regulation	BP	11242	147	1.94984752762734e-08	2.21649727518496e-05	GO:0065007
metabolic process	BP	10405	114	0.0351595942307774	0.662634394226969	GO:0008152
response to xenobiotic stimulus	BP	423	10	0.00842540856856285	0.317024232774963	GO:0009410
response to chemical	BP	3506	68	3.51342822843441e-09	8.05276673446314e-06	GO:0042221
cellular response to chemical stimulus	BP	2141	47	5.82200753249879e-08	5.58887844894354e-05	GO:0070887
cellular response to xenobiotic stimulus	BP	187	3	0.271891944094565	1	GO:0071466
response to hypoxia	BP	302	9	0.00281130706597512	0.156521993153122	GO:0001666
in utero embryonic development	BP	396	6	0.18716015816985	1	GO:0001701
cell activation	BP	1112	18	0.0230155003972919	0.525232207315748	GO:0001775
leukocyte homeostasis	BP	113	3	0.097084739540372	1	GO:0001776
blastocyst development	BP	114	2	0.302776089885005	1	GO:0001824
liver development	BP	143	2	0.404100147943327	1	GO:0001889
regulation of heart rate	BP	99	4	0.015743274115729	0.444146215670017	GO:0002027
adaptive immune response	BP	488	7	0.196054369057838	1	GO:0002250
immune effector process	BP	660	13	0.0123446243943509	0.37166376624242	GO:0002252
activation of immune response	BP	562	8	0.180003747003231	1	GO:0002253
cell activation involved in immune response	BP	315	5	0.191315679387974	1	GO:0002263
lymphocyte activation involved in immune response	BP	225	2	0.643351714569095	1	GO:0002285
leukocyte activation involved in immune response	BP	311	5	0.184698436111219	1	GO:0002366
